full_name,id,level,level_0_id,level_1_id,level_2_id,name,year,month,sector,gas,emissionsQuantity
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,agriculture,ch4,256283.2042378295
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,buildings,ch4,9884.150235212857
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,fluorinated-gases,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,forestry-and-land-use,ch4,115.17315014500001
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,fossil-fuel-operations,ch4,20973.887125105328
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,manufacturing,ch4,553.3242047079906
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,power,ch4,229.78639693800002
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,transportation,ch4,83.2063710286385
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,4,waste,ch4,75895.80652974317
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,218691.39357968036
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,buildings,ch4,10213.567455212858
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,fluorinated-gases,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,forestry-and-land-use,ch4,114.8064677
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,fossil-fuel-operations,ch4,20973.437466529547
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,545.0443474108382
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,power,ch4,270.1320294978
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,transportation,ch4,81.58396063178144
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,waste,ch4,80274.29669597532
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,agriculture,ch4,308575.7217065162
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,buildings,ch4,9884.08475521286
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,fluorinated-gases,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,forestry-and-land-use,ch4,92.41602478
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,fossil-fuel-operations,ch4,21338.274183916586
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,manufacturing,ch4,546.0740406649719
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,power,ch4,174.30989732775
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,transportation,ch4,90.65855888434606
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,6,waste,ch4,78372.55627937903
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,agriculture,ch4,431872.39127174986
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,buildings,ch4,10213.546265212857
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,fluorinated-gases,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,forestry-and-land-use,ch4,79.45487039
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,fossil-fuel-operations,ch4,21095.477045928114
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,manufacturing,ch4,535.8656957366297
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,power,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,transportation,ch4,66.82909274142779
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,7,waste,ch4,80389.41817871617
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,8,agriculture,ch4,467058.0462411415
