id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1259133,Dhaka District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.35663986409752, 'latitude': 23.783225060000092, 'srid': 4326}",ch4,12458.02622,1.0707818481910163e-06,t of CH4 per MJ,11634513828.420462,MJ,1213119140.8129203,m^2,9.590578070200166,2024
1259125,Chittagong District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.92721177709369, 'latitude': 22.423513412000034, 'srid': 4326}",ch4,6092.2074600000005,8.48061318715089e-07,t of CH4 per MJ,7183687459.33419,MJ,749047640.3820001,m^2,9.590427994233647,2024
1259126,Comilla District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.0764103662832, 'latitude': 23.42176151300003, 'srid': 4326}",ch4,4497.53914,1.2413320272494344e-06,t of CH4 per MJ,3623155643.5112104,MJ,378077594.94384,m^2,9.583100643796142,2024
1259157,Mymensingh District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.4162679306516, 'latitude': 24.72212600700007, 'srid': 4326}",ch4,4420.99694,1.2833397696985237e-06,t of CH4 per MJ,3444915403.0647397,MJ,359253266.79528004,m^2,9.589099728431474,2024
1259135,Gazipur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.40776229902806, 'latitude': 24.092392922000073, 'srid': 4326}",ch4,4081.2014999999997,8.492842773369623e-07,t of CH4 per MJ,4805459854.73453,MJ,501060500.4293999,m^2,9.590578085114148,2024
1259179,Sylhet District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.95828109448732, 'latitude': 24.890305519000123, 'srid': 4326}",ch4,3233.4057499999994,1.2683172573640118e-06,t of CH4 per MJ,2549366675.59038,MJ,265993810.35228002,m^2,9.584308267226293,2024
1259145,Tangail District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.00162472362695, 'latitude': 24.37570571950019, 'srid': 4326}",ch4,3018.6148900000003,1.1646168803069576e-06,t of CH4 per MJ,2591938122.35006,MJ,270258799.66871995,m^2,9.59057808858482,2024
1259160,Bogra District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.33140767877406, 'latitude': 24.829842568000142, 'srid': 4326}",ch4,2758.2841599999997,8.48618110512468e-07,t of CH4 per MJ,3250324410.74621,MJ,338908080.8592,m^2,9.5905780780027,2024
1259131,Noakhali District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.11936713872676, 'latitude': 22.815877819500145, 'srid': 4326}",ch4,2680.7547400000003,2.020729365431856e-06,t of CH4 per MJ,1326627298.9639502,MJ,138326104.02756,m^2,9.590578063990248,2024
1259141,Narayanganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.61697169957237, 'latitude': 23.715337753500133, 'srid': 4326}",ch4,2544.80129,7.371380214629345e-07,t of CH4 per MJ,3452272459.02952,MJ,359965003.0895999,m^2,9.590578054528832,2024
1259137,Kishoreganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.92785766151783, 'latitude': 24.336873054500046, 'srid': 4326}",ch4,2502.65137,1.893568883278546e-06,t of CH4 per MJ,1321658478.9178,MJ,137808010.05084,m^2,9.590578068939644,2024
1259167,Sirajganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.52299407002529, 'latitude': 24.39875030550007, 'srid': 4326}",ch4,2438.62092,1.3942301674656108e-06,t of CH4 per MJ,1749080587.1980598,MJ,182374886.00172004,m^2,9.590578097367878,2024
1259168,Dinajpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.72473914233314, 'latitude': 25.642594338000066, 'srid': 4326}",ch4,2423.11338,1.0846836421983418e-06,t of CH4 per MJ,2233935578.7545996,MJ,233044234.18776003,m^2,9.585886501507492,2024
1259123,Brahamanbaria District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.11221975455155, 'latitude': 23.95706462800007, 'srid': 4326}",ch4,2364.0987800000003,1.364477430120327e-06,t of CH4 per MJ,1732603799.6770098,MJ,180842457.3096,m^2,9.580735771085072,2024
1259174,Rangpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.26262719378889, 'latitude': 25.633049011000054, 'srid': 4326}",ch4,2346.7882700000005,1.2747555021272987e-06,t of CH4 per MJ,1840971281.22507,MJ,191956237.33944002,m^2,9.59057807519765,2024
1259148,Jessore District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.12588422118975, 'latitude': 23.08486843050008, 'srid': 4326}",ch4,2326.1129200000005,1.041655097530274e-06,t of CH4 per MJ,2233093204.7614694,MJ,232918863.23951995,m^2,9.587429604038075,2024
1259178,Sunamganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.39011405099932, 'latitude': 24.886467933500057, 'srid': 4326}",ch4,2290.2190599999994,2.3131576845078182e-06,t of CH4 per MJ,990083415.1249402,MJ,103366036.01952,m^2,9.578421048650538,2024
1259166,Rajshahi District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.59755043556032, 'latitude': 24.415211678000105, 'srid': 4326}",ch4,2156.78567,7.526030904788489e-07,t of CH4 per MJ,2865767756.31858,MJ,298817632.66475993,m^2,9.59035693698053,2024
1259162,Naogaon District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.73828017744106, 'latitude': 24.87316799150008, 'srid': 4326}",ch4,2135.27927,8.203590560092254e-07,t of CH4 per MJ,2602859387.43387,MJ,271496787.1744801,m^2,9.587072519429546,2024
1259170,Kurigram District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.6445052272602, 'latitude': 25.80355644200006, 'srid': 4326}",ch4,2029.13832,1.6777099472104293e-06,t of CH4 per MJ,1209469088.13046,MJ,126561494.56380002,m^2,9.556374885575984,2024
1259158,Netrakona District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.79278759654113, 'latitude': 24.885355950000132, 'srid': 4326}",ch4,1993.1143499999998,1.4805415273375782e-06,t of CH4 per MJ,1346206312.4863298,MJ,140388960.82919997,m^2,9.589118008531678,2024
1259165,Pabna District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.33856710657642, 'latitude': 24.08094882950013, 'srid': 4326}",ch4,1977.2210699999994,1.1315024097616699e-06,t of CH4 per MJ,1747429835.71415,MJ,182202764.31192002,m^2,9.590578070059665,2024
1259156,Jamalpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.77782261521604, 'latitude': 24.99966812150012, 'srid': 4326}",ch4,1942.8432,1.5988308308709261e-06,t of CH4 per MJ,1215164958.34752,MJ,126735057.40164001,m^2,9.588230622695843,2024
1259127,Cox'S Bazar District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 92.09185386899301, 'latitude': 21.332631112000115, 'srid': 4326}",ch4,1922.24589,1.0735677557534032e-06,t of CH4 per MJ,1790521259.3228598,MJ,186696231.91020003,m^2,9.590559171992778,2024
1259176,Habiganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.43166193901502, 'latitude': 24.33617210400009, 'srid': 4326}",ch4,1878.0101799999998,1.5094377750596818e-06,t of CH4 per MJ,1244178601.48342,MJ,129779260.90020002,m^2,9.5868830878933,2024
1259169,Gaibandha District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.53627013033854, 'latitude': 25.343470574000175, 'srid': 4326}",ch4,1875.44139,1.8127606435363136e-06,t of CH4 per MJ,1034577508.4466802,MJ,107874363.90863998,m^2,9.590578066563392,2024
1259124,Chandpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.80768149557358, 'latitude': 23.244725227500027, 'srid': 4326}",ch4,1874.35848,2.078352629203875e-06,t of CH4 per MJ,901848153.0335801,MJ,94034806.22027999,m^2,9.590578098507137,2024
1259177,Maulvibazar District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.8826094016913, 'latitude': 24.486860978500026, 'srid': 4326}",ch4,1817.8169799999998,1.3201729635868602e-06,t of CH4 per MJ,1376953649.3620198,MJ,143755585.53888002,m^2,9.57843581660074,2024
1259142,Narsingdi District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.80575236733081, 'latitude': 24.007305145000117, 'srid': 4326}",ch4,1794.8808599999995,1.5341217871839336e-06,t of CH4 per MJ,1169972863.2983701,MJ,121991902.10243998,m^2,9.590578088666176,2024
1259117,Barisal District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.25002892096478, 'latitude': 22.82380976150014, 'srid': 4326}",ch4,1665.8338800000001,1.22723136290513e-06,t of CH4 per MJ,1357391874.38675,MJ,141533895.02627996,m^2,9.590578102402326,2024
1259155,Satkhira District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.13842167558002, 'latitude': 22.474517822000166, 'srid': 4326}",ch4,1635.7882999999997,1.5111487505598444e-06,t of CH4 per MJ,1082480000.32689,MJ,112999748.11452,m^2,9.579490382844453,2024
1259134,Faridpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.87183104833281, 'latitude': 23.466231500000106, 'srid': 4326}",ch4,1623.8688000000002,1.360314522334644e-06,t of CH4 per MJ,1193745103.31113,MJ,124470610.21079998,m^2,9.59057805926585,2024
1259150,Khulna District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.33178874708389, 'latitude': 22.501589776000117, 'srid': 4326}",ch4,1602.8681700000002,7.962638006552742e-07,t of CH4 per MJ,2012986360.4008398,MJ,209892077.65560004,m^2,9.590578086057324,2024
1259130,Lakshmipur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.85837350775012, 'latitude': 22.86313116500017, 'srid': 4326}",ch4,1547.8442200000004,2.649542128758618e-06,t of CH4 per MJ,584193096.30876,MJ,60913230.774960004,m^2,9.5905780874934,2024
1259164,Nawabganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.26089180194701, 'latitude': 24.691532135000102, 'srid': 4326}",ch4,1524.6619999999998,9.371283483524013e-07,t of CH4 per MJ,1626951102.99519,MJ,169779607.18908,m^2,9.582723920330952,2024
1259172,Nilphamari District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.92202762058304, 'latitude': 26.02052783950012, 'srid': 4326}",ch4,1488.8698400000003,1.556992732497043e-06,t of CH4 per MJ,956247135.2144401,MJ,99741270.41952,m^2,9.587276472340745,2024
1259151,Kushtia District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.0249585606525, 'latitude': 23.942810059000124, 'srid': 4326}",ch4,1478.66048,9.439523332119298e-07,t of CH4 per MJ,1566456724.5346498,MJ,163396836.2184,m^2,9.586824082939327,2024
1259149,Jhenaidah District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.12274824082604, 'latitude': 23.495005608000042, 'srid': 4326}",ch4,1376.0958100000003,1.3971579389587168e-06,t of CH4 per MJ,984925019.30425,MJ,102763134.69828002,m^2,9.584419764890015,2024
1259118,Bhola District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.76762990262384, 'latitude': 22.397237589000156, 'srid': 4326}",ch4,1325.98817,2.691846348009681e-06,t of CH4 per MJ,492594300.92673004,MJ,51362315.8992,m^2,9.590578078555888,2024
1259163,Natore District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.09054213400577, 'latitude': 24.393265724500107, 'srid': 4326}",ch4,1303.8648799999999,9.390060597512249e-07,t of CH4 per MJ,1388558536.40118,MJ,144783611.92572,m^2,9.590578090520134,2024
1259128,Feni District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.40197917453943, 'latitude': 23.020900726500116, 'srid': 4326}",ch4,1207.6139600000001,1.2864637816610011e-06,t of CH4 per MJ,938708090.51523,MJ,98093126.48016,m^2,9.569560316798446,2024
1259175,Thakurgaon District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.31190151002988, 'latitude': 25.935965538000147, 'srid': 4326}",ch4,1192.89752,1.0553433273792641e-06,t of CH4 per MJ,1130340704.3490999,MJ,117950169.97355999,m^2,9.58320538751644,2024
1259171,Lalmonirhat District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.16543288628411, 'latitude': 26.122104645000096, 'srid': 4326}",ch4,1170.48777,1.851057345327796e-06,t of CH4 per MJ,632334688.57915,MJ,66212739.35555998,m^2,9.550045727356723,2024
1259159,Sherpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.09527705674645, 'latitude': 25.092141152000096, 'srid': 4326}",ch4,1160.8697800000002,1.6337692518212837e-06,t of CH4 per MJ,710546962.9238601,MJ,74107382.23584001,m^2,9.588072624972893,2024
1259139,Manikganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.94155818474471, 'latitude': 23.835499764000076, 'srid': 4326}",ch4,1143.4616899999999,1.3565284587243544e-06,t of CH4 per MJ,842932326.7388601,MJ,87891712.06187999,m^2,9.59057807572795,2024
