id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1259133,Dhaka District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.35663986409752, 'latitude': 23.783225060000092, 'srid': 4326}",co2e_20yr,1934583.0596000003,0.00016627966480853336,t of CO2e_20yr per MJ,11634513828.42046,MJ,1213119140.8129203,m^2,9.590578070200165,2024
1259125,Chittagong District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.92721177709369, 'latitude': 22.423513412000034, 'srid': 4326}",co2e_20yr,1036170.92052,0.00014423942110310518,t of CO2e_20yr per MJ,7183687459.334189,MJ,749047640.3820001,m^2,9.590427994233645,2024
1259157,Mymensingh District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.4162679306516, 'latitude': 24.72212600700007, 'srid': 4326}",co2e_20yr,746326.2552499999,0.00021664574247194488,t of CO2e_20yr per MJ,3444915403.06474,MJ,359253266.79528004,m^2,9.589099728431476,2024
1259126,Comilla District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.0764103662832, 'latitude': 23.42176151300003, 'srid': 4326}",co2e_20yr,722849.99361,0.00019950840226932233,t of CO2e_20yr per MJ,3623155643.5112104,MJ,378077594.94384,m^2,9.583100643796142,2024
1259135,Gazipur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.40776229902806, 'latitude': 24.092392922000073, 'srid': 4326}",co2e_20yr,648636.15432,0.0001349789976251571,t of CO2e_20yr per MJ,4805459854.73453,MJ,501060500.4293999,m^2,9.590578085114148,2024
1259179,Sylhet District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.95828109448732, 'latitude': 24.890305519000123, 'srid': 4326}",co2e_20yr,636109.5130550001,0.0002495166815921803,t of CO2e_20yr per MJ,2549366675.59038,MJ,265993810.35228002,m^2,9.584308267226293,2024
1259145,Tangail District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.00162472362695, 'latitude': 24.37570571950019, 'srid': 4326}",co2e_20yr,529980.928695,0.00020447283217335315,t of CO2e_20yr per MJ,2591938122.3500605,MJ,270258799.66871995,m^2,9.590578088584822,2024
1259178,Sunamganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.39011405099932, 'latitude': 24.886467933500057, 'srid': 4326}",co2e_20yr,514000.01801,0.0005191481951499385,t of CO2e_20yr per MJ,990083415.1249402,MJ,103366036.01952,m^2,9.578421048650538,2024
1259160,Bogra District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.33140767877406, 'latitude': 24.829842568000142, 'srid': 4326}",co2e_20yr,511464.38483999996,0.00015735794960927544,t of CO2e_20yr per MJ,3250324410.7462096,MJ,338908080.8592,m^2,9.590578078002698,2024
1259168,Dinajpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.72473914233314, 'latitude': 25.642594338000066, 'srid': 4326}",co2e_20yr,488544.46499,0.0002186922799548049,t of CO2e_20yr per MJ,2233935578.7545996,MJ,233044234.18776,m^2,9.585886501507494,2024
1259162,Naogaon District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.73828017744106, 'latitude': 24.87316799150008, 'srid': 4326}",co2e_20yr,486194.50835499994,0.00018679246013144558,t of CO2e_20yr per MJ,2602859387.4338694,MJ,271496787.1744801,m^2,9.587072519429544,2024
1259137,Kishoreganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.92785766151783, 'latitude': 24.336873054500046, 'srid': 4326}",co2e_20yr,474323.35540500004,0.0003588849638322491,t of CO2e_20yr per MJ,1321658478.9178,MJ,137808010.05084,m^2,9.590578068939644,2024
1259148,Jessore District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.12588422118975, 'latitude': 23.08486843050008, 'srid': 4326}",co2e_20yr,472214.2204,0.00021146193960607212,t of CO2e_20yr per MJ,2233093204.76147,MJ,232918863.23951995,m^2,9.587429604038077,2024
1259131,Noakhali District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.11936713872676, 'latitude': 22.815877819500145, 'srid': 4326}",co2e_20yr,457822.88233,0.00034510286550528833,t of CO2e_20yr per MJ,1326627298.9639502,MJ,138326104.02756,m^2,9.590578063990248,2024
1259123,Brahamanbaria District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.11221975455155, 'latitude': 23.95706462800007, 'srid': 4326}",co2e_20yr,443057.01381000003,0.0002557174432450132,t of CO2e_20yr per MJ,1732603799.6770098,MJ,180842457.3096,m^2,9.580735771085072,2024
1259167,Sirajganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.52299407002529, 'latitude': 24.39875030550007, 'srid': 4326}",co2e_20yr,435547.26357,0.00024901497778768734,t of CO2e_20yr per MJ,1749080587.19806,MJ,182374886.00172004,m^2,9.59057809736788,2024
1259166,Rajshahi District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.59755043556032, 'latitude': 24.415211678000105, 'srid': 4326}",co2e_20yr,418349.255205,0.0001459815626310275,t of CO2e_20yr per MJ,2865767756.31858,MJ,298817632.66475993,m^2,9.59035693698053,2024
1259176,Habiganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.43166193901502, 'latitude': 24.33617210400009, 'srid': 4326}",co2e_20yr,415119.56412000005,0.0003336494966438562,t of CO2e_20yr per MJ,1244178601.4834201,MJ,129779260.90020002,m^2,9.586883087893302,2024
1259158,Netrakona District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.79278759654113, 'latitude': 24.885355950000132, 'srid': 4326}",co2e_20yr,413558.019285,0.0003072025553952374,t of CO2e_20yr per MJ,1346206312.4863298,MJ,140388960.82919997,m^2,9.589118008531678,2024
1259174,Rangpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.26262719378889, 'latitude': 25.633049011000054, 'srid': 4326}",co2e_20yr,410554.34717500006,0.00022300964244363316,t of CO2e_20yr per MJ,1840971281.22507,MJ,191956237.33944002,m^2,9.59057807519765,2024
1259141,Narayanganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.61697169957237, 'latitude': 23.715337753500133, 'srid': 4326}",co2e_20yr,396026.4977249999,0.0001147147284650668,t of CO2e_20yr per MJ,3452272459.0295205,MJ,359965003.0895999,m^2,9.590578054528834,2024
1259165,Pabna District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.33856710657642, 'latitude': 24.08094882950013, 'srid': 4326}",co2e_20yr,391459.71241499996,0.00022402027504298387,t of CO2e_20yr per MJ,1747429835.7141497,MJ,182202764.31192002,m^2,9.590578070059664,2024
1259170,Kurigram District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.6445052272602, 'latitude': 25.80355644200006, 'srid': 4326}",co2e_20yr,379054.83598000003,0.00031340597267014495,t of CO2e_20yr per MJ,1209469088.1304598,MJ,126561494.56380002,m^2,9.556374885575982,2024
1259177,Maulvibazar District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.8826094016913, 'latitude': 24.486860978500026, 'srid': 4326}",co2e_20yr,378320.88532,0.000274752084425853,t of CO2e_20yr per MJ,1376953649.3620198,MJ,143755585.53888002,m^2,9.57843581660074,2024
1259127,Cox'S Bazar District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 92.09185386899301, 'latitude': 21.332631112000115, 'srid': 4326}",co2e_20yr,355228.92806500004,0.0001983941414911436,t of CO2e_20yr per MJ,1790521259.3228598,MJ,186696231.91020003,m^2,9.590559171992778,2024
1259156,Jamalpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.77782261521604, 'latitude': 24.99966812150012, 'srid': 4326}",co2e_20yr,349306.64848999993,0.0002874561565410967,t of CO2e_20yr per MJ,1215164958.3475199,MJ,126735057.40164001,m^2,9.588230622695841,2024
1259155,Satkhira District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.13842167558002, 'latitude': 22.474517822000166, 'srid': 4326}",co2e_20yr,336923.49153,0.0003112514701687375,t of CO2e_20yr per MJ,1082480000.32689,MJ,112999748.11452,m^2,9.579490382844453,2024
1259164,Nawabganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.26089180194701, 'latitude': 24.691532135000102, 'srid': 4326}",co2e_20yr,330571.2224,0.00020318448525676272,t of CO2e_20yr per MJ,1626951102.99519,MJ,169779607.18908,m^2,9.582723920330952,2024
1259169,Gaibandha District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.53627013033854, 'latitude': 25.343470574000175, 'srid': 4326}",co2e_20yr,325761.710895,0.00031487414740351385,t of CO2e_20yr per MJ,1034577508.4466801,MJ,107874363.90863998,m^2,9.59057806656339,2024
1259117,Barisal District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.25002892096478, 'latitude': 22.82380976150014, 'srid': 4326}",co2e_20yr,317318.40906000003,0.00023377067083399177,t of CO2e_20yr per MJ,1357391874.38675,MJ,141533895.02627996,m^2,9.590578102402326,2024
1259149,Jhenaidah District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.12274824082604, 'latitude': 23.495005608000042, 'srid': 4326}",co2e_20yr,316781.000195,0.000321629559597109,t of CO2e_20yr per MJ,984925019.30425,MJ,102763134.69828002,m^2,9.584419764890015,2024
1259150,Khulna District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.33178874708389, 'latitude': 22.501589776000117, 'srid': 4326}",co2e_20yr,311206.135995,0.00015459922735543548,t of CO2e_20yr per MJ,2012986360.4008398,MJ,209892077.65560004,m^2,9.590578086057324,2024
1259124,Chandpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.80768149557358, 'latitude': 23.244725227500027, 'srid': 4326}",co2e_20yr,300426.05938,0.00033312266413081375,t of CO2e_20yr per MJ,901848153.0335801,MJ,94034806.22027999,m^2,9.590578098507137,2024
1259134,Faridpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.87183104833281, 'latitude': 23.466231500000106, 'srid': 4326}",co2e_20yr,295705.25105,0.0002477122211683153,t of CO2e_20yr per MJ,1193745103.31113,MJ,124470610.21079998,m^2,9.59057805926585,2024
1259142,Narsingdi District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.80575236733081, 'latitude': 24.007305145000117, 'srid': 4326}",co2e_20yr,291837.76084999996,0.0002494397690791352,t of CO2e_20yr per MJ,1169972863.29837,MJ,121991902.10243998,m^2,9.590578088666174,2024
1259151,Kushtia District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.0249585606525, 'latitude': 23.942810059000124, 'srid': 4326}",co2e_20yr,288623.82233,0.0001842526625915835,t of CO2e_20yr per MJ,1566456724.5346503,MJ,163396836.2184,m^2,9.586824082939328,2024
1259163,Natore District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.09054213400577, 'latitude': 24.393265724500107, 'srid': 4326}",co2e_20yr,269255.20639000006,0.000193909870798711,t of CO2e_20yr per MJ,1388558536.40118,MJ,144783611.92572,m^2,9.590578090520134,2024
1259130,Lakshmipur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.85837350775012, 'latitude': 22.86313116500017, 'srid': 4326}",co2e_20yr,264282.45245,0.00045238886614695697,t of CO2e_20yr per MJ,584193096.30876,MJ,60913230.774960004,m^2,9.5905780874934,2024
1259172,Nilphamari District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.92202762058304, 'latitude': 26.02052783950012, 'srid': 4326}",co2e_20yr,257362.24887,0.0002691377985799519,t of CO2e_20yr per MJ,956247135.21444,MJ,99741270.41952,m^2,9.587276472340744,2024
1259175,Thakurgaon District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.31190151002988, 'latitude': 25.935965538000147, 'srid': 4326}",co2e_20yr,255584.56832999998,0.00022611285902260494,t of CO2e_20yr per MJ,1130340704.3490999,MJ,117950169.97355999,m^2,9.58320538751644,2024
1259120,Patuakhali District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.4976667462399, 'latitude': 22.258686811500066, 'srid': 4326}",co2e_20yr,249109.03619,0.00032255491317517373,t of CO2e_20yr per MJ,772299617.8784399,MJ,80526909.918,m^2,9.590578089546305,2024
1259118,Bhola District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.76762990262384, 'latitude': 22.397237589000156, 'srid': 4326}",co2e_20yr,248184.07616499998,0.0005038305877637744,t of CO2e_20yr per MJ,492594300.92673004,MJ,51362315.8992,m^2,9.590578078555888,2024
