id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1259133,Dhaka District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.35663986409752, 'latitude': 23.783225060000092, 'srid': 4326}",pm2_5,16914.96477,1.4538609020929265e-06,t of PM2_5 per MJ,11634513828.42046,MJ,1213119140.8129203,m^2,9.590578070200165,2024
1259125,Chittagong District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.92721177709369, 'latitude': 22.423513412000034, 'srid': 4326}",pm2_5,10428.4841,1.4516895618070985e-06,t of PM2_5 per MJ,7183687459.33419,MJ,749047640.3820001,m^2,9.590427994233647,2024
1259135,Gazipur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.40776229902806, 'latitude': 24.092392922000073, 'srid': 4326}",pm2_5,6986.492669999999,1.4538655781541132e-06,t of PM2_5 per MJ,4805459854.73453,MJ,501060500.4293999,m^2,9.590578085114148,2024
1259126,Comilla District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.0764103662832, 'latitude': 23.42176151300003, 'srid': 4326}",pm2_5,5296.538659999999,1.4618578888504798e-06,t of PM2_5 per MJ,3623155643.51121,MJ,378077594.94384,m^2,9.583100643796142,2024
1259157,Mymensingh District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.4162679306516, 'latitude': 24.72212600700007, 'srid': 4326}",pm2_5,5019.443850000001,1.457058668417371e-06,t of PM2_5 per MJ,3444915403.0647397,MJ,359253266.79528004,m^2,9.589099728431474,2024
1259141,Narayanganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.61697169957237, 'latitude': 23.715337753500133, 'srid': 4326}",pm2_5,5019.12704,1.4538617967050443e-06,t of PM2_5 per MJ,3452272459.0295205,MJ,359965003.0895999,m^2,9.590578054528834,2024
1259160,Bogra District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.33140767877406, 'latitude': 24.829842568000142, 'srid': 4326}",pm2_5,4723.19371,1.4531453212436872e-06,t of PM2_5 per MJ,3250324410.74621,MJ,338908080.8592,m^2,9.5905780780027,2024
1259166,Rajshahi District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.59755043556032, 'latitude': 24.415211678000105, 'srid': 4326}",pm2_5,4140.2735600000005,1.4447345046964569e-06,t of PM2_5 per MJ,2865767756.31858,MJ,298817632.66475993,m^2,9.59035693698053,2024
1259145,Tangail District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.00162472362695, 'latitude': 24.37570571950019, 'srid': 4326}",pm2_5,3768.3835099999997,1.4538863707839134e-06,t of PM2_5 per MJ,2591938122.35006,MJ,270258799.66871995,m^2,9.59057808858482,2024
1259179,Sylhet District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.95828109448732, 'latitude': 24.890305519000123, 'srid': 4326}",pm2_5,3741.0115500000006,1.467427806999815e-06,t of PM2_5 per MJ,2549366675.59038,MJ,265993810.35228002,m^2,9.584308267226293,2024
1259162,Naogaon District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 88.73828017744106, 'latitude': 24.87316799150008, 'srid': 4326}",pm2_5,3734.45059,1.4347492638400852e-06,t of PM2_5 per MJ,2602859387.43387,MJ,271496787.1744801,m^2,9.587072519429546,2024
