date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2022-01-01,1,900396,BD10,55.0,2.2727273,1.4406061,7.436363,6.08,265.87274,152.52606,112.919914,112.24154,171.95424,final
2022-01-11,1,900396,BD10,55.0,2.5636363,1.1242424,7.3636365,4.551515,84.38182,97.843636,123.50322,129.44162,86.9104,final
2022-01-21,1,900396,BD10,55.0,5.6,1.9709091,10.436363,4.5357575,79.218185,59.63515,152.06052,161.87874,130.29782,final
2022-02-01,1,900396,BD10,55.0,10.654546,6.061818,18.818182,9.15697,82.6,46.86485,141.51874,168.2435,168.90051,final
2022-02-11,1,900396,BD10,55.0,8.636364,6.5472727,24.89091,14.58,80.52727,36.753334,118.091644,152.66042,204.83937,final
2022-02-21,1,900396,BD10,55.0,10.581819,5.5672727,29.872726,18.176363,83.32727,31.62606,147.45355,150.46678,241.15964,final
2022-03-01,1,900396,BD10,55.0,4.2181816,8.970909,23.436363,21.085455,49.69091,36.322422,65.981255,109.01233,132.35165,final
2022-03-11,1,900396,BD10,55.0,4.072727,12.432727,18.872726,26.97091,51.127274,46.102425,52.04422,74.67015,109.83289,final
2022-03-21,1,900396,BD10,55.0,10.8,32.56606,19.090908,53.969696,59.399998,76.681816,42.059242,40.85303,78.84251,final
2022-04-01,1,900396,BD10,55.0,4.909091,35.45273,19.781818,80.451515,62.036366,110.69394,24.495483,29.001028,57.94285,final
2022-04-11,1,900396,BD10,55.0,14.290909,29.618181,30.0,97.63697,73.76364,139.18788,55.724792,34.100773,54.6257,final
2022-04-21,1,900396,BD10,55.0,32.18182,49.94,51.38182,115.01091,100.34546,187.15697,67.67714,46.98058,54.822605,final
2022-05-01,1,900396,BD10,55.0,49.927273,65.10667,96.4,144.66486,139.61818,246.20181,78.348145,67.75138,57.57052,final
2022-05-11,1,900396,BD10,55.0,52.272728,89.041214,134.38182,204.08788,183.25455,328.69577,60.90173,66.66184,56.41502,final
2022-05-21,1,900396,BD10,55.0,98.32727,115.21576,200.52727,269.36365,271.0,438.34424,85.95152,74.91053,62.25411,final
2022-06-01,1,900396,BD10,55.0,91.10909,122.22667,241.7091,326.48364,357.89093,551.6,75.541626,74.42573,65.19779,final
2022-06-11,1,900396,BD10,55.0,197.29091,156.1606,386.7273,393.60303,551.10913,695.3279,125.52132,98.27504,79.40697,final
2022-06-21,1,900396,BD10,55.0,98.472725,161.26909,386.8727,439.65637,638.7818,824.0309,62.23209,88.12933,77.65474,final
2022-07-01,1,900396,BD10,55.0,52.254547,183.39575,348.0182,500.82544,686.1273,971.97394,30.390572,69.79052,70.74164,final
2022-07-11,1,900396,BD10,55.0,52.345455,175.27213,203.07272,519.93695,724.18176,1117.6279,31.810495,39.63766,64.95311,final
2022-07-21,1,900396,BD10,55.0,90.181816,189.3503,194.78183,548.0182,782.1818,1257.0382,48.97436,36.125725,62.37385,final
2022-08-01,1,900396,BD10,55.0,128.6,133.75575,271.12726,498.37817,860.8546,1325.6873,96.2843,54.854836,65.06823,final
2022-08-11,1,900396,BD10,55.0,124.27273,148.9297,343.05457,472.03577,932.8546,1385.5758,83.98167,72.961945,67.44362,final
2022-08-21,1,900396,BD10,55.0,77.25455,138.77213,330.1273,421.45758,911.78174,1409.1321,57.21175,78.58397,64.829994,final
2022-09-01,1,900396,BD10,55.0,74.2,115.20424,275.7273,402.90607,894.87274,1402.1097,65.887856,68.821556,63.95185,final
2022-09-11,1,900396,BD10,55.0,177.09091,124.15939,328.54547,378.13574,874.6727,1370.1085,140.98154,87.05674,63.97115,final
2022-09-21,1,900396,BD10,55.0,41.036366,97.55515,292.32727,336.9188,817.23645,1306.3945,44.889374,86.95844,62.699394,final
2022-10-01,1,900396,BD10,55.0,207.27272,97.99515,425.4,319.7097,972.2545,1220.9939,206.09973,132.54916,79.711205,final
2022-10-11,1,900396,BD10,55.0,11.436363,54.654545,259.74545,250.20485,931.3454,1100.3763,27.552574,103.73842,84.70829,final
2022-10-21,1,900396,BD10,55.0,179.81818,40.47697,398.52725,193.12666,1020.9818,951.50305,406.39948,203.67136,107.263824,final
2022-11-01,1,900396,BD10,55.0,3.9818182,18.604242,195.23636,113.735756,896.36365,836.3515,38.051712,168.64032,107.13283,final
2022-11-11,1,900396,BD10,55.0,4.0363636,16.231516,187.83635,75.31273,776.12726,703.6533,42.561085,240.10683,110.227,final
2022-11-21,1,900396,BD10,55.0,3.909091,9.298182,11.927273,44.133938,702.7818,574.1794,62.309258,34.451286,122.20425,final
