date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
1981-01-01,1,900396,BD10,55.0,6.7454543,1.4406061,,,,,182.36568,,,final
1981-01-11,1,900396,BD10,55.0,1.709091,1.1242424,,,,,109.549736,,,final
1981-01-21,1,900396,BD10,55.0,3.1272728,1.9709091,11.581818,4.5357575,,,116.58842,173.89093,,final
1981-02-01,1,900396,BD10,55.0,14.763637,6.061818,19.6,9.15697,,,178.66536,173.76599,,final
1981-02-11,1,900396,BD10,55.0,1.8,6.5472727,19.690908,14.58,,,58.888363,126.1027,,final
1981-02-21,1,900396,BD10,55.0,1.5090909,5.5672727,18.072727,18.176363,,,61.5967,99.55284,,final
1981-03-01,1,900396,BD10,55.0,5.9636364,8.970909,9.272727,21.085455,,,78.474754,54.71527,,final
1981-03-11,1,900396,BD10,55.0,35.381817,12.432727,42.854546,26.97091,,,231.6437,149.68153,,final
1981-03-21,1,900396,BD10,55.0,60.49091,32.56606,101.836365,53.969696,131.4909,76.681816,174.33531,181.17165,167.10072,final
1981-04-01,1,900396,BD10,55.0,62.8,35.45273,158.67273,80.451515,187.54546,110.69394,167.60304,191.53871,166.42657,final
1981-04-11,1,900396,BD10,55.0,274.54544,29.618181,397.83636,97.63697,460.3818,139.18788,807.51056,392.48663,322.7607,final
1981-04-21,1,900396,BD10,55.0,46.963634,49.94,384.30905,115.01091,504.21814,187.15697,94.58252,324.3947,265.00113,final
1981-05-01,1,900396,BD10,55.0,31.872726,65.10667,353.38177,144.66486,521.3273,246.20181,52.59518,239.4562,209.52368,final
1981-05-11,1,900396,BD10,55.0,97.98182,89.041214,176.81818,204.08788,617.5091,328.69577,109.50712,86.95778,186.5499,final
1981-05-21,1,900396,BD10,55.0,193.85454,115.21576,323.7091,269.36365,809.85455,438.34424,165.4147,119.807816,183.79726,final
1981-06-01,1,900396,BD10,55.0,121.38182,122.22667,413.2182,326.48364,925.2727,551.6,99.33595,126.16556,167.13489,final
1981-06-11,1,900396,BD10,55.0,119.98182,156.1606,435.21817,393.60303,1009.87274,695.3279,77.5511,110.44024,144.91394,final
