Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Bangladesh,BGD,2023,Agricultural land (sq. km),AG.LND.AGRI.K2,93990
Bangladesh,BGD,2022,Agricultural land (sq. km),AG.LND.AGRI.K2,94270
Bangladesh,BGD,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,94180
Bangladesh,BGD,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,94300
Bangladesh,BGD,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,93970
Bangladesh,BGD,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,92023
Bangladesh,BGD,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,91873.3
Bangladesh,BGD,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,91942.1
Bangladesh,BGD,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,91622.4
Bangladesh,BGD,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,90990
Bangladesh,BGD,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,91080
Bangladesh,BGD,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,91200
Bangladesh,BGD,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,91280
Bangladesh,BGD,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,92410
Bangladesh,BGD,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,92460
Bangladesh,BGD,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,92530
Bangladesh,BGD,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,92660
Bangladesh,BGD,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,92800
Bangladesh,BGD,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,93110
Bangladesh,BGD,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,93230
Bangladesh,BGD,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,93280
Bangladesh,BGD,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,93530
Bangladesh,BGD,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,94030
Bangladesh,BGD,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,94000
Bangladesh,BGD,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,94860
Bangladesh,BGD,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,94340
Bangladesh,BGD,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,93650
Bangladesh,BGD,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,93270
Bangladesh,BGD,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,93740
Bangladesh,BGD,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,93580
Bangladesh,BGD,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,94460
Bangladesh,BGD,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,95490
Bangladesh,BGD,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,103200
Bangladesh,BGD,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,103860
Bangladesh,BGD,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,104430
Bangladesh,BGD,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,104270
Bangladesh,BGD,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,101150
Bangladesh,BGD,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,100410
Bangladesh,BGD,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,100270
Bangladesh,BGD,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,100600
Bangladesh,BGD,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,99640
Bangladesh,BGD,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,99780
Bangladesh,BGD,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,99810
Bangladesh,BGD,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,99870
Bangladesh,BGD,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,99830
Bangladesh,BGD,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,99870
Bangladesh,BGD,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,99910
Bangladesh,BGD,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,99980
Bangladesh,BGD,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,100040
Bangladesh,BGD,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,99890
Bangladesh,BGD,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,99890
Bangladesh,BGD,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,99910
Bangladesh,BGD,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,96950
Bangladesh,BGD,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,96970
Bangladesh,BGD,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,96750
Bangladesh,BGD,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,96690
Bangladesh,BGD,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,96950
Bangladesh,BGD,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,96500
Bangladesh,BGD,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,96370
Bangladesh,BGD,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,95200
Bangladesh,BGD,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,94800
Bangladesh,BGD,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,94770
Bangladesh,BGD,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,94800
Bangladesh,BGD,2023,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.311124788429
Bangladesh,BGD,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.3706433287272
Bangladesh,BGD,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.3515402934624
Bangladesh,BGD,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.4437274333564
Bangladesh,BGD,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.1902127986479
Bangladesh,BGD,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.694476453868
Bangladesh,BGD,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.5794729968503
Bangladesh,BGD,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.6323269570562
Bangladesh,BGD,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3867250518553
Bangladesh,BGD,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.900898824614
Bangladesh,BGD,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.9700391795345
Bangladesh,BGD,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0622263194284
Bangladesh,BGD,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1236844126911
Bangladesh,BGD,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9917799800261
Bangladesh,BGD,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0301912883153
Bangladesh,BGD,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0839671199201
Bangladesh,BGD,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1838365214719
Bangladesh,BGD,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2913881846816
Bangladesh,BGD,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.5295382960744
Bangladesh,BGD,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.6217254359684
Bangladesh,BGD,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.6601367442575
Bangladesh,BGD,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.8521932857033
Bangladesh,BGD,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.2363063685949
Bangladesh,BGD,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.2132595836214
Bangladesh,BGD,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.873934086195
Bangladesh,BGD,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.4744564799877
Bangladesh,BGD,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.9443804255973
