Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Bangladesh,BGD,2023,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.311124788429
Bangladesh,BGD,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.3706433287272
Bangladesh,BGD,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.3515402934624
Bangladesh,BGD,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.4437274333564
Bangladesh,BGD,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.1902127986479
Bangladesh,BGD,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.694476453868
Bangladesh,BGD,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.5794729968503
Bangladesh,BGD,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.6323269570562
Bangladesh,BGD,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3867250518553
Bangladesh,BGD,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.900898824614
Bangladesh,BGD,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.9700391795345
Bangladesh,BGD,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0622263194284
Bangladesh,BGD,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1236844126911
Bangladesh,BGD,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.9917799800261
Bangladesh,BGD,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0301912883153
Bangladesh,BGD,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0839671199201
Bangladesh,BGD,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1838365214719
Bangladesh,BGD,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2913881846816
Bangladesh,BGD,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.5295382960744
Bangladesh,BGD,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.6217254359684
Bangladesh,BGD,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.6601367442575
Bangladesh,BGD,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.8521932857033
Bangladesh,BGD,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.2363063685949
Bangladesh,BGD,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.2132595836214
Bangladesh,BGD,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.873934086195
Bangladesh,BGD,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.4744564799877
Bangladesh,BGD,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.9443804255973
Bangladesh,BGD,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.6524544825997
Bangladesh,BGD,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.0135207805178
Bangladesh,BGD,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.8906045939925
Bangladesh,BGD,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.5666436198817
Bangladesh,BGD,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.3579165706384
Bangladesh,BGD,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.2809403088269
Bangladesh,BGD,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.7879695782438
Bangladesh,BGD,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.2258584927403
Bangladesh,BGD,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,80.102942306215
Bangladesh,BGD,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.7060766689713
Bangladesh,BGD,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.1375893062918
Bangladesh,BGD,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.0300376430821
Bangladesh,BGD,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.2835522777906
Bangladesh,BGD,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.5460551586387
Bangladesh,BGD,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.6536068218484
Bangladesh,BGD,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.6766536068218
Bangladesh,BGD,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7227471767688
Bangladesh,BGD,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.6920181301375
Bangladesh,BGD,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7227471767688
Bangladesh,BGD,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7534762234002
Bangladesh,BGD,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.807252055005
Bangladesh,BGD,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.853345624952
Bangladesh,BGD,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7381117000845
Bangladesh,BGD,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7381117000845
Bangladesh,BGD,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7534762234002
Bangladesh,BGD,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.4795267726819
Bangladesh,BGD,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.4948912959975
Bangladesh,BGD,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.3258815395252
Bangladesh,BGD,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.2797879695783
Bangladesh,BGD,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.4795267726819
Bangladesh,BGD,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.1338249980794
Bangladesh,BGD,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.0339555965276
Bangladesh,BGD,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.1351309825613
Bangladesh,BGD,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.827840516248
Bangladesh,BGD,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.8047937312745
Bangladesh,BGD,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.827840516248
Bangladesh,BGD,2023,Arable land (% of land area),AG.LND.ARBL.ZS,60.6277888905986
Bangladesh,BGD,2022,Arable land (% of land area),AG.LND.ARBL.ZS,60.7838169814218
Bangladesh,BGD,2021,Arable land (% of land area),AG.LND.ARBL.ZS,60.4908965199355
Bangladesh,BGD,2020,Arable land (% of land area),AG.LND.ARBL.ZS,60.613044480295
Bangladesh,BGD,2019,Arable land (% of land area),AG.LND.ARBL.ZS,60.3595298455865
Bangladesh,BGD,2018,Arable land (% of land area),AG.LND.ARBL.ZS,59.7088422831682
Bangladesh,BGD,2017,Arable land (% of land area),AG.LND.ARBL.ZS,59.8243066758854
Bangladesh,BGD,2016,Arable land (% of land area),AG.LND.ARBL.ZS,59.8771606360913
Bangladesh,BGD,2015,Arable land (% of land area),AG.LND.ARBL.ZS,59.6315587308904
Bangladesh,BGD,2014,Arable land (% of land area),AG.LND.ARBL.ZS,59.1457325036491
Bangladesh,BGD,2013,Arable land (% of land area),AG.LND.ARBL.ZS,59.2916954751479
Bangladesh,BGD,2012,Arable land (% of land area),AG.LND.ARBL.ZS,60.3441653222709
Bangladesh,BGD,2011,Arable land (% of land area),AG.LND.ARBL.ZS,60.4056234155335
Bangladesh,BGD,2010,Arable land (% of land area),AG.LND.ARBL.ZS,61.2737189828686
Bangladesh,BGD,2009,Arable land (% of land area),AG.LND.ARBL.ZS,61.3735883844204
Bangladesh,BGD,2008,Arable land (% of land area),AG.LND.ARBL.ZS,61.48114004763
Bangladesh,BGD,2007,Arable land (% of land area),AG.LND.ARBL.ZS,61.5810094491818
Bangladesh,BGD,2006,Arable land (% of land area),AG.LND.ARBL.ZS,62.0726741952831
Bangladesh,BGD,2005,Arable land (% of land area),AG.LND.ARBL.ZS,62.3108243066759
Bangladesh,BGD,2004,Arable land (% of land area),AG.LND.ARBL.ZS,62.5566566797265
Bangladesh,BGD,2003,Arable land (% of land area),AG.LND.ARBL.ZS,63.2096489206422
Bangladesh,BGD,2002,Arable land (% of land area),AG.LND.ARBL.ZS,63.401705462088
Bangladesh,BGD,2001,Arable land (% of land area),AG.LND.ARBL.ZS,63.7858185449796
Bangladesh,BGD,2000,Arable land (% of land area),AG.LND.ARBL.ZS,64.1468848428977
Bangladesh,BGD,1999,Arable land (% of land area),AG.LND.ARBL.ZS,64.8075593454713
Bangladesh,BGD,1998,Arable land (% of land area),AG.LND.ARBL.ZS,64.9458400553123
Bangladesh,BGD,1997,Arable land (% of land area),AG.LND.ARBL.ZS,64.454175309211
Bangladesh,BGD,1996,Arable land (% of land area),AG.LND.ARBL.ZS,64.2006606745026
Bangladesh,BGD,1995,Arable land (% of land area),AG.LND.ARBL.ZS,64.5617269724207
Bangladesh,BGD,1994,Arable land (% of land area),AG.LND.ARBL.ZS,64.592456019052
Bangladesh,BGD,1993,Arable land (% of land area),AG.LND.ARBL.ZS,65.3453176615196
Bangladesh,BGD,1992,Arable land (% of land area),AG.LND.ARBL.ZS,66.1365906122763
Bangladesh,BGD,1991,Arable land (% of land area),AG.LND.ARBL.ZS,72.0980256587539
Bangladesh,BGD,1990,Arable land (% of land area),AG.LND.ARBL.ZS,72.64346623646
Bangladesh,BGD,1989,Arable land (% of land area),AG.LND.ARBL.ZS,73.3886456172697
Bangladesh,BGD,1988,Arable land (% of land area),AG.LND.ARBL.ZS,73.2657294307444
Bangladesh,BGD,1987,Arable land (% of land area),AG.LND.ARBL.ZS,70.9456864100791
Bangladesh,BGD,1986,Arable land (% of land area),AG.LND.ARBL.ZS,70.3771990473996
Bangladesh,BGD,1985,Arable land (% of land area),AG.LND.ARBL.ZS,70.3080586924791
Bangladesh,BGD,1984,Arable land (% of land area),AG.LND.ARBL.ZS,70.5615733271875
Bangladesh,BGD,1983,Arable land (% of land area),AG.LND.ARBL.ZS,69.8240762080356
Bangladesh,BGD,1982,Arable land (% of land area),AG.LND.ARBL.ZS,69.9393101329031
Bangladesh,BGD,1981,Arable land (% of land area),AG.LND.ARBL.ZS,69.9777214411923
Bangladesh,BGD,1980,Arable land (% of land area),AG.LND.ARBL.ZS,70.0699085810863
Bangladesh,BGD,1979,Arable land (% of land area),AG.LND.ARBL.ZS,70.0468617961128
Bangladesh,BGD,1978,Arable land (% of land area),AG.LND.ARBL.ZS,70.1006376277176
Bangladesh,BGD,1977,Arable land (% of land area),AG.LND.ARBL.ZS,70.1467311976646
Bangladesh,BGD,1976,Arable land (% of land area),AG.LND.ARBL.ZS,70.2005070292694
Bangladesh,BGD,1975,Arable land (% of land area),AG.LND.ARBL.ZS,70.2466005992164
Bangladesh,BGD,1974,Arable land (% of land area),AG.LND.ARBL.ZS,70.1467311976646
Bangladesh,BGD,1973,Arable land (% of land area),AG.LND.ARBL.ZS,70.1467311976646
Bangladesh,BGD,1972,Arable land (% of land area),AG.LND.ARBL.ZS,70.1620957209803
Bangladesh,BGD,1971,Arable land (% of land area),AG.LND.ARBL.ZS,67.888146270262
Bangladesh,BGD,1970,Arable land (% of land area),AG.LND.ARBL.ZS,67.888146270262
Bangladesh,BGD,1969,Arable land (% of land area),AG.LND.ARBL.ZS,67.6807252055005
Bangladesh,BGD,1968,Arable land (% of land area),AG.LND.ARBL.ZS,67.8266881769993
Bangladesh,BGD,1967,Arable land (% of land area),AG.LND.ARBL.ZS,67.934239840209
Bangladesh,BGD,1966,Arable land (% of land area),AG.LND.ARBL.ZS,67.5885380656065
Bangladesh,BGD,1965,Arable land (% of land area),AG.LND.ARBL.ZS,67.427210570792
Bangladesh,BGD,1964,Arable land (% of land area),AG.LND.ARBL.ZS,66.374740723669
Bangladesh,BGD,1963,Arable land (% of land area),AG.LND.ARBL.ZS,66.1058615656449
Bangladesh,BGD,1962,Arable land (% of land area),AG.LND.ARBL.ZS,66.0444034723823
Bangladesh,BGD,1961,Arable land (% of land area),AG.LND.ARBL.ZS,66.1058615656449
Bangladesh,BGD,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,14600.8643894
Bangladesh,BGD,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,15196.240324
Bangladesh,BGD,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,15854.7592761
Bangladesh,BGD,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,10.7123873680445
Bangladesh,BGD,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,11.1492038106136
Bangladesh,BGD,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,11.6323471311682
Bangladesh,BGD,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,7024.52142433
Bangladesh,BGD,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,6429.14548963
Bangladesh,BGD,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,5770.626537634
Bangladesh,BGD,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,5.15376299414032
Bangladesh,BGD,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,4.7169465514944
Bangladesh,BGD,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,4.23380323101328
Bangladesh,BGD,2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,15.8661503621848
Bangladesh,BGD,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,15.866150362108
Bangladesh,BGD,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,15.8661503621815
Bangladesh,BGD,2023,Forest area (sq. km),AG.LND.FRST.K2,18834
Bangladesh,BGD,2022,Forest area (sq. km),AG.LND.FRST.K2,18834
Bangladesh,BGD,2021,Forest area (sq. km),AG.LND.FRST.K2,18834
Bangladesh,BGD,2020,Forest area (sq. km),AG.LND.FRST.K2,18834
Bangladesh,BGD,2019,Forest area (sq. km),AG.LND.FRST.K2,18834
Bangladesh,BGD,2018,Forest area (sq. km),AG.LND.FRST.K2,18834
Bangladesh,BGD,2017,Forest area (sq. km),AG.LND.FRST.K2,18834
Bangladesh,BGD,2016,Forest area (sq. km),AG.LND.FRST.K2,18834
Bangladesh,BGD,2015,Forest area (sq. km),AG.LND.FRST.K2,18834
Bangladesh,BGD,2014,Forest area (sq. km),AG.LND.FRST.K2,18843.884
Bangladesh,BGD,2013,Forest area (sq. km),AG.LND.FRST.K2,18853.768
Bangladesh,BGD,2012,Forest area (sq. km),AG.LND.FRST.K2,18863.652
Bangladesh,BGD,2011,Forest area (sq. km),AG.LND.FRST.K2,18873.536
Bangladesh,BGD,2010,Forest area (sq. km),AG.LND.FRST.K2,18883.42
Bangladesh,BGD,2009,Forest area (sq. km),AG.LND.FRST.K2,18915.406
Bangladesh,BGD,2008,Forest area (sq. km),AG.LND.FRST.K2,18947.393
Bangladesh,BGD,2007,Forest area (sq. km),AG.LND.FRST.K2,18979.379
Bangladesh,BGD,2006,Forest area (sq. km),AG.LND.FRST.K2,19011.365
Bangladesh,BGD,2005,Forest area (sq. km),AG.LND.FRST.K2,19043.351
Bangladesh,BGD,2004,Forest area (sq. km),AG.LND.FRST.K2,19075.337
Bangladesh,BGD,2003,Forest area (sq. km),AG.LND.FRST.K2,19107.323
Bangladesh,BGD,2002,Forest area (sq. km),AG.LND.FRST.K2,19139.309
Bangladesh,BGD,2001,Forest area (sq. km),AG.LND.FRST.K2,19171.295
Bangladesh,BGD,2000,Forest area (sq. km),AG.LND.FRST.K2,19203.281
Bangladesh,BGD,1999,Forest area (sq. km),AG.LND.FRST.K2,19203.283
Bangladesh,BGD,1998,Forest area (sq. km),AG.LND.FRST.K2,19203.285
Bangladesh,BGD,1997,Forest area (sq. km),AG.LND.FRST.K2,19203.287
Bangladesh,BGD,1996,Forest area (sq. km),AG.LND.FRST.K2,19203.289
Bangladesh,BGD,1995,Forest area (sq. km),AG.LND.FRST.K2,19203.29
Bangladesh,BGD,1994,Forest area (sq. km),AG.LND.FRST.K2,19203.292
Bangladesh,BGD,1993,Forest area (sq. km),AG.LND.FRST.K2,19203.294
Bangladesh,BGD,1992,Forest area (sq. km),AG.LND.FRST.K2,19203.296
Bangladesh,BGD,1991,Forest area (sq. km),AG.LND.FRST.K2,19203.298
Bangladesh,BGD,1990,Forest area (sq. km),AG.LND.FRST.K2,19203.3
Bangladesh,BGD,2023,Forest area (% of land area),AG.LND.FRST.ZS,14.4899215263887
Bangladesh,BGD,2022,Forest area (% of land area),AG.LND.FRST.ZS,14.458774758176
Bangladesh,BGD,2021,Forest area (% of land area),AG.LND.FRST.ZS,14.4687716063609
Bangladesh,BGD,2020,Forest area (% of land area),AG.LND.FRST.ZS,14.4687716063609
Bangladesh,BGD,2019,Forest area (% of land area),AG.LND.FRST.ZS,14.4687716063609
Bangladesh,BGD,2018,Forest area (% of land area),AG.LND.FRST.ZS,14.4687716063609
Bangladesh,BGD,2017,Forest area (% of land area),AG.LND.FRST.ZS,14.4687716063609
Bangladesh,BGD,2016,Forest area (% of land area),AG.LND.FRST.ZS,14.4687716063609
Bangladesh,BGD,2015,Forest area (% of land area),AG.LND.FRST.ZS,14.4687716063609
Bangladesh,BGD,2014,Forest area (% of land area),AG.LND.FRST.ZS,14.4763647537835
Bangladesh,BGD,2013,Forest area (% of land area),AG.LND.FRST.ZS,14.4839579012061
Bangladesh,BGD,2012,Forest area (% of land area),AG.LND.FRST.ZS,14.4915510486287
Bangladesh,BGD,2011,Forest area (% of land area),AG.LND.FRST.ZS,14.4991441960513
Bangladesh,BGD,2010,Forest area (% of land area),AG.LND.FRST.ZS,14.5067373434739
Bangladesh,BGD,2009,Forest area (% of land area),AG.LND.FRST.ZS,14.5313098256127
Bangladesh,BGD,2008,Forest area (% of land area),AG.LND.FRST.ZS,14.5558830759776
Bangladesh,BGD,2007,Forest area (% of land area),AG.LND.FRST.ZS,14.5804555581163
Bangladesh,BGD,2006,Forest area (% of land area),AG.LND.FRST.ZS,14.6050280402551
Bangladesh,BGD,2005,Forest area (% of land area),AG.LND.FRST.ZS,14.6296005223938
Bangladesh,BGD,2004,Forest area (% of land area),AG.LND.FRST.ZS,14.6541730045325
Bangladesh,BGD,2003,Forest area (% of land area),AG.LND.FRST.ZS,14.6787454866713
Bangladesh,BGD,2002,Forest area (% of land area),AG.LND.FRST.ZS,14.70331796881
Bangladesh,BGD,2001,Forest area (% of land area),AG.LND.FRST.ZS,14.7278904509488
Bangladesh,BGD,2000,Forest area (% of land area),AG.LND.FRST.ZS,14.7524629330875
Bangladesh,BGD,1999,Forest area (% of land area),AG.LND.FRST.ZS,14.7524644695398
Bangladesh,BGD,1998,Forest area (% of land area),AG.LND.FRST.ZS,14.7524660059922
Bangladesh,BGD,1997,Forest area (% of land area),AG.LND.FRST.ZS,14.7524675424445
Bangladesh,BGD,1996,Forest area (% of land area),AG.LND.FRST.ZS,14.7524690788968
Bangladesh,BGD,1995,Forest area (% of land area),AG.LND.FRST.ZS,14.752469847123
Bangladesh,BGD,1994,Forest area (% of land area),AG.LND.FRST.ZS,14.7524713835753
Bangladesh,BGD,1993,Forest area (% of land area),AG.LND.FRST.ZS,14.7524729200277
Bangladesh,BGD,1992,Forest area (% of land area),AG.LND.FRST.ZS,14.75247445648
Bangladesh,BGD,1991,Forest area (% of land area),AG.LND.FRST.ZS,14.7524759929323
Bangladesh,BGD,1990,Forest area (% of land area),AG.LND.FRST.ZS,14.7524775293847
