Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Bagerhat,22.6602436,89.7895478,18.8,0.0,9.3,200.31,139.35,200.96
2023-01-02,Bagerhat,22.6602436,89.7895478,18.7,0.0,9.5,149.74,103.52,185.21
2023-01-03,Bagerhat,22.6602436,89.7895478,18.1,0.0,13.6,113.36,78.12,169.21
2023-01-04,Bagerhat,22.6602436,89.7895478,17.3,0.0,14.2,89.31,62.1,157.08
2023-01-05,Bagerhat,22.6602436,89.7895478,16.6,0.0,14.7,106.07,74.0,157.46
2023-01-06,Bagerhat,22.6602436,89.7895478,16.2,0.0,12.1,88.45,61.73,156.33
2023-01-07,Bagerhat,22.6602436,89.7895478,15.7,0.0,10.5,86.86,60.57,152.29
2023-01-08,Bagerhat,22.6602436,89.7895478,17.0,0.0,8.6,77.3,53.99,152.54
2023-01-09,Bagerhat,22.6602436,89.7895478,18.7,0.0,10.0,68.75,48.04,129.88
2023-01-10,Bagerhat,22.6602436,89.7895478,18.4,0.0,9.6,83.79,58.47,142.96
2023-01-11,Bagerhat,22.6602436,89.7895478,17.4,0.0,9.6,129.64,90.45,158.46
2023-01-12,Bagerhat,22.6602436,89.7895478,16.6,0.0,7.4,145.6,101.18,172.12
2023-01-13,Bagerhat,22.6602436,89.7895478,18.6,0.0,8.6,157.93,108.54,179.67
2023-01-14,Bagerhat,22.6602436,89.7895478,20.3,0.3,9.9,121.93,82.51,165.62
2023-01-15,Bagerhat,22.6602436,89.7895478,20.8,0.0,13.3,135.74,93.35,172.12
2023-01-16,Bagerhat,22.6602436,89.7895478,19.2,0.0,12.7,119.96,82.87,163.58
2023-01-17,Bagerhat,22.6602436,89.7895478,18.2,0.0,11.0,127.69,88.8,165.67
2023-01-18,Bagerhat,22.6602436,89.7895478,18.3,0.0,10.0,148.24,103.17,170.71
2023-01-19,Bagerhat,22.6602436,89.7895478,17.8,0.0,11.7,159.47,110.62,178.71
2023-01-20,Bagerhat,22.6602436,89.7895478,17.0,0.0,11.7,152.68,105.68,177.62
2023-01-21,Bagerhat,22.6602436,89.7895478,17.4,0.0,11.7,175.28,121.53,179.58
2023-01-22,Bagerhat,22.6602436,89.7895478,19.2,0.0,9.4,201.7,140.26,190.33
2023-01-23,Bagerhat,22.6602436,89.7895478,20.7,0.0,10.0,229.86,160.25,201.75
2023-01-24,Bagerhat,22.6602436,89.7895478,22.0,0.0,9.2,221.93,154.9,212.0
2023-01-25,Bagerhat,22.6602436,89.7895478,21.4,0.0,8.2,210.96,147.18,194.42
2023-01-26,Bagerhat,22.6602436,89.7895478,22.4,0.0,8.3,243.54,170.18,222.25
2023-01-27,Bagerhat,22.6602436,89.7895478,22.1,0.0,11.4,165.26,115.0,200.71
2023-01-28,Bagerhat,22.6602436,89.7895478,21.7,0.0,12.0,114.77,79.8,166.62
2023-01-29,Bagerhat,22.6602436,89.7895478,20.2,0.0,11.8,89.8,62.18,158.46
2023-01-30,Bagerhat,22.6602436,89.7895478,20.2,0.0,8.8,121.44,83.82,157.92
2023-01-31,Bagerhat,22.6602436,89.7895478,22.2,0.0,10.6,138.14,96.22,169.88
2023-02-01,Bagerhat,22.6602436,89.7895478,21.4,0.0,15.4,99.92,69.33,165.29
2023-02-02,Bagerhat,22.6602436,89.7895478,20.1,0.0,15.6,67.45,46.3,140.21
2023-02-03,Bagerhat,22.6602436,89.7895478,18.8,0.0,10.8,88.19,61.51,145.58
2023-02-04,Bagerhat,22.6602436,89.7895478,19.5,0.0,11.1,112.57,78.52,157.79
2023-02-05,Bagerhat,22.6602436,89.7895478,20.2,0.0,8.7,124.98,86.55,164.92
2023-02-06,Bagerhat,22.6602436,89.7895478,20.6,0.0,11.6,118.25,81.55,167.5
2023-02-07,Bagerhat,22.6602436,89.7895478,21.6,0.0,15.5,69.69,45.36,146.83
2023-02-08,Bagerhat,22.6602436,89.7895478,23.4,0.1,15.3,45.85,29.16,100.08
2023-02-09,Bagerhat,22.6602436,89.7895478,23.9,0.2,12.5,71.01,48.05,101.46
2023-02-10,Bagerhat,22.6602436,89.7895478,22.9,0.0,11.2,106.35,73.91,154.83
2023-02-11,Bagerhat,22.6602436,89.7895478,23.2,0.0,13.3,96.73,66.4,159.67
2023-02-12,Bagerhat,22.6602436,89.7895478,24.7,0.1,10.2,67.0,45.09,128.75
2023-02-13,Bagerhat,22.6602436,89.7895478,21.8,0.0,13.4,51.02,34.39,121.25
2023-02-14,Bagerhat,22.6602436,89.7895478,19.8,0.0,10.6,57.55,39.78,100.0
2023-02-15,Bagerhat,22.6602436,89.7895478,20.1,0.0,9.4,88.33,61.4,139.04
2023-02-16,Bagerhat,22.6602436,89.7895478,20.8,0.0,11.5,95.32,65.5,155.46
2023-02-17,Bagerhat,22.6602436,89.7895478,23.1,0.0,11.1,82.86,53.39,152.33
