Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Bandarban,21.8311002,92.3686321,15.4,0.0,9.2,53.09,36.26,134.83
2023-01-02,Bandarban,21.8311002,92.3686321,15.3,0.0,7.9,39.09,26.62,88.38
2023-01-03,Bandarban,21.8311002,92.3686321,15.5,0.0,6.7,33.95,23.4,79.33
2023-01-04,Bandarban,21.8311002,92.3686321,15.9,0.0,7.9,30.61,21.21,71.46
2023-01-05,Bandarban,21.8311002,92.3686321,16.1,0.0,8.9,28.61,19.84,69.58
2023-01-06,Bandarban,21.8311002,92.3686321,15.7,0.0,6.9,35.48,24.68,68.54
2023-01-07,Bandarban,21.8311002,92.3686321,15.9,0.0,7.6,41.7,29.1,83.38
2023-01-08,Bandarban,21.8311002,92.3686321,17.0,0.1,7.9,39.02,27.21,87.88
2023-01-09,Bandarban,21.8311002,92.3686321,18.2,0.0,6.1,23.41,16.25,68.04
2023-01-10,Bandarban,21.8311002,92.3686321,17.9,0.0,7.9,23.08,16.02,57.58
2023-01-11,Bandarban,21.8311002,92.3686321,16.9,0.0,7.9,34.43,23.98,65.5
2023-01-12,Bandarban,21.8311002,92.3686321,15.5,0.0,6.2,53.45,37.03,86.58
2023-01-13,Bandarban,21.8311002,92.3686321,15.5,0.0,7.9,55.93,38.73,119.5
2023-01-14,Bandarban,21.8311002,92.3686321,16.4,0.0,8.2,48.85,33.72,91.88
2023-01-15,Bandarban,21.8311002,92.3686321,16.9,0.0,9.6,50.16,34.45,98.46
2023-01-16,Bandarban,21.8311002,92.3686321,15.8,0.0,11.3,62.61,43.22,107.92
2023-01-17,Bandarban,21.8311002,92.3686321,15.2,0.0,9.3,80.27,55.6,129.5
2023-01-18,Bandarban,21.8311002,92.3686321,15.5,0.0,13.0,89.01,61.95,152.5
2023-01-19,Bandarban,21.8311002,92.3686321,14.9,0.0,11.6,74.63,51.85,151.25
2023-01-20,Bandarban,21.8311002,92.3686321,14.9,0.0,9.0,46.15,31.99,115.96
2023-01-21,Bandarban,21.8311002,92.3686321,15.8,0.0,9.1,34.97,24.03,83.92
