Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Barguna,22.0952915,90.1120696,19.5,0.0,10.5,177.96,123.2,187.96
2023-01-02,Barguna,22.0952915,90.1120696,19.5,0.0,10.2,138.3,95.16,178.54
2023-01-03,Barguna,22.0952915,90.1120696,19.1,0.0,14.4,118.62,81.29,167.58
2023-01-04,Barguna,22.0952915,90.1120696,18.2,0.0,14.8,86.49,59.79,157.25
2023-01-05,Barguna,22.0952915,90.1120696,17.8,0.0,17.2,86.0,59.85,152.29
2023-01-06,Barguna,22.0952915,90.1120696,17.0,0.0,15.1,81.65,56.81,152.12
2023-01-07,Barguna,22.0952915,90.1120696,16.4,0.0,12.0,78.04,54.18,148.54
2023-01-08,Barguna,22.0952915,90.1120696,16.3,0.0,11.1,70.08,48.8,142.71
2023-01-09,Barguna,22.0952915,90.1120696,19.2,0.0,10.5,61.72,43.09,119.17
2023-01-10,Barguna,22.0952915,90.1120696,19.5,0.0,11.2,68.1,47.43,127.67
2023-01-11,Barguna,22.0952915,90.1120696,18.4,0.0,11.3,101.49,70.74,145.58
2023-01-12,Barguna,22.0952915,90.1120696,17.6,0.0,10.4,125.25,86.85,164.29
2023-01-13,Barguna,22.0952915,90.1120696,19.2,0.0,12.7,118.19,80.8,164.04
2023-01-14,Barguna,22.0952915,90.1120696,20.7,0.0,11.6,96.72,62.36,160.12
2023-01-15,Barguna,22.0952915,90.1120696,21.4,0.6,10.8,71.97,48.02,138.92
2023-01-16,Barguna,22.0952915,90.1120696,20.3,0.0,12.4,100.2,68.4,147.62
2023-01-17,Barguna,22.0952915,90.1120696,19.4,0.0,10.2,126.75,87.65,161.96
2023-01-18,Barguna,22.0952915,90.1120696,19.3,0.0,10.6,141.22,98.11,168.83
2023-01-19,Barguna,22.0952915,90.1120696,18.8,0.0,13.3,162.14,112.52,177.08
2023-01-20,Barguna,22.0952915,90.1120696,17.8,0.0,14.2,139.88,96.47,176.5
2023-01-21,Barguna,22.0952915,90.1120696,18.3,0.0,13.4,134.52,92.7,171.0
2023-01-22,Barguna,22.0952915,90.1120696,20.4,0.0,10.5,137.47,95.15,169.46
2023-01-23,Barguna,22.0952915,90.1120696,21.4,0.0,11.2,153.2,106.3,172.5
2023-01-24,Barguna,22.0952915,90.1120696,22.5,0.0,12.1,181.42,126.37,180.21
2023-01-25,Barguna,22.0952915,90.1120696,22.1,0.0,10.9,170.75,118.61,188.21
2023-01-26,Barguna,22.0952915,90.1120696,22.6,0.0,11.0,184.58,128.76,184.46
2023-01-27,Barguna,22.0952915,90.1120696,22.8,0.0,14.5,124.52,86.55,180.21
2023-01-28,Barguna,22.0952915,90.1120696,22.6,0.0,15.6,92.42,63.92,159.0
2023-01-29,Barguna,22.0952915,90.1120696,21.3,0.0,15.5,86.55,59.9,155.08
2023-01-30,Barguna,22.0952915,90.1120696,21.2,0.0,9.5,97.6,66.8,152.33
2023-01-31,Barguna,22.0952915,90.1120696,22.7,0.0,10.9,110.78,76.66,158.42
2023-02-01,Barguna,22.0952915,90.1120696,23.0,0.0,16.9,98.26,68.2,160.75
2023-02-02,Barguna,22.0952915,90.1120696,21.7,0.0,18.0,55.4,37.8,134.21
2023-02-03,Barguna,22.0952915,90.1120696,19.6,0.0,12.6,73.35,50.86,121.38
2023-02-04,Barguna,22.0952915,90.1120696,20.4,0.0,14.3,88.25,61.41,148.88
2023-02-05,Barguna,22.0952915,90.1120696,21.0,0.0,11.5,96.06,66.4,157.08
2023-02-06,Barguna,22.0952915,90.1120696,21.4,0.0,16.4,87.18,59.04,155.88
2023-02-07,Barguna,22.0952915,90.1120696,22.3,0.4,17.1,69.24,40.57,147.12
2023-02-08,Barguna,22.0952915,90.1120696,23.2,0.0,17.3,55.82,32.12,100.54
2023-02-09,Barguna,22.0952915,90.1120696,23.1,0.1,11.8,53.47,33.22,92.62
2023-02-10,Barguna,22.0952915,90.1120696,23.3,0.0,14.5,70.53,46.89,112.29
2023-02-11,Barguna,22.0952915,90.1120696,23.2,0.0,15.7,72.35,47.07,143.75
2023-02-12,Barguna,22.0952915,90.1120696,24.2,0.1,14.6,56.79,34.28,110.38
2023-02-13,Barguna,22.0952915,90.1120696,23.0,0.0,17.0,45.3,29.46,92.62
2023-02-14,Barguna,22.0952915,90.1120696,20.9,0.0,10.8,51.59,34.73,102.83
2023-02-15,Barguna,22.0952915,90.1120696,21.5,0.0,16.7,64.61,43.9,121.17
2023-02-16,Barguna,22.0952915,90.1120696,22.1,0.0,15.9,70.91,46.11,141.08
2023-02-17,Barguna,22.0952915,90.1120696,22.7,0.0,16.1,64.27,39.38,128.88
2023-02-18,Barguna,22.0952915,90.1120696,23.4,0.0,14.8,65.13,40.0,115.67
2023-02-19,Barguna,22.0952915,90.1120696,23.6,0.0,13.7,53.48,32.78,98.67
2023-02-20,Barguna,22.0952915,90.1120696,24.0,0.0,14.6,54.46,34.01,96.88
2023-02-21,Barguna,22.0952915,90.1120696,24.8,0.0,18.6,49.19,29.58,90.33
2023-02-22,Barguna,22.0952915,90.1120696,25.1,0.0,20.3,63.48,38.97,99.08
2023-02-23,Barguna,22.0952915,90.1120696,25.5,0.3,23.2,63.09,37.35,107.79
2023-02-24,Barguna,22.0952915,90.1120696,25.1,0.0,14.7,65.14,39.1,105.21
2023-02-25,Barguna,22.0952915,90.1120696,26.0,0.2,11.6,68.82,44.62,112.67
2023-02-26,Barguna,22.0952915,90.1120696,25.9,0.0,13.4,75.85,51.82,139.0
2023-02-27,Barguna,22.0952915,90.1120696,25.5,0.0,16.5,79.2,53.62,141.67
2023-02-28,Barguna,22.0952915,90.1120696,25.4,0.0,16.9,48.43,31.12,118.75
2023-03-01,Barguna,22.0952915,90.1120696,25.7,0.0,12.9,60.45,40.82,113.5
2023-03-02,Barguna,22.0952915,90.1120696,26.3,0.0,9.5,55.05,37.62,127.08
2023-03-03,Barguna,22.0952915,90.1120696,26.5,0.0,12.3,52.91,36.07,126.29
2023-03-04,Barguna,22.0952915,90.1120696,27.6,0.0,13.2,57.6,39.19,123.25
2023-03-05,Barguna,22.0952915,90.1120696,27.4,0.0,10.4,75.19,51.6,139.29
2023-03-06,Barguna,22.0952915,90.1120696,27.5,0.0,11.2,59.46,40.15,140.92
2023-03-07,Barguna,22.0952915,90.1120696,26.8,0.0,15.8,49.09,33.42,133.38
