Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Barisal,22.7029212,90.3465971,19.1,0.0,10.9,172.7,119.92,193.38
2023-01-02,Barisal,22.7029212,90.3465971,19.3,0.0,9.2,142.06,98.44,178.42
2023-01-03,Barisal,22.7029212,90.3465971,18.9,0.0,11.9,121.23,83.62,170.62
2023-01-04,Barisal,22.7029212,90.3465971,18.1,0.0,13.4,89.14,61.96,156.92
2023-01-05,Barisal,22.7029212,90.3465971,17.7,0.0,16.5,85.08,59.28,152.79
2023-01-06,Barisal,22.7029212,90.3465971,16.8,0.0,14.2,77.88,54.25,150.62
2023-01-07,Barisal,22.7029212,90.3465971,16.3,0.0,10.9,76.36,53.22,143.88
2023-01-08,Barisal,22.7029212,90.3465971,17.8,0.0,9.3,75.12,52.44,146.33
2023-01-09,Barisal,22.7029212,90.3465971,19.5,0.0,10.9,74.62,52.1,137.46
2023-01-10,Barisal,22.7029212,90.3465971,19.5,0.0,11.2,77.95,54.36,147.58
2023-01-11,Barisal,22.7029212,90.3465971,18.2,0.0,9.0,110.75,77.3,152.92
2023-01-12,Barisal,22.7029212,90.3465971,17.5,0.0,7.6,141.73,98.45,168.04
2023-01-13,Barisal,22.7029212,90.3465971,19.3,0.0,9.4,160.19,111.24,176.96
2023-01-14,Barisal,22.7029212,90.3465971,20.5,1.1,14.3,131.11,88.42,172.04
2023-01-15,Barisal,22.7029212,90.3465971,20.6,1.9,14.5,145.93,100.53,174.25
2023-01-16,Barisal,22.7029212,90.3465971,19.5,0.0,13.0,123.23,85.0,165.58
2023-01-17,Barisal,22.7029212,90.3465971,19.0,0.0,10.8,134.75,93.52,167.75
2023-01-18,Barisal,22.7029212,90.3465971,18.8,0.0,9.7,153.84,107.0,173.17
2023-01-19,Barisal,22.7029212,90.3465971,18.3,0.0,13.1,159.2,110.4,179.33
2023-01-20,Barisal,22.7029212,90.3465971,17.7,0.0,12.2,156.85,108.58,177.75
2023-01-21,Barisal,22.7029212,90.3465971,18.2,0.0,12.5,157.35,109.05,178.12
2023-01-22,Barisal,22.7029212,90.3465971,19.9,0.0,10.0,166.6,115.69,180.67
2023-01-23,Barisal,22.7029212,90.3465971,21.2,0.0,9.9,211.89,147.5,186.83
2023-01-24,Barisal,22.7029212,90.3465971,21.8,0.0,10.1,206.52,143.9,205.83
2023-01-25,Barisal,22.7029212,90.3465971,21.6,0.0,9.8,192.03,133.97,189.21
2023-01-26,Barisal,22.7029212,90.3465971,22.5,0.0,9.4,232.05,162.17,200.54
2023-01-27,Barisal,22.7029212,90.3465971,22.5,0.0,12.8,204.24,142.58,219.42
2023-01-28,Barisal,22.7029212,90.3465971,22.2,0.0,13.0,105.62,73.29,169.83
2023-01-29,Barisal,22.7029212,90.3465971,20.9,0.0,12.6,97.16,67.33,159.0
2023-01-30,Barisal,22.7029212,90.3465971,21.0,0.0,9.7,124.26,85.92,160.5
2023-01-31,Barisal,22.7029212,90.3465971,22.4,0.0,9.3,139.83,97.12,169.54
2023-02-01,Barisal,22.7029212,90.3465971,22.3,0.0,15.6,116.69,81.21,169.21
2023-02-02,Barisal,22.7029212,90.3465971,21.0,0.0,17.5,63.33,43.49,144.5
2023-02-03,Barisal,22.7029212,90.3465971,19.6,0.0,11.6,81.86,57.0,137.83
2023-02-04,Barisal,22.7029212,90.3465971,19.8,0.0,10.3,105.0,73.27,154.12
2023-02-05,Barisal,22.7029212,90.3465971,20.8,0.0,10.5,124.7,86.38,164.96
2023-02-06,Barisal,22.7029212,90.3465971,21.8,0.0,11.4,120.66,83.4,166.88
2023-02-07,Barisal,22.7029212,90.3465971,22.1,0.0,13.5,76.9,50.75,154.08
2023-02-08,Barisal,22.7029212,90.3465971,23.4,0.0,15.9,44.85,28.05,105.5
2023-02-09,Barisal,22.7029212,90.3465971,23.1,0.5,8.0,66.74,44.39,96.79
2023-02-10,Barisal,22.7029212,90.3465971,23.0,0.0,11.7,90.92,62.6,145.71
2023-02-11,Barisal,22.7029212,90.3465971,23.3,0.0,13.0,93.05,64.1,156.83
2023-02-12,Barisal,22.7029212,90.3465971,24.4,0.0,10.0,65.69,43.54,129.04
2023-02-13,Barisal,22.7029212,90.3465971,22.4,0.0,15.5,50.78,33.96,116.75
2023-02-14,Barisal,22.7029212,90.3465971,21.0,0.0,13.0,57.57,39.54,102.79
2023-02-15,Barisal,22.7029212,90.3465971,22.0,0.0,11.1,78.39,54.45,128.21
2023-02-16,Barisal,22.7029212,90.3465971,22.0,0.0,10.4,87.44,60.22,150.75
2023-02-17,Barisal,22.7029212,90.3465971,22.5,0.0,10.5,87.45,58.26,152.67
2023-02-18,Barisal,22.7029212,90.3465971,23.5,1.4,15.4,92.82,61.31,151.79
2023-02-19,Barisal,22.7029212,90.3465971,23.4,0.7,8.4,100.45,66.75,154.08
2023-02-20,Barisal,22.7029212,90.3465971,24.0,0.0,8.0,91.15,61.81,153.62
2023-02-21,Barisal,22.7029212,90.3465971,25.4,0.0,14.6,56.21,37.05,139.88
2023-02-22,Barisal,22.7029212,90.3465971,25.7,0.1,19.0,56.73,36.7,103.75
2023-02-23,Barisal,22.7029212,90.3465971,26.0,0.5,16.7,55.68,35.72,102.79
2023-02-24,Barisal,22.7029212,90.3465971,25.6,0.0,10.4,60.4,39.1,100.88
2023-02-25,Barisal,22.7029212,90.3465971,25.8,0.0,10.4,82.52,56.07,134.12
2023-02-26,Barisal,22.7029212,90.3465971,26.1,0.0,13.0,77.94,53.87,150.42
2023-02-27,Barisal,22.7029212,90.3465971,25.9,0.0,11.2,72.94,50.47,139.58
2023-02-28,Barisal,22.7029212,90.3465971,25.7,0.0,13.7,67.98,46.61,127.79
2023-03-01,Barisal,22.7029212,90.3465971,25.5,0.0,12.3,82.74,57.13,146.58
2023-03-02,Barisal,22.7029212,90.3465971,26.7,0.0,11.0,82.68,57.31,151.71
2023-03-03,Barisal,22.7029212,90.3465971,27.4,0.0,14.8,78.69,54.2,152.04
2023-03-04,Barisal,22.7029212,90.3465971,27.0,0.0,12.3,72.05,49.33,132.17
2023-03-05,Barisal,22.7029212,90.3465971,27.3,0.0,9.8,84.76,58.38,148.08
2023-03-06,Barisal,22.7029212,90.3465971,26.5,0.0,10.9,62.23,42.2,135.67
2023-03-07,Barisal,22.7029212,90.3465971,26.8,0.0,11.9,56.32,39.09,117.04
2023-03-08,Barisal,22.7029212,90.3465971,26.6,0.0,11.5,56.31,39.16,108.71
2023-03-09,Barisal,22.7029212,90.3465971,27.3,0.0,16.7,75.52,52.47,120.38
2023-03-10,Barisal,22.7029212,90.3465971,26.9,0.0,13.0,87.25,60.74,150.21
2023-03-11,Barisal,22.7029212,90.3465971,27.5,0.0,13.7,99.56,69.38,163.0
2023-03-12,Barisal,22.7029212,90.3465971,27.6,0.0,14.8,82.77,57.64,153.83
2023-03-13,Barisal,22.7029212,90.3465971,27.5,0.0,15.7,78.24,54.49,151.29
2023-03-14,Barisal,22.7029212,90.3465971,26.9,0.7,15.1,86.89,60.43,148.29
2023-03-15,Barisal,22.7029212,90.3465971,26.0,0.6,20.4,71.75,48.51,147.21
2023-03-16,Barisal,22.7029212,90.3465971,26.0,2.8,11.7,65.68,43.54,119.0
