Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Bhola,22.1785315,90.7101023,19.2,0.0,10.9,140.21,96.77,179.92
2023-01-02,Bhola,22.1785315,90.7101023,19.5,0.0,11.5,100.94,69.2,164.46
2023-01-03,Bhola,22.1785315,90.7101023,19.0,0.0,13.4,95.21,64.79,156.21
2023-01-04,Bhola,22.1785315,90.7101023,18.6,0.0,13.0,90.02,62.2,153.71
2023-01-05,Bhola,22.1785315,90.7101023,18.5,0.0,15.0,78.27,54.32,151.67
2023-01-06,Bhola,22.1785315,90.7101023,17.3,0.0,13.5,74.15,51.44,144.79
2023-01-07,Bhola,22.1785315,90.7101023,16.7,0.0,11.3,72.25,50.19,137.46
2023-01-08,Bhola,22.1785315,90.7101023,17.6,0.1,9.8,78.3,54.63,141.79
2023-01-09,Bhola,22.1785315,90.7101023,20.4,0.0,9.8,65.76,45.93,134.25
2023-01-10,Bhola,22.1785315,90.7101023,20.4,0.0,11.0,76.45,53.34,139.33
2023-01-11,Bhola,22.1785315,90.7101023,19.1,0.0,10.3,95.1,66.31,147.42
2023-01-12,Bhola,22.1785315,90.7101023,17.9,0.0,10.5,125.52,86.93,161.79
2023-01-13,Bhola,22.1785315,90.7101023,18.3,0.0,11.5,119.32,81.71,165.88
2023-01-14,Bhola,22.1785315,90.7101023,20.0,0.4,11.3,125.36,82.46,162.79
2023-01-15,Bhola,22.1785315,90.7101023,20.6,2.3,11.6,104.48,70.25,161.88
2023-01-16,Bhola,22.1785315,90.7101023,20.0,0.0,10.7,98.35,67.11,156.62
2023-01-17,Bhola,22.1785315,90.7101023,19.0,0.0,10.6,127.32,87.95,161.75
2023-01-18,Bhola,22.1785315,90.7101023,18.9,0.0,12.7,134.27,93.05,167.46
2023-01-19,Bhola,22.1785315,90.7101023,18.2,0.0,15.6,150.46,104.35,173.67
2023-01-20,Bhola,22.1785315,90.7101023,17.6,0.0,14.1,139.71,96.17,174.0
2023-01-21,Bhola,22.1785315,90.7101023,18.2,0.0,12.4,136.77,94.35,171.92
2023-01-22,Bhola,22.1785315,90.7101023,19.9,0.0,11.3,121.54,83.85,167.38
2023-01-23,Bhola,22.1785315,90.7101023,21.3,0.0,12.6,132.6,91.72,164.5
2023-01-24,Bhola,22.1785315,90.7101023,21.2,0.0,12.9,155.79,108.27,174.75
2023-01-25,Bhola,22.1785315,90.7101023,21.6,0.0,11.3,142.94,99.58,175.25
2023-01-26,Bhola,22.1785315,90.7101023,22.3,0.0,11.9,183.38,127.97,178.67
2023-01-27,Bhola,22.1785315,90.7101023,22.6,0.0,14.8,192.19,134.21,195.46
2023-01-28,Bhola,22.1785315,90.7101023,22.6,0.0,16.6,92.97,64.37,170.38
2023-01-29,Bhola,22.1785315,90.7101023,21.3,0.0,13.6,92.88,64.43,156.12
2023-01-30,Bhola,22.1785315,90.7101023,21.0,0.0,9.2,95.18,65.38,153.75
2023-01-31,Bhola,22.1785315,90.7101023,21.2,0.0,14.1,116.35,79.77,158.25
2023-02-01,Bhola,22.1785315,90.7101023,22.7,0.0,15.4,114.87,79.91,165.08
2023-02-02,Bhola,22.1785315,90.7101023,22.3,0.0,18.4,58.96,40.47,144.96
2023-02-03,Bhola,22.1785315,90.7101023,20.1,0.0,12.6,69.31,47.81,116.5
2023-02-04,Bhola,22.1785315,90.7101023,20.2,0.0,10.5,85.09,59.26,142.08
2023-02-05,Bhola,22.1785315,90.7101023,20.2,0.0,11.2,100.14,68.91,156.21
2023-02-06,Bhola,22.1785315,90.7101023,20.2,0.0,13.6,106.51,72.5,156.17
2023-02-07,Bhola,22.1785315,90.7101023,21.3,0.2,17.1,73.31,44.89,149.83
2023-02-08,Bhola,22.1785315,90.7101023,22.5,0.0,15.3,55.41,32.25,105.12
2023-02-09,Bhola,22.1785315,90.7101023,22.0,1.2,9.6,56.05,35.74,93.21
2023-02-10,Bhola,22.1785315,90.7101023,22.6,0.0,10.5,70.2,46.53,110.92
2023-02-11,Bhola,22.1785315,90.7101023,21.9,0.0,13.1,88.69,59.22,144.75
2023-02-12,Bhola,22.1785315,90.7101023,23.6,0.3,17.3,66.5,40.87,141.88
2023-02-13,Bhola,22.1785315,90.7101023,22.8,0.0,18.2,39.93,25.85,93.5
2023-02-14,Bhola,22.1785315,90.7101023,20.5,0.0,11.3,52.08,34.9,96.79
2023-02-15,Bhola,22.1785315,90.7101023,20.3,0.0,15.0,60.41,41.57,116.67
2023-02-16,Bhola,22.1785315,90.7101023,20.8,0.0,16.3,65.95,43.08,136.83
2023-02-17,Bhola,22.1785315,90.7101023,22.2,0.0,13.4,67.15,42.77,134.33
2023-02-18,Bhola,22.1785315,90.7101023,23.4,0.0,12.4,74.37,48.79,131.25
2023-02-19,Bhola,22.1785315,90.7101023,23.2,0.0,15.8,64.02,40.15,122.58
2023-02-20,Bhola,22.1785315,90.7101023,23.6,0.2,15.6,57.4,36.17,106.62
2023-02-21,Bhola,22.1785315,90.7101023,24.7,0.0,17.9,47.38,29.07,95.54
2023-02-22,Bhola,22.1785315,90.7101023,25.1,0.0,19.7,64.05,38.95,94.71
2023-02-23,Bhola,22.1785315,90.7101023,25.2,0.5,21.2,73.72,43.71,116.17
2023-02-24,Bhola,22.1785315,90.7101023,24.6,1.0,12.8,72.53,43.77,119.96
2023-02-25,Bhola,22.1785315,90.7101023,25.4,0.0,18.3,75.09,49.48,122.04
2023-02-26,Bhola,22.1785315,90.7101023,25.5,0.0,10.8,62.76,43.25,133.29
2023-02-27,Bhola,22.1785315,90.7101023,25.1,0.0,17.9,60.59,41.02,123.67
2023-02-28,Bhola,22.1785315,90.7101023,25.3,0.0,13.6,53.8,35.05,106.88
2023-03-01,Bhola,22.1785315,90.7101023,25.5,0.0,10.3,66.55,45.23,128.12
2023-03-02,Bhola,22.1785315,90.7101023,25.1,0.0,10.4,71.92,49.32,141.12
2023-03-03,Bhola,22.1785315,90.7101023,25.5,0.0,12.2,68.14,46.58,136.92
2023-03-04,Bhola,22.1785315,90.7101023,25.7,0.0,13.4,60.7,40.22,122.88
2023-03-05,Bhola,22.1785315,90.7101023,26.0,0.0,16.6,67.58,45.57,117.12
2023-03-06,Bhola,22.1785315,90.7101023,25.9,0.0,16.1,67.01,45.76,131.29
2023-03-07,Bhola,22.1785315,90.7101023,26.0,0.0,14.3,52.81,35.97,121.92
2023-03-08,Bhola,22.1785315,90.7101023,26.9,0.0,13.7,48.22,33.42,100.0
2023-03-09,Bhola,22.1785315,90.7101023,27.1,0.0,18.8,64.09,44.39,107.71
2023-03-10,Bhola,22.1785315,90.7101023,27.5,0.0,18.2,70.23,48.79,131.21
2023-03-11,Bhola,22.1785315,90.7101023,27.4,0.0,15.5,72.4,50.4,141.12
2023-03-12,Bhola,22.1785315,90.7101023,28.4,0.0,17.2,68.12,47.43,138.79
2023-03-13,Bhola,22.1785315,90.7101023,28.2,0.0,16.2,66.52,46.27,129.25
2023-03-14,Bhola,22.1785315,90.7101023,27.1,0.0,15.5,64.6,43.82,121.08
2023-03-15,Bhola,22.1785315,90.7101023,26.4,1.2,20.3,63.26,40.17,119.04
2023-03-16,Bhola,22.1785315,90.7101023,26.5,0.7,19.9,59.62,37.57,108.17
2023-03-17,Bhola,22.1785315,90.7101023,24.9,1.7,18.3,72.2,47.59,110.75
2023-03-18,Bhola,22.1785315,90.7101023,25.7,0.0,10.9,81.87,55.54,146.17
2023-03-19,Bhola,22.1785315,90.7101023,23.4,7.6,14.9,34.96,23.29,110.79
2023-03-20,Bhola,22.1785315,90.7101023,24.1,1.7,17.8,21.6,13.16,62.21
2023-03-21,Bhola,22.1785315,90.7101023,23.0,18.6,16.5,17.7,10.18,46.12
