Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Bogra,24.8435589,89.3701078,16.7,0.0,8.2,139.9,97.15,177.25
2023-01-02,Bogra,24.8435589,89.3701078,16.7,0.0,9.4,80.18,55.25,160.04
2023-01-03,Bogra,24.8435589,89.3701078,16.4,0.0,11.8,67.1,46.35,137.38
2023-01-04,Bogra,24.8435589,89.3701078,15.8,0.0,12.3,101.57,70.37,148.04
2023-01-05,Bogra,24.8435589,89.3701078,14.9,0.0,12.0,93.13,64.85,157.42
2023-01-06,Bogra,24.8435589,89.3701078,15.0,0.0,13.3,68.84,48.03,145.25
2023-01-07,Bogra,24.8435589,89.3701078,14.9,0.0,11.2,66.92,46.72,128.58
2023-01-08,Bogra,24.8435589,89.3701078,15.1,0.0,11.8,79.42,55.56,140.21
2023-01-09,Bogra,24.8435589,89.3701078,15.7,0.0,10.3,77.19,53.91,147.21
2023-01-10,Bogra,24.8435589,89.3701078,15.6,0.0,10.7,93.45,65.25,151.0
2023-01-11,Bogra,24.8435589,89.3701078,14.3,0.0,10.0,120.38,83.95,160.29
2023-01-12,Bogra,24.8435589,89.3701078,13.8,0.0,9.3,126.77,88.28,164.62
2023-01-13,Bogra,24.8435589,89.3701078,15.6,0.0,8.9,174.45,121.02,176.75
2023-01-14,Bogra,24.8435589,89.3701078,18.0,0.0,8.3,157.16,108.99,183.08
2023-01-15,Bogra,24.8435589,89.3701078,18.0,0.0,14.3,144.45,100.08,177.17
2023-01-16,Bogra,24.8435589,89.3701078,16.5,0.0,8.7,116.57,80.72,164.5
2023-01-17,Bogra,24.8435589,89.3701078,14.3,0.0,10.1,138.15,95.8,167.75
2023-01-18,Bogra,24.8435589,89.3701078,13.9,0.0,8.4,153.15,105.59,173.29
2023-01-19,Bogra,24.8435589,89.3701078,13.5,0.0,10.0,172.83,119.74,182.38
2023-01-20,Bogra,24.8435589,89.3701078,14.4,0.0,8.7,155.67,108.05,178.62
2023-01-21,Bogra,24.8435589,89.3701078,16.0,0.0,9.1,196.7,136.53,184.62
2023-01-22,Bogra,24.8435589,89.3701078,17.7,0.0,7.6,218.89,152.25,196.62
2023-01-23,Bogra,24.8435589,89.3701078,18.1,0.0,9.5,197.98,137.9,198.0
2023-01-24,Bogra,24.8435589,89.3701078,18.6,0.0,8.7,131.26,91.36,180.62
2023-01-25,Bogra,24.8435589,89.3701078,18.9,0.0,8.2,139.39,96.96,168.92
2023-01-26,Bogra,24.8435589,89.3701078,19.5,0.0,10.8,165.25,115.29,178.0
2023-01-27,Bogra,24.8435589,89.3701078,19.8,0.0,9.6,127.94,88.91,178.71
2023-01-28,Bogra,24.8435589,89.3701078,19.5,0.0,9.8,111.12,77.4,162.08
2023-01-29,Bogra,24.8435589,89.3701078,18.5,0.0,8.9,110.5,76.9,159.54
2023-01-30,Bogra,24.8435589,89.3701078,19.7,0.0,8.5,114.68,79.81,164.0
2023-01-31,Bogra,24.8435589,89.3701078,20.4,0.0,10.6,122.43,85.28,163.92
2023-02-01,Bogra,24.8435589,89.3701078,20.3,0.0,12.6,90.26,62.62,161.67
2023-02-02,Bogra,24.8435589,89.3701078,17.1,0.0,10.5,86.17,59.67,150.04
2023-02-03,Bogra,24.8435589,89.3701078,17.5,0.0,10.5,93.52,65.38,154.0
2023-02-04,Bogra,24.8435589,89.3701078,18.0,0.0,9.1,120.69,84.39,159.92
2023-02-05,Bogra,24.8435589,89.3701078,17.7,0.0,8.7,137.65,95.95,168.42
2023-02-06,Bogra,24.8435589,89.3701078,18.1,0.0,10.8,124.19,85.96,171.08
2023-02-07,Bogra,24.8435589,89.3701078,18.9,0.0,11.0,100.86,69.48,161.58
2023-02-08,Bogra,24.8435589,89.3701078,20.4,0.0,8.7,86.19,59.54,152.62
2023-02-09,Bogra,24.8435589,89.3701078,19.9,0.0,10.1,79.89,54.75,151.29
2023-02-10,Bogra,24.8435589,89.3701078,18.9,0.0,11.9,102.1,70.23,151.62
2023-02-11,Bogra,24.8435589,89.3701078,20.3,0.0,7.6,123.54,85.58,163.88
2023-02-12,Bogra,24.8435589,89.3701078,21.0,0.0,17.0,104.39,71.88,165.0
2023-02-13,Bogra,24.8435589,89.3701078,18.9,0.0,16.7,43.15,29.2,116.38
2023-02-14,Bogra,24.8435589,89.3701078,17.2,0.0,10.2,59.79,41.36,101.92
2023-02-15,Bogra,24.8435589,89.3701078,18.1,0.0,9.7,69.89,48.58,119.67
2023-02-16,Bogra,24.8435589,89.3701078,19.8,0.0,10.9,105.45,73.51,151.58
2023-02-17,Bogra,24.8435589,89.3701078,20.3,0.0,10.1,125.23,87.15,164.79
2023-02-18,Bogra,24.8435589,89.3701078,21.0,0.0,9.1,126.85,87.56,165.33
2023-02-19,Bogra,24.8435589,89.3701078,21.6,0.1,10.0,136.52,93.19,166.88
2023-02-20,Bogra,24.8435589,89.3701078,22.7,0.5,7.9,142.47,98.36,172.38
2023-02-21,Bogra,24.8435589,89.3701078,23.8,0.5,12.1,126.85,87.49,168.58
2023-02-22,Bogra,24.8435589,89.3701078,23.8,0.2,17.5,117.7,81.68,168.79
2023-02-23,Bogra,24.8435589,89.3701078,23.5,0.0,16.5,82.99,57.07,156.46
2023-02-24,Bogra,24.8435589,89.3701078,23.1,0.0,10.8,94.75,65.68,151.54
2023-02-25,Bogra,24.8435589,89.3701078,22.3,0.0,10.0,91.36,63.08,155.67
2023-02-26,Bogra,24.8435589,89.3701078,21.9,0.0,11.2,68.62,47.29,141.75
2023-02-27,Bogra,24.8435589,89.3701078,22.0,0.0,9.7,81.26,56.44,145.79
2023-02-28,Bogra,24.8435589,89.3701078,22.3,0.0,8.6,90.14,62.24,149.08
2023-03-01,Bogra,24.8435589,89.3701078,23.0,0.0,8.9,95.85,65.75,154.88
2023-03-02,Bogra,24.8435589,89.3701078,23.4,0.0,8.7,96.28,65.96,155.83
2023-03-03,Bogra,24.8435589,89.3701078,23.2,0.0,11.6,91.88,63.09,155.38
2023-03-04,Bogra,24.8435589,89.3701078,24.4,0.0,10.1,103.21,71.04,154.75
2023-03-05,Bogra,24.8435589,89.3701078,24.7,0.0,9.4,107.52,74.2,161.79
2023-03-06,Bogra,24.8435589,89.3701078,24.4,0.0,13.0,54.68,37.36,133.75
2023-03-07,Bogra,24.8435589,89.3701078,23.5,0.0,10.8,52.88,36.71,105.92
2023-03-08,Bogra,24.8435589,89.3701078,23.8,0.0,10.0,58.09,40.25,105.75
2023-03-09,Bogra,24.8435589,89.3701078,23.8,0.0,12.3,71.51,49.72,116.96
2023-03-10,Bogra,24.8435589,89.3701078,24.2,0.0,12.1,70.06,48.74,136.58
2023-03-11,Bogra,24.8435589,89.3701078,24.8,0.0,12.3,97.34,67.81,150.21
2023-03-12,Bogra,24.8435589,89.3701078,24.7,0.0,12.6,82.59,57.5,153.38
2023-03-13,Bogra,24.8435589,89.3701078,25.0,0.0,10.5,85.69,59.58,152.75
2023-03-14,Bogra,24.8435589,89.3701078,23.8,0.1,24.1,99.42,69.29,155.21
2023-03-15,Bogra,24.8435589,89.3701078,24.0,0.2,11.6,104.18,72.08,157.67
2023-03-16,Bogra,24.8435589,89.3701078,22.3,3.0,23.4,96.07,66.49,156.25
2023-03-17,Bogra,24.8435589,89.3701078,23.1,0.1,9.4,105.19,72.62,156.92
2023-03-18,Bogra,24.8435589,89.3701078,23.1,0.1,7.9,116.01,80.18,163.04
2023-03-19,Bogra,24.8435589,89.3701078,21.4,29.9,11.8,81.95,56.89,158.17
2023-03-20,Bogra,24.8435589,89.3701078,20.7,10.6,14.5,33.45,23.18,100.75
2023-03-21,Bogra,24.8435589,89.3701078,21.4,9.2,10.0,63.5,44.25,93.29
2023-03-22,Bogra,24.8435589,89.3701078,21.8,3.2,17.3,59.0,40.95,119.46
2023-03-23,Bogra,24.8435589,89.3701078,23.2,0.0,15.2,66.15,46.15,126.33
2023-03-24,Bogra,24.8435589,89.3701078,23.5,0.1,13.0,71.81,49.97,128.33
2023-03-25,Bogra,24.8435589,89.3701078,24.1,0.2,10.7,78.15,54.01,140.54
2023-03-26,Bogra,24.8435589,89.3701078,25.1,1.6,16.1,82.17,56.4,150.62
2023-03-27,Bogra,24.8435589,89.3701078,25.9,0.0,18.7,76.7,52.33,149.42
2023-03-28,Bogra,24.8435589,89.3701078,26.3,0.0,14.9,73.2,49.96,135.21
2023-03-29,Bogra,24.8435589,89.3701078,25.2,1.1,19.7,75.12,51.6,137.21
