Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Brahmanbaria,23.9608181,91.1115014,16.7,0.0,8.6,130.78,90.8,178.04
2023-01-02,Brahmanbaria,23.9608181,91.1115014,17.3,0.0,8.2,107.88,74.54,162.58
2023-01-03,Brahmanbaria,23.9608181,91.1115014,17.0,0.0,9.5,94.41,65.35,159.33
2023-01-04,Brahmanbaria,23.9608181,91.1115014,17.0,0.0,10.2,91.3,63.5,155.12
2023-01-05,Brahmanbaria,23.9608181,91.1115014,17.0,0.0,11.1,68.39,47.6,145.71
2023-01-06,Brahmanbaria,23.9608181,91.1115014,16.5,0.0,9.4,66.13,46.06,123.42
2023-01-07,Brahmanbaria,23.9608181,91.1115014,16.5,0.0,9.6,73.42,51.27,133.38
2023-01-08,Brahmanbaria,23.9608181,91.1115014,18.0,0.0,8.8,74.82,52.27,144.92
2023-01-09,Brahmanbaria,23.9608181,91.1115014,18.7,0.0,9.4,67.67,47.28,132.38
2023-01-10,Brahmanbaria,23.9608181,91.1115014,18.5,0.0,10.0,79.07,55.23,137.58
2023-01-11,Brahmanbaria,23.9608181,91.1115014,17.6,0.0,10.0,96.94,67.63,152.12
2023-01-12,Brahmanbaria,23.9608181,91.1115014,16.2,0.0,8.9,140.69,97.88,162.83
2023-01-13,Brahmanbaria,23.9608181,91.1115014,16.3,0.0,9.3,176.86,122.7,182.46
2023-01-14,Brahmanbaria,23.9608181,91.1115014,18.3,0.1,7.4,146.76,100.99,177.83
2023-01-15,Brahmanbaria,23.9608181,91.1115014,19.3,0.0,12.8,146.81,101.42,177.38
2023-01-16,Brahmanbaria,23.9608181,91.1115014,17.5,0.0,9.7,124.78,86.07,166.33
2023-01-17,Brahmanbaria,23.9608181,91.1115014,17.5,0.0,9.9,136.88,94.88,168.21
2023-01-18,Brahmanbaria,23.9608181,91.1115014,16.3,0.0,8.8,147.31,102.28,172.88
2023-01-19,Brahmanbaria,23.9608181,91.1115014,15.7,0.0,10.0,148.78,102.89,175.12
2023-01-20,Brahmanbaria,23.9608181,91.1115014,16.4,0.0,10.1,169.46,117.35,179.08
2023-01-21,Brahmanbaria,23.9608181,91.1115014,17.1,0.0,10.0,178.22,123.85,184.62
2023-01-22,Brahmanbaria,23.9608181,91.1115014,18.0,0.0,8.6,160.01,111.23,181.83
2023-01-23,Brahmanbaria,23.9608181,91.1115014,18.8,0.0,8.1,178.44,124.13,181.58
2023-01-24,Brahmanbaria,23.9608181,91.1115014,19.7,0.0,8.7,151.33,105.34,182.54
