Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Chandpur,23.2513148,90.8517846,17.5,0.0,10.4,156.15,108.38,187.83
2023-01-02,Chandpur,23.2513148,90.8517846,17.9,0.0,9.8,127.34,88.17,171.25
2023-01-03,Chandpur,23.2513148,90.8517846,17.9,0.0,10.7,120.99,83.62,167.75
2023-01-04,Chandpur,23.2513148,90.8517846,17.5,0.0,11.3,103.23,71.75,161.0
2023-01-05,Chandpur,23.2513148,90.8517846,17.5,0.0,14.0,80.25,55.87,154.12
2023-01-06,Chandpur,23.2513148,90.8517846,16.9,0.0,12.2,75.31,52.5,145.54
2023-01-07,Chandpur,23.2513148,90.8517846,16.7,0.0,10.2,80.5,56.19,145.83
2023-01-08,Chandpur,23.2513148,90.8517846,18.3,0.0,8.3,81.47,56.91,151.42
2023-01-09,Chandpur,23.2513148,90.8517846,19.3,0.0,9.0,73.1,51.04,140.5
2023-01-10,Chandpur,23.2513148,90.8517846,18.9,0.0,12.2,85.15,59.42,148.42
2023-01-11,Chandpur,23.2513148,90.8517846,17.7,0.0,10.2,110.24,76.93,155.17
2023-01-12,Chandpur,23.2513148,90.8517846,16.1,0.0,10.0,146.79,101.97,168.96
2023-01-13,Chandpur,23.2513148,90.8517846,17.6,0.0,10.0,159.73,110.69,177.33
2023-01-14,Chandpur,23.2513148,90.8517846,20.1,1.5,14.7,147.81,100.37,176.25
2023-01-15,Chandpur,23.2513148,90.8517846,19.9,0.0,10.9,151.36,103.92,176.71
2023-01-16,Chandpur,23.2513148,90.8517846,19.2,0.0,9.3,126.26,87.08,167.58
2023-01-17,Chandpur,23.2513148,90.8517846,18.4,0.0,10.1,140.94,97.74,168.29
2023-01-18,Chandpur,23.2513148,90.8517846,17.6,0.0,9.7,160.56,111.62,176.08
2023-01-19,Chandpur,23.2513148,90.8517846,16.9,0.0,12.4,159.76,110.69,180.54
2023-01-20,Chandpur,23.2513148,90.8517846,16.4,0.0,11.9,175.85,121.91,181.71
2023-01-21,Chandpur,23.2513148,90.8517846,17.4,0.0,10.8,175.71,121.93,185.92
2023-01-22,Chandpur,23.2513148,90.8517846,18.7,0.0,8.7,166.64,115.72,182.83
2023-01-23,Chandpur,23.2513148,90.8517846,20.1,0.0,10.0,205.17,142.65,187.71
2023-01-24,Chandpur,23.2513148,90.8517846,20.8,0.0,9.4,192.28,133.88,195.08
2023-01-25,Chandpur,23.2513148,90.8517846,20.9,0.0,11.0,194.57,135.75,189.83
2023-01-26,Chandpur,23.2513148,90.8517846,21.7,0.0,10.7,250.18,174.81,205.5
2023-01-27,Chandpur,23.2513148,90.8517846,21.5,0.0,11.2,237.1,165.56,238.33
2023-01-28,Chandpur,23.2513148,90.8517846,21.4,0.0,12.6,115.41,80.17,177.75
2023-01-29,Chandpur,23.2513148,90.8517846,20.0,0.0,11.6,105.15,72.93,161.79
2023-01-30,Chandpur,23.2513148,90.8517846,20.1,0.0,10.0,129.7,89.83,163.75
2023-01-31,Chandpur,23.2513148,90.8517846,21.0,0.0,11.0,152.62,105.8,172.62
2023-02-01,Chandpur,23.2513148,90.8517846,21.3,0.0,14.7,133.97,93.33,174.17
2023-02-02,Chandpur,23.2513148,90.8517846,20.0,0.0,15.3,67.25,46.29,153.29
2023-02-03,Chandpur,23.2513148,90.8517846,19.0,0.0,12.2,85.75,59.64,139.67
2023-02-04,Chandpur,23.2513148,90.8517846,19.1,0.0,11.3,115.17,80.42,157.17
2023-02-05,Chandpur,23.2513148,90.8517846,19.2,0.0,12.4,142.22,98.58,170.04
2023-02-06,Chandpur,23.2513148,90.8517846,19.7,0.0,14.5,137.68,95.12,173.92
2023-02-07,Chandpur,23.2513148,90.8517846,21.3,0.1,17.1,82.95,55.59,158.29
2023-02-08,Chandpur,23.2513148,90.8517846,22.8,0.0,16.4,50.2,31.86,115.29
2023-02-09,Chandpur,23.2513148,90.8517846,22.7,0.3,11.4,76.83,51.25,105.5
2023-02-10,Chandpur,23.2513148,90.8517846,22.0,0.0,12.6,113.48,78.25,158.75
2023-02-11,Chandpur,23.2513148,90.8517846,22.1,0.0,12.8,105.13,72.77,160.46
2023-02-12,Chandpur,23.2513148,90.8517846,23.4,0.0,10.5,70.67,47.33,143.46
2023-02-13,Chandpur,23.2513148,90.8517846,22.0,0.0,15.6,53.2,35.56,120.0
2023-02-14,Chandpur,23.2513148,90.8517846,19.3,0.0,17.0,65.57,45.08,112.33
2023-02-15,Chandpur,23.2513148,90.8517846,19.3,0.0,12.7,90.72,63.08,143.46
2023-02-16,Chandpur,23.2513148,90.8517846,20.8,0.0,11.2,107.92,74.93,157.33
2023-02-17,Chandpur,23.2513148,90.8517846,21.8,0.0,8.7,107.85,74.16,160.38
2023-02-18,Chandpur,23.2513148,90.8517846,23.4,0.0,15.2,112.14,76.5,162.12
2023-02-19,Chandpur,23.2513148,90.8517846,23.6,0.0,9.4,111.42,74.5,158.38
2023-02-20,Chandpur,23.2513148,90.8517846,23.7,0.0,9.7,126.52,86.57,161.25
2023-02-21,Chandpur,23.2513148,90.8517846,24.7,0.0,14.8,78.75,53.23,161.67
2023-02-22,Chandpur,23.2513148,90.8517846,25.7,0.1,18.5,57.82,37.65,114.96
2023-02-23,Chandpur,23.2513148,90.8517846,25.5,0.7,16.5,58.79,37.86,106.88
2023-02-24,Chandpur,23.2513148,90.8517846,25.3,0.0,12.2,66.34,43.78,107.21
2023-02-25,Chandpur,23.2513148,90.8517846,25.7,0.0,14.5,81.67,55.69,143.71
2023-02-26,Chandpur,23.2513148,90.8517846,24.4,0.0,15.8,69.88,48.34,138.08
2023-02-27,Chandpur,23.2513148,90.8517846,24.7,0.0,13.6,75.21,52.09,140.08
2023-02-28,Chandpur,23.2513148,90.8517846,25.3,0.0,13.5,79.22,54.7,140.42
2023-03-01,Chandpur,23.2513148,90.8517846,24.7,0.0,13.3,87.61,60.41,151.58
2023-03-02,Chandpur,23.2513148,90.8517846,25.0,0.0,12.6,94.99,65.63,156.67
2023-03-03,Chandpur,23.2513148,90.8517846,25.9,0.0,16.7,92.88,64.07,155.29
2023-03-04,Chandpur,23.2513148,90.8517846,25.7,0.0,10.7,94.75,65.08,154.25
2023-03-05,Chandpur,23.2513148,90.8517846,26.1,0.0,10.1,93.28,64.24,156.33
2023-03-06,Chandpur,23.2513148,90.8517846,25.7,0.0,11.9,71.89,48.87,145.5
2023-03-07,Chandpur,23.2513148,90.8517846,25.9,0.0,12.4,72.05,49.89,136.33
2023-03-08,Chandpur,23.2513148,90.8517846,26.0,0.0,14.3,58.11,40.36,122.17
2023-03-09,Chandpur,23.2513148,90.8517846,26.4,0.0,17.2,76.4,53.14,122.33
2023-03-10,Chandpur,23.2513148,90.8517846,26.4,0.0,11.3,86.22,60.03,150.75
2023-03-11,Chandpur,23.2513148,90.8517846,26.9,0.0,15.7,106.58,74.33,161.08
2023-03-12,Chandpur,23.2513148,90.8517846,27.5,0.0,15.3,76.29,53.12,152.54
2023-03-13,Chandpur,23.2513148,90.8517846,27.0,0.0,16.3,76.4,53.08,145.58
2023-03-14,Chandpur,23.2513148,90.8517846,26.2,0.0,20.3,99.88,69.61,152.58
2023-03-15,Chandpur,23.2513148,90.8517846,25.2,9.0,22.3,86.75,59.55,154.46
2023-03-16,Chandpur,23.2513148,90.8517846,25.4,0.5,11.9,77.24,51.99,145.88
2023-03-17,Chandpur,23.2513148,90.8517846,25.3,0.4,15.6,113.77,78.49,155.5
2023-03-18,Chandpur,23.2513148,90.8517846,25.1,1.3,11.6,98.77,67.98,160.83
2023-03-19,Chandpur,23.2513148,90.8517846,23.2,6.4,13.4,57.84,39.82,139.67
2023-03-20,Chandpur,23.2513148,90.8517846,22.6,3.8,15.9,26.28,17.84,81.04
2023-03-21,Chandpur,23.2513148,90.8517846,22.4,3.9,14.0,26.08,17.4,58.46
2023-03-22,Chandpur,23.2513148,90.8517846,22.4,6.6,14.6,30.51,20.62,66.0
2023-03-23,Chandpur,23.2513148,90.8517846,23.5,4.0,16.1,41.04,27.73,72.33
2023-03-24,Chandpur,23.2513148,90.8517846,24.5,0.0,8.7,54.75,37.23,95.5
2023-03-25,Chandpur,23.2513148,90.8517846,25.5,0.1,11.9,63.0,43.0,114.96
2023-03-26,Chandpur,23.2513148,90.8517846,25.7,2.4,30.7,52.18,34.86,107.38
2023-03-27,Chandpur,23.2513148,90.8517846,25.4,9.1,16.4,60.9,40.61,105.25
2023-03-28,Chandpur,23.2513148,90.8517846,26.0,0.6,9.9,67.63,45.58,117.04
