Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Chittagong,22.3475365,91.8123324,18.8,0.0,11.0,92.77,64.02,161.42
2023-01-02,Chittagong,22.3475365,91.8123324,19.1,0.0,12.5,66.72,45.59,144.0
2023-01-03,Chittagong,22.3475365,91.8123324,19.0,0.0,13.1,55.08,37.95,116.67
2023-01-04,Chittagong,22.3475365,91.8123324,19.0,0.0,15.9,51.15,35.55,103.79
2023-01-05,Chittagong,22.3475365,91.8123324,19.0,0.0,16.6,48.7,33.84,100.62
2023-01-06,Chittagong,22.3475365,91.8123324,18.4,0.0,13.6,58.89,41.02,102.0
2023-01-07,Chittagong,22.3475365,91.8123324,18.6,0.0,13.7,64.49,45.0,119.33
2023-01-08,Chittagong,22.3475365,91.8123324,18.8,0.0,11.5,68.17,47.62,132.33
2023-01-09,Chittagong,22.3475365,91.8123324,19.9,0.0,11.2,40.14,27.95,102.08
2023-01-10,Chittagong,22.3475365,91.8123324,20.0,0.0,10.5,39.74,27.7,80.75
2023-01-11,Chittagong,22.3475365,91.8123324,19.7,0.0,12.9,62.42,43.55,99.42
2023-01-12,Chittagong,22.3475365,91.8123324,18.2,0.0,11.5,98.05,68.22,142.42
2023-01-13,Chittagong,22.3475365,91.8123324,18.4,0.0,10.9,104.71,72.48,161.04
2023-01-14,Chittagong,22.3475365,91.8123324,19.0,0.0,9.0,94.37,65.01,154.33
2023-01-15,Chittagong,22.3475365,91.8123324,20.2,0.0,11.3,80.88,55.38,153.21
2023-01-16,Chittagong,22.3475365,91.8123324,20.3,0.0,13.3,85.25,58.74,148.83
2023-01-17,Chittagong,22.3475365,91.8123324,19.4,0.0,12.2,103.7,71.88,154.79
2023-01-18,Chittagong,22.3475365,91.8123324,19.1,0.0,13.8,119.11,82.88,161.29
2023-01-19,Chittagong,22.3475365,91.8123324,18.8,0.0,16.4,109.23,75.94,164.0
2023-01-20,Chittagong,22.3475365,91.8123324,18.1,0.0,14.8,82.63,57.08,155.88
2023-01-21,Chittagong,22.3475365,91.8123324,18.4,0.0,12.7,75.08,51.8,146.79
