Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Chuadanga,23.6160512,88.8263006,18.5,0.2,9.0,214.14,148.84,198.67
2023-01-02,Chuadanga,23.6160512,88.8263006,18.3,0.0,9.4,140.86,97.35,187.71
2023-01-03,Chuadanga,23.6160512,88.8263006,17.2,0.0,13.8,105.45,73.1,163.38
2023-01-04,Chuadanga,23.6160512,88.8263006,16.1,0.0,13.4,138.93,96.41,165.38
2023-01-05,Chuadanga,23.6160512,88.8263006,15.2,0.0,14.4,118.79,82.82,169.83
2023-01-06,Chuadanga,23.6160512,88.8263006,15.3,0.0,13.7,91.68,64.01,159.21
2023-01-07,Chuadanga,23.6160512,88.8263006,15.0,0.0,12.4,94.35,65.93,154.17
2023-01-08,Chuadanga,23.6160512,88.8263006,15.8,0.0,11.8,96.09,67.2,156.25
2023-01-09,Chuadanga,23.6160512,88.8263006,16.5,0.0,10.7,104.29,72.96,157.38
2023-01-10,Chuadanga,23.6160512,88.8263006,16.4,0.0,11.5,123.05,85.96,161.96
2023-01-11,Chuadanga,23.6160512,88.8263006,15.2,0.0,11.2,139.63,97.44,168.92
2023-01-12,Chuadanga,23.6160512,88.8263006,15.1,0.0,7.7,161.86,112.34,176.29
2023-01-13,Chuadanga,23.6160512,88.8263006,17.8,0.0,8.9,203.6,140.08,188.71
2023-01-14,Chuadanga,23.6160512,88.8263006,18.8,0.0,7.9,203.09,140.86,195.54
2023-01-15,Chuadanga,23.6160512,88.8263006,19.3,0.0,12.0,157.09,108.56,190.04
2023-01-16,Chuadanga,23.6160512,88.8263006,17.6,0.0,11.3,105.2,72.74,163.71
2023-01-17,Chuadanga,23.6160512,88.8263006,16.6,0.0,9.4,128.7,89.29,162.04
2023-01-18,Chuadanga,23.6160512,88.8263006,16.7,0.0,8.9,157.52,108.92,172.83
2023-01-19,Chuadanga,23.6160512,88.8263006,16.0,0.0,9.8,177.55,122.71,183.33
2023-01-20,Chuadanga,23.6160512,88.8263006,16.1,0.0,9.2,189.07,130.97,186.92
2023-01-21,Chuadanga,23.6160512,88.8263006,17.3,0.0,8.7,254.03,176.12,200.17
2023-01-22,Chuadanga,23.6160512,88.8263006,19.3,0.0,8.8,298.23,207.68,246.04
2023-01-23,Chuadanga,23.6160512,88.8263006,20.2,0.0,8.3,320.37,223.71,269.54
2023-01-24,Chuadanga,23.6160512,88.8263006,21.4,0.0,7.8,231.3,161.51,248.92
2023-01-25,Chuadanga,23.6160512,88.8263006,21.2,0.0,8.5,211.09,147.31,192.38
2023-01-26,Chuadanga,23.6160512,88.8263006,22.0,0.0,11.4,231.28,161.6,220.42
2023-01-27,Chuadanga,23.6160512,88.8263006,21.2,0.0,13.1,128.83,89.3,187.12
2023-01-28,Chuadanga,23.6160512,88.8263006,20.7,0.0,13.6,120.17,83.69,164.79
2023-01-29,Chuadanga,23.6160512,88.8263006,18.8,0.0,11.1,97.61,67.41,159.17
2023-01-30,Chuadanga,23.6160512,88.8263006,20.2,0.0,8.9,137.03,95.08,163.92
2023-01-31,Chuadanga,23.6160512,88.8263006,21.2,0.0,8.8,157.05,109.41,175.33
2023-02-01,Chuadanga,23.6160512,88.8263006,21.9,0.0,13.7,85.6,59.25,165.96
2023-02-02,Chuadanga,23.6160512,88.8263006,18.4,0.0,13.3,88.69,61.39,149.5
2023-02-03,Chuadanga,23.6160512,88.8263006,18.3,0.0,12.1,114.16,79.59,158.38
2023-02-04,Chuadanga,23.6160512,88.8263006,19.0,0.0,11.5,130.89,91.29,167.46
2023-02-05,Chuadanga,23.6160512,88.8263006,19.0,0.0,9.4,135.96,94.17,169.71
2023-02-06,Chuadanga,23.6160512,88.8263006,20.4,0.0,11.2,128.51,88.76,172.12
2023-02-07,Chuadanga,23.6160512,88.8263006,20.4,0.0,12.3,96.82,66.26,160.67
2023-02-08,Chuadanga,23.6160512,88.8263006,21.9,0.0,12.5,82.41,56.2,142.38
2023-02-09,Chuadanga,23.6160512,88.8263006,21.9,0.0,10.7,94.95,65.78,154.46
2023-02-10,Chuadanga,23.6160512,88.8263006,20.8,0.0,12.5,82.82,57.56,151.33
2023-02-11,Chuadanga,23.6160512,88.8263006,22.2,0.0,11.9,128.96,89.4,160.0
2023-02-12,Chuadanga,23.6160512,88.8263006,23.0,0.0,17.8,117.43,80.81,169.79
2023-02-13,Chuadanga,23.6160512,88.8263006,21.1,0.0,21.8,43.25,29.11,122.04
2023-02-14,Chuadanga,23.6160512,88.8263006,18.5,0.0,11.8,59.51,41.32,101.96
2023-02-15,Chuadanga,23.6160512,88.8263006,19.1,0.0,9.2,93.63,64.66,143.58
2023-02-16,Chuadanga,23.6160512,88.8263006,19.8,0.0,10.1,109.74,75.75,158.58
2023-02-17,Chuadanga,23.6160512,88.8263006,21.4,0.0,13.7,117.47,79.71,162.5
2023-02-18,Chuadanga,23.6160512,88.8263006,22.4,0.2,10.5,133.33,89.22,164.83
2023-02-19,Chuadanga,23.6160512,88.8263006,23.4,0.1,9.5,132.6,90.36,165.71
2023-02-20,Chuadanga,23.6160512,88.8263006,24.6,0.0,11.2,110.3,75.35,167.08
2023-02-21,Chuadanga,23.6160512,88.8263006,25.8,0.1,13.3,87.11,59.36,152.75
2023-02-22,Chuadanga,23.6160512,88.8263006,26.3,0.0,19.0,85.94,58.89,156.33
2023-02-23,Chuadanga,23.6160512,88.8263006,26.1,0.0,13.9,70.54,47.77,132.0
2023-02-24,Chuadanga,23.6160512,88.8263006,25.8,0.0,12.0,97.96,66.88,147.71
2023-02-25,Chuadanga,23.6160512,88.8263006,25.1,0.0,10.7,102.53,70.48,159.04
2023-02-26,Chuadanga,23.6160512,88.8263006,24.4,0.0,9.7,100.61,69.56,155.29
2023-02-27,Chuadanga,23.6160512,88.8263006,24.9,0.0,14.8,108.29,75.32,161.79
2023-02-28,Chuadanga,23.6160512,88.8263006,24.1,0.0,9.5,82.18,56.61,154.54
2023-03-01,Chuadanga,23.6160512,88.8263006,24.7,0.0,10.0,87.36,60.32,149.38
2023-03-02,Chuadanga,23.6160512,88.8263006,25.5,0.0,12.3,98.52,68.15,159.75
2023-03-03,Chuadanga,23.6160512,88.8263006,26.1,0.0,16.4,101.22,69.2,158.58
2023-03-04,Chuadanga,23.6160512,88.8263006,25.7,0.0,12.9,108.9,75.05,159.08
2023-03-05,Chuadanga,23.6160512,88.8263006,26.2,0.0,11.5,98.69,68.22,158.08
2023-03-06,Chuadanga,23.6160512,88.8263006,26.5,0.0,13.3,61.51,42.13,140.38
2023-03-07,Chuadanga,23.6160512,88.8263006,26.8,0.0,12.3,68.54,47.64,126.83
2023-03-08,Chuadanga,23.6160512,88.8263006,26.2,0.0,9.7,61.62,42.58,119.04
2023-03-09,Chuadanga,23.6160512,88.8263006,26.1,0.0,10.9,82.98,57.59,130.12
2023-03-10,Chuadanga,23.6160512,88.8263006,26.5,0.0,12.6,103.37,71.99,155.46
2023-03-11,Chuadanga,23.6160512,88.8263006,26.8,1.6,16.2,138.36,96.46,166.25
2023-03-12,Chuadanga,23.6160512,88.8263006,27.0,0.0,10.0,101.22,70.49,164.75
2023-03-13,Chuadanga,23.6160512,88.8263006,27.1,0.0,11.2,91.69,63.82,156.04
2023-03-14,Chuadanga,23.6160512,88.8263006,27.2,0.5,24.2,121.43,84.35,170.21
2023-03-15,Chuadanga,23.6160512,88.8263006,26.8,0.7,13.4,119.57,82.48,164.67
2023-03-16,Chuadanga,23.6160512,88.8263006,24.5,14.2,16.5,104.88,71.7,161.58
2023-03-17,Chuadanga,23.6160512,88.8263006,23.7,19.0,12.5,87.65,60.55,156.88
2023-03-18,Chuadanga,23.6160512,88.8263006,22.4,5.1,16.3,98.09,67.81,154.08
2023-03-19,Chuadanga,23.6160512,88.8263006,21.5,12.5,16.2,86.59,60.12,158.88
2023-03-20,Chuadanga,23.6160512,88.8263006,21.3,3.8,16.3,38.06,26.22,98.29
2023-03-21,Chuadanga,23.6160512,88.8263006,21.7,7.1,24.9,57.54,39.8,90.42
2023-03-22,Chuadanga,23.6160512,88.8263006,23.0,1.4,9.4,71.82,49.66,127.54
2023-03-23,Chuadanga,23.6160512,88.8263006,24.0,0.0,13.4,85.52,59.52,151.33
2023-03-24,Chuadanga,23.6160512,88.8263006,24.5,0.0,16.5,83.19,57.59,147.04
2023-03-25,Chuadanga,23.6160512,88.8263006,25.2,1.5,11.8,75.82,52.01,149.0
2023-03-26,Chuadanga,23.6160512,88.8263006,25.8,4.3,17.8,73.79,50.08,137.08
2023-03-27,Chuadanga,23.6160512,88.8263006,25.6,5.2,23.0,95.49,64.77,148.25
2023-03-28,Chuadanga,23.6160512,88.8263006,26.9,0.0,13.9,76.15,52.02,150.92
2023-03-29,Chuadanga,23.6160512,88.8263006,24.9,18.1,24.6,81.68,55.87,144.12
2023-03-30,Chuadanga,23.6160512,88.8263006,26.0,4.3,25.1,65.9,44.88,132.25
2023-03-31,Chuadanga,23.6160512,88.8263006,24.8,1.7,15.8,69.65,47.33,128.46
2023-04-01,Chuadanga,23.6160512,88.8263006,23.1,5.7,11.5,74.72,51.73,143.08
2023-04-02,Chuadanga,23.6160512,88.8263006,24.7,1.5,13.5,82.66,57.02,146.08
2023-04-03,Chuadanga,23.6160512,88.8263006,26.2,0.0,13.7,72.28,49.75,151.0
2023-04-04,Chuadanga,23.6160512,88.8263006,26.9,0.1,15.2,61.6,42.52,118.46
2023-04-05,Chuadanga,23.6160512,88.8263006,27.9,0.0,15.8,62.06,41.64,116.58
2023-04-06,Chuadanga,23.6160512,88.8263006,26.9,0.0,10.6,68.52,47.19,137.0
2023-04-07,Chuadanga,23.6160512,88.8263006,27.8,0.0,13.6,58.29,40.13,123.0
2023-04-08,Chuadanga,23.6160512,88.8263006,28.4,0.0,11.5,74.88,51.61,131.62
2023-04-09,Chuadanga,23.6160512,88.8263006,29.2,0.0,13.4,83.72,57.79,150.08
2023-04-10,Chuadanga,23.6160512,88.8263006,29.4,0.0,11.7,94.19,65.3,156.79
2023-04-11,Chuadanga,23.6160512,88.8263006,30.1,0.0,20.6,80.78,55.98,158.62
2023-04-12,Chuadanga,23.6160512,88.8263006,29.3,0.0,13.4,83.5,58.05,158.33
2023-04-13,Chuadanga,23.6160512,88.8263006,30.1,0.0,15.0,65.07,44.87,135.04
2023-04-14,Chuadanga,23.6160512,88.8263006,31.2,0.0,17.7,75.88,52.59,136.17
2023-04-15,Chuadanga,23.6160512,88.8263006,32.2,0.0,8.6,87.78,60.9,153.54
2023-04-16,Chuadanga,23.6160512,88.8263006,33.1,0.0,18.8,109.85,76.07,160.25
2023-04-17,Chuadanga,23.6160512,88.8263006,32.6,0.4,22.3,87.65,60.68,160.33
2023-04-18,Chuadanga,23.6160512,88.8263006,32.5,0.0,14.1,76.28,51.79,152.58
2023-04-19,Chuadanga,23.6160512,88.8263006,33.1,0.0,17.2,61.6,41.49,140.42
2023-04-20,Chuadanga,23.6160512,88.8263006,32.3,0.0,20.4,57.59,38.57,126.29
2023-04-21,Chuadanga,23.6160512,88.8263006,32.3,0.0,27.7,68.86,46.3,117.88
2023-04-22,Chuadanga,23.6160512,88.8263006,29.2,0.4,12.8,79.84,55.27,153.79
2023-04-23,Chuadanga,23.6160512,88.8263006,28.4,4.0,15.9,62.39,43.24,145.25
2023-04-24,Chuadanga,23.6160512,88.8263006,25.2,9.2,15.8,75.72,52.33,130.0
2023-04-25,Chuadanga,23.6160512,88.8263006,26.8,0.4,11.7,108.34,75.26,167.38
2023-04-26,Chuadanga,23.6160512,88.8263006,28.0,3.4,13.2,95.34,66.06,163.0
2023-04-27,Chuadanga,23.6160512,88.8263006,27.7,1.9,15.3,90.38,62.56,159.42
2023-04-28,Chuadanga,23.6160512,88.8263006,27.1,0.0,23.4,96.75,67.11,162.42
2023-04-29,Chuadanga,23.6160512,88.8263006,26.6,23.2,21.4,75.54,52.13,160.33
2023-04-30,Chuadanga,23.6160512,88.8263006,27.3,0.0,10.9,94.31,65.1,158.67
2023-05-01,Chuadanga,23.6160512,88.8263006,25.8,1.4,14.3,101.25,70.31,153.5
2023-05-02,Chuadanga,23.6160512,88.8263006,27.3,0.2,9.3,80.62,56.07,158.42
2023-05-03,Chuadanga,23.6160512,88.8263006,26.6,2.8,17.3,64.88,44.24,130.83
2023-05-04,Chuadanga,23.6160512,88.8263006,27.2,7.9,16.6,48.59,33.72,113.62
2023-05-05,Chuadanga,23.6160512,88.8263006,27.8,0.4,14.8,58.71,40.82,103.75
2023-05-06,Chuadanga,23.6160512,88.8263006,29.4,0.3,13.5,91.68,63.64,145.17
2023-05-07,Chuadanga,23.6160512,88.8263006,30.8,0.0,10.4,87.67,60.7,158.75
2023-05-08,Chuadanga,23.6160512,88.8263006,32.1,0.0,14.3,74.54,50.49,149.42
2023-05-09,Chuadanga,23.6160512,88.8263006,32.7,0.0,16.0,91.41,62.74,151.08
2023-05-10,Chuadanga,23.6160512,88.8263006,32.7,0.0,16.4,90.52,62.53,154.33
2023-05-11,Chuadanga,23.6160512,88.8263006,31.2,0.5,18.4,46.64,31.75,128.75
2023-05-12,Chuadanga,23.6160512,88.8263006,30.9,0.4,15.0,46.3,30.92,90.67
2023-05-13,Chuadanga,23.6160512,88.8263006,31.4,0.0,12.9,75.88,52.09,119.25
2023-05-14,Chuadanga,23.6160512,88.8263006,30.3,0.0,25.9,51.26,35.7,140.21
2023-05-15,Chuadanga,23.6160512,88.8263006,28.4,9.5,19.6,41.77,28.5,98.79
2023-05-16,Chuadanga,23.6160512,88.8263006,29.1,1.3,27.4,66.84,43.16,114.75
2023-05-17,Chuadanga,23.6160512,88.8263006,30.7,3.3,28.1,52.13,32.45,115.79
2023-05-18,Chuadanga,23.6160512,88.8263006,28.2,10.6,18.7,47.07,28.88,89.08
2023-05-19,Chuadanga,23.6160512,88.8263006,28.5,12.8,23.3,55.64,35.85,95.04
2023-05-20,Chuadanga,23.6160512,88.8263006,30.1,1.7,18.9,50.79,33.38,114.62
2023-05-21,Chuadanga,23.6160512,88.8263006,29.6,24.6,23.5,53.51,34.32,110.58
2023-05-22,Chuadanga,23.6160512,88.8263006,30.3,4.8,19.9,44.0,27.9,103.92
2023-05-23,Chuadanga,23.6160512,88.8263006,28.3,62.1,24.0,48.49,31.78,89.83
2023-05-24,Chuadanga,23.6160512,88.8263006,27.4,1.0,15.5,53.88,35.57,103.67
2023-05-25,Chuadanga,23.6160512,88.8263006,27.6,16.8,20.2,55.61,36.96,101.08
2023-05-26,Chuadanga,23.6160512,88.8263006,27.4,21.0,20.2,67.92,45.68,125.33
2023-05-27,Chuadanga,23.6160512,88.8263006,26.6,4.4,14.4,64.52,43.41,132.67
2023-05-28,Chuadanga,23.6160512,88.8263006,28.1,0.2,10.1,65.57,44.49,122.12
2023-05-29,Chuadanga,23.6160512,88.8263006,29.4,0.0,8.8,102.28,69.27,156.0
2023-05-30,Chuadanga,23.6160512,88.8263006,30.2,0.4,14.0,101.55,68.61,164.92
2023-05-31,Chuadanga,23.6160512,88.8263006,31.0,0.4,9.7,81.74,54.82,154.75
2023-06-01,Chuadanga,23.6160512,88.8263006,32.0,0.0,17.1,94.45,63.11,153.75
2023-06-02,Chuadanga,23.6160512,88.8263006,32.0,0.0,20.7,83.12,56.23,156.83
2023-06-03,Chuadanga,23.6160512,88.8263006,31.2,0.0,19.2,76.05,51.1,142.5
2023-06-04,Chuadanga,23.6160512,88.8263006,30.7,3.8,15.2,72.15,47.58,143.08
2023-06-05,Chuadanga,23.6160512,88.8263006,31.6,0.4,14.5,69.83,46.49,132.62
2023-06-06,Chuadanga,23.6160512,88.8263006,30.7,11.6,14.7,63.22,42.85,133.17
2023-06-07,Chuadanga,23.6160512,88.8263006,31.1,0.3,10.3,77.78,52.8,141.04
2023-06-08,Chuadanga,23.6160512,88.8263006,31.0,0.0,14.9,86.04,57.48,146.17
2023-06-09,Chuadanga,23.6160512,88.8263006,28.6,37.7,16.3,63.46,42.79,136.88
2023-06-10,Chuadanga,23.6160512,88.8263006,29.7,0.2,15.0,71.64,48.98,133.42
2023-06-11,Chuadanga,23.6160512,88.8263006,29.2,6.8,19.4,57.05,38.87,128.29
2023-06-12,Chuadanga,23.6160512,88.8263006,29.9,0.3,14.6,52.22,34.99,106.25
2023-06-13,Chuadanga,23.6160512,88.8263006,30.1,17.4,21.9,53.1,35.78,116.96
2023-06-14,Chuadanga,23.6160512,88.8263006,32.4,0.0,22.5,61.76,40.41,112.67
2023-06-15,Chuadanga,23.6160512,88.8263006,33.1,5.7,24.9,56.94,37.68,120.62
2023-06-16,Chuadanga,23.6160512,88.8263006,32.8,1.8,21.1,51.27,32.82,108.21
2023-06-17,Chuadanga,23.6160512,88.8263006,32.0,4.1,24.0,48.45,30.9,97.04
2023-06-18,Chuadanga,23.6160512,88.8263006,30.6,2.9,23.1,51.78,33.1,95.96
2023-06-19,Chuadanga,23.6160512,88.8263006,29.2,19.4,24.0,46.93,30.38,92.38
2023-06-20,Chuadanga,23.6160512,88.8263006,29.9,8.1,21.4,38.03,24.24,85.12
2023-06-21,Chuadanga,23.6160512,88.8263006,29.0,60.6,21.7,34.33,22.7,73.42
2023-06-22,Chuadanga,23.6160512,88.8263006,28.6,1.3,18.4,27.82,18.64,71.0
2023-06-23,Chuadanga,23.6160512,88.8263006,29.2,0.6,13.4,17.09,11.68,55.92
2023-06-24,Chuadanga,23.6160512,88.8263006,29.2,2.3,19.5,17.57,12.13,51.38
