Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Comilla,23.46188,91.186911,17.2,0.0,8.7,126.42,87.7,176.88
2023-01-02,Comilla,23.46188,91.186911,17.5,0.0,9.3,102.0,70.36,160.75
2023-01-03,Comilla,23.46188,91.186911,17.5,0.0,10.1,91.4,63.15,157.04
2023-01-04,Comilla,23.46188,91.186911,16.8,0.0,10.2,92.95,64.61,155.25
2023-01-05,Comilla,23.46188,91.186911,17.2,0.0,12.0,74.05,51.57,150.79
2023-01-06,Comilla,23.46188,91.186911,16.5,0.0,9.4,73.84,51.48,135.08
2023-01-07,Comilla,23.46188,91.186911,16.4,0.0,8.7,81.92,57.22,145.92
2023-01-08,Comilla,23.46188,91.186911,18.0,0.0,9.1,73.76,51.54,149.75
2023-01-09,Comilla,23.46188,91.186911,19.2,0.0,9.5,62.65,43.75,124.62
2023-01-10,Comilla,23.46188,91.186911,18.9,0.0,8.9,76.39,53.34,130.62
2023-01-11,Comilla,23.46188,91.186911,17.9,0.0,9.7,102.25,71.37,152.75
2023-01-12,Comilla,23.46188,91.186911,16.5,0.0,9.0,143.66,99.96,165.12
2023-01-13,Comilla,23.46188,91.186911,17.4,0.0,8.4,160.42,111.08,180.38
2023-01-14,Comilla,23.46188,91.186911,19.1,0.3,8.3,133.09,90.91,170.54
2023-01-15,Comilla,23.46188,91.186911,20.0,0.2,10.4,128.69,88.28,170.75
2023-01-16,Comilla,23.46188,91.186911,18.9,0.0,10.1,116.44,80.3,161.83
2023-01-17,Comilla,23.46188,91.186911,18.0,0.0,10.2,137.87,95.6,166.88
2023-01-18,Comilla,23.46188,91.186911,17.1,0.0,10.5,150.22,104.49,172.92
2023-01-19,Comilla,23.46188,91.186911,16.3,0.0,10.2,149.02,103.21,176.46
2023-01-20,Comilla,23.46188,91.186911,16.2,0.0,9.4,165.18,114.4,178.38
2023-01-21,Comilla,23.46188,91.186911,16.8,0.0,9.3,171.58,119.11,182.67
2023-01-22,Comilla,23.46188,91.186911,18.5,0.0,9.1,146.84,102.05,178.79
2023-01-23,Comilla,23.46188,91.186911,19.9,0.0,8.9,164.91,114.62,176.17
2023-01-24,Comilla,23.46188,91.186911,20.6,0.0,9.0,150.13,104.49,179.29
2023-01-25,Comilla,23.46188,91.186911,20.7,0.0,10.0,163.96,114.39,176.54
2023-01-26,Comilla,23.46188,91.186911,21.3,0.0,8.9,215.75,150.67,190.79
2023-01-27,Comilla,23.46188,91.186911,21.4,0.0,9.5,212.18,148.02,211.25
2023-01-28,Comilla,23.46188,91.186911,21.1,0.0,9.4,129.67,90.24,180.17
2023-01-29,Comilla,23.46188,91.186911,20.1,0.0,9.4,112.19,77.99,164.62
2023-01-30,Comilla,23.46188,91.186911,20.1,0.0,9.3,118.98,82.61,162.92
2023-01-31,Comilla,23.46188,91.186911,20.6,0.0,8.7,150.17,104.09,170.58
2023-02-01,Comilla,23.46188,91.186911,21.1,0.0,13.3,150.38,104.86,177.33
2023-02-02,Comilla,23.46188,91.186911,20.1,0.0,14.0,70.73,48.99,159.17
2023-02-03,Comilla,23.46188,91.186911,18.8,0.0,9.2,87.1,60.62,137.12
2023-02-04,Comilla,23.46188,91.186911,19.0,0.0,8.7,120.99,84.48,159.54
2023-02-05,Comilla,23.46188,91.186911,19.4,0.0,10.2,157.51,109.43,173.71
2023-02-06,Comilla,23.46188,91.186911,19.2,0.0,10.6,151.51,104.69,180.46
2023-02-07,Comilla,23.46188,91.186911,20.7,0.0,16.1,90.95,61.92,161.92
2023-02-08,Comilla,23.46188,91.186911,21.7,0.1,15.6,60.86,39.64,129.83
2023-02-09,Comilla,23.46188,91.186911,22.4,0.3,9.5,81.68,54.88,121.96
2023-02-10,Comilla,23.46188,91.186911,22.1,0.0,12.3,97.77,67.16,155.79
2023-02-11,Comilla,23.46188,91.186911,22.0,0.0,9.7,102.85,71.2,158.79
2023-02-12,Comilla,23.46188,91.186911,22.8,0.1,9.4,82.41,56.09,153.92
2023-02-13,Comilla,23.46188,91.186911,21.4,0.8,14.1,60.81,41.02,135.25
2023-02-14,Comilla,23.46188,91.186911,19.0,0.0,12.3,68.48,47.13,115.92
2023-02-15,Comilla,23.46188,91.186911,19.2,0.0,9.7,98.58,68.6,149.79
2023-02-16,Comilla,23.46188,91.186911,20.4,0.0,8.3,106.32,74.01,158.54
2023-02-17,Comilla,23.46188,91.186911,21.6,0.0,10.4,112.33,77.88,161.83
2023-02-18,Comilla,23.46188,91.186911,23.1,0.0,12.3,110.4,75.71,160.88
2023-02-19,Comilla,23.46188,91.186911,24.0,0.0,10.4,132.78,90.46,166.0
2023-02-20,Comilla,23.46188,91.186911,23.6,0.0,7.6,145.68,100.04,168.33
2023-02-21,Comilla,23.46188,91.186911,23.9,0.0,12.7,110.5,75.81,171.25
2023-02-22,Comilla,23.46188,91.186911,25.3,0.0,19.1,59.6,39.29,133.62
2023-02-23,Comilla,23.46188,91.186911,25.1,1.4,17.2,61.0,39.57,110.38
