Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,CoxBazar,21.4394636,92.0077316,19.3,0.0,14.8,95.32,65.35,162.67
2023-01-02,CoxBazar,21.4394636,92.0077316,19.0,0.0,14.7,67.6,45.63,143.38
2023-01-03,CoxBazar,21.4394636,92.0077316,19.0,0.0,16.9,55.64,37.6,116.54
2023-01-04,CoxBazar,21.4394636,92.0077316,19.1,0.0,16.2,56.31,38.87,106.17
2023-01-05,CoxBazar,21.4394636,92.0077316,19.2,0.0,18.8,55.87,38.53,108.5
2023-01-06,CoxBazar,21.4394636,92.0077316,18.6,0.0,17.6,61.97,42.75,112.29
2023-01-07,CoxBazar,21.4394636,92.0077316,18.6,0.0,16.4,70.83,49.12,126.79
2023-01-08,CoxBazar,21.4394636,92.0077316,19.1,0.0,13.9,77.09,53.55,143.12
2023-01-09,CoxBazar,21.4394636,92.0077316,20.3,0.0,13.7,65.55,45.55,135.46
2023-01-10,CoxBazar,21.4394636,92.0077316,20.4,0.0,14.5,45.95,31.87,110.62
2023-01-11,CoxBazar,21.4394636,92.0077316,20.1,0.0,16.1,67.8,46.81,111.0
2023-01-12,CoxBazar,21.4394636,92.0077316,18.6,0.0,13.9,95.72,65.61,147.33
2023-01-13,CoxBazar,21.4394636,92.0077316,18.7,0.0,14.0,100.78,68.54,158.38
2023-01-14,CoxBazar,21.4394636,92.0077316,19.1,0.0,14.5,94.35,64.01,153.83
2023-01-15,CoxBazar,21.4394636,92.0077316,20.0,0.0,15.0,86.75,58.64,153.46
2023-01-16,CoxBazar,21.4394636,92.0077316,20.1,0.0,15.1,81.2,55.85,151.58
2023-01-17,CoxBazar,21.4394636,92.0077316,19.2,0.0,16.7,96.25,66.4,150.88
2023-01-18,CoxBazar,21.4394636,92.0077316,19.8,0.0,18.6,114.56,79.29,158.83
2023-01-19,CoxBazar,21.4394636,92.0077316,19.4,0.0,21.3,115.98,80.23,163.75
2023-01-20,CoxBazar,21.4394636,92.0077316,18.4,0.0,16.6,88.95,60.65,158.12
2023-01-21,CoxBazar,21.4394636,92.0077316,18.8,0.0,16.0,81.3,55.51,151.17
2023-01-22,CoxBazar,21.4394636,92.0077316,20.1,0.0,18.9,62.0,42.5,136.67
2023-01-23,CoxBazar,21.4394636,92.0077316,20.9,0.0,19.0,71.85,49.53,120.25
2023-01-24,CoxBazar,21.4394636,92.0077316,21.4,0.0,18.8,91.7,63.39,147.92
2023-01-25,CoxBazar,21.4394636,92.0077316,21.4,0.0,15.0,82.9,57.47,153.79
2023-01-26,CoxBazar,21.4394636,92.0077316,21.8,0.0,20.5,117.33,81.19,156.88
2023-01-27,CoxBazar,21.4394636,92.0077316,22.3,0.0,19.6,157.75,109.05,175.08
2023-01-28,CoxBazar,21.4394636,92.0077316,22.2,0.0,21.1,111.52,76.94,170.54
2023-01-29,CoxBazar,21.4394636,92.0077316,21.1,0.0,18.2,91.87,63.27,157.54
2023-01-30,CoxBazar,21.4394636,92.0077316,20.1,0.0,12.3,80.97,55.46,160.92
