Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Dhaka,23.810332,90.4125181,17.3,0.0,8.7,192.39,133.97,209.67
2023-01-02,Dhaka,23.810332,90.4125181,17.6,0.0,9.3,142.08,98.3,179.71
2023-01-03,Dhaka,23.810332,90.4125181,17.3,0.0,11.0,98.82,68.52,164.96
2023-01-04,Dhaka,23.810332,90.4125181,17.3,0.0,12.2,74.28,51.72,151.12
2023-01-05,Dhaka,23.810332,90.4125181,16.7,0.0,14.8,72.65,50.59,140.67
2023-01-06,Dhaka,23.810332,90.4125181,16.3,0.0,11.8,61.16,42.57,125.62
2023-01-07,Dhaka,23.810332,90.4125181,16.3,0.0,9.5,65.95,46.03,122.33
2023-01-08,Dhaka,23.810332,90.4125181,17.7,0.0,9.8,67.0,46.76,129.5
2023-01-09,Dhaka,23.810332,90.4125181,18.3,0.0,9.8,68.7,47.98,126.58
2023-01-10,Dhaka,23.810332,90.4125181,18.1,0.0,10.9,69.99,48.83,130.88
2023-01-11,Dhaka,23.810332,90.4125181,16.7,0.0,9.0,102.41,71.51,149.0
2023-01-12,Dhaka,23.810332,90.4125181,15.1,0.0,10.5,138.38,96.28,163.58
2023-01-13,Dhaka,23.810332,90.4125181,16.8,0.0,11.0,188.65,130.97,183.5
2023-01-14,Dhaka,23.810332,90.4125181,19.2,0.6,9.8,157.0,108.42,183.25
2023-01-15,Dhaka,23.810332,90.4125181,19.5,0.0,13.5,162.7,112.72,182.88
2023-01-16,Dhaka,23.810332,90.4125181,18.2,0.0,8.8,124.18,85.79,168.17
2023-01-17,Dhaka,23.810332,90.4125181,17.1,0.0,9.1,129.75,90.18,166.21
2023-01-18,Dhaka,23.810332,90.4125181,16.6,0.0,9.2,150.61,104.32,171.21
2023-01-19,Dhaka,23.810332,90.4125181,15.8,0.0,11.6,157.45,108.86,179.46
2023-01-20,Dhaka,23.810332,90.4125181,15.7,0.0,10.2,166.09,115.39,179.33
2023-01-21,Dhaka,23.810332,90.4125181,16.8,0.0,10.2,166.38,115.46,179.62
2023-01-22,Dhaka,23.810332,90.4125181,18.3,0.0,9.4,214.65,149.37,190.79
2023-01-23,Dhaka,23.810332,90.4125181,19.7,0.0,8.4,270.69,188.69,218.29
2023-01-24,Dhaka,23.810332,90.4125181,20.2,0.0,8.7,226.72,158.1,234.38
2023-01-25,Dhaka,23.810332,90.4125181,20.5,0.0,7.7,191.33,133.55,190.25
2023-01-26,Dhaka,23.810332,90.4125181,21.1,0.0,8.5,256.92,179.43,208.21
2023-01-27,Dhaka,23.810332,90.4125181,20.9,0.0,8.5,221.34,154.42,241.08
2023-01-28,Dhaka,23.810332,90.4125181,20.8,0.0,10.8,108.51,75.53,170.62
2023-01-29,Dhaka,23.810332,90.4125181,19.8,0.0,10.1,106.32,73.78,159.88
2023-01-30,Dhaka,23.810332,90.4125181,19.3,0.0,10.0,143.75,99.8,167.88
2023-01-31,Dhaka,23.810332,90.4125181,20.4,0.0,10.1,128.31,89.42,171.12
2023-02-01,Dhaka,23.810332,90.4125181,20.9,0.0,11.1,112.72,78.53,165.08
2023-02-02,Dhaka,23.810332,90.4125181,18.7,0.0,15.8,64.16,44.08,146.54
2023-02-03,Dhaka,23.810332,90.4125181,18.6,0.0,9.9,81.8,56.99,134.88
2023-02-04,Dhaka,23.810332,90.4125181,18.6,0.0,9.4,107.49,75.09,155.04
2023-02-05,Dhaka,23.810332,90.4125181,18.6,0.0,10.8,131.58,91.56,165.67
2023-02-06,Dhaka,23.810332,90.4125181,19.9,0.0,11.4,128.25,88.69,171.29
2023-02-07,Dhaka,23.810332,90.4125181,20.9,0.0,14.8,102.5,70.15,160.79
