Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Dinajpur,25.6279123,88.6331758,16.3,0.0,8.3,86.1,59.55,157.5
2023-01-02,Dinajpur,25.6279123,88.6331758,15.8,0.1,9.2,79.25,54.84,148.96
2023-01-03,Dinajpur,25.6279123,88.6331758,15.8,0.0,10.5,92.33,63.72,152.21
2023-01-04,Dinajpur,25.6279123,88.6331758,15.0,0.0,11.9,119.55,82.79,160.08
2023-01-05,Dinajpur,25.6279123,88.6331758,14.2,0.0,12.4,90.71,63.19,159.75
2023-01-06,Dinajpur,25.6279123,88.6331758,14.2,0.0,13.0,65.85,45.96,140.62
2023-01-07,Dinajpur,25.6279123,88.6331758,14.2,0.0,13.4,66.4,46.43,123.75
2023-01-08,Dinajpur,25.6279123,88.6331758,13.7,0.0,12.2,78.6,55.0,139.83
2023-01-09,Dinajpur,25.6279123,88.6331758,14.4,0.0,9.6,82.48,57.65,150.42
2023-01-10,Dinajpur,25.6279123,88.6331758,14.2,0.0,9.9,97.75,68.23,153.58
2023-01-11,Dinajpur,25.6279123,88.6331758,13.1,0.0,9.0,108.52,75.77,158.67
2023-01-12,Dinajpur,25.6279123,88.6331758,13.3,0.0,8.7,115.07,80.17,161.12
2023-01-13,Dinajpur,25.6279123,88.6331758,14.5,0.0,7.9,138.06,95.56,168.21
2023-01-14,Dinajpur,25.6279123,88.6331758,15.8,0.0,9.6,127.91,88.71,168.83
2023-01-15,Dinajpur,25.6279123,88.6331758,16.1,0.0,19.5,121.22,83.98,167.58
2023-01-16,Dinajpur,25.6279123,88.6331758,13.6,0.0,11.4,107.09,74.19,160.5
2023-01-17,Dinajpur,25.6279123,88.6331758,12.5,0.0,9.8,138.08,95.65,165.42
2023-01-18,Dinajpur,25.6279123,88.6331758,12.6,0.0,9.8,159.35,110.12,173.88
2023-01-19,Dinajpur,25.6279123,88.6331758,13.5,0.0,9.2,176.59,122.57,184.21
2023-01-20,Dinajpur,25.6279123,88.6331758,14.3,0.0,9.0,181.18,125.74,185.88
2023-01-21,Dinajpur,25.6279123,88.6331758,15.1,0.0,9.4,174.46,121.16,185.0
2023-01-22,Dinajpur,25.6279123,88.6331758,16.1,0.0,9.1,147.3,102.44,180.96
2023-01-23,Dinajpur,25.6279123,88.6331758,17.1,0.0,9.4,110.09,76.48,165.38
2023-01-24,Dinajpur,25.6279123,88.6331758,17.7,0.0,10.0,83.7,58.01,156.38
2023-01-25,Dinajpur,25.6279123,88.6331758,17.9,0.0,9.3,103.89,72.01,155.21
2023-01-26,Dinajpur,25.6279123,88.6331758,18.7,0.0,10.2,123.71,86.19,162.46
2023-01-27,Dinajpur,25.6279123,88.6331758,18.7,0.0,10.2,134.89,93.9,171.92
2023-01-28,Dinajpur,25.6279123,88.6331758,18.9,0.0,10.0,123.84,86.3,167.0
2023-01-29,Dinajpur,25.6279123,88.6331758,18.6,0.0,8.7,120.51,83.84,163.12
2023-01-30,Dinajpur,25.6279123,88.6331758,19.8,0.0,8.4,113.83,79.18,166.17
2023-01-31,Dinajpur,25.6279123,88.6331758,20.3,0.0,12.6,117.87,82.18,162.58
2023-02-01,Dinajpur,25.6279123,88.6331758,19.0,0.0,17.2,90.0,62.5,160.42
2023-02-02,Dinajpur,25.6279123,88.6331758,16.6,0.0,9.6,85.9,59.77,149.92
2023-02-03,Dinajpur,25.6279123,88.6331758,17.5,0.0,10.1,94.92,66.31,153.96
2023-02-04,Dinajpur,25.6279123,88.6331758,18.2,0.0,9.5,115.34,80.68,159.71
2023-02-05,Dinajpur,25.6279123,88.6331758,18.1,0.0,8.3,131.52,91.85,166.08
2023-02-06,Dinajpur,25.6279123,88.6331758,17.9,0.0,12.6,125.55,87.36,170.79
2023-02-07,Dinajpur,25.6279123,88.6331758,18.5,0.0,13.7,94.03,64.92,158.42
