Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Feni,23.0159132,91.3975831,17.5,0.0,9.0,126.73,87.92,176.83
2023-01-02,Feni,23.0159132,91.3975831,18.3,0.0,10.9,99.4,68.54,160.83
2023-01-03,Feni,23.0159132,91.3975831,17.9,0.0,12.7,91.92,63.42,156.21
2023-01-04,Feni,23.0159132,91.3975831,17.5,0.0,12.3,92.66,64.4,154.96
2023-01-05,Feni,23.0159132,91.3975831,17.8,0.0,12.3,78.84,54.84,152.33
2023-01-06,Feni,23.0159132,91.3975831,17.1,0.0,11.1,76.51,53.35,143.67
2023-01-07,Feni,23.0159132,91.3975831,17.2,0.0,9.5,84.26,58.85,148.75
2023-01-08,Feni,23.0159132,91.3975831,18.7,0.0,8.9,77.09,53.88,151.54
2023-01-09,Feni,23.0159132,91.3975831,20.2,0.0,10.5,59.8,41.75,123.5
2023-01-10,Feni,23.0159132,91.3975831,19.9,0.0,10.4,70.19,49.0,124.79
2023-01-11,Feni,23.0159132,91.3975831,18.8,0.0,10.8,105.45,73.6,150.29
2023-01-12,Feni,23.0159132,91.3975831,16.9,0.0,9.4,143.85,100.08,166.71
2023-01-13,Feni,23.0159132,91.3975831,17.7,0.0,9.2,154.0,106.68,176.67
2023-01-14,Feni,23.0159132,91.3975831,19.1,0.0,7.7,143.88,98.34,174.08
2023-01-15,Feni,23.0159132,91.3975831,20.5,0.3,10.1,133.05,91.04,172.33
2023-01-16,Feni,23.0159132,91.3975831,19.5,0.0,11.4,114.63,79.03,161.54
2023-01-17,Feni,23.0159132,91.3975831,18.8,0.0,10.1,135.97,94.27,166.67
2023-01-18,Feni,23.0159132,91.3975831,17.9,0.0,12.2,148.7,103.43,172.58
2023-01-19,Feni,23.0159132,91.3975831,17.2,0.0,12.1,148.0,102.62,175.54
2023-01-20,Feni,23.0159132,91.3975831,16.7,0.0,11.6,162.28,112.47,178.25
2023-01-21,Feni,23.0159132,91.3975831,17.4,0.0,11.6,166.02,115.25,181.33
2023-01-22,Feni,23.0159132,91.3975831,19.0,0.0,9.4,140.81,97.82,176.71
2023-01-23,Feni,23.0159132,91.3975831,20.1,0.0,10.9,163.35,113.52,174.58
2023-01-24,Feni,23.0159132,91.3975831,21.2,0.0,10.2,152.73,106.33,179.96
2023-01-25,Feni,23.0159132,91.3975831,21.1,0.0,11.2,159.65,111.34,175.79
2023-01-26,Feni,23.0159132,91.3975831,21.7,0.0,11.4,219.44,153.29,190.29
2023-01-27,Feni,23.0159132,91.3975831,21.7,0.0,10.4,212.34,148.14,215.46
2023-01-28,Feni,23.0159132,91.3975831,21.7,0.0,12.0,122.11,84.95,177.38
2023-01-29,Feni,23.0159132,91.3975831,20.9,0.0,11.3,104.97,72.91,162.21
2023-01-30,Feni,23.0159132,91.3975831,20.6,0.0,9.1,114.29,79.32,161.12
2023-01-31,Feni,23.0159132,91.3975831,20.4,0.0,10.0,148.38,102.68,169.21
2023-02-01,Feni,23.0159132,91.3975831,21.8,0.0,15.5,149.65,104.27,176.17
2023-02-02,Feni,23.0159132,91.3975831,21.5,0.0,14.8,71.86,49.78,159.46
2023-02-03,Feni,23.0159132,91.3975831,19.4,0.0,10.2,85.16,59.28,139.08
2023-02-04,Feni,23.0159132,91.3975831,19.6,0.0,9.2,120.12,83.84,158.71
