Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Gaibandha,25.3296928,89.5429652,16.7,0.0,7.3,110.53,76.58,169.79
2023-01-02,Gaibandha,25.3296928,89.5429652,16.3,0.0,8.0,71.28,49.03,150.04
2023-01-03,Gaibandha,25.3296928,89.5429652,16.4,0.0,9.5,57.22,39.43,119.67
2023-01-04,Gaibandha,25.3296928,89.5429652,16.1,0.0,12.6,77.62,53.91,130.58
2023-01-05,Gaibandha,25.3296928,89.5429652,15.1,0.0,11.8,83.28,58.0,151.75
2023-01-06,Gaibandha,25.3296928,89.5429652,15.3,0.0,12.5,64.3,44.84,130.92
2023-01-07,Gaibandha,25.3296928,89.5429652,15.5,0.0,12.0,63.2,44.09,123.04
2023-01-08,Gaibandha,25.3296928,89.5429652,15.2,0.0,11.1,77.9,54.49,133.42
2023-01-09,Gaibandha,25.3296928,89.5429652,16.0,0.0,9.7,72.62,50.62,145.67
2023-01-10,Gaibandha,25.3296928,89.5429652,15.7,0.0,10.6,80.85,56.39,140.83
2023-01-11,Gaibandha,25.3296928,89.5429652,14.8,0.0,9.6,103.06,71.93,154.33
2023-01-12,Gaibandha,25.3296928,89.5429652,14.3,0.0,9.4,109.23,76.23,159.17
2023-01-13,Gaibandha,25.3296928,89.5429652,14.5,0.0,10.1,148.1,102.61,167.5
2023-01-14,Gaibandha,25.3296928,89.5429652,17.3,0.0,9.2,153.42,106.5,178.0
2023-01-15,Gaibandha,25.3296928,89.5429652,16.9,0.0,17.3,135.11,93.75,174.17
2023-01-16,Gaibandha,25.3296928,89.5429652,15.4,0.0,9.3,109.15,75.65,162.75
2023-01-17,Gaibandha,25.3296928,89.5429652,13.9,0.0,9.2,123.64,85.81,163.25
2023-01-18,Gaibandha,25.3296928,89.5429652,13.6,0.0,7.2,152.78,105.75,170.88
2023-01-19,Gaibandha,25.3296928,89.5429652,14.1,0.0,9.2,163.27,113.27,180.29
2023-01-20,Gaibandha,25.3296928,89.5429652,14.8,0.0,9.2,129.44,89.75,173.5
2023-01-21,Gaibandha,25.3296928,89.5429652,15.4,0.0,9.1,138.43,96.06,168.46
2023-01-22,Gaibandha,25.3296928,89.5429652,16.5,0.0,8.2,169.85,118.02,177.71
2023-01-23,Gaibandha,25.3296928,89.5429652,17.5,0.0,9.4,145.66,101.22,177.42
2023-01-24,Gaibandha,25.3296928,89.5429652,18.2,0.0,9.8,106.3,73.82,166.79
2023-01-25,Gaibandha,25.3296928,89.5429652,18.2,0.0,8.4,105.63,73.15,160.17
2023-01-26,Gaibandha,25.3296928,89.5429652,19.4,0.0,8.4,134.4,93.68,164.0
2023-01-27,Gaibandha,25.3296928,89.5429652,19.0,0.0,8.3,139.27,96.98,174.21
2023-01-28,Gaibandha,25.3296928,89.5429652,19.1,0.0,10.5,113.2,78.83,165.5
2023-01-29,Gaibandha,25.3296928,89.5429652,19.0,0.0,9.2,114.24,79.52,161.42
2023-01-30,Gaibandha,25.3296928,89.5429652,20.2,0.0,8.3,105.52,73.35,162.04
2023-01-31,Gaibandha,25.3296928,89.5429652,20.2,0.0,9.0,114.04,79.49,160.62
2023-02-01,Gaibandha,25.3296928,89.5429652,20.1,0.0,11.4,98.22,68.43,161.75
2023-02-02,Gaibandha,25.3296928,89.5429652,17.4,0.0,9.6,72.45,50.01,145.5
2023-02-03,Gaibandha,25.3296928,89.5429652,17.8,0.0,9.6,87.72,61.16,146.92
2023-02-04,Gaibandha,25.3296928,89.5429652,18.2,0.0,10.1,106.5,74.46,156.46
2023-02-05,Gaibandha,25.3296928,89.5429652,18.2,0.0,8.0,123.78,86.38,162.92
2023-02-06,Gaibandha,25.3296928,89.5429652,18.0,0.0,12.0,120.27,83.65,168.33
2023-02-07,Gaibandha,25.3296928,89.5429652,18.5,0.0,11.0,95.31,65.81,158.79
2023-02-08,Gaibandha,25.3296928,89.5429652,19.9,0.0,11.0,87.04,59.87,152.71
2023-02-09,Gaibandha,25.3296928,89.5429652,19.9,0.0,11.8,86.34,58.91,151.83
2023-02-10,Gaibandha,25.3296928,89.5429652,19.3,0.0,11.7,106.75,73.19,155.38
2023-02-11,Gaibandha,25.3296928,89.5429652,19.7,0.0,9.0,116.23,80.16,161.54
2023-02-12,Gaibandha,25.3296928,89.5429652,21.2,0.0,19.5,97.04,66.66,161.83
2023-02-13,Gaibandha,25.3296928,89.5429652,19.2,0.0,16.9,48.29,32.95,120.42
2023-02-14,Gaibandha,25.3296928,89.5429652,17.9,0.0,8.9,56.89,39.24,106.33
2023-02-15,Gaibandha,25.3296928,89.5429652,18.7,0.0,9.7,73.74,51.29,120.96
2023-02-16,Gaibandha,25.3296928,89.5429652,20.2,0.0,8.6,97.76,68.23,151.21
2023-02-17,Gaibandha,25.3296928,89.5429652,20.8,0.0,9.8,112.16,78.11,160.33
2023-02-18,Gaibandha,25.3296928,89.5429652,21.4,0.0,10.3,117.91,81.71,162.46
2023-02-19,Gaibandha,25.3296928,89.5429652,21.8,0.0,10.0,139.95,96.17,167.42
2023-02-20,Gaibandha,25.3296928,89.5429652,22.6,0.4,9.7,158.04,109.38,174.83
2023-02-21,Gaibandha,25.3296928,89.5429652,23.2,0.2,10.4,127.22,87.65,173.04
2023-02-22,Gaibandha,25.3296928,89.5429652,23.3,4.5,15.9,86.72,59.93,160.08
2023-02-23,Gaibandha,25.3296928,89.5429652,23.6,0.0,18.3,66.55,45.65,138.42
2023-02-24,Gaibandha,25.3296928,89.5429652,22.0,0.0,9.0,83.14,57.37,136.38
2023-02-25,Gaibandha,25.3296928,89.5429652,21.8,0.0,10.4,75.73,52.12,150.21
2023-02-26,Gaibandha,25.3296928,89.5429652,21.9,0.0,10.5,61.16,41.72,120.96
2023-02-27,Gaibandha,25.3296928,89.5429652,22.1,0.0,11.2,89.54,62.19,145.25
2023-02-28,Gaibandha,25.3296928,89.5429652,22.4,0.0,12.6,89.68,62.09,151.67
2023-03-01,Gaibandha,25.3296928,89.5429652,22.8,0.0,8.8,87.84,60.19,152.54
2023-03-02,Gaibandha,25.3296928,89.5429652,23.4,0.0,12.0,85.91,58.45,152.75
2023-03-03,Gaibandha,25.3296928,89.5429652,23.5,0.0,10.4,86.83,59.57,152.08
2023-03-04,Gaibandha,25.3296928,89.5429652,24.5,0.0,8.7,87.72,59.8,151.38
2023-03-05,Gaibandha,25.3296928,89.5429652,24.8,0.0,10.0,91.83,63.1,152.5
2023-03-06,Gaibandha,25.3296928,89.5429652,25.0,0.0,12.7,58.95,40.43,146.38
2023-03-07,Gaibandha,25.3296928,89.5429652,23.8,0.0,11.8,43.82,30.41,95.29
2023-03-08,Gaibandha,25.3296928,89.5429652,24.0,0.0,12.7,64.92,45.19,108.17
2023-03-09,Gaibandha,25.3296928,89.5429652,24.3,0.0,11.6,66.26,46.1,121.33
2023-03-10,Gaibandha,25.3296928,89.5429652,24.9,0.0,12.6,63.85,44.46,123.67
2023-03-11,Gaibandha,25.3296928,89.5429652,25.4,0.1,16.4,77.04,53.64,134.25
2023-03-12,Gaibandha,25.3296928,89.5429652,25.4,0.0,11.7,78.71,54.83,147.17
2023-03-13,Gaibandha,25.3296928,89.5429652,25.3,0.0,12.6,72.45,50.03,145.46
2023-03-14,Gaibandha,25.3296928,89.5429652,24.3,0.0,24.2,93.06,64.84,147.96
2023-03-15,Gaibandha,25.3296928,89.5429652,23.6,0.8,28.9,96.47,66.83,155.12
2023-03-16,Gaibandha,25.3296928,89.5429652,22.9,1.0,16.6,110.24,76.28,157.29
2023-03-17,Gaibandha,25.3296928,89.5429652,23.7,3.5,13.7,124.12,85.85,163.0
2023-03-18,Gaibandha,25.3296928,89.5429652,23.7,0.2,14.5,130.33,90.14,170.33
2023-03-19,Gaibandha,25.3296928,89.5429652,21.7,8.4,18.0,92.54,64.29,160.17
2023-03-20,Gaibandha,25.3296928,89.5429652,20.4,14.8,13.5,33.77,23.48,117.92
2023-03-21,Gaibandha,25.3296928,89.5429652,21.6,4.4,13.1,48.19,33.51,81.54
2023-03-22,Gaibandha,25.3296928,89.5429652,21.7,5.9,12.5,54.97,38.12,104.17
2023-03-23,Gaibandha,25.3296928,89.5429652,22.5,0.0,15.6,63.01,43.94,111.71
2023-03-24,Gaibandha,25.3296928,89.5429652,22.8,0.7,16.0,74.19,51.64,133.25
2023-03-25,Gaibandha,25.3296928,89.5429652,23.5,1.2,9.8,82.47,57.12,139.71
2023-03-26,Gaibandha,25.3296928,89.5429652,25.5,0.0,15.5,78.01,53.58,152.04
2023-03-27,Gaibandha,25.3296928,89.5429652,25.7,0.0,12.4,75.77,51.76,145.38
2023-03-28,Gaibandha,25.3296928,89.5429652,25.6,0.0,17.0,72.78,49.86,135.88
2023-03-29,Gaibandha,25.3296928,89.5429652,25.2,0.0,13.7,78.25,53.98,138.96
2023-03-30,Gaibandha,25.3296928,89.5429652,24.1,4.9,15.0,76.73,52.58,138.38
