Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Gazipur,24.0958171,90.4125181,17.0,0.0,8.4,192.39,133.97,209.67
2023-01-02,Gazipur,24.0958171,90.4125181,17.3,0.0,8.9,142.08,98.3,179.71
2023-01-03,Gazipur,24.0958171,90.4125181,16.9,0.0,10.9,98.82,68.52,164.96
2023-01-04,Gazipur,24.0958171,90.4125181,17.1,0.0,10.7,74.28,51.72,151.12
2023-01-05,Gazipur,24.0958171,90.4125181,16.5,0.0,12.5,72.65,50.59,140.67
2023-01-06,Gazipur,24.0958171,90.4125181,16.3,0.0,10.7,61.16,42.57,125.62
2023-01-07,Gazipur,24.0958171,90.4125181,16.3,0.0,8.7,65.95,46.03,122.33
2023-01-08,Gazipur,24.0958171,90.4125181,17.6,0.0,9.7,67.0,46.76,129.5
2023-01-09,Gazipur,24.0958171,90.4125181,18.1,0.0,9.7,68.7,47.98,126.58
2023-01-10,Gazipur,24.0958171,90.4125181,18.0,0.0,10.1,69.99,48.83,130.88
2023-01-11,Gazipur,24.0958171,90.4125181,16.7,0.0,8.4,102.41,71.51,149.0
2023-01-12,Gazipur,24.0958171,90.4125181,15.5,0.0,8.4,138.38,96.28,163.58
2023-01-13,Gazipur,24.0958171,90.4125181,17.1,0.0,9.8,188.65,130.97,183.5
2023-01-14,Gazipur,24.0958171,90.4125181,19.2,0.2,8.4,157.0,108.42,183.25
2023-01-15,Gazipur,24.0958171,90.4125181,19.3,0.0,16.5,162.7,112.72,182.88
2023-01-16,Gazipur,24.0958171,90.4125181,18.1,0.0,9.4,124.18,85.79,168.17
2023-01-17,Gazipur,24.0958171,90.4125181,16.7,0.0,8.6,129.75,90.18,166.21
2023-01-18,Gazipur,24.0958171,90.4125181,16.0,0.0,8.3,150.61,104.32,171.21
2023-01-19,Gazipur,24.0958171,90.4125181,15.3,0.0,9.4,157.45,108.86,179.46
2023-01-20,Gazipur,24.0958171,90.4125181,15.9,0.0,9.2,166.09,115.39,179.33
2023-01-21,Gazipur,24.0958171,90.4125181,16.9,0.0,9.2,166.38,115.46,179.62
2023-01-22,Gazipur,24.0958171,90.4125181,17.9,0.0,9.1,214.65,149.37,190.79
2023-01-23,Gazipur,24.0958171,90.4125181,19.4,0.0,8.3,270.69,188.69,218.29
2023-01-24,Gazipur,24.0958171,90.4125181,20.0,0.0,8.0,226.72,158.1,234.38
2023-01-25,Gazipur,24.0958171,90.4125181,20.0,0.0,8.4,191.33,133.55,190.25
2023-01-26,Gazipur,24.0958171,90.4125181,21.0,0.0,8.0,256.92,179.43,208.21
2023-01-27,Gazipur,24.0958171,90.4125181,21.1,0.0,8.7,221.34,154.42,241.08
2023-01-28,Gazipur,24.0958171,90.4125181,20.8,0.0,10.5,108.51,75.53,170.62
2023-01-29,Gazipur,24.0958171,90.4125181,19.9,0.0,9.2,106.32,73.78,159.88
2023-01-30,Gazipur,24.0958171,90.4125181,19.8,0.0,10.1,143.75,99.8,167.88
2023-01-31,Gazipur,24.0958171,90.4125181,21.2,0.0,7.4,128.31,89.42,171.12
2023-02-01,Gazipur,24.0958171,90.4125181,21.5,0.0,13.2,112.72,78.53,165.08
2023-02-02,Gazipur,24.0958171,90.4125181,18.9,0.0,16.3,64.16,44.08,146.54
2023-02-03,Gazipur,24.0958171,90.4125181,18.9,0.0,10.3,81.8,56.99,134.88
2023-02-04,Gazipur,24.0958171,90.4125181,19.1,0.0,9.0,107.49,75.09,155.04
2023-02-05,Gazipur,24.0958171,90.4125181,19.0,0.0,10.5,131.58,91.56,165.67
