Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Gopalganj,23.0050858,89.8266059,18.4,0.0,8.9,196.08,136.29,200.62
2023-01-02,Gopalganj,23.0050858,89.8266059,18.4,0.0,9.0,134.4,92.98,180.92
2023-01-03,Gopalganj,23.0050858,89.8266059,17.7,0.0,14.1,93.25,64.25,162.92
2023-01-04,Gopalganj,23.0050858,89.8266059,17.1,0.0,13.6,75.51,52.55,148.17
2023-01-05,Gopalganj,23.0050858,89.8266059,16.4,0.0,14.4,93.07,64.9,151.5
2023-01-06,Gopalganj,23.0050858,89.8266059,16.2,0.0,12.5,78.03,54.43,151.88
2023-01-07,Gopalganj,23.0050858,89.8266059,15.6,0.0,10.8,73.91,51.52,141.12
2023-01-08,Gopalganj,23.0050858,89.8266059,17.2,0.0,9.8,67.95,47.46,139.5
2023-01-09,Gopalganj,23.0050858,89.8266059,18.3,0.0,10.7,64.68,45.17,121.17
2023-01-10,Gopalganj,23.0050858,89.8266059,17.9,0.0,9.7,73.47,51.26,131.04
2023-01-11,Gopalganj,23.0050858,89.8266059,17.0,0.0,9.9,115.95,80.85,153.08
2023-01-12,Gopalganj,23.0050858,89.8266059,16.2,0.0,7.5,136.07,94.42,167.08
2023-01-13,Gopalganj,23.0050858,89.8266059,18.4,0.0,10.0,170.89,118.6,178.88
2023-01-14,Gopalganj,23.0050858,89.8266059,20.0,0.6,16.6,142.18,96.84,175.29
2023-01-15,Gopalganj,23.0050858,89.8266059,19.8,1.8,10.2,153.31,105.64,179.21
2023-01-16,Gopalganj,23.0050858,89.8266059,18.8,0.0,11.9,122.0,84.34,166.54
2023-01-17,Gopalganj,23.0050858,89.8266059,17.9,0.0,10.3,126.8,88.11,165.42
2023-01-18,Gopalganj,23.0050858,89.8266059,17.8,0.0,10.2,152.48,105.96,171.04
2023-01-19,Gopalganj,23.0050858,89.8266059,17.5,0.0,11.7,155.49,107.63,179.42
2023-01-20,Gopalganj,23.0050858,89.8266059,16.5,0.0,11.4,150.6,104.31,175.75
2023-01-21,Gopalganj,23.0050858,89.8266059,16.9,0.0,10.1,155.31,107.51,175.62
2023-01-22,Gopalganj,23.0050858,89.8266059,19.0,0.0,9.4,194.29,135.05,184.67
2023-01-23,Gopalganj,23.0050858,89.8266059,20.4,0.0,8.3,254.12,177.0,205.08
2023-01-24,Gopalganj,23.0050858,89.8266059,21.3,0.0,8.0,240.34,167.59,233.33
2023-01-25,Gopalganj,23.0050858,89.8266059,21.1,0.0,8.6,205.54,143.41,197.04
2023-01-26,Gopalganj,23.0050858,89.8266059,22.0,0.0,7.9,253.58,177.09,215.54
2023-01-27,Gopalganj,23.0050858,89.8266059,21.6,0.0,9.8,186.59,130.03,218.54
2023-01-28,Gopalganj,23.0050858,89.8266059,21.5,0.0,11.2,106.46,73.94,165.96
2023-01-29,Gopalganj,23.0050858,89.8266059,19.8,0.0,11.0,92.72,64.22,158.25
2023-01-30,Gopalganj,23.0050858,89.8266059,20.1,0.0,9.1,123.13,85.08,159.42
2023-01-31,Gopalganj,23.0050858,89.8266059,21.2,0.0,11.5,130.58,90.9,167.96
