Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Habiganj,24.4771236,91.4506565,16.8,0.0,9.1,106.8,73.93,165.62
2023-01-02,Habiganj,24.4771236,91.4506565,17.2,0.0,9.9,91.61,63.32,156.67
2023-01-03,Habiganj,24.4771236,91.4506565,17.1,0.0,9.7,69.85,48.38,145.75
2023-01-04,Habiganj,24.4771236,91.4506565,16.7,0.0,8.7,63.57,44.09,126.21
2023-01-05,Habiganj,24.4771236,91.4506565,17.0,0.0,10.5,58.27,40.49,119.62
2023-01-06,Habiganj,24.4771236,91.4506565,16.6,0.0,10.1,54.82,38.09,104.75
2023-01-07,Habiganj,24.4771236,91.4506565,17.4,0.0,7.6,57.43,40.05,108.96
2023-01-08,Habiganj,24.4771236,91.4506565,18.1,0.0,8.2,57.38,40.02,113.12
2023-01-09,Habiganj,24.4771236,91.4506565,18.7,0.0,8.9,53.23,37.15,108.42
2023-01-10,Habiganj,24.4771236,91.4506565,18.3,0.0,9.3,52.5,36.64,101.0
2023-01-11,Habiganj,24.4771236,91.4506565,18.3,0.0,10.5,76.42,53.32,120.08
2023-01-12,Habiganj,24.4771236,91.4506565,17.4,0.0,8.8,115.28,80.18,153.96
2023-01-13,Habiganj,24.4771236,91.4506565,16.5,0.0,8.0,152.29,105.44,173.0
2023-01-14,Habiganj,24.4771236,91.4506565,18.0,1.0,7.3,113.77,78.64,167.12
2023-01-15,Habiganj,24.4771236,91.4506565,18.6,0.0,13.5,104.0,71.83,160.83
2023-01-16,Habiganj,24.4771236,91.4506565,18.0,0.0,8.8,112.27,77.16,158.46
2023-01-17,Habiganj,24.4771236,91.4506565,17.5,0.0,9.2,142.07,98.2,168.42
2023-01-18,Habiganj,24.4771236,91.4506565,15.4,0.0,9.5,143.04,99.2,173.17
2023-01-19,Habiganj,24.4771236,91.4506565,14.8,0.0,10.4,135.6,93.75,171.58
2023-01-20,Habiganj,24.4771236,91.4506565,15.6,0.0,9.7,122.26,84.26,167.46
2023-01-21,Habiganj,24.4771236,91.4506565,16.7,0.0,8.9,124.38,85.84,164.75
2023-01-22,Habiganj,24.4771236,91.4506565,17.0,0.0,9.7,120.73,83.7,165.92
2023-01-23,Habiganj,24.4771236,91.4506565,17.9,0.0,9.9,129.4,89.85,164.38
2023-01-24,Habiganj,24.4771236,91.4506565,19.0,0.0,9.8,112.7,78.35,166.5
2023-01-25,Habiganj,24.4771236,91.4506565,19.2,0.0,9.9,131.36,91.51,165.75
2023-01-26,Habiganj,24.4771236,91.4506565,19.8,0.0,9.7,145.23,101.23,169.58
2023-01-27,Habiganj,24.4771236,91.4506565,20.2,0.0,9.4,157.65,109.72,179.0
2023-01-28,Habiganj,24.4771236,91.4506565,20.3,0.0,9.8,144.97,100.81,176.5
2023-01-29,Habiganj,24.4771236,91.4506565,19.6,0.0,9.8,127.45,88.7,170.83
2023-01-30,Habiganj,24.4771236,91.4506565,19.1,0.0,9.0,99.19,68.9,163.58
2023-01-31,Habiganj,24.4771236,91.4506565,20.1,0.0,8.6,94.57,65.26,152.33
