Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Jamalpur,24.9196717,89.9481283,16.5,0.0,9.4,136.76,95.06,180.04
2023-01-02,Jamalpur,24.9196717,89.9481283,16.7,0.0,10.4,80.13,55.42,158.33
2023-01-03,Jamalpur,24.9196717,89.9481283,17.0,0.0,10.5,60.32,41.62,129.67
2023-01-04,Jamalpur,24.9196717,89.9481283,16.6,0.0,11.7,60.74,42.25,115.38
2023-01-05,Jamalpur,24.9196717,89.9481283,15.8,0.0,12.0,68.46,47.67,129.38
2023-01-06,Jamalpur,24.9196717,89.9481283,15.9,0.0,13.3,56.16,39.06,113.88
2023-01-07,Jamalpur,24.9196717,89.9481283,16.1,0.0,11.7,59.64,41.59,114.58
2023-01-08,Jamalpur,24.9196717,89.9481283,16.4,0.0,11.2,64.37,44.97,118.17
2023-01-09,Jamalpur,24.9196717,89.9481283,16.9,0.0,10.3,61.6,42.86,122.21
2023-01-10,Jamalpur,24.9196717,89.9481283,16.8,0.0,11.0,63.19,44.02,115.71
2023-01-11,Jamalpur,24.9196717,89.9481283,15.5,0.0,9.9,99.9,69.76,144.88
2023-01-12,Jamalpur,24.9196717,89.9481283,14.9,0.0,9.2,112.2,78.25,159.46
2023-01-13,Jamalpur,24.9196717,89.9481283,15.6,0.0,8.3,160.91,111.75,171.38
2023-01-14,Jamalpur,24.9196717,89.9481283,17.9,0.0,8.4,148.95,103.3,177.42
2023-01-15,Jamalpur,24.9196717,89.9481283,18.2,0.0,16.3,138.12,95.68,175.62
2023-01-16,Jamalpur,24.9196717,89.9481283,17.1,0.0,9.2,115.74,80.11,163.83
2023-01-17,Jamalpur,24.9196717,89.9481283,14.6,0.0,9.7,127.37,88.4,165.08
2023-01-18,Jamalpur,24.9196717,89.9481283,13.4,0.0,9.0,149.97,103.6,171.5
2023-01-19,Jamalpur,24.9196717,89.9481283,13.7,0.0,9.7,154.24,106.82,176.42
2023-01-20,Jamalpur,24.9196717,89.9481283,15.2,0.0,9.2,130.06,90.34,173.42
2023-01-21,Jamalpur,24.9196717,89.9481283,16.3,0.0,8.4,133.0,92.18,166.71
2023-01-22,Jamalpur,24.9196717,89.9481283,16.6,0.0,9.4,169.23,117.55,175.0
2023-01-23,Jamalpur,24.9196717,89.9481283,17.9,0.0,9.4,187.81,130.59,186.96
2023-01-24,Jamalpur,24.9196717,89.9481283,18.4,0.0,9.0,150.51,104.76,185.21
2023-01-25,Jamalpur,24.9196717,89.9481283,18.7,0.0,8.4,126.33,87.79,169.88
2023-01-26,Jamalpur,24.9196717,89.9481283,19.5,0.0,7.9,142.65,99.31,169.58
2023-01-27,Jamalpur,24.9196717,89.9481283,19.2,0.0,7.6,142.19,98.98,176.17
2023-01-28,Jamalpur,24.9196717,89.9481283,19.1,0.0,9.2,109.28,76.1,165.21
2023-01-29,Jamalpur,24.9196717,89.9481283,19.0,0.0,8.9,107.5,74.74,158.96
2023-01-30,Jamalpur,24.9196717,89.9481283,20.0,0.0,8.0,111.4,77.4,162.25
2023-01-31,Jamalpur,24.9196717,89.9481283,20.3,0.0,9.7,110.74,77.17,161.08
2023-02-01,Jamalpur,24.9196717,89.9481283,20.5,0.0,10.5,106.35,74.1,162.04
2023-02-02,Jamalpur,24.9196717,89.9481283,17.6,0.0,10.0,64.5,44.47,145.12
2023-02-03,Jamalpur,24.9196717,89.9481283,18.3,0.0,9.7,83.48,58.22,135.38
2023-02-04,Jamalpur,24.9196717,89.9481283,18.5,0.0,8.9,106.87,74.72,155.92
2023-02-05,Jamalpur,24.9196717,89.9481283,18.0,0.0,10.7,129.67,90.57,164.08
2023-02-06,Jamalpur,24.9196717,89.9481283,17.9,0.0,10.2,134.23,93.17,172.83
2023-02-07,Jamalpur,24.9196717,89.9481283,18.6,0.0,10.1,100.42,69.25,162.54
2023-02-08,Jamalpur,24.9196717,89.9481283,19.9,0.0,10.0,80.34,54.83,152.0
2023-02-09,Jamalpur,24.9196717,89.9481283,20.1,0.1,9.7,93.72,63.52,145.75
2023-02-10,Jamalpur,24.9196717,89.9481283,19.3,0.0,10.5,108.86,74.94,159.25
2023-02-11,Jamalpur,24.9196717,89.9481283,19.9,0.0,9.3,129.15,89.3,164.62
2023-02-12,Jamalpur,24.9196717,89.9481283,21.0,0.0,18.0,105.86,73.07,165.58
2023-02-13,Jamalpur,24.9196717,89.9481283,19.5,0.0,18.4,46.2,31.25,121.92
2023-02-14,Jamalpur,24.9196717,89.9481283,18.0,0.0,9.6,58.17,40.11,101.83
2023-02-15,Jamalpur,24.9196717,89.9481283,19.3,0.0,7.8,75.88,52.67,125.17
2023-02-16,Jamalpur,24.9196717,89.9481283,19.5,0.0,7.9,108.71,75.72,155.0
2023-02-17,Jamalpur,24.9196717,89.9481283,20.5,0.0,10.2,126.92,88.41,165.08
2023-02-18,Jamalpur,24.9196717,89.9481283,21.2,0.0,9.1,125.42,86.71,166.08
2023-02-19,Jamalpur,24.9196717,89.9481283,21.8,0.0,9.0,139.78,95.57,168.21
2023-02-20,Jamalpur,24.9196717,89.9481283,22.9,0.0,8.8,150.55,103.86,172.29
2023-02-21,Jamalpur,24.9196717,89.9481283,23.6,1.1,13.8,124.64,85.64,172.71
2023-02-22,Jamalpur,24.9196717,89.9481283,23.9,0.0,18.1,76.12,52.4,156.75
2023-02-23,Jamalpur,24.9196717,89.9481283,24.1,0.0,15.4,62.91,42.75,122.04
2023-02-24,Jamalpur,24.9196717,89.9481283,22.8,0.0,12.7,83.93,57.4,140.88
2023-02-25,Jamalpur,24.9196717,89.9481283,22.0,0.0,11.2,79.89,55.01,149.92
2023-02-26,Jamalpur,24.9196717,89.9481283,21.8,0.0,12.5,63.87,43.82,128.92
2023-02-27,Jamalpur,24.9196717,89.9481283,22.5,0.0,10.5,93.0,64.6,147.08
2023-02-28,Jamalpur,24.9196717,89.9481283,22.0,0.0,11.8,92.34,63.82,153.79
