Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Jessore,23.1634014,89.2181664,18.7,0.0,9.2,210.86,146.73,202.08
2023-01-02,Jessore,23.1634014,89.2181664,18.7,0.0,10.5,144.51,99.95,185.96
2023-01-03,Jessore,23.1634014,89.2181664,17.8,0.0,14.3,103.1,71.25,165.58
2023-01-04,Jessore,23.1634014,89.2181664,16.7,0.0,13.2,107.69,74.86,158.83
2023-01-05,Jessore,23.1634014,89.2181664,15.8,0.0,14.5,116.08,80.96,163.5
2023-01-06,Jessore,23.1634014,89.2181664,15.7,0.0,13.1,91.54,63.95,158.5
2023-01-07,Jessore,23.1634014,89.2181664,15.3,0.0,10.9,89.97,62.79,153.42
2023-01-08,Jessore,23.1634014,89.2181664,16.6,0.0,10.3,85.68,59.89,154.42
2023-01-09,Jessore,23.1634014,89.2181664,17.5,0.0,10.3,82.92,57.98,149.96
2023-01-10,Jessore,23.1634014,89.2181664,17.1,0.0,10.5,101.98,71.25,154.17
2023-01-11,Jessore,23.1634014,89.2181664,16.3,0.0,11.6,136.35,95.11,163.79
2023-01-12,Jessore,23.1634014,89.2181664,15.6,0.0,8.4,156.53,108.82,174.08
2023-01-13,Jessore,23.1634014,89.2181664,18.5,0.0,10.5,187.92,129.02,186.92
2023-01-14,Jessore,23.1634014,89.2181664,20.0,0.4,8.9,200.45,137.86,189.96
2023-01-15,Jessore,23.1634014,89.2181664,20.3,0.6,10.3,165.71,114.58,192.75
2023-01-16,Jessore,23.1634014,89.2181664,18.8,0.0,11.9,113.8,78.7,165.58
2023-01-17,Jessore,23.1634014,89.2181664,17.6,0.0,9.9,125.12,87.05,163.62
2023-01-18,Jessore,23.1634014,89.2181664,17.9,0.0,9.4,151.8,105.5,170.75
2023-01-19,Jessore,23.1634014,89.2181664,17.3,0.0,10.4,161.15,111.58,179.75
2023-01-20,Jessore,23.1634014,89.2181664,16.6,0.0,10.5,162.17,112.28,179.33
2023-01-21,Jessore,23.1634014,89.2181664,17.4,0.0,9.5,205.39,142.5,185.54
2023-01-22,Jessore,23.1634014,89.2181664,19.5,0.0,7.8,243.27,169.35,209.08
2023-01-23,Jessore,23.1634014,89.2181664,20.9,0.0,8.0,266.62,185.92,229.58
2023-01-24,Jessore,23.1634014,89.2181664,21.8,0.0,8.0,239.68,167.35,231.71
2023-01-25,Jessore,23.1634014,89.2181664,21.5,0.0,8.3,214.35,149.55,197.75
2023-01-26,Jessore,23.1634014,89.2181664,22.8,0.0,13.0,226.01,157.84,218.08
2023-01-27,Jessore,23.1634014,89.2181664,22.0,0.0,11.1,133.69,92.85,187.25
2023-01-28,Jessore,23.1634014,89.2181664,21.4,0.0,10.1,115.42,80.28,163.17
2023-01-29,Jessore,23.1634014,89.2181664,19.5,0.0,10.1,86.43,59.78,157.33
2023-01-30,Jessore,23.1634014,89.2181664,20.2,0.0,9.7,122.32,84.66,158.29
2023-01-31,Jessore,23.1634014,89.2181664,21.4,0.0,9.1,141.35,98.48,169.67
2023-02-01,Jessore,23.1634014,89.2181664,21.3,0.0,13.4,91.63,63.53,164.96
2023-02-02,Jessore,23.1634014,89.2181664,19.5,0.0,16.2,77.6,53.48,142.83
2023-02-03,Jessore,23.1634014,89.2181664,18.8,0.0,11.3,98.0,68.4,153.46
2023-02-04,Jessore,23.1634014,89.2181664,19.7,0.0,12.8,119.63,83.48,161.92
2023-02-05,Jessore,23.1634014,89.2181664,19.4,0.0,9.5,126.98,87.99,166.42
2023-02-06,Jessore,23.1634014,89.2181664,20.3,0.0,11.4,118.94,82.26,166.96
2023-02-07,Jessore,23.1634014,89.2181664,21.9,0.0,13.2,83.68,56.18,156.92
2023-02-08,Jessore,23.1634014,89.2181664,23.1,0.0,14.1,62.13,41.55,118.12
2023-02-09,Jessore,23.1634014,89.2181664,22.6,0.0,10.1,96.39,66.26,145.21
2023-02-10,Jessore,23.1634014,89.2181664,21.7,0.0,12.2,79.45,55.28,151.21
2023-02-11,Jessore,23.1634014,89.2181664,23.5,0.0,12.8,123.73,85.65,159.79
2023-02-12,Jessore,23.1634014,89.2181664,24.2,0.0,13.5,78.49,53.32,156.75
2023-02-13,Jessore,23.1634014,89.2181664,21.4,0.0,16.6,44.93,30.35,118.88
2023-02-14,Jessore,23.1634014,89.2181664,19.3,0.0,11.8,53.71,37.27,98.0
2023-02-15,Jessore,23.1634014,89.2181664,19.6,0.0,9.8,82.92,57.48,132.71
2023-02-16,Jessore,23.1634014,89.2181664,20.9,0.0,10.2,96.19,66.49,154.67
2023-02-17,Jessore,23.1634014,89.2181664,22.5,0.0,13.4,100.66,66.44,157.21
2023-02-18,Jessore,23.1634014,89.2181664,22.7,1.4,11.5,97.28,63.6,152.08
2023-02-19,Jessore,23.1634014,89.2181664,23.5,0.3,10.4,117.03,79.16,158.17
2023-02-20,Jessore,23.1634014,89.2181664,24.8,0.0,9.4,82.72,55.98,157.96
2023-02-21,Jessore,23.1634014,89.2181664,26.2,0.2,14.2,67.1,44.98,125.29
2023-02-22,Jessore,23.1634014,89.2181664,26.6,0.0,20.0,60.53,40.38,129.54
2023-02-23,Jessore,23.1634014,89.2181664,26.4,0.0,15.4,56.15,37.42,104.62
2023-02-24,Jessore,23.1634014,89.2181664,26.1,0.0,10.2,68.38,45.84,111.0
2023-02-25,Jessore,23.1634014,89.2181664,25.3,0.0,8.4,102.42,69.48,147.71
2023-02-26,Jessore,23.1634014,89.2181664,24.4,0.0,10.1,117.76,81.17,163.21
2023-02-27,Jessore,23.1634014,89.2181664,25.5,0.0,14.2,121.93,84.52,164.29
2023-02-28,Jessore,23.1634014,89.2181664,24.6,0.0,10.5,91.04,63.15,160.29
2023-03-01,Jessore,23.1634014,89.2181664,24.7,0.0,10.2,82.82,57.32,150.25
2023-03-02,Jessore,23.1634014,89.2181664,25.2,0.0,10.5,73.23,50.57,146.75
2023-03-03,Jessore,23.1634014,89.2181664,25.9,0.0,15.3,84.47,57.92,148.96
2023-03-04,Jessore,23.1634014,89.2181664,25.5,0.0,10.3,97.22,67.06,153.58
2023-03-05,Jessore,23.1634014,89.2181664,26.1,0.0,9.4,99.36,68.73,157.04
2023-03-06,Jessore,23.1634014,89.2181664,26.1,0.0,11.4,68.2,46.85,149.17
2023-03-07,Jessore,23.1634014,89.2181664,26.4,0.0,7.6,57.51,39.97,113.0
2023-03-08,Jessore,23.1634014,89.2181664,25.9,0.0,11.3,57.62,39.98,111.75
2023-03-09,Jessore,23.1634014,89.2181664,26.1,0.0,11.5,74.56,51.79,115.46
2023-03-10,Jessore,23.1634014,89.2181664,26.3,0.0,9.3,100.67,70.09,154.04
2023-03-11,Jessore,23.1634014,89.2181664,26.0,0.0,9.5,130.32,90.88,164.5
2023-03-12,Jessore,23.1634014,89.2181664,26.5,0.0,10.6,91.1,63.42,159.58
2023-03-13,Jessore,23.1634014,89.2181664,27.4,0.0,12.7,83.52,58.14,152.75
2023-03-14,Jessore,23.1634014,89.2181664,26.5,1.3,21.3,101.83,70.51,161.08
2023-03-15,Jessore,23.1634014,89.2181664,26.9,0.3,20.1,93.4,63.7,159.88
2023-03-16,Jessore,23.1634014,89.2181664,25.2,11.7,21.6,80.54,54.27,150.54
2023-03-17,Jessore,23.1634014,89.2181664,24.2,6.0,12.4,81.07,55.78,151.75
2023-03-18,Jessore,23.1634014,89.2181664,22.6,8.0,17.9,80.88,55.74,149.21
2023-03-19,Jessore,23.1634014,89.2181664,22.0,15.2,14.0,64.78,44.81,148.54
2023-03-20,Jessore,23.1634014,89.2181664,21.6,13.3,14.3,29.58,20.13,77.75
2023-03-21,Jessore,23.1634014,89.2181664,22.1,39.6,20.5,39.88,27.18,71.38
2023-03-22,Jessore,23.1634014,89.2181664,23.1,0.3,10.3,54.56,37.52,101.62
2023-03-23,Jessore,23.1634014,89.2181664,24.0,1.0,13.0,71.84,49.59,136.42
2023-03-24,Jessore,23.1634014,89.2181664,24.2,0.1,11.0,65.19,44.91,118.42
2023-03-25,Jessore,23.1634014,89.2181664,25.5,1.8,10.0,60.59,41.28,123.92
2023-03-26,Jessore,23.1634014,89.2181664,26.2,7.6,14.5,56.96,38.22,111.88
2023-03-27,Jessore,23.1634014,89.2181664,25.4,3.6,14.3,82.51,55.87,131.67
2023-03-28,Jessore,23.1634014,89.2181664,26.6,0.0,10.2,75.2,51.31,146.67
2023-03-29,Jessore,23.1634014,89.2181664,25.0,21.8,17.8,64.3,43.51,129.17
2023-03-30,Jessore,23.1634014,89.2181664,26.1,14.8,13.5,49.49,33.21,104.25
2023-03-31,Jessore,23.1634014,89.2181664,24.6,4.5,17.7,51.2,34.45,100.21
2023-04-01,Jessore,23.1634014,89.2181664,23.3,5.4,11.1,56.4,39.02,113.88
2023-04-02,Jessore,23.1634014,89.2181664,25.2,0.5,12.6,65.98,45.43,127.04
2023-04-03,Jessore,23.1634014,89.2181664,26.5,0.0,13.6,66.9,46.02,136.75
2023-04-04,Jessore,23.1634014,89.2181664,26.3,3.1,15.2,53.79,36.73,114.79
2023-04-05,Jessore,23.1634014,89.2181664,28.2,0.3,16.0,56.33,37.83,107.42
2023-04-06,Jessore,23.1634014,89.2181664,27.7,0.0,11.0,58.37,39.78,124.17
2023-04-07,Jessore,23.1634014,89.2181664,27.5,0.0,10.0,60.23,41.31,117.12
2023-04-08,Jessore,23.1634014,89.2181664,28.0,0.0,9.4,71.68,49.16,136.54
2023-04-09,Jessore,23.1634014,89.2181664,29.1,0.0,9.9,77.97,53.71,146.96
2023-04-10,Jessore,23.1634014,89.2181664,29.2,0.0,9.7,90.73,62.72,154.08
2023-04-11,Jessore,23.1634014,89.2181664,29.9,0.0,9.0,78.69,54.23,154.88
2023-04-12,Jessore,23.1634014,89.2181664,29.0,0.0,10.1,90.23,62.62,156.92
2023-04-13,Jessore,23.1634014,89.2181664,29.8,0.0,13.8,82.73,57.25,158.92
2023-04-14,Jessore,23.1634014,89.2181664,31.1,0.0,11.8,66.92,46.27,142.88
2023-04-15,Jessore,23.1634014,89.2181664,31.5,0.0,10.3,74.52,51.49,133.29
2023-04-16,Jessore,23.1634014,89.2181664,31.9,0.0,13.0,94.05,64.98,154.33
2023-04-17,Jessore,23.1634014,89.2181664,31.5,0.7,17.3,79.82,54.89,154.33
2023-04-18,Jessore,23.1634014,89.2181664,31.4,0.4,15.4,65.6,44.01,138.12
2023-04-19,Jessore,23.1634014,89.2181664,32.2,0.0,16.6,56.6,37.83,119.96
2023-04-20,Jessore,23.1634014,89.2181664,31.4,0.6,21.7,51.96,34.22,118.04
2023-04-21,Jessore,23.1634014,89.2181664,31.0,0.0,19.1,63.65,43.0,113.29
2023-04-22,Jessore,23.1634014,89.2181664,28.6,1.2,15.3,69.05,47.45,137.71
2023-04-23,Jessore,23.1634014,89.2181664,27.3,3.9,15.8,71.61,49.66,143.17
