Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Jhalokati,22.57208,90.1869644,18.5,0.0,10.0,188.41,131.03,196.83
2023-01-02,Jhalokati,22.57208,90.1869644,18.6,0.0,8.5,141.71,98.12,181.46
2023-01-03,Jhalokati,22.57208,90.1869644,17.9,0.0,11.9,115.28,79.45,168.21
2023-01-04,Jhalokati,22.57208,90.1869644,17.4,0.0,13.3,83.36,57.91,155.83
2023-01-05,Jhalokati,22.57208,90.1869644,17.0,0.0,15.3,88.4,61.65,152.29
2023-01-06,Jhalokati,22.57208,90.1869644,16.3,0.0,12.2,83.12,57.98,152.62
2023-01-07,Jhalokati,22.57208,90.1869644,15.5,0.0,9.7,79.41,55.28,149.38
2023-01-08,Jhalokati,22.57208,90.1869644,16.9,0.0,9.7,69.1,48.19,145.75
2023-01-09,Jhalokati,22.57208,90.1869644,18.7,0.0,10.0,60.58,42.28,117.17
2023-01-10,Jhalokati,22.57208,90.1869644,18.7,0.0,10.2,69.05,48.13,125.88
2023-01-11,Jhalokati,22.57208,90.1869644,17.3,0.0,9.6,110.47,77.07,148.58
2023-01-12,Jhalokati,22.57208,90.1869644,16.8,0.0,7.6,134.34,93.28,167.08
2023-01-13,Jhalokati,22.57208,90.1869644,18.4,0.0,8.7,143.9,99.5,173.75
2023-01-14,Jhalokati,22.57208,90.1869644,20.1,0.4,10.1,116.71,78.07,165.79
2023-01-15,Jhalokati,22.57208,90.1869644,20.4,0.3,14.6,115.95,79.37,163.08
2023-01-16,Jhalokati,22.57208,90.1869644,19.2,0.0,12.3,125.67,86.81,162.25
2023-01-17,Jhalokati,22.57208,90.1869644,18.4,0.0,10.2,133.95,93.06,168.67
2023-01-18,Jhalokati,22.57208,90.1869644,18.5,0.0,9.8,146.52,102.0,171.38
2023-01-19,Jhalokati,22.57208,90.1869644,17.3,0.0,11.2,159.2,110.59,177.83
2023-01-20,Jhalokati,22.57208,90.1869644,16.5,0.0,11.1,143.99,99.57,176.42
2023-01-21,Jhalokati,22.57208,90.1869644,17.1,0.0,11.7,146.93,101.7,174.08
2023-01-22,Jhalokati,22.57208,90.1869644,19.4,0.0,10.2,160.84,111.68,176.58
