Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Jhenaidah,23.5449873,89.1726031,18.3,0.0,9.1,215.96,150.08,201.38
2023-01-02,Jhenaidah,23.5449873,89.1726031,18.3,0.0,9.3,130.86,90.33,183.92
2023-01-03,Jhenaidah,23.5449873,89.1726031,17.4,0.0,14.7,91.64,63.36,160.46
2023-01-04,Jhenaidah,23.5449873,89.1726031,16.3,0.0,12.4,111.8,77.67,157.21
2023-01-05,Jhenaidah,23.5449873,89.1726031,15.4,0.0,15.1,115.03,80.21,164.25
2023-01-06,Jhenaidah,23.5449873,89.1726031,15.6,0.0,13.2,89.33,62.37,157.96
2023-01-07,Jhenaidah,23.5449873,89.1726031,15.3,0.0,11.6,86.68,60.53,152.38
2023-01-08,Jhenaidah,23.5449873,89.1726031,16.2,0.0,10.8,85.68,59.93,153.29
2023-01-09,Jhenaidah,23.5449873,89.1726031,16.8,0.0,9.8,85.2,59.55,151.38
2023-01-10,Jhenaidah,23.5449873,89.1726031,16.6,0.0,10.9,103.05,71.99,154.83
2023-01-11,Jhenaidah,23.5449873,89.1726031,15.2,0.0,10.9,133.8,93.36,163.96
2023-01-12,Jhenaidah,23.5449873,89.1726031,15.6,0.0,7.9,151.35,105.09,173.0
2023-01-13,Jhenaidah,23.5449873,89.1726031,17.8,0.0,9.2,190.51,131.49,184.08
2023-01-14,Jhenaidah,23.5449873,89.1726031,19.2,0.1,10.3,198.78,137.67,193.79
2023-01-15,Jhenaidah,23.5449873,89.1726031,19.3,0.0,10.5,149.08,103.0,185.75
2023-01-16,Jhenaidah,23.5449873,89.1726031,18.0,0.0,10.6,108.4,74.99,163.33
2023-01-17,Jhenaidah,23.5449873,89.1726031,16.6,0.0,8.6,128.67,89.43,163.0
2023-01-18,Jhenaidah,23.5449873,89.1726031,16.9,0.0,8.7,158.04,109.45,172.88
2023-01-19,Jhenaidah,23.5449873,89.1726031,16.2,0.0,9.7,164.48,113.68,181.67
2023-01-20,Jhenaidah,23.5449873,89.1726031,15.9,0.0,9.4,163.51,113.23,179.04
2023-01-21,Jhenaidah,23.5449873,89.1726031,17.3,0.0,10.0,215.92,149.66,187.88
2023-01-22,Jhenaidah,23.5449873,89.1726031,19.4,0.0,8.1,264.11,183.84,219.67
