Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Joypurhat,25.0947349,89.0944937,16.4,0.0,9.2,116.85,80.94,171.71
2023-01-02,Joypurhat,25.0947349,89.0944937,16.5,0.0,9.3,72.25,49.79,150.92
2023-01-03,Joypurhat,25.0947349,89.0944937,16.4,0.0,11.0,64.22,44.39,127.62
2023-01-04,Joypurhat,25.0947349,89.0944937,15.6,0.0,10.8,98.69,68.38,146.71
2023-01-05,Joypurhat,25.0947349,89.0944937,14.8,0.0,11.3,89.76,62.52,156.38
2023-01-06,Joypurhat,25.0947349,89.0944937,15.0,0.0,12.9,66.57,46.42,139.38
2023-01-07,Joypurhat,25.0947349,89.0944937,14.8,0.0,11.7,63.52,44.38,123.17
2023-01-08,Joypurhat,25.0947349,89.0944937,14.8,0.0,10.5,76.58,53.58,135.38
2023-01-09,Joypurhat,25.0947349,89.0944937,15.4,0.0,9.7,74.86,52.28,143.17
2023-01-10,Joypurhat,25.0947349,89.0944937,15.3,0.0,10.0,88.36,61.72,148.5
2023-01-11,Joypurhat,25.0947349,89.0944937,14.1,0.0,8.6,108.96,76.04,157.17
2023-01-12,Joypurhat,25.0947349,89.0944937,13.6,0.0,8.2,112.0,78.04,160.46
2023-01-13,Joypurhat,25.0947349,89.0944937,15.0,0.0,8.9,145.85,100.96,168.29
2023-01-14,Joypurhat,25.0947349,89.0944937,17.4,0.0,8.9,147.35,102.13,176.58
2023-01-15,Joypurhat,25.0947349,89.0944937,17.0,0.0,15.5,128.04,88.73,171.33
2023-01-16,Joypurhat,25.0947349,89.0944937,15.6,0.0,9.5,102.32,70.93,160.08
2023-01-17,Joypurhat,25.0947349,89.0944937,13.8,0.0,9.4,123.08,85.28,161.83
2023-01-18,Joypurhat,25.0947349,89.0944937,12.9,0.0,10.2,146.55,101.18,168.88
2023-01-19,Joypurhat,25.0947349,89.0944937,13.7,0.0,8.6,169.49,117.5,180.75
2023-01-20,Joypurhat,25.0947349,89.0944937,14.3,0.0,9.5,149.98,104.08,177.58
