Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Khulna,22.845641,89.5403279,19.0,0.0,9.5,200.31,139.35,200.96
2023-01-02,Khulna,22.845641,89.5403279,19.0,0.0,9.5,149.74,103.52,185.21
2023-01-03,Khulna,22.845641,89.5403279,18.2,0.0,13.1,113.36,78.12,169.21
2023-01-04,Khulna,22.845641,89.5403279,17.1,0.0,14.1,89.31,62.1,157.08
2023-01-05,Khulna,22.845641,89.5403279,16.3,0.0,14.7,106.07,74.0,157.46
2023-01-06,Khulna,22.845641,89.5403279,16.2,0.0,12.6,88.45,61.73,156.33
2023-01-07,Khulna,22.845641,89.5403279,15.5,0.0,10.5,86.86,60.57,152.29
2023-01-08,Khulna,22.845641,89.5403279,16.9,0.0,9.7,77.3,53.99,152.54
2023-01-09,Khulna,22.845641,89.5403279,18.2,0.0,9.8,68.75,48.04,129.88
2023-01-10,Khulna,22.845641,89.5403279,17.9,0.0,9.7,83.79,58.47,142.96
2023-01-11,Khulna,22.845641,89.5403279,17.3,0.0,10.6,129.64,90.45,158.46
2023-01-12,Khulna,22.845641,89.5403279,16.3,0.0,7.5,145.6,101.18,172.12
2023-01-13,Khulna,22.845641,89.5403279,18.7,0.0,11.0,157.93,108.54,179.67
2023-01-14,Khulna,22.845641,89.5403279,20.3,0.0,9.4,121.93,82.51,165.62
2023-01-15,Khulna,22.845641,89.5403279,21.1,0.0,10.9,135.74,93.35,172.12
2023-01-16,Khulna,22.845641,89.5403279,19.1,0.0,12.3,119.96,82.87,163.58
2023-01-17,Khulna,22.845641,89.5403279,18.3,0.0,9.9,127.69,88.8,165.67
2023-01-18,Khulna,22.845641,89.5403279,18.4,0.0,9.8,148.24,103.17,170.71
2023-01-19,Khulna,22.845641,89.5403279,17.8,0.0,10.9,159.47,110.62,178.71
2023-01-20,Khulna,22.845641,89.5403279,17.1,0.0,11.3,152.68,105.68,177.62
2023-01-21,Khulna,22.845641,89.5403279,17.7,0.0,10.2,175.28,121.53,179.58
2023-01-22,Khulna,22.845641,89.5403279,19.8,0.0,8.2,201.7,140.26,190.33
2023-01-23,Khulna,22.845641,89.5403279,21.1,0.0,9.3,229.86,160.25,201.75
2023-01-24,Khulna,22.845641,89.5403279,22.3,0.0,7.6,221.93,154.9,212.0
2023-01-25,Khulna,22.845641,89.5403279,21.6,0.0,8.3,210.96,147.18,194.42
2023-01-26,Khulna,22.845641,89.5403279,22.8,0.0,9.9,243.54,170.18,222.25
2023-01-27,Khulna,22.845641,89.5403279,22.3,0.0,10.5,165.26,115.0,200.71
2023-01-28,Khulna,22.845641,89.5403279,21.7,0.0,11.6,114.77,79.8,166.62
2023-01-29,Khulna,22.845641,89.5403279,20.1,0.0,10.6,89.8,62.18,158.46
2023-01-30,Khulna,22.845641,89.5403279,20.9,0.0,8.8,121.44,83.82,157.92
2023-01-31,Khulna,22.845641,89.5403279,21.6,0.0,11.5,138.14,96.22,169.88
2023-02-01,Khulna,22.845641,89.5403279,21.3,0.0,15.3,99.92,69.33,165.29
2023-02-02,Khulna,22.845641,89.5403279,19.9,0.0,14.9,67.45,46.3,140.21
2023-02-03,Khulna,22.845641,89.5403279,18.7,0.0,10.9,88.19,61.51,145.58
2023-02-04,Khulna,22.845641,89.5403279,19.7,0.0,11.7,112.57,78.52,157.79
2023-02-05,Khulna,22.845641,89.5403279,20.0,0.0,10.8,124.98,86.55,164.92
2023-02-06,Khulna,22.845641,89.5403279,21.2,0.0,11.4,118.25,81.55,167.5
2023-02-07,Khulna,22.845641,89.5403279,22.0,0.0,14.8,69.69,45.36,146.83
2023-02-08,Khulna,22.845641,89.5403279,23.6,0.0,14.3,45.85,29.16,100.08
2023-02-09,Khulna,22.845641,89.5403279,24.2,0.1,10.8,71.01,48.05,101.46
2023-02-10,Khulna,22.845641,89.5403279,22.7,0.0,12.8,106.35,73.91,154.83
2023-02-11,Khulna,22.845641,89.5403279,23.9,0.0,13.6,96.73,66.4,159.67
2023-02-12,Khulna,22.845641,89.5403279,25.0,0.0,10.9,67.0,45.09,128.75
2023-02-13,Khulna,22.845641,89.5403279,21.9,0.0,13.8,51.02,34.39,121.25
2023-02-14,Khulna,22.845641,89.5403279,20.1,0.0,11.3,57.55,39.78,100.0
2023-02-15,Khulna,22.845641,89.5403279,20.5,0.0,8.1,88.33,61.4,139.04
2023-02-16,Khulna,22.845641,89.5403279,21.4,0.0,9.4,95.32,65.5,155.46
2023-02-17,Khulna,22.845641,89.5403279,23.3,0.0,15.1,82.86,53.39,152.33
2023-02-18,Khulna,22.845641,89.5403279,22.8,2.0,14.1,86.22,55.83,139.92
2023-02-19,Khulna,22.845641,89.5403279,23.6,0.1,9.6,107.06,71.84,154.5
2023-02-20,Khulna,22.845641,89.5403279,25.0,0.0,11.5,69.65,46.7,149.33
2023-02-21,Khulna,22.845641,89.5403279,26.0,0.2,14.9,53.22,34.76,111.62
2023-02-22,Khulna,22.845641,89.5403279,26.3,0.0,19.9,54.11,35.57,103.58
2023-02-23,Khulna,22.845641,89.5403279,26.5,0.0,13.8,50.77,33.1,97.0
2023-02-24,Khulna,22.845641,89.5403279,26.2,0.0,14.8,59.82,39.1,97.5
2023-02-25,Khulna,22.845641,89.5403279,25.6,0.1,9.7,85.41,57.44,135.08
2023-02-26,Khulna,22.845641,89.5403279,24.6,0.0,11.6,104.56,72.03,156.21
2023-02-27,Khulna,22.845641,89.5403279,25.5,0.2,13.1,93.25,64.29,158.08
2023-02-28,Khulna,22.845641,89.5403279,25.3,0.0,11.0,83.4,57.48,148.54
2023-03-01,Khulna,22.845641,89.5403279,25.0,0.0,8.7,90.8,62.85,154.33
2023-03-02,Khulna,22.845641,89.5403279,25.8,0.0,9.3,72.92,50.46,144.38
2023-03-03,Khulna,22.845641,89.5403279,26.2,0.0,13.8,85.33,58.71,151.5
2023-03-04,Khulna,22.845641,89.5403279,25.9,0.0,12.3,79.1,54.43,142.12
2023-03-05,Khulna,22.845641,89.5403279,25.7,0.0,9.9,91.33,63.12,152.92
2023-03-06,Khulna,22.845641,89.5403279,26.1,0.0,10.1,72.35,49.57,148.46
2023-03-07,Khulna,22.845641,89.5403279,26.1,0.0,10.1,59.67,41.52,123.46
2023-03-08,Khulna,22.845641,89.5403279,25.6,0.0,10.3,62.52,43.5,121.71
2023-03-09,Khulna,22.845641,89.5403279,25.9,0.0,12.9,70.63,49.05,114.42
2023-03-10,Khulna,22.845641,89.5403279,26.0,0.0,10.6,97.22,67.7,151.42
2023-03-11,Khulna,22.845641,89.5403279,26.8,0.0,10.4,118.4,82.55,162.54
2023-03-12,Khulna,22.845641,89.5403279,26.4,0.0,11.4,85.75,59.68,155.88
2023-03-13,Khulna,22.845641,89.5403279,27.0,0.0,11.2,84.6,58.9,152.92
2023-03-14,Khulna,22.845641,89.5403279,26.7,0.9,16.3,83.65,57.76,154.29
2023-03-15,Khulna,22.845641,89.5403279,26.1,4.7,21.6,69.49,46.68,139.21
2023-03-16,Khulna,22.845641,89.5403279,25.4,14.0,17.8,68.62,45.62,118.67
2023-03-17,Khulna,22.845641,89.5403279,23.8,19.0,18.9,86.5,58.95,147.08
2023-03-18,Khulna,22.845641,89.5403279,23.0,3.5,9.5,68.82,47.14,142.92
2023-03-19,Khulna,22.845641,89.5403279,22.0,24.9,12.2,44.52,30.72,118.12
2023-03-20,Khulna,22.845641,89.5403279,22.4,8.4,14.5,21.42,14.3,62.67
2023-03-21,Khulna,22.845641,89.5403279,22.7,6.3,18.2,23.98,15.86,53.92
2023-03-22,Khulna,22.845641,89.5403279,23.8,1.5,11.4,37.83,25.88,66.54
