Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Kishoreganj,24.4260457,90.9820668,17.0,0.0,9.4,170.02,118.21,192.08
2023-01-02,Kishoreganj,24.4260457,90.9820668,17.6,0.0,8.8,127.28,88.16,174.21
2023-01-03,Kishoreganj,24.4260457,90.9820668,16.9,0.0,9.7,94.2,65.24,160.88
2023-01-04,Kishoreganj,24.4260457,90.9820668,17.3,0.0,9.7,72.18,50.16,148.29
2023-01-05,Kishoreganj,24.4260457,90.9820668,17.2,0.0,10.5,54.88,38.1,120.21
2023-01-06,Kishoreganj,24.4260457,90.9820668,16.9,0.0,8.7,50.5,35.0,101.08
2023-01-07,Kishoreganj,24.4260457,90.9820668,16.6,0.0,8.2,56.78,39.58,106.83
2023-01-08,Kishoreganj,24.4260457,90.9820668,17.9,0.0,8.0,60.01,41.86,114.0
2023-01-09,Kishoreganj,24.4260457,90.9820668,18.5,0.0,10.4,60.72,42.34,114.38
2023-01-10,Kishoreganj,24.4260457,90.9820668,18.7,0.0,9.7,61.96,43.2,117.12
2023-01-11,Kishoreganj,24.4260457,90.9820668,17.8,0.0,10.5,80.04,55.81,131.88
2023-01-12,Kishoreganj,24.4260457,90.9820668,16.3,0.0,8.0,119.85,83.4,156.42
2023-01-13,Kishoreganj,24.4260457,90.9820668,16.5,0.0,9.5,156.08,108.22,171.46
2023-01-14,Kishoreganj,24.4260457,90.9820668,18.6,0.4,8.8,144.24,99.8,177.08
2023-01-15,Kishoreganj,24.4260457,90.9820668,19.0,0.0,13.5,132.76,91.9,173.42
2023-01-16,Kishoreganj,24.4260457,90.9820668,17.7,0.0,9.8,125.92,86.88,164.71
2023-01-17,Kishoreganj,24.4260457,90.9820668,16.8,0.0,9.7,119.02,82.53,164.71
2023-01-18,Kishoreganj,24.4260457,90.9820668,15.6,0.0,9.1,131.72,91.0,166.67
2023-01-19,Kishoreganj,24.4260457,90.9820668,15.0,0.0,9.9,149.37,103.19,172.54
2023-01-20,Kishoreganj,24.4260457,90.9820668,15.6,0.0,10.2,164.38,114.15,178.79
2023-01-21,Kishoreganj,24.4260457,90.9820668,17.0,0.0,10.2,137.94,95.78,174.75
2023-01-22,Kishoreganj,24.4260457,90.9820668,17.7,0.0,9.7,167.12,116.08,175.29
2023-01-23,Kishoreganj,24.4260457,90.9820668,18.5,0.0,9.2,216.04,150.28,191.12
2023-01-24,Kishoreganj,24.4260457,90.9820668,19.3,0.0,9.7,184.76,128.57,199.17
2023-01-25,Kishoreganj,24.4260457,90.9820668,19.3,0.0,9.8,155.1,108.17,179.08
2023-01-26,Kishoreganj,24.4260457,90.9820668,20.5,0.0,8.8,182.53,127.36,181.42
2023-01-27,Kishoreganj,24.4260457,90.9820668,20.6,0.0,9.4,166.46,115.93,191.38
2023-01-28,Kishoreganj,24.4260457,90.9820668,20.3,0.0,8.9,105.22,73.11,166.79
2023-01-29,Kishoreganj,24.4260457,90.9820668,19.5,0.0,10.2,103.88,72.02,157.96
2023-01-30,Kishoreganj,24.4260457,90.9820668,19.5,0.0,8.6,128.3,89.07,165.75
2023-01-31,Kishoreganj,24.4260457,90.9820668,20.8,0.0,8.7,119.88,83.39,165.71
2023-02-01,Kishoreganj,24.4260457,90.9820668,20.8,0.0,8.1,111.9,78.01,163.04
2023-02-02,Kishoreganj,24.4260457,90.9820668,19.0,0.0,12.4,60.44,41.74,146.46
2023-02-03,Kishoreganj,24.4260457,90.9820668,18.6,0.0,9.6,75.89,52.83,122.88
2023-02-04,Kishoreganj,24.4260457,90.9820668,19.0,0.0,8.7,99.09,69.2,152.83
2023-02-05,Kishoreganj,24.4260457,90.9820668,19.0,0.0,10.0,122.41,85.31,161.12
2023-02-06,Kishoreganj,24.4260457,90.9820668,19.2,0.0,8.3,121.63,84.34,169.0
2023-02-07,Kishoreganj,24.4260457,90.9820668,19.8,0.2,15.1,95.49,65.47,158.25
2023-02-08,Kishoreganj,24.4260457,90.9820668,20.7,1.0,10.5,72.26,48.44,145.92
2023-02-09,Kishoreganj,24.4260457,90.9820668,20.9,0.2,8.1,90.6,61.03,137.25
2023-02-10,Kishoreganj,24.4260457,90.9820668,21.0,0.0,10.9,102.6,70.21,159.75
2023-02-11,Kishoreganj,24.4260457,90.9820668,20.7,0.0,13.7,121.2,83.63,159.5
2023-02-12,Kishoreganj,24.4260457,90.9820668,22.0,0.1,11.2,93.1,64.08,161.92
2023-02-13,Kishoreganj,24.4260457,90.9820668,20.2,0.0,13.1,48.99,33.16,123.92
2023-02-14,Kishoreganj,24.4260457,90.9820668,18.2,0.0,10.8,66.94,46.02,114.5
2023-02-15,Kishoreganj,24.4260457,90.9820668,19.0,0.0,9.7,79.31,55.18,127.96
2023-02-16,Kishoreganj,24.4260457,90.9820668,19.9,0.0,10.7,118.05,82.25,158.25
2023-02-17,Kishoreganj,24.4260457,90.9820668,20.6,0.0,10.5,128.41,89.25,168.04
2023-02-18,Kishoreganj,24.4260457,90.9820668,22.0,0.0,9.7,125.14,86.22,167.58
2023-02-19,Kishoreganj,24.4260457,90.9820668,22.7,0.0,9.7,137.83,93.96,168.88
2023-02-20,Kishoreganj,24.4260457,90.9820668,22.7,0.1,7.7,150.27,103.37,170.46
2023-02-21,Kishoreganj,24.4260457,90.9820668,23.9,1.0,11.8,126.45,86.9,173.33
2023-02-22,Kishoreganj,24.4260457,90.9820668,24.5,0.4,18.7,77.53,52.45,157.0
2023-02-23,Kishoreganj,24.4260457,90.9820668,24.8,0.3,17.2,65.15,43.83,125.21
2023-02-24,Kishoreganj,24.4260457,90.9820668,23.0,7.7,11.9,77.52,51.63,124.83
2023-02-25,Kishoreganj,24.4260457,90.9820668,23.2,0.0,9.4,88.16,60.61,151.25
2023-02-26,Kishoreganj,24.4260457,90.9820668,22.9,0.0,12.9,73.16,50.65,149.12
2023-02-27,Kishoreganj,24.4260457,90.9820668,23.1,0.0,11.5,82.34,57.14,133.67
2023-02-28,Kishoreganj,24.4260457,90.9820668,22.9,0.0,8.7,86.0,59.62,153.0
2023-03-01,Kishoreganj,24.4260457,90.9820668,23.0,0.0,10.9,85.77,58.63,150.92
2023-03-02,Kishoreganj,24.4260457,90.9820668,24.0,0.0,10.0,102.25,70.28,157.33
2023-03-03,Kishoreganj,24.4260457,90.9820668,24.4,0.0,14.3,97.04,66.87,158.04
2023-03-04,Kishoreganj,24.4260457,90.9820668,24.4,0.0,9.5,91.99,62.96,153.25
2023-03-05,Kishoreganj,24.4260457,90.9820668,25.3,0.0,9.8,99.95,68.73,156.08
2023-03-06,Kishoreganj,24.4260457,90.9820668,24.7,0.0,10.5,84.34,57.87,157.21
2023-03-07,Kishoreganj,24.4260457,90.9820668,24.0,0.0,10.6,59.75,41.42,128.62
2023-03-08,Kishoreganj,24.4260457,90.9820668,23.7,0.0,11.2,43.97,30.55,95.71
2023-03-09,Kishoreganj,24.4260457,90.9820668,24.5,0.0,12.9,69.8,48.47,106.62
2023-03-10,Kishoreganj,24.4260457,90.9820668,24.4,0.0,9.8,74.68,51.97,140.29
2023-03-11,Kishoreganj,24.4260457,90.9820668,24.0,0.0,9.8,80.46,56.02,149.17
2023-03-12,Kishoreganj,24.4260457,90.9820668,25.1,0.0,12.0,69.05,48.07,134.12
2023-03-13,Kishoreganj,24.4260457,90.9820668,25.4,0.0,11.8,68.21,47.15,131.92
2023-03-14,Kishoreganj,24.4260457,90.9820668,24.0,1.3,14.1,92.51,64.4,147.54
2023-03-15,Kishoreganj,24.4260457,90.9820668,22.5,7.2,23.4,103.52,71.94,157.88
2023-03-16,Kishoreganj,24.4260457,90.9820668,22.3,4.3,19.0,128.3,88.7,163.12
2023-03-17,Kishoreganj,24.4260457,90.9820668,23.1,0.0,15.9,114.58,78.99,164.58
2023-03-18,Kishoreganj,24.4260457,90.9820668,23.8,0.0,9.8,109.06,75.39,162.42
2023-03-19,Kishoreganj,24.4260457,90.9820668,21.7,8.9,14.8,93.74,64.84,159.38
2023-03-20,Kishoreganj,24.4260457,90.9820668,21.1,5.2,13.2,43.29,29.92,123.54
2023-03-21,Kishoreganj,24.4260457,90.9820668,20.9,1.1,12.9,45.88,31.54,77.46
2023-03-22,Kishoreganj,24.4260457,90.9820668,22.0,5.9,11.6,68.95,47.84,119.46
2023-03-23,Kishoreganj,24.4260457,90.9820668,22.6,1.0,13.5,75.26,52.22,133.08
2023-03-24,Kishoreganj,24.4260457,90.9820668,23.2,0.1,9.8,71.58,49.4,142.29
2023-03-25,Kishoreganj,24.4260457,90.9820668,23.9,3.0,21.3,76.65,52.98,130.5
2023-03-26,Kishoreganj,24.4260457,90.9820668,24.6,2.5,11.2,80.13,54.86,150.75
2023-03-27,Kishoreganj,24.4260457,90.9820668,24.7,2.3,23.5,93.9,63.67,150.42
2023-03-28,Kishoreganj,24.4260457,90.9820668,24.4,3.1,12.6,87.64,60.21,154.33
2023-03-29,Kishoreganj,24.4260457,90.9820668,24.3,6.2,16.8,88.2,60.72,154.67
2023-03-30,Kishoreganj,24.4260457,90.9820668,23.0,15.3,11.3,85.32,58.32,151.58
2023-03-31,Kishoreganj,24.4260457,90.9820668,23.2,19.1,22.7,67.11,45.62,136.67
2023-04-01,Kishoreganj,24.4260457,90.9820668,22.5,12.7,11.3,66.25,45.81,133.12
2023-04-02,Kishoreganj,24.4260457,90.9820668,22.4,3.5,13.0,56.42,39.14,118.17
2023-04-03,Kishoreganj,24.4260457,90.9820668,22.9,1.6,18.4,56.11,38.65,113.25
2023-04-04,Kishoreganj,24.4260457,90.9820668,24.8,0.1,19.0,53.72,36.5,103.67
2023-04-05,Kishoreganj,24.4260457,90.9820668,25.0,1.1,15.6,43.86,29.58,93.04
2023-04-06,Kishoreganj,24.4260457,90.9820668,25.5,0.0,10.8,66.33,45.1,107.5
2023-04-07,Kishoreganj,24.4260457,90.9820668,25.9,0.0,10.4,73.42,50.42,134.92
2023-04-08,Kishoreganj,24.4260457,90.9820668,26.7,0.0,10.0,67.48,46.66,137.92
2023-04-09,Kishoreganj,24.4260457,90.9820668,27.3,0.0,10.2,85.88,59.74,155.25
2023-04-10,Kishoreganj,24.4260457,90.9820668,27.9,0.0,11.4,95.72,66.52,165.08
