Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Kurigram,25.8072414,89.6294746,16.8,0.0,7.6,78.85,54.46,151.38
2023-01-02,Kurigram,25.8072414,89.6294746,16.2,0.0,10.4,65.23,44.96,137.71
2023-01-03,Kurigram,25.8072414,89.6294746,15.9,0.0,9.2,60.28,41.69,116.0
2023-01-04,Kurigram,25.8072414,89.6294746,15.8,0.0,9.8,69.26,48.15,128.17
2023-01-05,Kurigram,25.8072414,89.6294746,15.0,0.0,8.6,66.26,46.15,133.54
2023-01-06,Kurigram,25.8072414,89.6294746,14.8,0.0,9.3,60.87,42.41,114.42
2023-01-07,Kurigram,25.8072414,89.6294746,14.9,0.0,9.8,57.42,40.05,116.92
2023-01-08,Kurigram,25.8072414,89.6294746,14.8,0.0,10.0,73.93,51.68,123.08
2023-01-09,Kurigram,25.8072414,89.6294746,15.5,0.0,9.4,68.06,47.34,137.79
2023-01-10,Kurigram,25.8072414,89.6294746,15.3,0.0,8.4,73.69,51.32,132.58
2023-01-11,Kurigram,25.8072414,89.6294746,14.7,0.0,8.4,83.54,58.32,147.0
2023-01-12,Kurigram,25.8072414,89.6294746,14.9,0.0,7.7,96.07,67.13,152.38
2023-01-13,Kurigram,25.8072414,89.6294746,14.6,0.0,9.0,123.91,85.88,161.75
2023-01-14,Kurigram,25.8072414,89.6294746,16.6,0.0,9.4,113.55,78.63,164.08
2023-01-15,Kurigram,25.8072414,89.6294746,16.0,0.0,15.1,109.14,75.35,159.42
2023-01-16,Kurigram,25.8072414,89.6294746,14.3,0.0,10.5,135.53,94.03,168.46
2023-01-17,Kurigram,25.8072414,89.6294746,13.2,0.0,9.0,144.62,100.58,170.29
2023-01-18,Kurigram,25.8072414,89.6294746,13.2,0.0,8.3,166.98,116.04,177.75
2023-01-19,Kurigram,25.8072414,89.6294746,14.0,0.0,8.7,138.59,96.15,177.79
2023-01-20,Kurigram,25.8072414,89.6294746,15.0,0.0,8.9,114.93,79.62,167.92
2023-01-21,Kurigram,25.8072414,89.6294746,15.7,0.0,8.8,109.85,76.07,159.42
2023-01-22,Kurigram,25.8072414,89.6294746,16.2,0.0,9.7,90.88,63.0,159.62
2023-01-23,Kurigram,25.8072414,89.6294746,16.9,0.0,8.6,81.11,55.99,150.88
2023-01-24,Kurigram,25.8072414,89.6294746,18.4,0.0,10.3,74.7,51.51,140.75
2023-01-25,Kurigram,25.8072414,89.6294746,17.8,0.0,9.5,86.8,60.15,149.79
2023-01-26,Kurigram,25.8072414,89.6294746,18.5,0.0,8.5,84.16,58.39,152.67
2023-01-27,Kurigram,25.8072414,89.6294746,18.6,0.0,9.0,93.03,64.63,151.75
2023-01-28,Kurigram,25.8072414,89.6294746,18.7,0.0,7.8,100.12,69.54,156.88
2023-01-29,Kurigram,25.8072414,89.6294746,18.9,0.0,9.0,106.5,74.18,158.67
2023-01-30,Kurigram,25.8072414,89.6294746,19.7,0.0,9.0,89.57,62.33,157.58
2023-01-31,Kurigram,25.8072414,89.6294746,19.9,0.0,9.3,100.85,70.31,154.25
2023-02-01,Kurigram,25.8072414,89.6294746,19.3,0.0,11.9,106.85,74.56,160.75
2023-02-02,Kurigram,25.8072414,89.6294746,17.2,0.0,9.1,78.25,54.24,151.08
2023-02-03,Kurigram,25.8072414,89.6294746,17.4,0.0,9.4,90.7,63.21,151.62
2023-02-04,Kurigram,25.8072414,89.6294746,18.1,0.0,9.2,102.78,71.75,157.46
2023-02-05,Kurigram,25.8072414,89.6294746,17.5,0.0,9.0,116.55,81.4,160.46
2023-02-06,Kurigram,25.8072414,89.6294746,17.8,0.0,9.8,139.3,97.09,168.25
2023-02-07,Kurigram,25.8072414,89.6294746,18.0,0.0,12.3,131.5,91.43,172.46
2023-02-08,Kurigram,25.8072414,89.6294746,19.4,0.0,13.7,97.69,67.4,160.29
2023-02-09,Kurigram,25.8072414,89.6294746,19.4,0.0,15.0,96.43,65.65,155.33
2023-02-10,Kurigram,25.8072414,89.6294746,19.0,0.0,11.5,97.02,66.1,155.75
2023-02-11,Kurigram,25.8072414,89.6294746,19.3,0.0,8.9,104.22,71.32,157.38
2023-02-12,Kurigram,25.8072414,89.6294746,20.5,0.0,19.1,90.3,61.72,155.54
2023-02-13,Kurigram,25.8072414,89.6294746,18.5,0.0,15.0,49.97,34.46,130.62
2023-02-14,Kurigram,25.8072414,89.6294746,17.6,0.0,10.4,57.2,39.47,104.33
2023-02-15,Kurigram,25.8072414,89.6294746,18.6,0.0,8.9,74.12,51.52,121.29
2023-02-16,Kurigram,25.8072414,89.6294746,20.2,0.0,8.9,83.3,58.12,149.58
2023-02-17,Kurigram,25.8072414,89.6294746,20.7,0.0,9.2,97.41,67.85,153.62
2023-02-18,Kurigram,25.8072414,89.6294746,20.5,0.0,9.4,110.32,76.92,159.46
2023-02-19,Kurigram,25.8072414,89.6294746,21.3,0.0,10.1,118.12,82.12,162.38
2023-02-20,Kurigram,25.8072414,89.6294746,21.7,2.6,13.9,131.71,91.69,165.46
2023-02-21,Kurigram,25.8072414,89.6294746,22.4,2.3,8.6,148.7,103.43,170.67
2023-02-22,Kurigram,25.8072414,89.6294746,22.7,0.0,17.6,106.38,73.94,170.0
2023-02-23,Kurigram,25.8072414,89.6294746,23.0,0.0,17.9,77.88,53.82,153.54
2023-02-24,Kurigram,25.8072414,89.6294746,21.6,0.0,13.0,73.4,50.38,143.29
2023-02-25,Kurigram,25.8072414,89.6294746,21.6,0.0,14.8,55.9,38.11,121.33
2023-02-26,Kurigram,25.8072414,89.6294746,22.1,0.0,10.6,51.2,34.97,102.08
2023-02-27,Kurigram,25.8072414,89.6294746,21.7,0.0,10.2,55.92,38.72,101.29
2023-02-28,Kurigram,25.8072414,89.6294746,21.9,0.0,12.7,68.45,47.12,118.92
2023-03-01,Kurigram,25.8072414,89.6294746,22.9,0.0,14.9,73.56,50.25,131.62
2023-03-02,Kurigram,25.8072414,89.6294746,23.0,0.0,14.0,82.31,55.55,141.38
2023-03-03,Kurigram,25.8072414,89.6294746,23.6,0.0,15.9,83.3,56.74,151.54
2023-03-04,Kurigram,25.8072414,89.6294746,24.2,0.0,8.9,75.92,51.62,145.83
2023-03-05,Kurigram,25.8072414,89.6294746,24.9,0.0,10.5,82.04,55.95,140.42
2023-03-06,Kurigram,25.8072414,89.6294746,24.0,0.0,16.2,87.71,60.49,154.58
2023-03-07,Kurigram,25.8072414,89.6294746,22.4,0.0,13.6,67.95,47.2,141.5
2023-03-08,Kurigram,25.8072414,89.6294746,23.4,0.0,11.3,57.65,39.86,114.71
2023-03-09,Kurigram,25.8072414,89.6294746,23.6,0.0,14.8,67.98,47.38,122.79
2023-03-10,Kurigram,25.8072414,89.6294746,24.2,0.0,14.1,69.52,48.46,127.12
2023-03-11,Kurigram,25.8072414,89.6294746,24.6,0.0,14.1,85.92,59.94,146.38
2023-03-12,Kurigram,25.8072414,89.6294746,24.9,0.0,11.0,69.22,48.23,146.0
2023-03-13,Kurigram,25.8072414,89.6294746,25.2,0.0,13.4,66.4,45.68,119.29
2023-03-14,Kurigram,25.8072414,89.6294746,24.8,0.3,15.1,88.53,61.58,145.17
2023-03-15,Kurigram,25.8072414,89.6294746,23.6,9.9,21.2,96.12,66.72,155.67
2023-03-16,Kurigram,25.8072414,89.6294746,22.7,3.7,14.2,85.97,58.98,151.42
2023-03-17,Kurigram,25.8072414,89.6294746,23.7,2.6,15.9,97.22,66.95,153.71
2023-03-18,Kurigram,25.8072414,89.6294746,23.5,1.3,18.5,97.2,67.21,158.92
2023-03-19,Kurigram,25.8072414,89.6294746,21.0,9.9,15.7,72.65,50.4,145.38
2023-03-20,Kurigram,25.8072414,89.6294746,20.0,16.8,12.6,44.51,31.08,124.04
2023-03-21,Kurigram,25.8072414,89.6294746,20.7,5.2,11.8,35.61,24.81,73.96
2023-03-22,Kurigram,25.8072414,89.6294746,21.3,3.5,14.4,54.37,37.85,93.71
2023-03-23,Kurigram,25.8072414,89.6294746,22.2,0.1,17.1,59.42,41.43,111.83
2023-03-24,Kurigram,25.8072414,89.6294746,22.2,0.2,14.4,68.63,47.68,119.25
2023-03-25,Kurigram,25.8072414,89.6294746,23.0,0.3,12.6,69.48,47.9,130.83
2023-03-26,Kurigram,25.8072414,89.6294746,24.7,0.0,16.1,79.7,54.74,141.46
2023-03-27,Kurigram,25.8072414,89.6294746,25.4,0.0,17.1,66.78,45.83,139.79
2023-03-28,Kurigram,25.8072414,89.6294746,24.9,0.0,20.8,75.64,52.16,132.92
2023-03-29,Kurigram,25.8072414,89.6294746,24.2,0.1,16.2,75.68,52.22,142.38
2023-03-30,Kurigram,25.8072414,89.6294746,23.6,1.8,16.6,74.05,50.92,135.38
2023-03-31,Kurigram,25.8072414,89.6294746,23.5,7.1,17.3,70.44,48.26,137.88
2023-04-01,Kurigram,25.8072414,89.6294746,21.7,35.7,16.3,52.4,36.14,120.92
2023-04-02,Kurigram,25.8072414,89.6294746,21.8,4.8,16.6,61.35,42.44,102.42
2023-04-03,Kurigram,25.8072414,89.6294746,24.0,0.2,18.0,61.12,42.38,121.38
2023-04-04,Kurigram,25.8072414,89.6294746,23.7,0.0,23.8,46.81,32.03,106.71
2023-04-05,Kurigram,25.8072414,89.6294746,24.9,0.0,17.7,44.84,30.05,86.71
2023-04-06,Kurigram,25.8072414,89.6294746,25.5,0.2,15.5,60.73,41.8,106.08
2023-04-07,Kurigram,25.8072414,89.6294746,25.4,0.0,12.3,53.53,36.75,109.96
2023-04-08,Kurigram,25.8072414,89.6294746,27.4,0.0,11.9,53.03,36.25,102.42
2023-04-09,Kurigram,25.8072414,89.6294746,28.0,0.0,15.0,59.24,40.73,113.46
2023-04-10,Kurigram,25.8072414,89.6294746,27.8,0.0,26.6,59.64,41.4,122.33
2023-04-11,Kurigram,25.8072414,89.6294746,27.4,0.0,17.1,61.0,42.53,120.92
2023-04-12,Kurigram,25.8072414,89.6294746,27.7,0.0,12.3,60.6,42.2,124.08
2023-04-13,Kurigram,25.8072414,89.6294746,28.2,0.0,10.2,60.3,41.83,126.46
