Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Kushtia,23.8906995,89.1099368,17.9,0.0,9.3,194.08,134.78,194.17
2023-01-02,Kushtia,23.8906995,89.1099368,17.6,0.0,9.7,112.98,77.91,175.88
2023-01-03,Kushtia,23.8906995,89.1099368,16.8,0.0,13.9,81.55,56.33,155.46
2023-01-04,Kushtia,23.8906995,89.1099368,16.0,0.0,11.2,111.32,77.21,155.29
2023-01-05,Kushtia,23.8906995,89.1099368,15.2,0.0,14.2,109.63,76.44,163.17
2023-01-06,Kushtia,23.8906995,89.1099368,15.4,0.0,12.4,83.05,57.95,155.71
2023-01-07,Kushtia,23.8906995,89.1099368,15.2,0.0,11.6,80.9,56.48,150.29
2023-01-08,Kushtia,23.8906995,89.1099368,15.7,0.0,10.7,85.0,59.47,151.71
2023-01-09,Kushtia,23.8906995,89.1099368,16.3,0.0,8.7,84.95,59.4,151.42
2023-01-10,Kushtia,23.8906995,89.1099368,16.1,0.0,11.3,102.39,71.53,154.58
2023-01-11,Kushtia,23.8906995,89.1099368,14.8,0.0,11.0,132.05,92.15,163.83
2023-01-12,Kushtia,23.8906995,89.1099368,15.0,0.0,10.5,147.88,102.74,171.92
2023-01-13,Kushtia,23.8906995,89.1099368,18.0,0.0,9.2,195.08,135.14,183.12
2023-01-14,Kushtia,23.8906995,89.1099368,18.8,0.0,9.8,185.95,129.25,193.79
2023-01-15,Kushtia,23.8906995,89.1099368,18.7,0.0,11.6,146.52,101.4,182.08
2023-01-16,Kushtia,23.8906995,89.1099368,17.4,0.0,12.3,107.33,74.2,162.92
2023-01-17,Kushtia,23.8906995,89.1099368,16.1,0.0,9.2,135.45,94.08,164.33
2023-01-18,Kushtia,23.8906995,89.1099368,16.1,0.0,9.4,161.54,111.7,175.17
2023-01-19,Kushtia,23.8906995,89.1099368,15.5,0.0,10.2,170.33,117.7,183.46
2023-01-20,Kushtia,23.8906995,89.1099368,15.9,0.0,10.1,166.75,115.57,180.29
2023-01-21,Kushtia,23.8906995,89.1099368,17.2,0.0,9.8,221.45,153.6,189.29
2023-01-22,Kushtia,23.8906995,89.1099368,18.7,0.0,9.7,276.62,192.62,225.33
2023-01-23,Kushtia,23.8906995,89.1099368,19.8,0.0,8.9,304.82,212.76,254.54
2023-01-24,Kushtia,23.8906995,89.1099368,20.3,0.0,8.7,210.85,147.12,238.04
2023-01-25,Kushtia,23.8906995,89.1099368,20.5,0.0,9.0,190.8,133.15,185.62
2023-01-26,Kushtia,23.8906995,89.1099368,21.4,0.0,8.4,241.49,168.63,213.62
2023-01-27,Kushtia,23.8906995,89.1099368,20.6,0.0,10.2,123.02,85.33,190.08
2023-01-28,Kushtia,23.8906995,89.1099368,20.5,0.0,12.3,113.3,78.95,162.0
2023-01-29,Kushtia,23.8906995,89.1099368,18.9,0.0,10.4,96.28,66.68,158.12
2023-01-30,Kushtia,23.8906995,89.1099368,20.2,0.0,10.5,121.97,84.77,161.5
2023-01-31,Kushtia,23.8906995,89.1099368,20.9,0.0,10.6,135.97,94.68,167.5
2023-02-01,Kushtia,23.8906995,89.1099368,21.4,0.0,12.5,83.42,57.79,162.38
2023-02-02,Kushtia,23.8906995,89.1099368,17.9,0.0,12.3,85.35,59.01,147.58
2023-02-03,Kushtia,23.8906995,89.1099368,18.5,0.0,10.2,100.46,70.13,155.75
2023-02-04,Kushtia,23.8906995,89.1099368,18.9,0.0,10.3,123.87,86.43,161.79
2023-02-05,Kushtia,23.8906995,89.1099368,19.0,0.0,11.0,135.16,93.81,169.04
2023-02-06,Kushtia,23.8906995,89.1099368,20.0,0.0,10.5,131.18,90.61,172.46
2023-02-07,Kushtia,23.8906995,89.1099368,19.9,0.0,10.4,100.13,68.71,162.17
2023-02-08,Kushtia,23.8906995,89.1099368,21.3,0.0,11.3,78.23,53.32,141.58
2023-02-09,Kushtia,23.8906995,89.1099368,21.4,0.0,10.6,91.51,62.97,153.29
2023-02-10,Kushtia,23.8906995,89.1099368,20.3,0.0,10.7,85.45,59.05,150.62
2023-02-11,Kushtia,23.8906995,89.1099368,21.8,0.0,10.8,126.4,87.58,160.75
2023-02-12,Kushtia,23.8906995,89.1099368,22.0,0.0,12.3,121.97,84.22,170.25
2023-02-13,Kushtia,23.8906995,89.1099368,20.2,0.0,19.3,41.21,27.6,121.46
2023-02-14,Kushtia,23.8906995,89.1099368,18.2,0.0,10.2,59.9,41.52,99.29
2023-02-15,Kushtia,23.8906995,89.1099368,19.3,0.0,10.5,81.7,56.61,135.54
2023-02-16,Kushtia,23.8906995,89.1099368,19.8,0.0,9.3,110.59,76.71,156.88
2023-02-17,Kushtia,23.8906995,89.1099368,20.9,0.0,9.7,117.88,81.18,163.96
2023-02-18,Kushtia,23.8906995,89.1099368,21.8,0.2,12.2,125.05,84.31,162.42
2023-02-19,Kushtia,23.8906995,89.1099368,22.8,0.3,9.6,130.26,88.8,163.08
2023-02-20,Kushtia,23.8906995,89.1099368,23.9,0.0,12.0,122.52,84.25,169.29
2023-02-21,Kushtia,23.8906995,89.1099368,24.8,0.1,13.6,100.44,68.67,159.83
2023-02-22,Kushtia,23.8906995,89.1099368,25.7,0.0,17.9,83.59,57.32,157.25
2023-02-23,Kushtia,23.8906995,89.1099368,25.5,0.0,12.0,67.18,45.5,124.96
2023-02-24,Kushtia,23.8906995,89.1099368,24.9,0.0,10.1,93.68,64.11,146.71
2023-02-25,Kushtia,23.8906995,89.1099368,24.1,0.0,12.2,93.71,64.34,156.0
