Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Lakshmipur,22.9446744,90.8281907,17.6,0.0,9.4,148.43,102.92,184.25
2023-01-02,Lakshmipur,22.9446744,90.8281907,18.2,0.0,9.4,117.87,81.46,168.83
2023-01-03,Lakshmipur,22.9446744,90.8281907,17.9,0.0,10.7,110.98,76.42,163.62
2023-01-04,Lakshmipur,22.9446744,90.8281907,17.7,0.0,11.3,97.68,67.85,158.08
2023-01-05,Lakshmipur,22.9446744,90.8281907,17.6,0.0,13.5,80.8,56.23,153.46
2023-01-06,Lakshmipur,22.9446744,90.8281907,17.0,0.0,11.8,74.57,51.9,146.25
2023-01-07,Lakshmipur,22.9446744,90.8281907,16.6,0.0,9.5,75.8,52.86,141.62
2023-01-08,Lakshmipur,22.9446744,90.8281907,18.4,0.0,9.2,77.77,54.31,148.29
2023-01-09,Lakshmipur,22.9446744,90.8281907,19.7,0.0,10.6,67.75,47.3,132.88
2023-01-10,Lakshmipur,22.9446744,90.8281907,19.3,0.0,11.3,77.15,53.8,141.83
2023-01-11,Lakshmipur,22.9446744,90.8281907,17.8,0.0,10.5,103.3,72.04,151.46
2023-01-12,Lakshmipur,22.9446744,90.8281907,16.3,0.0,11.2,138.98,96.45,166.0
2023-01-13,Lakshmipur,22.9446744,90.8281907,17.9,0.0,9.5,138.38,95.85,172.38
2023-01-14,Lakshmipur,22.9446744,90.8281907,20.4,0.5,12.2,131.09,88.4,168.12
2023-01-15,Lakshmipur,22.9446744,90.8281907,20.2,0.1,10.7,132.15,90.53,170.46
2023-01-16,Lakshmipur,22.9446744,90.8281907,19.1,0.0,10.9,113.62,78.15,161.46
2023-01-17,Lakshmipur,22.9446744,90.8281907,18.6,0.0,10.5,132.1,91.56,166.08
2023-01-18,Lakshmipur,22.9446744,90.8281907,17.8,0.0,11.9,148.52,103.25,171.42
2023-01-19,Lakshmipur,22.9446744,90.8281907,17.0,0.0,12.4,151.22,104.86,176.54
2023-01-20,Lakshmipur,22.9446744,90.8281907,16.5,0.0,12.4,156.99,108.62,177.17
2023-01-21,Lakshmipur,22.9446744,90.8281907,17.2,0.0,11.8,152.8,105.84,178.0
2023-01-22,Lakshmipur,22.9446744,90.8281907,18.9,0.0,9.2,140.97,97.79,174.04
2023-01-23,Lakshmipur,22.9446744,90.8281907,20.0,0.0,11.3,174.39,121.17,176.29
2023-01-24,Lakshmipur,22.9446744,90.8281907,20.9,0.0,9.7,170.33,118.58,186.25
2023-01-25,Lakshmipur,22.9446744,90.8281907,20.7,0.0,10.9,165.35,115.29,180.0
2023-01-26,Lakshmipur,22.9446744,90.8281907,21.5,0.0,8.9,215.89,150.8,189.38
2023-01-27,Lakshmipur,22.9446744,90.8281907,21.7,0.0,11.2,203.59,141.97,212.67
2023-01-28,Lakshmipur,22.9446744,90.8281907,21.6,0.0,12.4,102.92,71.38,170.88
2023-01-29,Lakshmipur,22.9446744,90.8281907,20.3,0.0,11.0,96.44,66.83,158.38
2023-01-30,Lakshmipur,22.9446744,90.8281907,20.0,0.0,10.5,114.25,79.03,158.79
2023-01-31,Lakshmipur,22.9446744,90.8281907,20.9,0.0,11.4,135.9,93.91,166.12
2023-02-01,Lakshmipur,22.9446744,90.8281907,21.8,0.0,14.3,124.35,86.58,169.58
2023-02-02,Lakshmipur,22.9446744,90.8281907,20.5,0.0,15.5,62.86,43.24,148.46
2023-02-03,Lakshmipur,22.9446744,90.8281907,19.0,0.0,11.1,78.55,54.59,130.46
2023-02-04,Lakshmipur,22.9446744,90.8281907,19.1,0.0,10.2,102.57,71.53,153.25
2023-02-05,Lakshmipur,22.9446744,90.8281907,18.8,0.0,10.1,122.57,84.72,163.96
2023-02-06,Lakshmipur,22.9446744,90.8281907,19.4,0.0,12.9,117.63,81.03,165.71
2023-02-07,Lakshmipur,22.9446744,90.8281907,21.3,0.0,14.6,76.02,50.09,152.92
2023-02-08,Lakshmipur,22.9446744,90.8281907,22.5,0.0,16.1,48.37,30.09,106.04
2023-02-09,Lakshmipur,22.9446744,90.8281907,22.4,1.6,11.0,64.98,43.08,98.67
2023-02-10,Lakshmipur,22.9446744,90.8281907,22.0,0.0,12.0,83.22,57.01,141.12
2023-02-11,Lakshmipur,22.9446744,90.8281907,22.0,0.0,11.6,93.52,64.47,154.08
2023-02-12,Lakshmipur,22.9446744,90.8281907,23.2,0.0,9.8,65.96,43.38,140.33
2023-02-13,Lakshmipur,22.9446744,90.8281907,21.8,0.0,14.7,46.12,30.6,105.92
2023-02-14,Lakshmipur,22.9446744,90.8281907,19.2,0.0,13.6,58.34,39.97,102.83
2023-02-15,Lakshmipur,22.9446744,90.8281907,19.3,0.0,12.4,74.86,51.98,125.88
2023-02-16,Lakshmipur,22.9446744,90.8281907,20.8,0.0,11.5,84.5,58.31,148.12
2023-02-17,Lakshmipur,22.9446744,90.8281907,22.4,0.0,12.7,88.91,59.89,152.38
2023-02-18,Lakshmipur,22.9446744,90.8281907,23.4,0.0,11.2,94.34,63.32,155.08
