Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Lalmonirhat,25.9923398,89.2847251,16.0,0.0,7.9,89.45,61.91,155.04
2023-01-02,Lalmonirhat,25.9923398,89.2847251,16.7,0.0,8.6,88.07,61.09,153.29
2023-01-03,Lalmonirhat,25.9923398,89.2847251,16.0,0.0,9.0,91.56,63.52,153.83
2023-01-04,Lalmonirhat,25.9923398,89.2847251,15.9,0.0,11.5,102.4,70.94,156.38
2023-01-05,Lalmonirhat,25.9923398,89.2847251,14.8,0.0,9.2,85.53,59.55,155.67
2023-01-06,Lalmonirhat,25.9923398,89.2847251,14.6,0.0,9.7,69.8,48.68,137.62
2023-01-07,Lalmonirhat,25.9923398,89.2847251,14.6,0.0,9.9,67.37,47.08,131.5
2023-01-08,Lalmonirhat,25.9923398,89.2847251,14.3,0.0,9.2,77.41,54.14,135.38
2023-01-09,Lalmonirhat,25.9923398,89.2847251,15.1,0.0,10.4,80.62,56.3,149.92
2023-01-10,Lalmonirhat,25.9923398,89.2847251,14.9,0.0,9.8,85.41,59.64,151.54
2023-01-11,Lalmonirhat,25.9923398,89.2847251,14.2,0.0,8.4,91.15,63.68,152.58
2023-01-12,Lalmonirhat,25.9923398,89.2847251,14.5,0.0,9.8,99.28,69.24,155.62
2023-01-13,Lalmonirhat,25.9923398,89.2847251,14.6,0.0,10.5,117.58,81.38,159.42
2023-01-14,Lalmonirhat,25.9923398,89.2847251,15.8,0.0,10.3,121.62,84.26,165.42
2023-01-15,Lalmonirhat,25.9923398,89.2847251,15.7,0.0,13.7,100.98,69.76,160.67
2023-01-16,Lalmonirhat,25.9923398,89.2847251,13.7,0.0,10.5,117.6,81.68,162.21
2023-01-17,Lalmonirhat,25.9923398,89.2847251,13.4,0.0,9.9,134.76,93.73,164.38
2023-01-18,Lalmonirhat,25.9923398,89.2847251,13.6,0.0,10.1,174.38,121.08,178.88
2023-01-19,Lalmonirhat,25.9923398,89.2847251,14.6,0.0,8.7,175.51,121.96,185.42
2023-01-20,Lalmonirhat,25.9923398,89.2847251,15.4,0.0,9.7,164.37,114.05,184.17
2023-01-21,Lalmonirhat,25.9923398,89.2847251,15.5,0.0,9.5,150.65,104.54,177.79
2023-01-22,Lalmonirhat,25.9923398,89.2847251,16.2,0.0,7.2,99.59,69.09,166.58
2023-01-23,Lalmonirhat,25.9923398,89.2847251,16.1,0.0,8.6,90.28,62.47,154.42
2023-01-24,Lalmonirhat,25.9923398,89.2847251,17.6,0.0,9.8,83.66,57.92,150.21
2023-01-25,Lalmonirhat,25.9923398,89.2847251,17.5,0.0,8.9,110.21,76.58,158.21
2023-01-26,Lalmonirhat,25.9923398,89.2847251,18.2,0.0,7.4,98.55,68.47,157.92
2023-01-27,Lalmonirhat,25.9923398,89.2847251,18.9,0.0,5.8,109.29,76.03,157.71
2023-01-28,Lalmonirhat,25.9923398,89.2847251,18.1,0.0,8.9,127.41,88.65,167.17
2023-01-29,Lalmonirhat,25.9923398,89.2847251,18.9,0.0,9.3,118.6,82.54,163.88
2023-01-30,Lalmonirhat,25.9923398,89.2847251,19.6,0.0,8.0,111.35,77.52,164.92
2023-01-31,Lalmonirhat,25.9923398,89.2847251,19.7,0.0,9.7,108.57,75.68,160.0
2023-02-01,Lalmonirhat,25.9923398,89.2847251,18.7,0.0,12.3,96.16,67.05,160.12
2023-02-02,Lalmonirhat,25.9923398,89.2847251,16.7,0.0,11.2,79.9,55.49,147.0
2023-02-03,Lalmonirhat,25.9923398,89.2847251,17.3,0.0,9.1,91.08,63.54,151.92
2023-02-04,Lalmonirhat,25.9923398,89.2847251,17.9,0.0,9.8,105.32,73.63,157.83
2023-02-05,Lalmonirhat,25.9923398,89.2847251,17.6,0.0,10.1,120.85,84.45,161.42
2023-02-06,Lalmonirhat,25.9923398,89.2847251,17.7,0.0,9.0,142.8,99.51,171.46
2023-02-07,Lalmonirhat,25.9923398,89.2847251,17.6,0.0,10.2,131.23,91.12,172.17
2023-02-08,Lalmonirhat,25.9923398,89.2847251,18.9,0.0,14.0,102.55,70.93,160.58
2023-02-09,Lalmonirhat,25.9923398,89.2847251,18.7,0.1,14.9,97.2,66.38,156.79
2023-02-10,Lalmonirhat,25.9923398,89.2847251,18.4,0.0,10.3,106.12,72.5,157.46
2023-02-11,Lalmonirhat,25.9923398,89.2847251,18.8,0.0,9.2,103.99,71.4,159.38
2023-02-12,Lalmonirhat,25.9923398,89.2847251,20.0,0.0,19.9,86.11,58.86,155.08
2023-02-13,Lalmonirhat,25.9923398,89.2847251,18.0,0.0,16.1,48.55,33.48,121.17
2023-02-14,Lalmonirhat,25.9923398,89.2847251,17.1,0.0,10.6,64.67,44.81,114.5
2023-02-15,Lalmonirhat,25.9923398,89.2847251,18.7,0.0,8.5,71.07,49.38,125.46
2023-02-16,Lalmonirhat,25.9923398,89.2847251,20.0,0.0,7.6,80.47,56.15,144.21
2023-02-17,Lalmonirhat,25.9923398,89.2847251,20.9,0.0,10.0,90.58,63.12,152.21
2023-02-18,Lalmonirhat,25.9923398,89.2847251,21.0,0.0,9.8,106.28,74.12,157.67
2023-02-19,Lalmonirhat,25.9923398,89.2847251,22.0,0.0,7.7,114.44,79.7,160.83
2023-02-20,Lalmonirhat,25.9923398,89.2847251,21.6,0.2,8.8,126.41,88.12,164.38
2023-02-21,Lalmonirhat,25.9923398,89.2847251,21.9,0.7,9.8,155.01,107.95,170.5
2023-02-22,Lalmonirhat,25.9923398,89.2847251,22.5,0.1,11.9,116.5,81.09,173.08
2023-02-23,Lalmonirhat,25.9923398,89.2847251,22.2,0.0,18.1,81.58,56.53,157.17
2023-02-24,Lalmonirhat,25.9923398,89.2847251,21.0,0.0,14.2,71.62,49.37,143.46
2023-02-25,Lalmonirhat,25.9923398,89.2847251,21.3,0.0,14.5,57.11,39.17,119.17
2023-02-26,Lalmonirhat,25.9923398,89.2847251,22.1,0.0,9.3,54.61,37.47,107.88
2023-02-27,Lalmonirhat,25.9923398,89.2847251,21.1,0.0,9.4,58.88,40.82,108.75
2023-02-28,Lalmonirhat,25.9923398,89.2847251,21.3,0.0,13.8,71.39,49.18,119.96
2023-03-01,Lalmonirhat,25.9923398,89.2847251,22.3,0.0,14.2,76.51,52.42,136.92
2023-03-02,Lalmonirhat,25.9923398,89.2847251,22.3,0.0,13.7,83.14,56.34,147.0
2023-03-03,Lalmonirhat,25.9923398,89.2847251,22.8,0.0,14.8,84.62,57.75,151.62
2023-03-04,Lalmonirhat,25.9923398,89.2847251,23.6,0.0,8.4,80.27,54.68,150.08
