Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Madaripur,23.2393346,90.1869644,18.0,0.0,10.6,196.08,136.29,200.62
2023-01-02,Madaripur,23.2393346,90.1869644,18.1,0.0,11.2,134.4,92.98,180.92
2023-01-03,Madaripur,23.2393346,90.1869644,17.5,0.0,13.7,93.25,64.25,162.92
2023-01-04,Madaripur,23.2393346,90.1869644,17.5,0.0,13.9,75.51,52.55,148.17
2023-01-05,Madaripur,23.2393346,90.1869644,17.0,0.0,15.3,93.07,64.9,151.5
2023-01-06,Madaripur,23.2393346,90.1869644,16.3,0.0,11.8,78.03,54.43,151.88
2023-01-07,Madaripur,23.2393346,90.1869644,15.9,0.0,11.8,73.91,51.52,141.12
2023-01-08,Madaripur,23.2393346,90.1869644,17.6,0.0,9.9,67.95,47.46,139.5
2023-01-09,Madaripur,23.2393346,90.1869644,18.8,0.0,10.0,64.68,45.17,121.17
2023-01-10,Madaripur,23.2393346,90.1869644,18.3,0.0,10.0,73.47,51.26,131.04
2023-01-11,Madaripur,23.2393346,90.1869644,17.2,0.0,9.0,115.95,80.85,153.08
2023-01-12,Madaripur,23.2393346,90.1869644,16.6,0.0,8.2,136.07,94.42,167.08
2023-01-13,Madaripur,23.2393346,90.1869644,18.4,0.0,8.9,170.89,118.6,178.88
2023-01-14,Madaripur,23.2393346,90.1869644,20.0,2.2,8.4,142.18,96.84,175.29
2023-01-15,Madaripur,23.2393346,90.1869644,19.7,0.1,11.7,153.31,105.64,179.21
2023-01-16,Madaripur,23.2393346,90.1869644,18.8,0.0,11.8,122.0,84.34,166.54
2023-01-17,Madaripur,23.2393346,90.1869644,17.9,0.0,10.1,126.8,88.11,165.42
2023-01-18,Madaripur,23.2393346,90.1869644,17.5,0.0,9.2,152.48,105.96,171.04
2023-01-19,Madaripur,23.2393346,90.1869644,16.9,0.0,13.9,155.49,107.63,179.42
2023-01-20,Madaripur,23.2393346,90.1869644,16.4,0.0,11.4,150.6,104.31,175.75
2023-01-21,Madaripur,23.2393346,90.1869644,17.9,0.0,11.8,155.31,107.51,175.62
2023-01-22,Madaripur,23.2393346,90.1869644,19.2,0.0,9.9,194.29,135.05,184.67
2023-01-23,Madaripur,23.2393346,90.1869644,20.2,0.0,9.2,254.12,177.0,205.08
2023-01-24,Madaripur,23.2393346,90.1869644,20.9,0.0,9.7,240.34,167.59,233.33
2023-01-25,Madaripur,23.2393346,90.1869644,20.9,0.0,8.9,205.54,143.41,197.04
2023-01-26,Madaripur,23.2393346,90.1869644,22.2,0.0,9.2,253.58,177.09,215.54
2023-01-27,Madaripur,23.2393346,90.1869644,21.6,0.0,10.5,186.59,130.03,218.54
2023-01-28,Madaripur,23.2393346,90.1869644,21.3,0.0,12.6,106.46,73.94,165.96
2023-01-29,Madaripur,23.2393346,90.1869644,20.1,0.0,10.7,92.72,64.22,158.25
2023-01-30,Madaripur,23.2393346,90.1869644,20.6,0.0,10.6,123.13,85.08,159.42
2023-01-31,Madaripur,23.2393346,90.1869644,21.0,0.0,11.4,130.58,90.9,167.96
2023-02-01,Madaripur,23.2393346,90.1869644,20.5,0.0,13.1,102.55,71.24,164.5
2023-02-02,Madaripur,23.2393346,90.1869644,19.4,0.0,15.1,67.15,46.06,142.88
