Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Magura,23.4854655,89.4198305,18.2,0.0,9.2,211.3,146.85,205.25
2023-01-02,Magura,23.4854655,89.4198305,18.3,0.0,9.3,128.6,88.49,180.33
2023-01-03,Magura,23.4854655,89.4198305,17.4,0.0,15.1,88.79,61.16,161.04
2023-01-04,Magura,23.4854655,89.4198305,16.7,0.0,12.3,88.34,61.42,151.88
2023-01-05,Magura,23.4854655,89.4198305,15.8,0.0,14.5,108.32,75.55,158.54
2023-01-06,Magura,23.4854655,89.4198305,15.9,0.0,13.7,82.44,57.55,155.21
2023-01-07,Magura,23.4854655,89.4198305,15.5,0.0,11.6,78.62,54.83,148.33
2023-01-08,Magura,23.4854655,89.4198305,16.5,0.0,10.8,77.4,54.1,150.0
2023-01-09,Magura,23.4854655,89.4198305,17.3,0.0,10.4,73.93,51.65,137.62
2023-01-10,Magura,23.4854655,89.4198305,16.9,0.0,11.4,88.15,61.54,148.33
2023-01-11,Magura,23.4854655,89.4198305,15.6,0.0,10.2,128.1,89.39,160.04
2023-01-12,Magura,23.4854655,89.4198305,15.9,0.0,7.8,144.92,100.63,170.88
2023-01-13,Magura,23.4854655,89.4198305,18.2,0.0,9.1,184.56,127.86,181.62
2023-01-14,Magura,23.4854655,89.4198305,19.2,1.7,7.7,182.54,125.94,190.33
2023-01-15,Magura,23.4854655,89.4198305,19.4,0.0,9.6,147.11,101.58,182.17
2023-01-16,Magura,23.4854655,89.4198305,18.3,0.0,11.5,115.74,79.98,164.71
2023-01-17,Magura,23.4854655,89.4198305,16.8,0.0,8.1,131.36,91.3,164.83
2023-01-18,Magura,23.4854655,89.4198305,16.9,0.0,9.3,159.22,110.38,173.46
2023-01-19,Magura,23.4854655,89.4198305,16.5,0.0,11.0,162.75,112.51,182.17
2023-01-20,Magura,23.4854655,89.4198305,15.9,0.0,10.5,160.75,111.31,178.42
2023-01-21,Magura,23.4854655,89.4198305,17.3,0.0,10.9,189.88,131.58,183.0
2023-01-22,Magura,23.4854655,89.4198305,19.2,0.0,9.2,230.68,160.34,199.5
2023-01-23,Magura,23.4854655,89.4198305,20.3,0.0,8.6,272.49,189.93,225.33
2023-01-24,Magura,23.4854655,89.4198305,21.0,0.0,8.7,244.18,170.3,237.75
2023-01-25,Magura,23.4854655,89.4198305,21.1,0.0,9.3,200.25,139.75,196.33
2023-01-26,Magura,23.4854655,89.4198305,22.3,0.0,12.1,255.42,178.33,215.33
2023-01-27,Magura,23.4854655,89.4198305,21.2,0.0,10.0,154.1,107.16,208.08
2023-01-28,Magura,23.4854655,89.4198305,21.0,0.0,10.1,112.11,77.98,163.08
2023-01-29,Magura,23.4854655,89.4198305,19.3,0.0,10.1,94.38,65.36,158.46
2023-01-30,Magura,23.4854655,89.4198305,20.3,0.0,8.9,124.68,86.38,161.04
2023-01-31,Magura,23.4854655,89.4198305,21.3,0.0,8.7,131.91,91.89,167.67
2023-02-01,Magura,23.4854655,89.4198305,21.6,0.0,14.8,91.97,63.79,163.21
2023-02-02,Magura,23.4854655,89.4198305,19.0,0.0,15.4,76.73,52.78,144.62
2023-02-03,Magura,23.4854655,89.4198305,18.5,0.0,11.0,92.95,64.92,152.54
2023-02-04,Magura,23.4854655,89.4198305,18.9,0.0,12.2,115.6,80.73,158.38
2023-02-05,Magura,23.4854655,89.4198305,19.1,0.0,10.4,126.65,87.88,166.17
2023-02-06,Magura,23.4854655,89.4198305,20.5,0.0,12.2,115.05,79.29,167.17
2023-02-07,Magura,23.4854655,89.4198305,21.2,0.0,13.7,83.6,56.6,155.46
2023-02-08,Magura,23.4854655,89.4198305,22.0,0.0,12.6,63.62,42.39,118.92
2023-02-09,Magura,23.4854655,89.4198305,21.8,0.0,9.0,85.85,58.33,141.71
2023-02-10,Magura,23.4854655,89.4198305,21.0,0.0,12.2,79.72,55.3,151.04
2023-02-11,Magura,23.4854655,89.4198305,22.5,0.0,12.8,116.19,80.47,155.79
2023-02-12,Magura,23.4854655,89.4198305,23.4,0.0,12.2,81.66,55.8,157.79
2023-02-13,Magura,23.4854655,89.4198305,21.0,0.0,18.7,42.64,28.59,115.54
2023-02-14,Magura,23.4854655,89.4198305,19.0,0.0,13.2,53.58,37.0,96.42
2023-02-15,Magura,23.4854655,89.4198305,19.6,0.0,10.4,77.91,53.91,126.54
2023-02-16,Magura,23.4854655,89.4198305,20.8,0.0,9.9,100.46,69.41,154.38
2023-02-17,Magura,23.4854655,89.4198305,22.2,0.0,9.5,109.55,74.32,160.58
2023-02-18,Magura,23.4854655,89.4198305,22.4,0.5,12.4,114.8,75.73,157.54
2023-02-19,Magura,23.4854655,89.4198305,23.2,0.4,9.6,121.63,82.22,161.5
2023-02-20,Magura,23.4854655,89.4198305,24.3,0.0,10.5,102.04,69.82,162.42
2023-02-21,Magura,23.4854655,89.4198305,25.5,0.2,14.0,68.5,45.87,146.33
2023-02-22,Magura,23.4854655,89.4198305,26.5,0.0,20.1,58.82,39.42,122.42
2023-02-23,Magura,23.4854655,89.4198305,26.0,0.0,16.1,54.5,36.36,102.33
2023-02-24,Magura,23.4854655,89.4198305,25.5,0.0,11.4,63.83,42.76,107.62
2023-02-25,Magura,23.4854655,89.4198305,25.1,0.0,10.2,96.03,65.42,143.79
2023-02-26,Magura,23.4854655,89.4198305,24.3,0.0,10.5,97.4,67.25,157.08
2023-02-27,Magura,23.4854655,89.4198305,24.9,0.0,15.9,108.73,75.47,159.33
2023-02-28,Magura,23.4854655,89.4198305,24.7,0.0,9.9,73.6,50.84,151.08
2023-03-01,Magura,23.4854655,89.4198305,24.5,0.0,10.3,84.09,57.95,142.04
