Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Manikganj,23.8616512,90.0003228,17.0,0.0,8.3,190.79,132.65,201.71
2023-01-02,Manikganj,23.8616512,90.0003228,17.0,0.0,9.2,116.06,80.04,172.96
2023-01-03,Manikganj,23.8616512,90.0003228,16.5,0.0,12.6,79.43,54.88,156.58
2023-01-04,Manikganj,23.8616512,90.0003228,16.5,0.0,11.8,69.66,48.5,136.96
2023-01-05,Manikganj,23.8616512,90.0003228,16.0,0.0,14.5,87.58,61.07,148.21
2023-01-06,Manikganj,23.8616512,90.0003228,15.8,0.0,12.0,67.63,47.12,141.04
2023-01-07,Manikganj,23.8616512,90.0003228,15.5,0.0,10.0,66.93,46.68,127.21
2023-01-08,Manikganj,23.8616512,90.0003228,16.9,0.0,10.5,68.15,47.61,131.96
2023-01-09,Manikganj,23.8616512,90.0003228,17.6,0.0,10.3,67.21,46.92,126.17
2023-01-10,Manikganj,23.8616512,90.0003228,17.3,0.0,11.2,73.37,51.22,131.75
2023-01-11,Manikganj,23.8616512,90.0003228,15.8,0.0,9.7,112.08,78.2,153.29
2023-01-12,Manikganj,23.8616512,90.0003228,14.6,0.0,9.9,133.41,92.79,165.5
2023-01-13,Manikganj,23.8616512,90.0003228,16.5,0.0,8.9,178.45,123.74,178.0
2023-01-14,Manikganj,23.8616512,90.0003228,19.0,0.0,12.2,159.42,110.2,184.25
2023-01-15,Manikganj,23.8616512,90.0003228,18.5,0.0,13.2,147.61,102.23,178.92
2023-01-16,Manikganj,23.8616512,90.0003228,17.8,0.0,11.1,115.22,79.56,164.62
2023-01-17,Manikganj,23.8616512,90.0003228,16.2,0.0,9.0,132.7,92.16,164.92
2023-01-18,Manikganj,23.8616512,90.0003228,16.0,0.0,9.9,153.6,106.25,173.0
2023-01-19,Manikganj,23.8616512,90.0003228,15.3,0.0,11.6,160.22,110.75,180.54
2023-01-20,Manikganj,23.8616512,90.0003228,15.2,0.0,9.4,157.46,109.25,177.79
2023-01-21,Manikganj,23.8616512,90.0003228,16.8,0.0,8.8,170.11,117.85,178.46
2023-01-22,Manikganj,23.8616512,90.0003228,18.3,0.0,7.8,221.41,153.97,191.67
2023-01-23,Manikganj,23.8616512,90.0003228,19.4,0.0,7.9,283.36,197.59,226.29
2023-01-24,Manikganj,23.8616512,90.0003228,20.0,0.0,9.2,235.39,164.17,243.79
2023-01-25,Manikganj,23.8616512,90.0003228,20.4,0.0,7.7,180.41,125.88,188.29
2023-01-26,Manikganj,23.8616512,90.0003228,21.0,0.0,8.4,244.97,171.1,204.33
2023-01-27,Manikganj,23.8616512,90.0003228,20.7,0.0,8.8,176.77,123.13,214.83
2023-01-28,Manikganj,23.8616512,90.0003228,20.5,0.0,10.2,108.37,75.39,165.12
2023-01-29,Manikganj,23.8616512,90.0003228,19.3,0.0,9.0,102.55,71.25,159.33
2023-01-30,Manikganj,23.8616512,90.0003228,19.5,0.0,9.1,131.77,91.44,165.0
2023-01-31,Manikganj,23.8616512,90.0003228,20.8,0.0,8.3,119.14,83.03,166.42
2023-02-01,Manikganj,23.8616512,90.0003228,21.4,0.0,15.9,102.02,70.89,162.21
2023-02-02,Manikganj,23.8616512,90.0003228,18.7,0.0,17.9,69.95,48.01,145.88
2023-02-03,Manikganj,23.8616512,90.0003228,18.5,0.0,10.5,84.89,59.25,145.25
2023-02-04,Manikganj,23.8616512,90.0003228,18.5,0.0,9.1,110.75,77.36,156.08
2023-02-05,Manikganj,23.8616512,90.0003228,18.5,0.0,11.9,127.36,88.53,165.33
2023-02-06,Manikganj,23.8616512,90.0003228,18.8,0.0,12.6,120.46,83.03,168.62
2023-02-07,Manikganj,23.8616512,90.0003228,20.2,0.0,11.4,94.05,64.24,158.62
2023-02-08,Manikganj,23.8616512,90.0003228,21.6,0.7,12.1,66.68,44.61,135.46
2023-02-09,Manikganj,23.8616512,90.0003228,21.5,0.2,8.7,87.52,59.1,132.67
2023-02-10,Manikganj,23.8616512,90.0003228,20.4,0.0,13.1,92.97,64.08,156.08
2023-02-11,Manikganj,23.8616512,90.0003228,21.3,0.0,11.4,128.07,88.73,159.54
2023-02-12,Manikganj,23.8616512,90.0003228,23.5,0.0,13.4,90.8,62.38,162.67
2023-02-13,Manikganj,23.8616512,90.0003228,20.6,0.0,16.5,44.0,29.47,117.42
