Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Maulvibazar,24.3095344,91.7314903,16.5,0.0,9.3,106.8,73.93,165.62
2023-01-02,Maulvibazar,24.3095344,91.7314903,17.0,0.0,7.4,91.61,63.32,156.67
2023-01-03,Maulvibazar,24.3095344,91.7314903,17.0,0.0,10.5,69.85,48.38,145.75
2023-01-04,Maulvibazar,24.3095344,91.7314903,16.1,0.0,11.1,63.57,44.09,126.21
2023-01-05,Maulvibazar,24.3095344,91.7314903,16.3,0.0,9.9,58.27,40.49,119.62
2023-01-06,Maulvibazar,24.3095344,91.7314903,16.1,0.0,9.2,54.82,38.09,104.75
2023-01-07,Maulvibazar,24.3095344,91.7314903,17.1,0.0,9.1,57.43,40.05,108.96
2023-01-08,Maulvibazar,24.3095344,91.7314903,18.0,0.0,9.0,57.38,40.02,113.12
2023-01-09,Maulvibazar,24.3095344,91.7314903,18.2,0.0,9.9,53.23,37.15,108.42
2023-01-10,Maulvibazar,24.3095344,91.7314903,18.2,0.0,8.8,52.5,36.64,101.0
2023-01-11,Maulvibazar,24.3095344,91.7314903,17.8,0.0,9.5,76.42,53.32,120.08
2023-01-12,Maulvibazar,24.3095344,91.7314903,17.1,0.0,9.3,115.28,80.18,153.96
2023-01-13,Maulvibazar,24.3095344,91.7314903,16.7,0.0,8.3,152.29,105.44,173.0
2023-01-14,Maulvibazar,24.3095344,91.7314903,17.8,0.6,8.6,113.77,78.64,167.12
2023-01-15,Maulvibazar,24.3095344,91.7314903,19.1,0.0,11.5,104.0,71.83,160.83
2023-01-16,Maulvibazar,24.3095344,91.7314903,17.7,0.0,9.2,112.27,77.16,158.46
2023-01-17,Maulvibazar,24.3095344,91.7314903,17.4,0.0,9.4,142.07,98.2,168.42
2023-01-18,Maulvibazar,24.3095344,91.7314903,15.9,0.0,8.3,143.04,99.2,173.17
2023-01-19,Maulvibazar,24.3095344,91.7314903,15.2,0.0,9.4,135.6,93.75,171.58
2023-01-20,Maulvibazar,24.3095344,91.7314903,15.9,0.0,8.6,122.26,84.26,167.46
2023-01-21,Maulvibazar,24.3095344,91.7314903,17.2,0.0,9.7,124.38,85.84,164.75
2023-01-22,Maulvibazar,24.3095344,91.7314903,17.0,0.0,9.8,120.73,83.7,165.92
2023-01-23,Maulvibazar,24.3095344,91.7314903,18.5,0.0,10.0,129.4,89.85,164.38
2023-01-24,Maulvibazar,24.3095344,91.7314903,18.9,0.0,10.5,112.7,78.35,166.5
2023-01-25,Maulvibazar,24.3095344,91.7314903,19.3,0.0,9.4,131.36,91.51,165.75
2023-01-26,Maulvibazar,24.3095344,91.7314903,19.7,0.0,9.2,145.23,101.23,169.58
2023-01-27,Maulvibazar,24.3095344,91.7314903,20.3,0.0,8.6,157.65,109.72,179.0
2023-01-28,Maulvibazar,24.3095344,91.7314903,20.2,0.0,9.2,144.97,100.81,176.5
2023-01-29,Maulvibazar,24.3095344,91.7314903,19.4,0.0,10.4,127.45,88.7,170.83
2023-01-30,Maulvibazar,24.3095344,91.7314903,20.0,0.0,9.7,99.19,68.9,163.58
2023-01-31,Maulvibazar,24.3095344,91.7314903,20.2,0.0,8.6,94.57,65.26,152.33
2023-02-01,Maulvibazar,24.3095344,91.7314903,18.9,0.0,7.6,141.91,98.78,165.88
2023-02-02,Maulvibazar,24.3095344,91.7314903,19.3,0.0,9.7,79.88,55.57,162.33
2023-02-03,Maulvibazar,24.3095344,91.7314903,18.3,0.0,9.0,72.65,50.52,132.62
2023-02-04,Maulvibazar,24.3095344,91.7314903,18.7,0.0,8.8,105.21,73.27,152.5
2023-02-05,Maulvibazar,24.3095344,91.7314903,19.0,0.0,9.0,133.42,92.94,164.83
2023-02-06,Maulvibazar,24.3095344,91.7314903,18.4,0.0,10.4,142.61,98.81,173.29
2023-02-07,Maulvibazar,24.3095344,91.7314903,19.3,0.1,18.1,99.55,68.51,164.29
2023-02-08,Maulvibazar,24.3095344,91.7314903,20.6,0.0,10.3,76.32,50.68,147.96
2023-02-09,Maulvibazar,24.3095344,91.7314903,21.1,0.0,9.1,77.65,52.22,139.17
2023-02-10,Maulvibazar,24.3095344,91.7314903,21.2,0.0,13.2,76.15,52.05,144.08
2023-02-11,Maulvibazar,24.3095344,91.7314903,20.5,0.0,9.0,97.06,66.95,150.58
2023-02-12,Maulvibazar,24.3095344,91.7314903,21.1,0.0,11.8,88.95,61.22,154.92
2023-02-13,Maulvibazar,24.3095344,91.7314903,20.1,0.0,13.2,53.02,36.1,133.96
2023-02-14,Maulvibazar,24.3095344,91.7314903,17.7,0.0,10.6,55.06,37.79,97.88
2023-02-15,Maulvibazar,24.3095344,91.7314903,17.8,0.0,10.1,76.57,53.22,124.33
2023-02-16,Maulvibazar,24.3095344,91.7314903,19.0,0.0,10.9,88.13,61.37,149.25
2023-02-17,Maulvibazar,24.3095344,91.7314903,20.3,0.0,10.0,107.99,75.15,158.71
2023-02-18,Maulvibazar,24.3095344,91.7314903,21.9,0.0,7.8,101.07,69.79,158.46
2023-02-19,Maulvibazar,24.3095344,91.7314903,22.5,0.0,9.0,101.27,69.48,156.25
2023-02-20,Maulvibazar,24.3095344,91.7314903,22.6,0.1,9.3,127.37,87.28,161.75
2023-02-21,Maulvibazar,24.3095344,91.7314903,22.9,0.1,11.1,126.63,87.15,166.29
2023-02-22,Maulvibazar,24.3095344,91.7314903,24.2,0.5,14.6,83.13,56.6,161.38
2023-02-23,Maulvibazar,24.3095344,91.7314903,24.3,1.7,17.2,67.04,45.0,131.17
2023-02-24,Maulvibazar,24.3095344,91.7314903,23.6,0.4,8.7,72.46,47.84,124.42
2023-02-25,Maulvibazar,24.3095344,91.7314903,23.5,0.1,10.8,72.47,49.37,140.54
