Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Meherpur,23.8051991,88.6723578,18.1,0.1,8.9,204.58,141.88,196.38
2023-01-02,Meherpur,23.8051991,88.6723578,17.9,0.0,10.0,123.15,85.04,181.92
2023-01-03,Meherpur,23.8051991,88.6723578,17.2,0.0,13.0,98.88,68.48,159.21
2023-01-04,Meherpur,23.8051991,88.6723578,16.1,0.0,14.0,140.58,97.48,164.25
2023-01-05,Meherpur,23.8051991,88.6723578,15.1,0.0,13.3,115.74,80.7,169.38
2023-01-06,Meherpur,23.8051991,88.6723578,15.2,0.0,13.8,90.11,62.88,158.46
2023-01-07,Meherpur,23.8051991,88.6723578,15.2,0.0,12.6,92.51,64.67,153.58
2023-01-08,Meherpur,23.8051991,88.6723578,15.6,0.0,12.2,96.89,67.76,155.5
2023-01-09,Meherpur,23.8051991,88.6723578,16.4,0.0,11.6,104.98,73.43,157.79
2023-01-10,Meherpur,23.8051991,88.6723578,16.6,0.0,11.4,120.73,84.24,162.04
2023-01-11,Meherpur,23.8051991,88.6723578,15.3,0.0,11.5,137.77,96.14,168.04
2023-01-12,Meherpur,23.8051991,88.6723578,14.9,0.0,8.8,155.14,107.62,174.5
2023-01-13,Meherpur,23.8051991,88.6723578,17.6,0.0,9.1,201.49,139.27,185.0
2023-01-14,Meherpur,23.8051991,88.6723578,18.8,0.1,8.4,198.85,138.07,197.25
2023-01-15,Meherpur,23.8051991,88.6723578,19.1,0.0,10.6,154.85,107.1,187.04
2023-01-16,Meherpur,23.8051991,88.6723578,17.3,0.0,12.6,107.61,74.37,163.5
2023-01-17,Meherpur,23.8051991,88.6723578,16.2,0.0,9.1,137.69,95.37,164.42
2023-01-18,Meherpur,23.8051991,88.6723578,16.3,0.0,8.9,165.78,114.32,175.71
2023-01-19,Meherpur,23.8051991,88.6723578,15.9,0.0,9.2,182.69,126.24,187.38
2023-01-20,Meherpur,23.8051991,88.6723578,16.1,0.0,7.7,183.11,126.71,184.54
2023-01-21,Meherpur,23.8051991,88.6723578,17.1,0.0,8.7,254.74,176.53,200.92
2023-01-22,Meherpur,23.8051991,88.6723578,19.3,0.0,8.4,304.76,212.0,246.17
2023-01-23,Meherpur,23.8051991,88.6723578,20.1,0.0,8.4,307.84,214.76,266.58
2023-01-24,Meherpur,23.8051991,88.6723578,21.0,0.0,7.9,212.02,147.9,237.62
2023-01-25,Meherpur,23.8051991,88.6723578,21.0,0.0,7.2,195.77,136.59,187.46
2023-01-26,Meherpur,23.8051991,88.6723578,21.6,0.0,8.8,236.64,165.21,214.42
2023-01-27,Meherpur,23.8051991,88.6723578,21.1,0.0,12.1,124.93,86.63,187.75
2023-01-28,Meherpur,23.8051991,88.6723578,20.5,0.0,14.3,118.47,82.53,164.54
2023-01-29,Meherpur,23.8051991,88.6723578,18.5,0.0,10.0,103.09,71.18,160.04
2023-01-30,Meherpur,23.8051991,88.6723578,20.2,0.0,8.9,134.52,93.45,164.54
2023-01-31,Meherpur,23.8051991,88.6723578,21.4,0.0,8.6,150.01,104.41,173.67
2023-02-01,Meherpur,23.8051991,88.6723578,21.8,0.0,15.0,82.05,56.74,163.58
2023-02-02,Meherpur,23.8051991,88.6723578,18.2,0.0,13.3,90.41,62.65,149.38
2023-02-03,Meherpur,23.8051991,88.6723578,18.3,0.0,12.6,113.16,78.89,158.62
2023-02-04,Meherpur,23.8051991,88.6723578,18.9,0.0,10.0,133.2,92.86,166.29
2023-02-05,Meherpur,23.8051991,88.6723578,18.8,0.0,10.0,140.69,97.48,171.25
2023-02-06,Meherpur,23.8051991,88.6723578,20.2,0.0,11.4,140.2,96.68,175.33
2023-02-07,Meherpur,23.8051991,88.6723578,20.4,0.0,11.9,109.5,75.19,165.58
2023-02-08,Meherpur,23.8051991,88.6723578,21.6,0.0,10.5,88.24,60.7,153.21
2023-02-09,Meherpur,23.8051991,88.6723578,21.9,0.0,11.4,89.25,61.72,153.96
2023-02-10,Meherpur,23.8051991,88.6723578,20.4,0.0,11.9,92.3,63.82,151.96
2023-02-11,Meherpur,23.8051991,88.6723578,21.9,0.0,11.0,131.56,91.08,162.83
2023-02-12,Meherpur,23.8051991,88.6723578,23.0,0.0,18.6,121.5,83.76,171.88
2023-02-13,Meherpur,23.8051991,88.6723578,20.8,0.0,22.4,41.93,28.1,119.75
2023-02-14,Meherpur,23.8051991,88.6723578,18.4,0.0,11.9,64.05,44.42,99.29
2023-02-15,Meherpur,23.8051991,88.6723578,18.8,0.0,8.9,99.03,68.37,146.88
2023-02-16,Meherpur,23.8051991,88.6723578,20.1,0.0,10.2,125.55,86.85,164.0
2023-02-17,Meherpur,23.8051991,88.6723578,21.0,0.0,9.0,121.42,83.64,166.12
2023-02-18,Meherpur,23.8051991,88.6723578,22.2,0.1,10.9,135.49,92.09,164.5
2023-02-19,Meherpur,23.8051991,88.6723578,23.4,0.0,8.4,142.26,97.1,168.79
2023-02-20,Meherpur,23.8051991,88.6723578,24.6,0.0,13.6,125.44,86.14,171.5
2023-02-21,Meherpur,23.8051991,88.6723578,25.7,0.1,13.1,121.26,83.35,163.83
2023-02-22,Meherpur,23.8051991,88.6723578,25.8,0.0,18.4,110.26,76.22,167.33
2023-02-23,Meherpur,23.8051991,88.6723578,25.6,0.0,12.5,83.0,56.65,152.42
2023-02-24,Meherpur,23.8051991,88.6723578,25.6,0.0,11.5,114.7,79.09,157.0
2023-02-25,Meherpur,23.8051991,88.6723578,24.9,0.0,12.8,93.59,64.65,159.92
2023-02-26,Meherpur,23.8051991,88.6723578,23.6,0.0,10.6,88.14,61.05,151.38
2023-02-27,Meherpur,23.8051991,88.6723578,24.5,0.0,14.7,85.37,59.3,154.38
2023-02-28,Meherpur,23.8051991,88.6723578,24.6,0.0,9.5,97.1,66.8,153.17
2023-03-01,Meherpur,23.8051991,88.6723578,24.6,0.0,9.4,92.71,63.77,155.25
2023-03-02,Meherpur,23.8051991,88.6723578,24.9,0.0,10.4,101.13,69.88,156.79
2023-03-03,Meherpur,23.8051991,88.6723578,26.0,0.0,14.2,104.9,71.64,159.62
2023-03-04,Meherpur,23.8051991,88.6723578,25.7,0.0,12.3,111.08,76.43,158.83
2023-03-05,Meherpur,23.8051991,88.6723578,26.0,0.0,9.3,104.31,72.11,161.25
2023-03-06,Meherpur,23.8051991,88.6723578,26.7,0.0,12.0,63.03,43.08,135.75
2023-03-07,Meherpur,23.8051991,88.6723578,26.6,0.0,10.6,76.7,53.25,142.96
2023-03-08,Meherpur,23.8051991,88.6723578,26.2,0.0,11.8,66.99,46.33,127.08
2023-03-09,Meherpur,23.8051991,88.6723578,25.8,0.0,9.8,89.27,62.02,134.67
2023-03-10,Meherpur,23.8051991,88.6723578,26.5,0.0,11.0,105.52,73.49,158.54
2023-03-11,Meherpur,23.8051991,88.6723578,26.8,0.1,19.5,131.49,91.62,165.21
2023-03-12,Meherpur,23.8051991,88.6723578,26.8,0.0,11.2,102.91,71.68,164.25
2023-03-13,Meherpur,23.8051991,88.6723578,26.9,0.0,12.0,99.52,69.3,157.83
2023-03-14,Meherpur,23.8051991,88.6723578,26.6,3.5,21.3,125.43,87.31,174.75
2023-03-15,Meherpur,23.8051991,88.6723578,27.3,0.0,12.7,130.23,90.24,167.08
2023-03-16,Meherpur,23.8051991,88.6723578,24.7,10.9,20.4,102.64,70.41,162.38
2023-03-17,Meherpur,23.8051991,88.6723578,23.4,1.2,12.3,94.34,65.12,156.5
2023-03-18,Meherpur,23.8051991,88.6723578,22.7,2.0,19.8,103.5,71.62,157.5
2023-03-19,Meherpur,23.8051991,88.6723578,21.6,14.2,18.2,86.44,60.04,159.67
2023-03-20,Meherpur,23.8051991,88.6723578,21.4,5.6,15.9,37.38,25.8,94.58
2023-03-21,Meherpur,23.8051991,88.6723578,21.9,12.5,11.3,77.63,54.02,103.62
2023-03-22,Meherpur,23.8051991,88.6723578,23.2,0.3,10.0,73.68,50.99,148.67
2023-03-23,Meherpur,23.8051991,88.6723578,24.2,0.0,13.6,90.01,62.75,152.79
2023-03-24,Meherpur,23.8051991,88.6723578,24.7,0.0,11.7,89.45,62.16,152.46
2023-03-25,Meherpur,23.8051991,88.6723578,25.0,1.4,13.3,87.1,59.92,153.46
2023-03-26,Meherpur,23.8051991,88.6723578,25.8,2.1,16.2,85.08,58.12,151.96
