Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Mymensingh,24.7434484,90.3983829,16.8,0.0,8.2,153.07,106.43,184.46
2023-01-02,Mymensingh,24.7434484,90.3983829,16.7,0.0,8.9,98.7,68.5,166.42
2023-01-03,Mymensingh,24.7434484,90.3983829,16.3,0.0,8.7,68.93,47.72,144.75
2023-01-04,Mymensingh,24.7434484,90.3983829,17.0,0.0,11.2,58.1,40.39,121.38
2023-01-05,Mymensingh,24.7434484,90.3983829,16.8,0.0,13.5,51.05,35.39,106.04
2023-01-06,Mymensingh,24.7434484,90.3983829,16.7,0.0,13.1,46.64,32.29,94.33
2023-01-07,Mymensingh,24.7434484,90.3983829,16.6,0.0,9.8,54.01,37.63,101.88
2023-01-08,Mymensingh,24.7434484,90.3983829,17.6,0.0,11.2,58.25,40.65,109.04
2023-01-09,Mymensingh,24.7434484,90.3983829,18.1,0.0,10.2,58.89,41.02,112.58
2023-01-10,Mymensingh,24.7434484,90.3983829,18.1,0.0,10.4,54.97,38.26,107.58
2023-01-11,Mymensingh,24.7434484,90.3983829,16.7,0.0,10.8,80.73,56.36,127.33
2023-01-12,Mymensingh,24.7434484,90.3983829,15.6,0.0,9.0,107.91,75.21,155.38
2023-01-13,Mymensingh,24.7434484,90.3983829,16.5,0.0,9.5,153.48,106.79,168.38
2023-01-14,Mymensingh,24.7434484,90.3983829,18.0,0.4,8.7,154.94,107.45,178.71
2023-01-15,Mymensingh,24.7434484,90.3983829,18.5,0.0,15.8,136.83,94.78,175.71
2023-01-16,Mymensingh,24.7434484,90.3983829,17.2,0.0,9.2,114.5,79.1,163.17
2023-01-17,Mymensingh,24.7434484,90.3983829,15.4,0.0,9.4,117.96,81.82,163.04
2023-01-18,Mymensingh,24.7434484,90.3983829,14.5,0.0,10.2,131.98,91.07,166.46
2023-01-19,Mymensingh,24.7434484,90.3983829,14.5,0.0,10.1,145.29,100.58,171.54
