Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Naogaon,24.9131597,88.7530952,16.8,0.0,9.2,155.18,107.72,182.21
2023-01-02,Naogaon,24.9131597,88.7530952,16.4,0.0,9.7,87.88,60.69,164.83
2023-01-03,Naogaon,24.9131597,88.7530952,15.8,0.0,12.8,87.54,60.53,152.04
2023-01-04,Naogaon,24.9131597,88.7530952,14.9,0.0,10.6,127.62,88.42,160.12
2023-01-05,Naogaon,24.9131597,88.7530952,14.4,0.0,13.3,98.56,68.66,163.0
2023-01-06,Naogaon,24.9131597,88.7530952,14.7,0.0,14.1,74.23,51.81,150.92
2023-01-07,Naogaon,24.9131597,88.7530952,14.7,0.0,13.3,77.17,53.97,142.46
2023-01-08,Naogaon,24.9131597,88.7530952,14.4,0.0,11.7,87.71,61.38,150.62
2023-01-09,Naogaon,24.9131597,88.7530952,15.1,0.0,11.0,92.42,64.62,153.88
2023-01-10,Naogaon,24.9131597,88.7530952,15.0,0.0,10.6,108.83,75.96,157.17
2023-01-11,Naogaon,24.9131597,88.7530952,13.7,0.0,9.8,123.26,86.05,163.92
2023-01-12,Naogaon,24.9131597,88.7530952,13.6,0.0,11.0,131.33,91.34,166.17
2023-01-13,Naogaon,24.9131597,88.7530952,15.4,0.0,11.2,179.21,124.29,178.12
2023-01-14,Naogaon,24.9131597,88.7530952,17.3,0.0,9.3,165.29,114.74,185.92
2023-01-15,Naogaon,24.9131597,88.7530952,17.5,0.0,16.3,151.46,104.98,180.5
2023-01-16,Naogaon,24.9131597,88.7530952,15.2,0.0,10.1,114.19,79.13,164.29
2023-01-17,Naogaon,24.9131597,88.7530952,13.7,0.0,10.8,140.37,97.32,167.92
2023-01-18,Naogaon,24.9131597,88.7530952,13.1,0.0,11.5,159.85,110.22,174.67
2023-01-19,Naogaon,24.9131597,88.7530952,13.4,0.0,11.2,174.88,121.19,184.21
2023-01-20,Naogaon,24.9131597,88.7530952,14.4,0.0,11.2,179.42,124.49,182.58
2023-01-21,Naogaon,24.9131597,88.7530952,15.9,0.0,10.0,228.19,158.55,195.38
2023-01-22,Naogaon,24.9131597,88.7530952,17.6,0.0,8.4,249.75,173.89,218.67
2023-01-23,Naogaon,24.9131597,88.7530952,18.2,0.0,10.4,204.95,142.84,208.88
2023-01-24,Naogaon,24.9131597,88.7530952,18.6,0.0,10.4,136.92,95.33,182.38
2023-01-25,Naogaon,24.9131597,88.7530952,19.3,0.0,10.7,152.59,106.32,170.62
2023-01-26,Naogaon,24.9131597,88.7530952,19.7,0.0,9.0,183.74,128.18,187.42
2023-01-27,Naogaon,24.9131597,88.7530952,19.8,0.0,12.2,116.15,80.63,176.54
2023-01-28,Naogaon,24.9131597,88.7530952,19.7,0.0,12.7,113.03,78.83,161.79
2023-01-29,Naogaon,24.9131597,88.7530952,18.6,0.0,9.2,109.87,76.28,160.0
2023-01-30,Naogaon,24.9131597,88.7530952,20.0,0.0,8.7,120.28,83.7,164.21
2023-01-31,Naogaon,24.9131597,88.7530952,20.8,0.0,11.0,131.8,91.81,167.67
2023-02-01,Naogaon,24.9131597,88.7530952,20.4,0.0,16.5,85.16,58.97,161.08
2023-02-02,Naogaon,24.9131597,88.7530952,17.2,0.0,12.3,91.6,63.66,150.79
2023-02-03,Naogaon,24.9131597,88.7530952,18.0,0.0,10.6,107.5,75.05,157.83
2023-02-04,Naogaon,24.9131597,88.7530952,18.5,0.0,9.6,131.4,91.76,164.5
2023-02-05,Naogaon,24.9131597,88.7530952,18.2,0.0,12.2,142.32,99.1,171.42
2023-02-06,Naogaon,24.9131597,88.7530952,18.9,0.0,12.6,124.52,86.09,171.38
2023-02-07,Naogaon,24.9131597,88.7530952,19.3,0.0,11.8,100.52,69.26,161.54
2023-02-08,Naogaon,24.9131597,88.7530952,20.5,0.0,11.3,91.58,63.35,154.88
2023-02-09,Naogaon,24.9131597,88.7530952,19.7,0.0,11.7,86.16,59.41,152.75
2023-02-10,Naogaon,24.9131597,88.7530952,18.6,0.0,12.9,101.97,70.3,152.92
2023-02-11,Naogaon,24.9131597,88.7530952,20.1,0.0,9.7,119.85,83.0,163.71
2023-02-12,Naogaon,24.9131597,88.7530952,20.9,0.0,19.9,103.35,71.14,164.04
2023-02-13,Naogaon,24.9131597,88.7530952,18.4,0.0,18.4,40.48,27.34,114.92
2023-02-14,Naogaon,24.9131597,88.7530952,17.5,0.0,9.6,60.63,41.96,97.38
2023-02-15,Naogaon,24.9131597,88.7530952,18.6,0.0,11.5,77.18,53.66,129.17
2023-02-16,Naogaon,24.9131597,88.7530952,20.2,0.0,10.1,102.59,71.54,154.88
2023-02-17,Naogaon,24.9131597,88.7530952,20.7,0.0,10.1,120.43,83.82,162.29
2023-02-18,Naogaon,24.9131597,88.7530952,21.6,0.0,10.1,128.53,88.9,164.79
2023-02-19,Naogaon,24.9131597,88.7530952,22.6,0.0,10.0,143.29,98.38,169.33
2023-02-20,Naogaon,24.9131597,88.7530952,23.7,0.0,12.1,148.02,102.17,175.12
2023-02-21,Naogaon,24.9131597,88.7530952,24.6,0.0,12.9,136.4,94.6,171.62
2023-02-22,Naogaon,24.9131597,88.7530952,24.3,0.5,16.4,130.72,90.99,174.04
2023-02-23,Naogaon,24.9131597,88.7530952,24.0,0.0,18.8,79.08,54.36,156.96
2023-02-24,Naogaon,24.9131597,88.7530952,23.1,0.0,12.1,81.24,56.38,145.42
2023-02-25,Naogaon,24.9131597,88.7530952,22.2,0.0,10.9,79.09,54.66,147.54
2023-02-26,Naogaon,24.9131597,88.7530952,22.5,0.0,13.7,65.98,45.52,134.83
2023-02-27,Naogaon,24.9131597,88.7530952,22.6,0.0,14.1,76.88,53.33,135.42
2023-02-28,Naogaon,24.9131597,88.7530952,23.4,0.0,11.2,99.6,68.75,152.08
2023-03-01,Naogaon,24.9131597,88.7530952,23.3,0.0,9.1,98.27,67.41,157.17
2023-03-02,Naogaon,24.9131597,88.7530952,23.8,0.0,10.6,94.49,64.73,155.88
