Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Narail,23.1656982,89.4990219,18.8,0.0,10.0,209.02,145.35,203.79
2023-01-02,Narail,23.1656982,89.4990219,18.8,0.0,9.3,140.39,96.9,184.08
2023-01-03,Narail,23.1656982,89.4990219,17.8,0.0,14.7,98.6,67.91,164.96
2023-01-04,Narail,23.1656982,89.4990219,17.0,0.0,13.4,87.76,61.02,153.96
2023-01-05,Narail,23.1656982,89.4990219,16.2,0.0,14.4,108.56,75.74,158.21
2023-01-06,Narail,23.1656982,89.4990219,16.0,0.0,12.6,86.79,60.62,156.21
2023-01-07,Narail,23.1656982,89.4990219,15.6,0.0,11.4,82.45,57.5,151.33
2023-01-08,Narail,23.1656982,89.4990219,16.9,0.0,10.8,75.75,52.94,150.96
2023-01-09,Narail,23.1656982,89.4990219,17.9,0.0,10.5,70.15,48.99,131.38
2023-01-10,Narail,23.1656982,89.4990219,17.5,0.0,10.0,85.42,59.65,144.42
2023-01-11,Narail,23.1656982,89.4990219,16.6,0.0,11.2,129.26,90.2,159.29
2023-01-12,Narail,23.1656982,89.4990219,16.1,0.0,7.9,145.98,101.42,171.33
2023-01-13,Narail,23.1656982,89.4990219,18.8,0.0,9.9,174.59,120.52,182.29
2023-01-14,Narail,23.1656982,89.4990219,20.1,0.6,16.9,160.65,109.73,178.12
2023-01-15,Narail,23.1656982,89.4990219,20.1,0.9,10.3,156.24,107.77,184.33
2023-01-16,Narail,23.1656982,89.4990219,18.7,0.0,12.4,117.93,81.51,165.71
2023-01-17,Narail,23.1656982,89.4990219,17.6,0.0,9.5,126.1,87.65,164.67
2023-01-18,Narail,23.1656982,89.4990219,17.8,0.0,8.7,152.93,106.25,170.92
2023-01-19,Narail,23.1656982,89.4990219,17.3,0.0,10.7,159.39,110.37,180.21
2023-01-20,Narail,23.1656982,89.4990219,16.6,0.0,10.1,155.57,107.74,177.46
2023-01-21,Narail,23.1656982,89.4990219,17.4,0.0,10.1,182.14,126.26,181.04
2023-01-22,Narail,23.1656982,89.4990219,19.3,0.0,9.1,219.4,152.58,194.29
2023-01-23,Narail,23.1656982,89.4990219,20.6,0.0,9.3,259.11,180.67,216.62
2023-01-24,Narail,23.1656982,89.4990219,21.6,0.0,8.7,241.39,168.39,233.62
2023-01-25,Narail,23.1656982,89.4990219,21.3,0.0,9.1,211.1,147.28,197.33
2023-01-26,Narail,23.1656982,89.4990219,22.5,0.0,11.2,241.22,168.47,217.5
2023-01-27,Narail,23.1656982,89.4990219,21.8,0.0,10.5,163.42,113.66,204.04
2023-01-28,Narail,23.1656982,89.4990219,21.4,0.0,10.9,114.41,79.53,165.04
2023-01-29,Narail,23.1656982,89.4990219,19.7,0.0,9.8,90.4,62.58,158.46
2023-01-30,Narail,23.1656982,89.4990219,20.5,0.0,8.8,122.82,84.92,158.96
2023-01-31,Narail,23.1656982,89.4990219,21.6,0.0,10.8,135.92,94.7,168.71
2023-02-01,Narail,23.1656982,89.4990219,20.9,0.0,13.6,96.2,66.74,164.67
2023-02-02,Narail,23.1656982,89.4990219,19.5,0.0,18.6,72.65,49.92,142.25
2023-02-03,Narail,23.1656982,89.4990219,18.7,0.0,10.6,90.74,63.34,150.17
2023-02-04,Narail,23.1656982,89.4990219,19.4,0.0,11.5,114.05,79.62,158.12
