Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Narayanganj,23.6226398,90.4997973,17.5,0.0,10.2,197.06,137.14,208.71
2023-01-02,Narayanganj,23.6226398,90.4997973,17.3,0.0,11.2,160.37,111.18,184.12
2023-01-03,Narayanganj,23.6226398,90.4997973,17.0,0.0,9.5,121.49,84.12,174.79
2023-01-04,Narayanganj,23.6226398,90.4997973,17.2,0.0,10.8,87.65,61.04,157.75
2023-01-05,Narayanganj,23.6226398,90.4997973,16.7,0.0,13.1,84.43,58.79,152.71
2023-01-06,Narayanganj,23.6226398,90.4997973,16.3,0.0,11.3,74.26,51.74,146.46
2023-01-07,Narayanganj,23.6226398,90.4997973,16.1,0.0,9.2,79.62,55.56,143.79
2023-01-08,Narayanganj,23.6226398,90.4997973,17.6,0.0,8.9,79.82,55.75,150.71
2023-01-09,Narayanganj,23.6226398,90.4997973,18.4,0.0,9.7,80.89,56.5,146.62
2023-01-10,Narayanganj,23.6226398,90.4997973,18.1,0.0,9.8,85.03,59.35,151.08
2023-01-11,Narayanganj,23.6226398,90.4997973,16.7,0.0,9.4,118.55,82.79,157.17
2023-01-12,Narayanganj,23.6226398,90.4997973,15.1,0.0,9.7,156.25,108.59,170.25
2023-01-13,Narayanganj,23.6226398,90.4997973,17.0,0.0,10.0,195.17,135.45,189.04
2023-01-14,Narayanganj,23.6226398,90.4997973,19.2,3.9,10.5,166.95,114.4,183.83
2023-01-15,Narayanganj,23.6226398,90.4997973,19.4,0.0,10.7,187.11,129.52,190.29
2023-01-16,Narayanganj,23.6226398,90.4997973,18.1,0.0,10.1,136.44,94.42,174.62
2023-01-17,Narayanganj,23.6226398,90.4997973,17.3,0.0,9.5,145.0,100.82,170.62
2023-01-18,Narayanganj,23.6226398,90.4997973,16.8,0.0,8.9,173.73,120.66,177.92
2023-01-19,Narayanganj,23.6226398,90.4997973,15.9,0.0,10.2,170.3,117.89,187.17
2023-01-20,Narayanganj,23.6226398,90.4997973,15.6,0.0,10.8,177.91,123.51,183.08
2023-01-21,Narayanganj,23.6226398,90.4997973,16.8,0.0,10.1,185.61,128.86,185.33
2023-01-22,Narayanganj,23.6226398,90.4997973,18.4,0.0,8.0,230.18,160.2,198.79
2023-01-23,Narayanganj,23.6226398,90.4997973,19.6,0.0,8.9,281.75,196.4,225.92
2023-01-24,Narayanganj,23.6226398,90.4997973,20.0,0.0,8.9,246.35,171.78,241.67
2023-01-25,Narayanganj,23.6226398,90.4997973,20.3,0.0,8.2,222.84,155.62,202.58
2023-01-26,Narayanganj,23.6226398,90.4997973,21.0,0.0,9.6,293.53,205.1,232.96
2023-01-27,Narayanganj,23.6226398,90.4997973,20.6,0.0,9.1,242.95,169.58,261.5
2023-01-28,Narayanganj,23.6226398,90.4997973,20.6,0.0,10.6,120.27,83.68,176.79
2023-01-29,Narayanganj,23.6226398,90.4997973,19.5,0.0,10.5,113.88,79.07,163.75
2023-01-30,Narayanganj,23.6226398,90.4997973,19.4,0.0,10.1,157.99,109.63,170.5
2023-01-31,Narayanganj,23.6226398,90.4997973,20.3,0.0,10.2,148.62,103.47,178.54
2023-02-01,Narayanganj,23.6226398,90.4997973,20.0,0.0,10.7,124.1,86.44,171.08
2023-02-02,Narayanganj,23.6226398,90.4997973,18.5,0.0,13.0,71.55,49.2,152.75
