Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Narsingdi,24.134378,90.7860057,16.8,0.0,8.5,169.68,118.08,195.96
2023-01-02,Narsingdi,24.134378,90.7860057,17.4,0.0,9.2,144.63,100.3,176.62
2023-01-03,Narsingdi,24.134378,90.7860057,17.0,0.0,10.7,122.09,84.63,171.0
2023-01-04,Narsingdi,24.134378,90.7860057,17.2,0.0,9.7,94.56,65.83,159.67
2023-01-05,Narsingdi,24.134378,90.7860057,17.1,0.0,10.5,66.61,46.36,143.83
2023-01-06,Narsingdi,24.134378,90.7860057,16.9,0.0,10.0,61.95,43.1,121.0
2023-01-07,Narsingdi,24.134378,90.7860057,16.7,0.0,8.7,70.15,48.96,127.08
2023-01-08,Narsingdi,24.134378,90.7860057,18.1,0.0,9.2,73.0,50.98,139.33
2023-01-09,Narsingdi,24.134378,90.7860057,18.7,0.0,10.2,72.48,50.6,134.62
2023-01-10,Narsingdi,24.134378,90.7860057,18.7,0.0,10.3,79.94,55.78,142.71
2023-01-11,Narsingdi,24.134378,90.7860057,17.6,0.0,9.7,96.22,67.11,152.25
2023-01-12,Narsingdi,24.134378,90.7860057,16.1,0.0,7.6,142.16,98.88,162.75
2023-01-13,Narsingdi,24.134378,90.7860057,16.5,0.0,8.9,182.9,126.95,184.46
2023-01-14,Narsingdi,24.134378,90.7860057,18.7,0.2,8.0,156.59,107.88,181.08
2023-01-15,Narsingdi,24.134378,90.7860057,19.1,0.0,14.3,163.6,113.1,182.75
2023-01-16,Narsingdi,24.134378,90.7860057,18.1,0.0,9.1,130.78,90.35,169.75
2023-01-17,Narsingdi,24.134378,90.7860057,17.0,0.0,9.2,133.97,92.96,168.08
2023-01-18,Narsingdi,24.134378,90.7860057,16.0,0.0,8.8,151.42,105.03,172.83
2023-01-19,Narsingdi,24.134378,90.7860057,15.5,0.0,8.3,160.32,110.83,178.88
2023-01-20,Narsingdi,24.134378,90.7860057,16.0,0.0,9.0,181.4,126.0,182.83
2023-01-21,Narsingdi,24.134378,90.7860057,16.7,0.0,7.9,172.08,119.5,184.75
2023-01-22,Narsingdi,24.134378,90.7860057,18.3,0.0,9.0,191.18,132.89,187.38
2023-01-23,Narsingdi,24.134378,90.7860057,19.3,0.0,8.3,225.85,157.27,197.04
2023-01-24,Narsingdi,24.134378,90.7860057,20.1,0.0,8.4,193.32,134.72,201.0
2023-01-25,Narsingdi,24.134378,90.7860057,19.9,0.0,8.4,190.5,133.0,188.5
2023-01-26,Narsingdi,24.134378,90.7860057,20.7,0.0,10.0,239.8,167.54,201.62
2023-01-27,Narsingdi,24.134378,90.7860057,21.0,0.0,9.2,235.06,164.1,235.04
2023-01-28,Narsingdi,24.134378,90.7860057,20.8,0.0,10.3,115.67,80.47,177.46
2023-01-29,Narsingdi,24.134378,90.7860057,20.1,0.0,9.6,109.82,76.2,161.5
2023-01-30,Narsingdi,24.134378,90.7860057,20.1,0.0,8.3,143.32,99.52,168.29
2023-01-31,Narsingdi,24.134378,90.7860057,20.9,0.0,7.4,148.71,103.45,174.88
2023-02-01,Narsingdi,24.134378,90.7860057,21.1,0.0,8.6,126.91,88.5,171.17
2023-02-02,Narsingdi,24.134378,90.7860057,19.3,0.0,12.2,63.93,44.08,150.88
