Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Natore,24.410243,89.0076177,17.1,0.1,8.8,150.6,104.48,179.88
2023-01-02,Natore,24.410243,89.0076177,17.2,0.0,10.2,94.16,64.82,165.71
2023-01-03,Natore,24.410243,89.0076177,16.5,0.0,14.6,71.87,49.65,147.88
2023-01-04,Natore,24.410243,89.0076177,15.8,0.0,14.8,106.3,73.68,150.58
2023-01-05,Natore,24.410243,89.0076177,15.0,0.0,13.4,101.06,70.38,160.21
2023-01-06,Natore,24.410243,89.0076177,15.2,0.0,13.6,74.07,51.71,151.46
2023-01-07,Natore,24.410243,89.0076177,15.2,0.0,12.5,71.62,50.0,136.96
2023-01-08,Natore,24.410243,89.0076177,15.3,0.0,12.0,80.07,56.04,143.88
2023-01-09,Natore,24.410243,89.0076177,16.0,0.0,9.8,78.78,55.06,148.33
2023-01-10,Natore,24.410243,89.0076177,15.8,0.0,10.7,95.55,66.71,152.12
2023-01-11,Natore,24.410243,89.0076177,14.6,0.0,10.5,125.1,87.25,161.54
2023-01-12,Natore,24.410243,89.0076177,14.8,0.0,7.1,132.66,92.24,167.17
2023-01-13,Natore,24.410243,89.0076177,16.5,0.0,7.9,182.6,126.57,178.29
2023-01-14,Natore,24.410243,89.0076177,18.6,0.0,9.3,160.56,111.39,186.12
2023-01-15,Natore,24.410243,89.0076177,18.8,0.0,15.7,142.89,98.82,177.0
2023-01-16,Natore,24.410243,89.0076177,16.5,0.0,9.7,112.02,77.48,163.04
2023-01-17,Natore,24.410243,89.0076177,15.5,0.0,8.4,136.87,94.93,166.21
2023-01-18,Natore,24.410243,89.0076177,14.6,0.0,8.4,156.47,108.07,174.5
2023-01-19,Natore,24.410243,89.0076177,14.3,0.0,11.2,169.77,117.45,182.46
2023-01-20,Natore,24.410243,89.0076177,15.1,0.0,9.5,158.92,110.2,178.33
2023-01-21,Natore,24.410243,89.0076177,16.4,0.0,8.9,210.5,145.98,186.5
2023-01-22,Natore,24.410243,89.0076177,18.2,0.0,7.9,241.36,168.0,207.79
2023-01-23,Natore,24.410243,89.0076177,19.0,0.0,8.2,233.22,162.44,217.29
2023-01-24,Natore,24.410243,89.0076177,19.2,0.0,7.8,157.95,110.02,193.92
2023-01-25,Natore,24.410243,89.0076177,19.8,0.0,8.5,166.69,116.21,176.54
2023-01-26,Natore,24.410243,89.0076177,20.4,0.0,9.8,197.0,137.47,190.04
2023-01-27,Natore,24.410243,89.0076177,20.3,0.0,10.6,121.35,84.22,183.04
2023-01-28,Natore,24.410243,89.0076177,20.2,0.0,12.6,108.38,75.48,160.38
2023-01-29,Natore,24.410243,89.0076177,18.5,0.0,10.0,102.18,70.94,158.08
2023-01-30,Natore,24.410243,89.0076177,19.7,0.0,9.7,114.96,79.98,161.92
2023-01-31,Natore,24.410243,89.0076177,21.0,0.0,9.7,126.06,87.78,164.54
2023-02-01,Natore,24.410243,89.0076177,21.0,0.0,15.3,83.95,58.2,160.83
2023-02-02,Natore,24.410243,89.0076177,17.6,0.0,14.0,84.95,58.83,147.71
2023-02-03,Natore,24.410243,89.0076177,18.1,0.0,10.5,97.16,67.85,154.92
2023-02-04,Natore,24.410243,89.0076177,18.5,0.0,9.7,122.47,85.54,160.5
2023-02-05,Natore,24.410243,89.0076177,19.1,0.0,10.8,136.67,95.03,168.54
2023-02-06,Natore,24.410243,89.0076177,19.4,0.0,11.8,126.65,87.39,172.25
2023-02-07,Natore,24.410243,89.0076177,19.7,0.0,10.3,100.62,69.15,160.88
2023-02-08,Natore,24.410243,89.0076177,20.7,0.0,12.7,81.85,56.3,149.29
2023-02-09,Natore,24.410243,89.0076177,20.7,0.0,12.3,78.9,54.08,150.58
2023-02-10,Natore,24.410243,89.0076177,19.7,0.0,11.5,90.08,62.04,148.42
2023-02-11,Natore,24.410243,89.0076177,21.1,0.0,9.5,121.31,83.97,160.92
2023-02-12,Natore,24.410243,89.0076177,22.2,0.0,21.4,111.68,77.03,167.21
2023-02-13,Natore,24.410243,89.0076177,19.8,0.0,21.2,39.0,26.1,113.92
2023-02-14,Natore,24.410243,89.0076177,17.6,0.0,11.1,58.91,40.77,95.96
2023-02-15,Natore,24.410243,89.0076177,18.7,0.0,11.0,72.85,50.62,124.96
2023-02-16,Natore,24.410243,89.0076177,19.8,0.0,8.9,107.8,75.0,153.38
2023-02-17,Natore,24.410243,89.0076177,20.8,0.0,8.7,115.38,79.97,162.96
2023-02-18,Natore,24.410243,89.0076177,21.8,0.0,8.5,118.07,80.68,161.58
2023-02-19,Natore,24.410243,89.0076177,22.6,0.1,8.7,129.77,88.37,162.88
