Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Netrokona,24.8103284,90.8656415,16.4,0.0,8.4,157.85,109.72,185.96
2023-01-02,Netrokona,24.8103284,90.8656415,16.6,0.0,9.7,113.75,79.06,169.75
2023-01-03,Netrokona,24.8103284,90.8656415,15.9,0.0,9.9,85.93,59.62,157.0
2023-01-04,Netrokona,24.8103284,90.8656415,16.4,0.0,9.5,67.06,46.59,141.58
2023-01-05,Netrokona,24.8103284,90.8656415,16.8,0.0,10.9,48.0,33.31,108.58
2023-01-06,Netrokona,24.8103284,90.8656415,16.5,0.0,8.9,43.72,30.26,90.88
2023-01-07,Netrokona,24.8103284,90.8656415,16.6,0.0,9.0,49.53,34.55,95.42
2023-01-08,Netrokona,24.8103284,90.8656415,17.4,0.0,8.7,54.22,37.84,102.42
2023-01-09,Netrokona,24.8103284,90.8656415,18.2,0.0,8.7,54.65,38.1,103.67
2023-01-10,Netrokona,24.8103284,90.8656415,18.3,0.0,8.4,53.45,37.27,104.92
2023-01-11,Netrokona,24.8103284,90.8656415,17.5,0.0,10.0,69.26,48.32,114.5
2023-01-12,Netrokona,24.8103284,90.8656415,16.2,0.0,9.7,106.76,74.41,150.21
2023-01-13,Netrokona,24.8103284,90.8656415,15.7,0.0,9.4,138.52,96.39,165.67
2023-01-14,Netrokona,24.8103284,90.8656415,17.8,0.1,9.1,146.05,101.19,174.04
2023-01-15,Netrokona,24.8103284,90.8656415,17.7,0.0,13.4,132.67,91.83,173.67
2023-01-16,Netrokona,24.8103284,90.8656415,17.0,0.0,7.8,124.04,85.6,164.17
2023-01-17,Netrokona,24.8103284,90.8656415,15.6,0.0,8.3,118.82,82.45,165.0
2023-01-18,Netrokona,24.8103284,90.8656415,14.1,0.0,9.8,125.76,86.9,165.79
2023-01-19,Netrokona,24.8103284,90.8656415,13.9,0.0,9.2,141.82,98.1,169.38
2023-01-20,Netrokona,24.8103284,90.8656415,14.7,0.0,9.4,149.91,104.22,175.58
2023-01-21,Netrokona,24.8103284,90.8656415,15.5,0.0,10.0,127.28,88.5,170.17
2023-01-22,Netrokona,24.8103284,90.8656415,16.5,0.0,9.4,151.89,105.59,170.46
2023-01-23,Netrokona,24.8103284,90.8656415,18.0,0.0,9.7,198.97,138.54,185.75
2023-01-24,Netrokona,24.8103284,90.8656415,18.3,0.0,9.2,179.96,125.41,195.08
2023-01-25,Netrokona,24.8103284,90.8656415,18.2,0.0,9.5,140.4,97.94,174.75
2023-01-26,Netrokona,24.8103284,90.8656415,19.1,0.0,8.6,151.05,105.36,173.96
2023-01-27,Netrokona,24.8103284,90.8656415,19.4,0.0,8.2,139.77,97.32,176.54
2023-01-28,Netrokona,24.8103284,90.8656415,19.5,0.0,9.4,101.6,70.6,164.29
2023-01-29,Netrokona,24.8103284,90.8656415,18.8,0.0,8.7,101.24,70.3,156.46
2023-01-30,Netrokona,24.8103284,90.8656415,18.8,0.0,9.9,117.31,81.56,163.92
2023-01-31,Netrokona,24.8103284,90.8656415,20.1,0.0,8.6,113.0,78.7,161.88
2023-02-01,Netrokona,24.8103284,90.8656415,20.9,0.0,10.5,105.71,73.72,160.58
2023-02-02,Netrokona,24.8103284,90.8656415,18.7,0.0,15.8,59.28,41.08,145.25
2023-02-03,Netrokona,24.8103284,90.8656415,18.6,0.0,9.5,71.04,49.43,118.08
2023-02-04,Netrokona,24.8103284,90.8656415,18.6,0.0,8.8,89.75,62.63,148.5
2023-02-05,Netrokona,24.8103284,90.8656415,18.1,0.0,8.6,114.83,80.13,157.75
2023-02-06,Netrokona,24.8103284,90.8656415,18.2,0.0,9.5,123.92,86.14,167.46
2023-02-07,Netrokona,24.8103284,90.8656415,18.5,0.0,9.1,100.72,69.48,159.67
2023-02-08,Netrokona,24.8103284,90.8656415,19.8,0.7,13.2,77.78,52.47,152.79
2023-02-09,Netrokona,24.8103284,90.8656415,19.9,0.2,8.0,90.78,61.02,144.46
2023-02-10,Netrokona,24.8103284,90.8656415,19.7,0.0,9.7,111.24,76.44,160.46
2023-02-11,Netrokona,24.8103284,90.8656415,20.0,0.0,8.8,116.16,80.27,159.79
2023-02-12,Netrokona,24.8103284,90.8656415,21.0,0.0,14.0,89.66,61.82,159.33
2023-02-13,Netrokona,24.8103284,90.8656415,19.2,0.0,14.0,49.61,33.78,123.58
