Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Nilphamari,25.8482798,88.9414134,16.3,0.0,7.8,85.89,59.32,151.92
2023-01-02,Nilphamari,25.8482798,88.9414134,16.4,0.2,8.5,94.28,65.08,154.0
2023-01-03,Nilphamari,25.8482798,88.9414134,16.0,0.0,9.8,101.33,69.54,156.62
2023-01-04,Nilphamari,25.8482798,88.9414134,15.6,0.0,11.3,109.93,75.94,159.33
2023-01-05,Nilphamari,25.8482798,88.9414134,14.6,0.0,12.4,82.28,57.26,156.46
2023-01-06,Nilphamari,25.8482798,88.9414134,14.5,0.0,12.4,60.37,42.1,129.08
2023-01-07,Nilphamari,25.8482798,88.9414134,14.5,0.0,11.9,62.33,43.59,115.83
2023-01-08,Nilphamari,25.8482798,88.9414134,13.9,0.0,12.6,71.53,50.02,130.42
2023-01-09,Nilphamari,25.8482798,88.9414134,14.7,0.0,9.8,75.71,52.9,139.92
2023-01-10,Nilphamari,25.8482798,88.9414134,14.7,0.0,10.1,86.82,60.61,149.42
2023-01-11,Nilphamari,25.8482798,88.9414134,13.7,0.0,9.7,96.74,67.54,153.92
2023-01-12,Nilphamari,25.8482798,88.9414134,14.3,0.0,9.0,98.3,68.45,156.88
2023-01-13,Nilphamari,25.8482798,88.9414134,14.8,0.0,8.7,112.9,78.17,158.75
2023-01-14,Nilphamari,25.8482798,88.9414134,16.1,0.0,9.1,116.0,80.45,163.21
2023-01-15,Nilphamari,25.8482798,88.9414134,16.2,0.0,19.9,96.31,66.62,159.58
2023-01-16,Nilphamari,25.8482798,88.9414134,14.0,0.0,11.3,94.3,65.49,154.92
2023-01-17,Nilphamari,25.8482798,88.9414134,13.2,0.0,10.4,122.56,85.08,158.83
2023-01-18,Nilphamari,25.8482798,88.9414134,13.1,0.0,10.1,150.35,104.02,170.75
2023-01-19,Nilphamari,25.8482798,88.9414134,14.2,0.0,9.7,177.98,123.44,182.46
2023-01-20,Nilphamari,25.8482798,88.9414134,15.0,0.0,9.1,179.47,124.39,187.33
2023-01-21,Nilphamari,25.8482798,88.9414134,16.0,0.0,9.3,172.3,119.58,184.04
2023-01-22,Nilphamari,25.8482798,88.9414134,16.4,0.0,9.7,110.0,76.41,172.62
2023-01-23,Nilphamari,25.8482798,88.9414134,16.8,0.0,7.6,97.25,67.42,157.12
2023-01-24,Nilphamari,25.8482798,88.9414134,17.2,0.0,9.1,85.0,58.97,153.88
2023-01-25,Nilphamari,25.8482798,88.9414134,17.7,0.0,9.0,109.75,76.28,157.67
2023-01-26,Nilphamari,25.8482798,88.9414134,18.9,0.0,8.4,106.14,73.87,159.25
2023-01-27,Nilphamari,25.8482798,88.9414134,18.6,0.0,9.2,115.58,80.51,162.54
2023-01-28,Nilphamari,25.8482798,88.9414134,18.8,0.0,9.5,127.47,88.75,166.42
2023-01-29,Nilphamari,25.8482798,88.9414134,18.6,0.0,9.1,124.23,86.42,165.12
2023-01-30,Nilphamari,25.8482798,88.9414134,19.7,0.0,8.8,116.38,80.89,167.29
2023-01-31,Nilphamari,25.8482798,88.9414134,20.2,0.0,11.5,108.05,75.35,159.83
2023-02-01,Nilphamari,25.8482798,88.9414134,19.0,0.0,15.5,89.4,62.19,158.92
2023-02-02,Nilphamari,25.8482798,88.9414134,16.7,0.0,11.5,80.18,55.71,147.04
