Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Noakhali,22.8723789,91.0973184,18.1,0.0,10.9,126.29,87.46,175.5
2023-01-02,Noakhali,22.8723789,91.0973184,18.7,0.0,10.0,94.81,65.21,160.38
2023-01-03,Noakhali,22.8723789,91.0973184,18.4,0.0,13.5,88.83,61.09,154.42
2023-01-04,Noakhali,22.8723789,91.0973184,18.0,0.0,13.1,89.59,62.21,153.5
2023-01-05,Noakhali,22.8723789,91.0973184,18.0,0.0,13.3,79.96,55.61,152.17
2023-01-06,Noakhali,22.8723789,91.0973184,17.4,0.0,13.0,74.52,51.92,144.83
2023-01-07,Noakhali,22.8723789,91.0973184,17.1,0.0,10.1,78.62,54.87,144.29
2023-01-08,Noakhali,22.8723789,91.0973184,18.5,0.0,8.9,74.11,51.75,149.08
2023-01-09,Noakhali,22.8723789,91.0973184,20.2,0.0,10.5,54.02,37.68,115.75
2023-01-10,Noakhali,22.8723789,91.0973184,20.1,0.0,11.3,62.48,43.58,115.12
2023-01-11,Noakhali,22.8723789,91.0973184,18.8,0.0,11.6,100.01,69.77,142.21
2023-01-12,Noakhali,22.8723789,91.0973184,17.0,0.0,10.9,136.19,94.6,164.38
2023-01-13,Noakhali,22.8723789,91.0973184,18.0,0.0,10.1,130.99,90.66,170.67
2023-01-14,Noakhali,22.8723789,91.0973184,20.0,0.1,10.1,131.69,89.96,167.79
2023-01-15,Noakhali,22.8723789,91.0973184,20.5,1.0,12.5,113.05,77.03,165.29
2023-01-16,Noakhali,22.8723789,91.0973184,19.5,0.0,9.9,107.35,73.86,157.25
2023-01-17,Noakhali,22.8723789,91.0973184,19.1,0.0,13.0,128.08,88.72,165.25
2023-01-18,Noakhali,22.8723789,91.0973184,18.2,0.0,11.2,142.24,98.9,169.0
2023-01-19,Noakhali,22.8723789,91.0973184,17.5,0.0,13.0,142.53,98.88,173.83
2023-01-20,Noakhali,22.8723789,91.0973184,16.9,0.0,13.0,148.43,102.64,174.62
2023-01-21,Noakhali,22.8723789,91.0973184,17.7,0.0,12.0,143.36,99.25,174.5
2023-01-22,Noakhali,22.8723789,91.0973184,19.2,0.0,9.8,121.44,84.23,169.21
2023-01-23,Noakhali,22.8723789,91.0973184,20.5,0.0,11.7,141.12,97.99,166.58
2023-01-24,Noakhali,22.8723789,91.0973184,21.2,0.0,10.8,137.46,95.64,172.88
2023-01-25,Noakhali,22.8723789,91.0973184,21.0,0.0,10.8,139.63,97.28,169.96
2023-01-26,Noakhali,22.8723789,91.0973184,21.8,0.0,10.2,199.13,139.02,180.96
2023-01-27,Noakhali,22.8723789,91.0973184,22.0,0.0,12.5,187.25,130.56,200.75
2023-01-28,Noakhali,22.8723789,91.0973184,21.8,0.0,14.1,109.67,76.12,171.62
2023-01-29,Noakhali,22.8723789,91.0973184,20.7,0.0,12.0,96.92,67.18,159.38
2023-01-30,Noakhali,22.8723789,91.0973184,20.3,0.0,10.6,102.32,70.91,156.79
2023-01-31,Noakhali,22.8723789,91.0973184,20.9,0.0,10.5,128.4,88.6,162.33
