Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Pabna,24.0113256,89.2562239,17.5,0.0,10.1,194.08,134.78,194.17
2023-01-02,Pabna,24.0113256,89.2562239,17.2,0.0,10.5,112.98,77.91,175.88
2023-01-03,Pabna,24.0113256,89.2562239,16.5,0.0,13.4,81.55,56.33,155.46
2023-01-04,Pabna,24.0113256,89.2562239,15.9,0.0,11.3,111.32,77.21,155.29
2023-01-05,Pabna,24.0113256,89.2562239,15.1,0.0,14.3,109.63,76.44,163.17
2023-01-06,Pabna,24.0113256,89.2562239,15.3,0.0,13.5,83.05,57.95,155.71
2023-01-07,Pabna,24.0113256,89.2562239,15.2,0.0,11.8,80.9,56.48,150.29
2023-01-08,Pabna,24.0113256,89.2562239,15.7,0.0,11.2,85.0,59.47,151.71
2023-01-09,Pabna,24.0113256,89.2562239,16.3,0.0,10.3,84.95,59.4,151.42
2023-01-10,Pabna,24.0113256,89.2562239,16.1,0.0,10.4,102.39,71.53,154.58
2023-01-11,Pabna,24.0113256,89.2562239,14.7,0.0,10.3,132.05,92.15,163.83
2023-01-12,Pabna,24.0113256,89.2562239,15.6,0.0,7.6,147.88,102.74,171.92
2023-01-13,Pabna,24.0113256,89.2562239,17.7,0.0,9.0,195.08,135.14,183.12
2023-01-14,Pabna,24.0113256,89.2562239,18.9,0.0,8.4,185.95,129.25,193.79
2023-01-15,Pabna,24.0113256,89.2562239,18.7,0.0,12.0,146.52,101.4,182.08
2023-01-16,Pabna,24.0113256,89.2562239,17.0,0.0,14.8,107.33,74.2,162.92
2023-01-17,Pabna,24.0113256,89.2562239,15.7,0.0,8.7,135.45,94.08,164.33
2023-01-18,Pabna,24.0113256,89.2562239,16.2,0.0,8.4,161.54,111.7,175.17
2023-01-19,Pabna,24.0113256,89.2562239,14.8,0.0,10.4,170.33,117.7,183.46
2023-01-20,Pabna,24.0113256,89.2562239,14.7,0.0,10.7,166.75,115.57,180.29
2023-01-21,Pabna,24.0113256,89.2562239,16.5,0.0,8.7,221.45,153.6,189.29
2023-01-22,Pabna,24.0113256,89.2562239,18.5,0.0,9.1,276.62,192.62,225.33
2023-01-23,Pabna,24.0113256,89.2562239,19.5,0.0,8.7,304.82,212.76,254.54
2023-01-24,Pabna,24.0113256,89.2562239,20.0,0.0,8.7,210.85,147.12,238.04
2023-01-25,Pabna,24.0113256,89.2562239,20.2,0.0,9.2,190.8,133.15,185.62
2023-01-26,Pabna,24.0113256,89.2562239,21.0,0.0,8.8,241.49,168.63,213.62
2023-01-27,Pabna,24.0113256,89.2562239,20.5,0.0,9.4,123.02,85.33,190.08
2023-01-28,Pabna,24.0113256,89.2562239,20.4,0.0,11.8,113.3,78.95,162.0
2023-01-29,Pabna,24.0113256,89.2562239,18.4,0.0,9.4,96.28,66.68,158.12
2023-01-30,Pabna,24.0113256,89.2562239,19.7,0.0,10.0,121.97,84.77,161.5
2023-01-31,Pabna,24.0113256,89.2562239,21.0,0.0,10.5,135.97,94.68,167.5
2023-02-01,Pabna,24.0113256,89.2562239,21.4,0.0,13.6,83.42,57.79,162.38
2023-02-02,Pabna,24.0113256,89.2562239,17.7,0.0,13.4,85.35,59.01,147.58
2023-02-03,Pabna,24.0113256,89.2562239,18.1,0.0,10.5,100.46,70.13,155.75
2023-02-04,Pabna,24.0113256,89.2562239,18.4,0.0,10.6,123.87,86.43,161.79
2023-02-05,Pabna,24.0113256,89.2562239,19.1,0.0,11.8,135.16,93.81,169.04
2023-02-06,Pabna,24.0113256,89.2562239,19.7,0.0,10.0,131.18,90.61,172.46
2023-02-07,Pabna,24.0113256,89.2562239,19.9,0.0,10.1,100.13,68.71,162.17
2023-02-08,Pabna,24.0113256,89.2562239,21.2,0.0,10.6,78.23,53.32,141.58
2023-02-09,Pabna,24.0113256,89.2562239,21.1,0.0,9.5,91.51,62.97,153.29
2023-02-10,Pabna,24.0113256,89.2562239,20.1,0.0,11.6,85.45,59.05,150.62
2023-02-11,Pabna,24.0113256,89.2562239,21.4,0.0,10.0,126.4,87.58,160.75
2023-02-12,Pabna,24.0113256,89.2562239,22.1,0.0,14.8,121.97,84.22,170.25
2023-02-13,Pabna,24.0113256,89.2562239,20.0,0.0,20.1,41.21,27.6,121.46
2023-02-14,Pabna,24.0113256,89.2562239,17.9,0.0,11.8,59.9,41.52,99.29
2023-02-15,Pabna,24.0113256,89.2562239,18.9,0.0,9.7,81.7,56.61,135.54
2023-02-16,Pabna,24.0113256,89.2562239,20.2,0.0,8.4,110.59,76.71,156.88
2023-02-17,Pabna,24.0113256,89.2562239,21.2,0.0,10.3,117.88,81.18,163.96
2023-02-18,Pabna,24.0113256,89.2562239,22.4,0.0,9.8,125.05,84.31,162.42
2023-02-19,Pabna,24.0113256,89.2562239,23.0,0.3,8.9,130.26,88.8,163.08
2023-02-20,Pabna,24.0113256,89.2562239,24.2,0.0,11.7,122.52,84.25,169.29
2023-02-21,Pabna,24.0113256,89.2562239,24.6,0.2,13.9,100.44,68.67,159.83
2023-02-22,Pabna,24.0113256,89.2562239,25.7,0.0,18.5,83.59,57.32,157.25
2023-02-23,Pabna,24.0113256,89.2562239,25.7,0.0,14.5,67.18,45.5,124.96
2023-02-24,Pabna,24.0113256,89.2562239,25.0,0.0,10.7,93.68,64.11,146.71
2023-02-25,Pabna,24.0113256,89.2562239,24.1,0.0,11.5,93.71,64.34,156.0
2023-02-26,Pabna,24.0113256,89.2562239,23.6,0.0,10.7,82.41,56.99,150.46
2023-02-27,Pabna,24.0113256,89.2562239,24.1,0.0,15.3,92.27,64.16,154.75
2023-02-28,Pabna,24.0113256,89.2562239,23.7,0.0,11.2,80.43,55.34,148.42
2023-03-01,Pabna,24.0113256,89.2562239,24.0,0.0,10.8,82.76,56.93,148.83
2023-03-02,Pabna,24.0113256,89.2562239,24.6,0.0,10.1,91.1,63.04,154.38
2023-03-03,Pabna,24.0113256,89.2562239,25.4,0.0,14.8,95.61,65.37,155.38
2023-03-04,Pabna,24.0113256,89.2562239,25.5,0.0,10.6,100.67,69.21,156.0
2023-03-05,Pabna,24.0113256,89.2562239,26.1,0.0,10.2,102.61,70.73,157.83
2023-03-06,Pabna,24.0113256,89.2562239,26.1,0.0,12.5,60.83,41.57,137.0
2023-03-07,Pabna,24.0113256,89.2562239,25.9,0.0,10.2,67.05,46.55,130.21
2023-03-08,Pabna,24.0113256,89.2562239,25.5,0.0,9.7,58.66,40.57,115.54
2023-03-09,Pabna,24.0113256,89.2562239,25.6,0.0,13.6,76.22,52.9,117.46
