Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Panchagarh,26.2708705,88.5951751,16.8,0.1,9.5,109.33,75.6,159.17
2023-01-02,Panchagarh,26.2708705,88.5951751,16.9,0.0,8.4,124.81,85.39,163.83
2023-01-03,Panchagarh,26.2708705,88.5951751,16.1,0.0,9.5,119.88,81.92,166.12
2023-01-04,Panchagarh,26.2708705,88.5951751,15.7,0.0,11.6,100.48,69.55,160.54
2023-01-05,Panchagarh,26.2708705,88.5951751,14.8,0.0,12.5,80.79,56.21,154.17
2023-01-06,Panchagarh,26.2708705,88.5951751,14.6,0.0,12.5,62.6,43.68,131.75
2023-01-07,Panchagarh,26.2708705,88.5951751,14.4,0.0,11.0,65.08,45.5,119.88
2023-01-08,Panchagarh,26.2708705,88.5951751,14.1,0.0,10.4,71.24,49.86,129.04
2023-01-09,Panchagarh,26.2708705,88.5951751,14.6,0.0,8.9,82.48,57.69,147.75
2023-01-10,Panchagarh,26.2708705,88.5951751,14.5,0.0,9.5,92.89,64.92,153.54
2023-01-11,Panchagarh,26.2708705,88.5951751,14.0,0.0,9.3,100.72,70.22,155.75
2023-01-12,Panchagarh,26.2708705,88.5951751,14.5,0.0,9.6,93.51,65.11,156.0
2023-01-13,Panchagarh,26.2708705,88.5951751,14.3,0.0,9.2,119.41,82.95,159.75
2023-01-14,Panchagarh,26.2708705,88.5951751,15.3,0.0,10.5,123.94,86.09,165.79
2023-01-15,Panchagarh,26.2708705,88.5951751,15.2,0.0,14.6,110.8,76.68,164.29
2023-01-16,Panchagarh,26.2708705,88.5951751,14.3,0.0,11.3,110.66,76.71,160.62
2023-01-17,Panchagarh,26.2708705,88.5951751,13.9,0.0,8.8,135.22,93.82,164.75
2023-01-18,Panchagarh,26.2708705,88.5951751,13.6,0.0,10.1,155.02,107.26,173.67
2023-01-19,Panchagarh,26.2708705,88.5951751,14.9,0.0,9.0,175.05,121.14,180.79
2023-01-20,Panchagarh,26.2708705,88.5951751,15.5,0.0,9.9,177.23,122.6,186.75
2023-01-21,Panchagarh,26.2708705,88.5951751,15.9,0.0,9.1,190.85,132.58,185.17
2023-01-22,Panchagarh,26.2708705,88.5951751,16.3,0.0,8.4,137.93,95.89,182.79
2023-01-23,Panchagarh,26.2708705,88.5951751,16.7,0.0,9.2,130.2,90.5,169.5
2023-01-24,Panchagarh,26.2708705,88.5951751,18.0,0.0,10.2,119.45,83.0,167.25
2023-01-25,Panchagarh,26.2708705,88.5951751,18.7,0.0,8.4,115.85,80.66,163.75
2023-01-26,Panchagarh,26.2708705,88.5951751,18.9,0.0,9.4,110.93,77.23,160.83
2023-01-27,Panchagarh,26.2708705,88.5951751,18.5,0.0,9.6,132.12,92.0,165.29
2023-01-28,Panchagarh,26.2708705,88.5951751,18.8,0.0,11.5,143.18,99.7,172.71
2023-01-29,Panchagarh,26.2708705,88.5951751,19.5,0.0,10.5,132.27,92.0,171.25
2023-01-30,Panchagarh,26.2708705,88.5951751,20.3,0.0,9.7,111.88,77.84,166.04
2023-01-31,Panchagarh,26.2708705,88.5951751,19.7,0.0,12.5,111.84,78.04,159.62
2023-02-01,Panchagarh,26.2708705,88.5951751,18.5,0.0,14.1,98.97,69.0,162.38
2023-02-02,Panchagarh,26.2708705,88.5951751,17.0,0.0,9.8,83.77,58.2,151.54
2023-02-03,Panchagarh,26.2708705,88.5951751,18.1,0.0,10.1,94.8,66.21,153.54
2023-02-04,Panchagarh,26.2708705,88.5951751,18.8,0.0,9.5,111.05,77.6,159.21
2023-02-05,Panchagarh,26.2708705,88.5951751,18.7,0.0,8.7,126.35,88.26,163.38
2023-02-06,Panchagarh,26.2708705,88.5951751,18.7,0.0,10.0,133.96,93.28,170.88
2023-02-07,Panchagarh,26.2708705,88.5951751,18.2,0.0,13.5,121.78,84.56,167.29
