Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Patuakhali,22.2248632,90.4547503,19.5,0.0,10.6,170.82,118.65,192.33
2023-01-02,Patuakhali,22.2248632,90.4547503,19.5,0.0,9.7,135.15,93.53,176.58
2023-01-03,Patuakhali,22.2248632,90.4547503,19.0,0.0,12.6,117.34,80.9,168.04
2023-01-04,Patuakhali,22.2248632,90.4547503,18.0,0.0,12.7,89.84,62.42,156.75
2023-01-05,Patuakhali,22.2248632,90.4547503,18.0,0.0,14.8,82.62,57.57,152.5
2023-01-06,Patuakhali,22.2248632,90.4547503,17.0,0.0,13.2,77.96,54.31,150.29
2023-01-07,Patuakhali,22.2248632,90.4547503,16.0,0.0,11.0,75.27,52.42,143.0
2023-01-08,Patuakhali,22.2248632,90.4547503,16.3,0.1,11.2,71.34,49.8,142.79
2023-01-09,Patuakhali,22.2248632,90.4547503,19.3,0.0,9.8,69.35,48.42,130.29
2023-01-10,Patuakhali,22.2248632,90.4547503,19.7,0.0,9.9,73.86,51.52,139.58
2023-01-11,Patuakhali,22.2248632,90.4547503,18.4,0.0,9.1,102.01,71.19,147.88
2023-01-12,Patuakhali,22.2248632,90.4547503,17.2,0.0,9.0,136.79,94.99,165.75
2023-01-13,Patuakhali,22.2248632,90.4547503,18.7,0.0,10.1,145.35,100.7,173.46
2023-01-14,Patuakhali,22.2248632,90.4547503,20.9,0.3,12.0,128.35,86.16,168.5
2023-01-15,Patuakhali,22.2248632,90.4547503,21.0,0.8,10.5,132.98,91.29,170.0
2023-01-16,Patuakhali,22.2248632,90.4547503,20.0,0.0,10.3,117.78,81.13,162.12
2023-01-17,Patuakhali,22.2248632,90.4547503,18.9,0.0,9.8,135.75,94.3,168.12
2023-01-18,Patuakhali,22.2248632,90.4547503,19.1,0.0,11.0,145.39,101.19,171.38
2023-01-19,Patuakhali,22.2248632,90.4547503,18.0,0.0,12.7,157.17,109.19,176.92
