Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Pirojpur,22.5790744,89.9759264,18.7,0.0,8.9,188.41,131.03,196.83
2023-01-02,Pirojpur,22.5790744,89.9759264,18.8,0.0,8.4,141.71,98.12,181.46
2023-01-03,Pirojpur,22.5790744,89.9759264,18.3,0.0,12.4,115.28,79.45,168.21
2023-01-04,Pirojpur,22.5790744,89.9759264,17.5,0.0,13.4,83.36,57.91,155.83
2023-01-05,Pirojpur,22.5790744,89.9759264,16.9,0.0,15.4,88.4,61.65,152.29
2023-01-06,Pirojpur,22.5790744,89.9759264,16.3,0.0,13.0,83.12,57.98,152.62
2023-01-07,Pirojpur,22.5790744,89.9759264,15.7,0.0,10.8,79.41,55.28,149.38
2023-01-08,Pirojpur,22.5790744,89.9759264,16.9,0.0,9.7,69.1,48.19,145.75
2023-01-09,Pirojpur,22.5790744,89.9759264,18.7,0.0,10.4,60.58,42.28,117.17
2023-01-10,Pirojpur,22.5790744,89.9759264,18.5,0.0,9.7,69.05,48.13,125.88
2023-01-11,Pirojpur,22.5790744,89.9759264,17.4,0.0,10.1,110.47,77.07,148.58
2023-01-12,Pirojpur,22.5790744,89.9759264,16.8,0.0,7.7,134.34,93.28,167.08
2023-01-13,Pirojpur,22.5790744,89.9759264,18.8,0.0,10.6,143.9,99.5,173.75
2023-01-14,Pirojpur,22.5790744,89.9759264,20.3,0.0,10.7,116.71,78.07,165.79
2023-01-15,Pirojpur,22.5790744,89.9759264,20.6,0.1,13.6,115.95,79.37,163.08
2023-01-16,Pirojpur,22.5790744,89.9759264,19.3,0.0,13.4,125.67,86.81,162.25
2023-01-17,Pirojpur,22.5790744,89.9759264,18.4,0.0,11.1,133.95,93.06,168.67
2023-01-18,Pirojpur,22.5790744,89.9759264,18.5,0.0,10.2,146.52,102.0,171.38
2023-01-19,Pirojpur,22.5790744,89.9759264,17.6,0.0,11.3,159.2,110.59,177.83
2023-01-20,Pirojpur,22.5790744,89.9759264,16.9,0.0,11.5,143.99,99.57,176.42
2023-01-21,Pirojpur,22.5790744,89.9759264,17.6,0.0,11.8,146.93,101.7,174.08
2023-01-22,Pirojpur,22.5790744,89.9759264,19.6,0.0,9.6,160.84,111.68,176.58
2023-01-23,Pirojpur,22.5790744,89.9759264,20.5,0.0,9.0,199.64,139.16,184.46
2023-01-24,Pirojpur,22.5790744,89.9759264,21.5,0.0,9.7,213.91,149.31,203.62
2023-01-25,Pirojpur,22.5790744,89.9759264,21.4,0.0,9.5,194.72,135.88,190.46
2023-01-26,Pirojpur,22.5790744,89.9759264,22.3,0.0,8.6,234.41,163.84,207.83
2023-01-27,Pirojpur,22.5790744,89.9759264,21.8,0.0,10.7,154.32,107.45,196.83
2023-01-28,Pirojpur,22.5790744,89.9759264,21.7,0.0,11.3,100.22,69.41,163.0
2023-01-29,Pirojpur,22.5790744,89.9759264,20.1,0.0,11.6,89.34,61.89,156.29
2023-01-30,Pirojpur,22.5790744,89.9759264,20.4,0.0,10.8,110.15,75.87,155.54
2023-01-31,Pirojpur,22.5790744,89.9759264,22.2,0.0,10.0,129.25,89.88,165.54
2023-02-01,Pirojpur,22.5790744,89.9759264,21.6,0.0,15.2,104.53,72.59,165.04
2023-02-02,Pirojpur,22.5790744,89.9759264,20.1,0.0,16.0,58.74,40.28,136.29
2023-02-03,Pirojpur,22.5790744,89.9759264,18.6,0.0,11.1,78.25,54.48,130.0
2023-02-04,Pirojpur,22.5790744,89.9759264,19.2,0.0,11.0,100.26,69.89,153.0
2023-02-05,Pirojpur,22.5790744,89.9759264,20.8,0.0,6.8,111.39,77.05,161.29
2023-02-06,Pirojpur,22.5790744,89.9759264,20.9,0.0,10.5,109.2,75.17,162.42
2023-02-07,Pirojpur,22.5790744,89.9759264,21.5,0.0,15.5,68.2,43.23,142.25
2023-02-08,Pirojpur,22.5790744,89.9759264,23.3,0.3,13.7,46.71,28.36,96.92
2023-02-09,Pirojpur,22.5790744,89.9759264,23.3,0.2,7.9,57.7,37.93,95.21
2023-02-10,Pirojpur,22.5790744,89.9759264,22.8,0.0,10.0,77.23,52.94,123.04
2023-02-11,Pirojpur,22.5790744,89.9759264,23.2,0.0,15.5,81.78,55.52,152.0
2023-02-12,Pirojpur,22.5790744,89.9759264,24.3,0.1,10.5,59.67,38.88,116.92
2023-02-13,Pirojpur,22.5790744,89.9759264,22.0,0.0,16.1,51.08,34.2,108.46
2023-02-14,Pirojpur,22.5790744,89.9759264,20.1,0.0,11.2,57.05,39.19,100.92
2023-02-15,Pirojpur,22.5790744,89.9759264,21.1,0.0,10.9,85.12,59.13,133.08
2023-02-16,Pirojpur,22.5790744,89.9759264,21.4,0.0,11.4,90.62,61.31,156.17
2023-02-17,Pirojpur,22.5790744,89.9759264,22.5,0.0,8.4,69.16,44.18,135.29
2023-02-18,Pirojpur,22.5790744,89.9759264,22.7,2.0,12.5,72.86,46.45,125.79
2023-02-19,Pirojpur,22.5790744,89.9759264,23.1,0.8,8.4,76.52,50.25,128.75
2023-02-20,Pirojpur,22.5790744,89.9759264,23.9,0.0,9.8,65.32,43.4,127.58
2023-02-21,Pirojpur,22.5790744,89.9759264,25.0,1.0,12.8,48.32,30.88,105.08
2023-02-22,Pirojpur,22.5790744,89.9759264,25.4,0.1,17.6,56.88,36.37,97.83
2023-02-23,Pirojpur,22.5790744,89.9759264,25.9,0.2,17.3,54.22,34.02,100.0
2023-02-24,Pirojpur,22.5790744,89.9759264,25.3,0.1,12.9,58.22,36.71,97.83
2023-02-25,Pirojpur,22.5790744,89.9759264,25.3,0.3,9.4,70.77,47.35,116.96
2023-02-26,Pirojpur,22.5790744,89.9759264,24.9,0.0,10.5,82.22,56.72,145.54
2023-02-27,Pirojpur,22.5790744,89.9759264,25.5,0.0,13.2,78.61,54.02,151.04
2023-02-28,Pirojpur,22.5790744,89.9759264,25.4,0.0,12.4,55.43,37.36,118.21
2023-03-01,Pirojpur,22.5790744,89.9759264,25.0,0.0,9.4,73.46,50.52,127.42
2023-03-02,Pirojpur,22.5790744,89.9759264,25.9,0.0,9.4,69.73,48.28,137.33
2023-03-03,Pirojpur,22.5790744,89.9759264,26.6,0.0,13.2,61.19,41.91,130.58
2023-03-04,Pirojpur,22.5790744,89.9759264,26.6,0.0,10.2,61.74,42.26,117.17
2023-03-05,Pirojpur,22.5790744,89.9759264,26.5,0.0,10.1,74.87,51.6,134.08
2023-03-06,Pirojpur,22.5790744,89.9759264,26.3,0.0,9.8,60.81,41.45,130.88
