Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Rajbari,23.715134,89.5874819,17.8,0.0,8.7,211.3,146.85,205.25
2023-01-02,Rajbari,23.715134,89.5874819,18.1,0.0,9.9,128.6,88.49,180.33
2023-01-03,Rajbari,23.715134,89.5874819,17.1,0.0,13.2,88.79,61.16,161.04
2023-01-04,Rajbari,23.715134,89.5874819,16.6,0.0,10.5,88.34,61.42,151.88
2023-01-05,Rajbari,23.715134,89.5874819,15.9,0.0,13.2,108.32,75.55,158.54
2023-01-06,Rajbari,23.715134,89.5874819,15.9,0.0,11.7,82.44,57.55,155.21
2023-01-07,Rajbari,23.715134,89.5874819,15.5,0.0,11.3,78.62,54.83,148.33
2023-01-08,Rajbari,23.715134,89.5874819,16.5,0.0,9.5,77.4,54.1,150.0
2023-01-09,Rajbari,23.715134,89.5874819,17.2,0.0,9.2,73.93,51.65,137.62
2023-01-10,Rajbari,23.715134,89.5874819,16.8,0.0,10.2,88.15,61.54,148.33
2023-01-11,Rajbari,23.715134,89.5874819,15.5,0.0,10.7,128.1,89.39,160.04
2023-01-12,Rajbari,23.715134,89.5874819,15.7,0.0,7.8,144.92,100.63,170.88
2023-01-13,Rajbari,23.715134,89.5874819,17.7,0.0,8.7,184.56,127.86,181.62
2023-01-14,Rajbari,23.715134,89.5874819,19.1,0.7,8.5,182.54,125.94,190.33
2023-01-15,Rajbari,23.715134,89.5874819,19.0,0.0,10.7,147.11,101.58,182.17
2023-01-16,Rajbari,23.715134,89.5874819,18.0,0.0,10.1,115.74,79.98,164.71
2023-01-17,Rajbari,23.715134,89.5874819,16.6,0.0,8.9,131.36,91.3,164.83
2023-01-18,Rajbari,23.715134,89.5874819,16.7,0.0,8.4,159.22,110.38,173.46
2023-01-19,Rajbari,23.715134,89.5874819,16.2,0.0,10.0,162.75,112.51,182.17
2023-01-20,Rajbari,23.715134,89.5874819,15.6,0.0,10.5,160.75,111.31,178.42
2023-01-21,Rajbari,23.715134,89.5874819,17.0,0.0,10.5,189.88,131.58,183.0
2023-01-22,Rajbari,23.715134,89.5874819,18.9,0.0,9.2,230.68,160.34,199.5
2023-01-23,Rajbari,23.715134,89.5874819,19.9,0.0,8.8,272.49,189.93,225.33
2023-01-24,Rajbari,23.715134,89.5874819,20.5,0.0,8.8,244.18,170.3,237.75
2023-01-25,Rajbari,23.715134,89.5874819,20.6,0.0,9.1,200.25,139.75,196.33
2023-01-26,Rajbari,23.715134,89.5874819,21.8,0.0,9.7,255.42,178.33,215.33
2023-01-27,Rajbari,23.715134,89.5874819,20.7,0.0,9.6,154.1,107.16,208.08
2023-01-28,Rajbari,23.715134,89.5874819,20.7,0.0,9.5,112.11,77.98,163.08
2023-01-29,Rajbari,23.715134,89.5874819,19.2,0.0,10.3,94.38,65.36,158.46
2023-01-30,Rajbari,23.715134,89.5874819,19.9,0.0,10.3,124.68,86.38,161.04
2023-01-31,Rajbari,23.715134,89.5874819,21.0,0.0,9.5,131.91,91.89,167.67
2023-02-01,Rajbari,23.715134,89.5874819,21.4,0.0,13.5,91.97,63.79,163.21
2023-02-02,Rajbari,23.715134,89.5874819,18.5,0.0,14.4,76.73,52.78,144.62
2023-02-03,Rajbari,23.715134,89.5874819,18.3,0.0,10.0,92.95,64.92,152.54
2023-02-04,Rajbari,23.715134,89.5874819,18.6,0.0,10.0,115.6,80.73,158.38
2023-02-05,Rajbari,23.715134,89.5874819,18.9,0.0,10.4,126.65,87.88,166.17
2023-02-06,Rajbari,23.715134,89.5874819,19.9,0.0,10.2,115.05,79.29,167.17
2023-02-07,Rajbari,23.715134,89.5874819,20.4,0.0,11.2,83.6,56.6,155.46
2023-02-08,Rajbari,23.715134,89.5874819,21.5,0.0,10.1,63.62,42.39,118.92
2023-02-09,Rajbari,23.715134,89.5874819,21.8,0.5,9.7,85.85,58.33,141.71
2023-02-10,Rajbari,23.715134,89.5874819,20.5,0.0,10.0,79.72,55.3,151.04
2023-02-11,Rajbari,23.715134,89.5874819,21.8,0.0,9.7,116.19,80.47,155.79
2023-02-12,Rajbari,23.715134,89.5874819,23.1,0.0,11.5,81.66,55.8,157.79
2023-02-13,Rajbari,23.715134,89.5874819,20.2,0.0,15.9,42.64,28.59,115.54
2023-02-14,Rajbari,23.715134,89.5874819,18.8,0.0,11.4,53.58,37.0,96.42
2023-02-15,Rajbari,23.715134,89.5874819,19.9,0.0,9.4,77.91,53.91,126.54
2023-02-16,Rajbari,23.715134,89.5874819,20.5,0.0,9.5,100.46,69.41,154.38
2023-02-17,Rajbari,23.715134,89.5874819,21.9,0.0,9.1,109.55,74.32,160.58
2023-02-18,Rajbari,23.715134,89.5874819,22.0,0.5,9.5,114.8,75.73,157.54
2023-02-19,Rajbari,23.715134,89.5874819,22.5,0.4,9.8,121.63,82.22,161.5
2023-02-20,Rajbari,23.715134,89.5874819,23.7,0.0,9.2,102.04,69.82,162.42
2023-02-21,Rajbari,23.715134,89.5874819,24.6,0.4,12.2,68.5,45.87,146.33
2023-02-22,Rajbari,23.715134,89.5874819,26.2,0.0,18.1,58.82,39.42,122.42
2023-02-23,Rajbari,23.715134,89.5874819,25.7,0.0,14.6,54.5,36.36,102.33
2023-02-24,Rajbari,23.715134,89.5874819,25.1,0.1,12.7,63.83,42.76,107.62
2023-02-25,Rajbari,23.715134,89.5874819,24.7,0.0,11.5,96.03,65.42,143.79
2023-02-26,Rajbari,23.715134,89.5874819,23.9,0.0,11.1,97.4,67.25,157.08
2023-02-27,Rajbari,23.715134,89.5874819,24.4,0.0,15.4,108.73,75.47,159.33
2023-02-28,Rajbari,23.715134,89.5874819,24.2,0.0,10.8,73.6,50.84,151.08
2023-03-01,Rajbari,23.715134,89.5874819,24.2,0.0,10.8,84.09,57.95,142.04
2023-03-02,Rajbari,23.715134,89.5874819,25.4,0.0,10.5,80.3,55.6,152.17
2023-03-03,Rajbari,23.715134,89.5874819,25.5,0.0,12.1,81.78,55.98,149.08
2023-03-04,Rajbari,23.715134,89.5874819,25.3,0.0,10.0,90.6,62.15,151.88
2023-03-05,Rajbari,23.715134,89.5874819,26.1,0.0,8.3,100.11,68.91,155.58
2023-03-06,Rajbari,23.715134,89.5874819,25.3,0.0,10.7,61.8,42.22,142.75
2023-03-07,Rajbari,23.715134,89.5874819,25.8,0.0,10.5,52.63,36.52,107.25
2023-03-08,Rajbari,23.715134,89.5874819,25.6,0.0,9.6,52.37,36.22,100.46
2023-03-09,Rajbari,23.715134,89.5874819,25.7,0.0,12.0,70.69,49.04,109.33
2023-03-10,Rajbari,23.715134,89.5874819,26.3,0.0,9.0,91.08,63.39,150.54
2023-03-11,Rajbari,23.715134,89.5874819,25.6,0.0,7.9,106.96,74.51,158.25
2023-03-12,Rajbari,23.715134,89.5874819,27.1,0.0,11.0,83.82,58.32,154.75
2023-03-13,Rajbari,23.715134,89.5874819,26.9,0.0,12.2,72.78,50.66,144.29
2023-03-14,Rajbari,23.715134,89.5874819,25.3,6.9,18.7,94.39,65.46,154.33
2023-03-15,Rajbari,23.715134,89.5874819,25.4,3.6,15.3,89.96,61.46,154.42
2023-03-16,Rajbari,23.715134,89.5874819,24.0,11.5,19.4,83.96,57.02,151.96
2023-03-17,Rajbari,23.715134,89.5874819,24.4,0.9,9.9,87.33,60.3,151.92
2023-03-18,Rajbari,23.715134,89.5874819,23.4,1.1,10.2,94.96,65.52,155.54
2023-03-19,Rajbari,23.715134,89.5874819,22.0,6.2,16.4,64.49,44.53,149.67
2023-03-20,Rajbari,23.715134,89.5874819,21.4,31.2,15.4,27.73,18.91,77.42
2023-03-21,Rajbari,23.715134,89.5874819,21.4,12.8,17.0,38.95,26.7,69.96
2023-03-22,Rajbari,23.715134,89.5874819,23.0,1.1,11.3,52.07,35.87,92.12
2023-03-23,Rajbari,23.715134,89.5874819,24.3,0.1,13.0,72.1,49.98,129.42
2023-03-24,Rajbari,23.715134,89.5874819,24.3,0.1,11.5,62.93,43.49,117.17
2023-03-25,Rajbari,23.715134,89.5874819,24.9,4.3,15.9,72.1,49.55,141.0
2023-03-26,Rajbari,23.715134,89.5874819,26.2,0.3,14.6,55.53,37.27,116.58
2023-03-27,Rajbari,23.715134,89.5874819,25.3,8.2,25.5,75.64,50.83,118.17
2023-03-28,Rajbari,23.715134,89.5874819,26.8,0.0,11.6,73.49,50.08,139.96
2023-03-29,Rajbari,23.715134,89.5874819,24.3,12.1,16.1,62.98,42.9,131.0
2023-03-30,Rajbari,23.715134,89.5874819,25.6,6.4,17.3,51.4,34.45,102.83
2023-03-31,Rajbari,23.715134,89.5874819,24.3,34.5,18.6,51.95,34.77,96.75
2023-04-01,Rajbari,23.715134,89.5874819,23.4,2.1,13.8,57.03,39.33,111.79
2023-04-02,Rajbari,23.715134,89.5874819,24.3,3.9,16.2,65.53,45.2,119.25
2023-04-03,Rajbari,23.715134,89.5874819,25.8,0.1,13.8,61.6,42.41,130.21
2023-04-04,Rajbari,23.715134,89.5874819,26.3,0.2,22.1,47.7,32.52,103.83
2023-04-05,Rajbari,23.715134,89.5874819,27.9,0.0,13.7,51.18,34.01,95.5
2023-04-06,Rajbari,23.715134,89.5874819,27.1,0.0,10.9,55.74,37.94,113.92
2023-04-07,Rajbari,23.715134,89.5874819,27.4,0.0,11.0,62.0,42.58,117.71
2023-04-08,Rajbari,23.715134,89.5874819,28.2,0.0,10.8,71.96,49.66,135.83
2023-04-09,Rajbari,23.715134,89.5874819,28.9,0.0,10.0,75.08,51.89,142.92
2023-04-10,Rajbari,23.715134,89.5874819,28.9,0.0,9.6,76.06,52.6,141.08
2023-04-11,Rajbari,23.715134,89.5874819,29.7,0.0,10.1,78.37,54.2,152.29
2023-04-12,Rajbari,23.715134,89.5874819,29.3,0.0,11.2,83.08,57.75,153.29
2023-04-13,Rajbari,23.715134,89.5874819,29.4,0.0,16.6,74.15,51.35,154.21
