Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Rajshahi,24.3635886,88.6241351,17.4,0.0,8.4,167.58,116.01,185.42
2023-01-02,Rajshahi,24.3635886,88.6241351,17.2,0.0,10.7,100.91,69.65,170.92
2023-01-03,Rajshahi,24.3635886,88.6241351,16.6,0.0,13.7,89.75,62.1,154.12
2023-01-04,Rajshahi,24.3635886,88.6241351,15.5,0.0,12.2,134.56,93.23,161.67
2023-01-05,Rajshahi,24.3635886,88.6241351,14.8,0.0,13.2,106.08,73.87,165.92
2023-01-06,Rajshahi,24.3635886,88.6241351,15.1,0.0,13.6,81.15,56.63,154.88
2023-01-07,Rajshahi,24.3635886,88.6241351,15.1,0.0,12.8,83.3,58.26,150.54
2023-01-08,Rajshahi,24.3635886,88.6241351,15.1,0.0,13.8,89.99,62.96,152.58
2023-01-09,Rajshahi,24.3635886,88.6241351,15.9,0.0,11.3,95.44,66.75,154.83
2023-01-10,Rajshahi,24.3635886,88.6241351,15.8,0.0,11.4,110.85,77.35,158.25
2023-01-11,Rajshahi,24.3635886,88.6241351,14.7,0.0,12.1,128.01,89.31,164.88
2023-01-12,Rajshahi,24.3635886,88.6241351,15.1,0.0,8.1,136.56,94.74,168.83
2023-01-13,Rajshahi,24.3635886,88.6241351,16.5,0.0,7.9,186.05,128.78,178.79
2023-01-14,Rajshahi,24.3635886,88.6241351,18.6,0.0,9.3,174.45,120.93,189.88
2023-01-15,Rajshahi,24.3635886,88.6241351,18.5,0.0,14.2,147.5,101.96,181.29
2023-01-16,Rajshahi,24.3635886,88.6241351,16.4,0.0,9.1,109.74,75.81,162.08
2023-01-17,Rajshahi,24.3635886,88.6241351,15.6,0.0,8.3,136.0,94.08,165.33
2023-01-18,Rajshahi,24.3635886,88.6241351,15.1,0.0,9.0,160.16,110.3,174.5
2023-01-19,Rajshahi,24.3635886,88.6241351,14.6,0.0,10.1,172.98,119.51,184.33
2023-01-20,Rajshahi,24.3635886,88.6241351,15.5,0.0,9.3,173.87,120.47,180.75
2023-01-21,Rajshahi,24.3635886,88.6241351,16.2,0.0,9.4,240.51,166.78,195.5
2023-01-22,Rajshahi,24.3635886,88.6241351,18.3,0.0,8.6,276.87,192.52,237.25
2023-01-23,Rajshahi,24.3635886,88.6241351,19.3,0.0,8.7,234.89,163.65,226.29
2023-01-24,Rajshahi,24.3635886,88.6241351,19.4,0.0,8.3,160.82,111.98,195.58
2023-01-25,Rajshahi,24.3635886,88.6241351,20.1,0.0,8.2,178.99,124.81,177.21
