Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Rangamati,22.7324173,92.2985134,17.3,0.0,7.9,46.84,31.82,107.17
2023-01-02,Rangamati,22.7324173,92.2985134,17.1,0.0,7.3,34.5,23.38,84.5
2023-01-03,Rangamati,22.7324173,92.2985134,17.1,0.0,6.6,26.5,18.2,69.62
2023-01-04,Rangamati,22.7324173,92.2985134,17.7,0.0,9.7,23.72,16.42,60.42
2023-01-05,Rangamati,22.7324173,92.2985134,18.3,0.0,7.9,21.49,14.89,59.96
2023-01-06,Rangamati,22.7324173,92.2985134,17.9,0.0,6.8,23.7,16.45,55.96
2023-01-07,Rangamati,22.7324173,92.2985134,19.0,0.0,6.2,21.67,15.07,60.25
2023-01-08,Rangamati,22.7324173,92.2985134,19.7,0.0,9.4,20.07,13.95,55.12
2023-01-09,Rangamati,22.7324173,92.2985134,19.8,0.0,6.1,15.75,10.92,49.33
2023-01-10,Rangamati,22.7324173,92.2985134,20.0,0.0,5.8,15.01,10.42,44.38
2023-01-11,Rangamati,22.7324173,92.2985134,19.3,0.0,7.9,22.19,15.42,49.0
2023-01-12,Rangamati,22.7324173,92.2985134,18.3,0.0,9.0,38.43,26.65,66.58
2023-01-13,Rangamati,22.7324173,92.2985134,17.6,0.0,7.4,42.98,29.72,88.33
2023-01-14,Rangamati,22.7324173,92.2985134,18.1,0.0,7.2,46.52,31.99,85.58
2023-01-15,Rangamati,22.7324173,92.2985134,19.3,0.0,8.9,46.26,31.72,92.12
2023-01-16,Rangamati,22.7324173,92.2985134,18.4,0.0,9.8,63.16,43.36,105.92
2023-01-17,Rangamati,22.7324173,92.2985134,17.5,0.0,9.1,76.08,52.71,124.5
2023-01-18,Rangamati,22.7324173,92.2985134,17.7,0.0,11.4,79.5,55.37,150.04
2023-01-19,Rangamati,22.7324173,92.2985134,16.8,0.0,9.3,60.92,42.19,137.92
2023-01-20,Rangamati,22.7324173,92.2985134,16.6,0.0,7.0,36.02,24.84,96.92
2023-01-21,Rangamati,22.7324173,92.2985134,17.0,0.0,6.1,27.54,18.82,71.38
2023-01-22,Rangamati,22.7324173,92.2985134,18.2,0.0,9.7,28.65,19.78,63.04
2023-01-23,Rangamati,22.7324173,92.2985134,18.7,0.0,10.5,40.55,28.15,73.42
2023-01-24,Rangamati,22.7324173,92.2985134,19.5,0.0,9.4,48.02,33.4,90.83
2023-01-25,Rangamati,22.7324173,92.2985134,20.0,0.0,7.9,49.87,34.71,96.83
2023-01-26,Rangamati,22.7324173,92.2985134,20.3,0.0,10.5,70.52,48.97,108.46
2023-01-27,Rangamati,22.7324173,92.2985134,20.8,0.0,8.4,81.31,56.3,145.88
2023-01-28,Rangamati,22.7324173,92.2985134,21.2,0.0,8.4,71.42,49.49,146.83
2023-01-29,Rangamati,22.7324173,92.2985134,19.9,0.0,8.0,53.97,37.36,123.25
2023-01-30,Rangamati,22.7324173,92.2985134,19.8,0.0,6.4,29.95,20.69,85.21
2023-01-31,Rangamati,22.7324173,92.2985134,20.2,0.0,6.2,31.6,21.82,68.08
2023-02-01,Rangamati,22.7324173,92.2985134,20.8,0.0,9.0,45.7,31.6,80.62
2023-02-02,Rangamati,22.7324173,92.2985134,21.9,0.0,10.0,52.08,36.2,108.96
2023-02-03,Rangamati,22.7324173,92.2985134,19.5,0.0,6.3,40.57,28.09,87.88
2023-02-04,Rangamati,22.7324173,92.2985134,19.1,0.0,7.1,46.24,32.08,86.75
2023-02-05,Rangamati,22.7324173,92.2985134,19.0,0.0,5.8,58.51,40.37,101.62
2023-02-06,Rangamati,22.7324173,92.2985134,19.0,0.0,7.7,55.34,37.83,112.29
2023-02-07,Rangamati,22.7324173,92.2985134,19.2,0.0,10.0,50.27,34.63,111.58
2023-02-08,Rangamati,22.7324173,92.2985134,19.9,0.0,9.1,42.07,28.69,99.38
2023-02-09,Rangamati,22.7324173,92.2985134,20.2,0.0,7.8,37.64,25.63,83.67
2023-02-10,Rangamati,22.7324173,92.2985134,21.0,0.0,7.9,43.24,29.3,80.33
2023-02-11,Rangamati,22.7324173,92.2985134,20.7,0.0,9.5,41.72,27.93,90.04
2023-02-12,Rangamati,22.7324173,92.2985134,21.1,0.0,7.9,43.95,29.8,97.12
2023-02-13,Rangamati,22.7324173,92.2985134,21.0,0.2,11.4,43.18,29.4,95.38
2023-02-14,Rangamati,22.7324173,92.2985134,19.3,0.0,7.7,28.96,20.05,83.92
2023-02-15,Rangamati,22.7324173,92.2985134,19.2,0.0,6.5,38.86,27.05,87.21
2023-02-16,Rangamati,22.7324173,92.2985134,19.4,0.0,10.3,55.05,38.32,105.92
2023-02-17,Rangamati,22.7324173,92.2985134,20.5,0.0,9.8,59.46,41.3,118.67
2023-02-18,Rangamati,22.7324173,92.2985134,21.5,0.0,7.4,51.25,35.03,109.0
2023-02-19,Rangamati,22.7324173,92.2985134,21.5,0.0,10.1,50.42,34.21,96.21
2023-02-20,Rangamati,22.7324173,92.2985134,22.1,0.0,9.2,73.08,49.68,113.71
2023-02-21,Rangamati,22.7324173,92.2985134,22.4,0.0,9.2,86.72,59.56,146.33
2023-02-22,Rangamati,22.7324173,92.2985134,22.6,0.0,10.3,72.68,49.45,149.54
2023-02-23,Rangamati,22.7324173,92.2985134,23.4,0.0,10.7,59.88,39.61,120.08
2023-02-24,Rangamati,22.7324173,92.2985134,23.2,0.0,8.0,51.64,34.73,105.71
2023-02-25,Rangamati,22.7324173,92.2985134,23.4,0.0,8.8,47.1,32.35,96.79
2023-02-26,Rangamati,22.7324173,92.2985134,23.3,0.0,14.8,36.32,25.03,91.67
2023-02-27,Rangamati,22.7324173,92.2985134,23.3,0.0,10.5,42.03,29.12,92.58
2023-02-28,Rangamati,22.7324173,92.2985134,22.9,0.0,9.5,46.69,32.32,100.88
2023-03-01,Rangamati,22.7324173,92.2985134,23.1,0.0,12.7,38.03,26.15,93.0
2023-03-02,Rangamati,22.7324173,92.2985134,23.3,0.0,10.6,38.32,26.35,81.96
2023-03-03,Rangamati,22.7324173,92.2985134,23.7,0.0,10.7,38.51,26.37,84.08
2023-03-04,Rangamati,22.7324173,92.2985134,23.7,0.0,10.7,38.07,25.95,81.54
2023-03-05,Rangamati,22.7324173,92.2985134,24.0,0.0,7.3,44.94,30.91,89.75
2023-03-06,Rangamati,22.7324173,92.2985134,23.8,0.0,8.4,51.18,35.34,98.92
2023-03-07,Rangamati,22.7324173,92.2985134,24.1,0.0,9.8,41.84,29.0,105.88
2023-03-08,Rangamati,22.7324173,92.2985134,23.7,0.0,10.0,39.94,27.78,82.38
2023-03-09,Rangamati,22.7324173,92.2985134,24.1,0.0,12.9,72.0,50.24,113.79
2023-03-10,Rangamati,22.7324173,92.2985134,24.6,0.0,14.6,62.1,43.3,125.21
2023-03-11,Rangamati,22.7324173,92.2985134,24.7,0.0,12.3,88.57,61.82,144.0
2023-03-12,Rangamati,22.7324173,92.2985134,25.4,0.0,10.1,94.54,65.92,152.92
2023-03-13,Rangamati,22.7324173,92.2985134,25.4,0.0,8.4,94.95,66.33,153.96
2023-03-14,Rangamati,22.7324173,92.2985134,25.0,0.0,12.8,156.52,109.39,172.62
2023-03-15,Rangamati,22.7324173,92.2985134,23.3,0.0,8.9,220.42,153.9,177.46
2023-03-16,Rangamati,22.7324173,92.2985134,24.4,0.0,8.5,348.09,243.25,300.12
2023-03-17,Rangamati,22.7324173,92.2985134,24.5,0.0,10.0,139.4,97.1,201.29
2023-03-18,Rangamati,22.7324173,92.2985134,24.1,0.1,8.0,105.11,72.98,164.58
2023-03-19,Rangamati,22.7324173,92.2985134,22.0,6.1,9.1,140.96,98.28,158.46
2023-03-20,Rangamati,22.7324173,92.2985134,21.7,7.2,11.5,82.04,56.89,172.67
2023-03-21,Rangamati,22.7324173,92.2985134,22.3,7.3,19.0,33.22,22.58,91.67
2023-03-22,Rangamati,22.7324173,92.2985134,21.8,12.5,13.4,29.89,20.09,70.88
2023-03-23,Rangamati,22.7324173,92.2985134,22.5,0.3,12.1,34.61,23.2,68.88
2023-03-24,Rangamati,22.7324173,92.2985134,23.8,0.0,8.4,32.12,21.8,75.33
2023-03-25,Rangamati,22.7324173,92.2985134,24.2,0.2,12.0,38.16,26.19,70.12
2023-03-26,Rangamati,22.7324173,92.2985134,24.9,0.0,8.7,48.77,33.16,89.62
2023-03-27,Rangamati,22.7324173,92.2985134,23.5,2.2,11.9,60.29,40.75,101.38
2023-03-28,Rangamati,22.7324173,92.2985134,23.6,3.4,17.4,67.38,45.53,121.79
2023-03-29,Rangamati,22.7324173,92.2985134,23.8,2.4,16.6,60.74,41.2,126.12
2023-03-30,Rangamati,22.7324173,92.2985134,24.5,0.0,10.2,53.05,35.66,105.0
2023-03-31,Rangamati,22.7324173,92.2985134,25.2,0.0,9.5,42.6,28.0,92.38
2023-04-01,Rangamati,22.7324173,92.2985134,23.0,17.6,13.6,31.54,21.3,77.21
2023-04-02,Rangamati,22.7324173,92.2985134,23.4,4.2,13.6,20.41,13.74,59.46
2023-04-03,Rangamati,22.7324173,92.2985134,23.8,1.5,11.3,23.86,16.05,57.58
2023-04-04,Rangamati,22.7324173,92.2985134,24.9,0.0,12.8,38.67,25.88,72.25
2023-04-05,Rangamati,22.7324173,92.2985134,25.3,4.2,16.8,44.87,29.53,86.5
2023-04-06,Rangamati,22.7324173,92.2985134,26.3,0.0,10.5,43.09,28.32,83.62
2023-04-07,Rangamati,22.7324173,92.2985134,26.6,0.0,13.2,48.74,33.56,91.54
2023-04-08,Rangamati,22.7324173,92.2985134,26.9,0.0,14.3,82.82,57.6,128.33
2023-04-09,Rangamati,22.7324173,92.2985134,27.2,0.0,11.5,157.08,109.58,158.38
2023-04-10,Rangamati,22.7324173,92.2985134,28.0,0.0,12.2,180.41,125.95,195.0
2023-04-11,Rangamati,22.7324173,92.2985134,28.2,0.0,12.0,238.99,166.94,178.42
2023-04-12,Rangamati,22.7324173,92.2985134,28.6,0.0,9.4,299.51,209.49,297.29
2023-04-13,Rangamati,22.7324173,92.2985134,28.6,0.0,12.1,102.04,71.16,186.12
2023-04-14,Rangamati,22.7324173,92.2985134,29.2,0.0,10.5,85.78,59.75,155.75
2023-04-15,Rangamati,22.7324173,92.2985134,29.9,0.0,11.3,75.67,52.62,141.62
2023-04-16,Rangamati,22.7324173,92.2985134,30.0,0.0,14.4,83.75,58.16,150.58
2023-04-17,Rangamati,22.7324173,92.2985134,29.1,0.0,12.0,85.92,58.94,150.71
2023-04-18,Rangamati,22.7324173,92.2985134,29.6,0.0,10.5,72.9,49.41,145.88
2023-04-19,Rangamati,22.7324173,92.2985134,29.5,0.0,13.0,76.55,52.0,139.21
2023-04-20,Rangamati,22.7324173,92.2985134,27.9,19.4,30.5,50.16,33.31,113.75
2023-04-21,Rangamati,22.7324173,92.2985134,26.2,18.1,19.0,44.59,28.92,89.08
2023-04-22,Rangamati,22.7324173,92.2985134,27.2,0.0,12.2,45.03,29.51,88.25
2023-04-23,Rangamati,22.7324173,92.2985134,26.0,1.3,13.7,40.51,26.53,84.62
2023-04-24,Rangamati,22.7324173,92.2985134,28.2,0.0,9.7,36.55,24.85,83.79
2023-04-25,Rangamati,22.7324173,92.2985134,28.5,0.0,10.4,30.76,20.98,80.17
2023-04-26,Rangamati,22.7324173,92.2985134,29.0,0.0,10.3,28.76,19.81,91.96
2023-04-27,Rangamati,22.7324173,92.2985134,29.2,0.0,11.7,33.87,23.46,101.83
2023-04-28,Rangamati,22.7324173,92.2985134,29.0,0.0,9.6,50.1,34.66,107.42
2023-04-29,Rangamati,22.7324173,92.2985134,29.3,0.0,13.3,50.02,34.38,112.71
2023-04-30,Rangamati,22.7324173,92.2985134,29.7,0.0,10.5,41.78,28.62,102.12
2023-05-01,Rangamati,22.7324173,92.2985134,29.5,0.0,12.2,40.68,27.93,94.17
2023-05-02,Rangamati,22.7324173,92.2985134,29.5,0.7,15.3,33.5,22.88,87.21
2023-05-03,Rangamati,22.7324173,92.2985134,28.7,0.7,9.7,32.68,22.13,68.58
2023-05-04,Rangamati,22.7324173,92.2985134,26.9,1.0,9.7,28.23,19.02,68.75
2023-05-05,Rangamati,22.7324173,92.2985134,28.6,0.1,12.6,23.48,16.0,64.12
2023-05-06,Rangamati,22.7324173,92.2985134,28.3,23.2,7.6,26.93,18.42,60.12
2023-05-07,Rangamati,22.7324173,92.2985134,30.3,0.0,11.3,41.28,28.58,89.58
2023-05-08,Rangamati,22.7324173,92.2985134,30.9,0.0,12.0,36.41,24.89,97.33
2023-05-09,Rangamati,22.7324173,92.2985134,31.3,0.0,14.9,38.38,26.28,104.67
2023-05-10,Rangamati,22.7324173,92.2985134,31.2,0.0,13.7,40.18,27.11,97.38
2023-05-11,Rangamati,22.7324173,92.2985134,30.9,0.0,11.9,31.82,21.4,84.46
2023-05-12,Rangamati,22.7324173,92.2985134,30.6,0.1,12.2,36.37,24.32,76.96
2023-05-13,Rangamati,22.7324173,92.2985134,26.4,9.5,8.3,56.35,39.27,92.88
2023-05-14,Rangamati,22.7324173,92.2985134,22.9,45.9,17.7,16.77,11.74,84.42
2023-05-15,Rangamati,22.7324173,92.2985134,26.0,0.3,12.7,20.29,14.07,53.29
2023-05-16,Rangamati,22.7324173,92.2985134,26.3,9.5,14.8,27.96,18.58,64.88
2023-05-17,Rangamati,22.7324173,92.2985134,27.2,10.1,15.0,23.35,14.61,57.75
2023-05-18,Rangamati,22.7324173,92.2985134,25.3,8.1,12.2,24.16,15.52,57.12
2023-05-19,Rangamati,22.7324173,92.2985134,27.2,0.0,11.4,33.55,20.84,61.46
2023-05-20,Rangamati,22.7324173,92.2985134,28.0,0.1,13.6,33.07,20.15,70.42
2023-05-21,Rangamati,22.7324173,92.2985134,27.8,0.0,11.3,35.56,22.34,68.12
2023-05-22,Rangamati,22.7324173,92.2985134,28.2,0.0,15.1,39.73,24.94,76.38
2023-05-23,Rangamati,22.7324173,92.2985134,28.0,0.5,11.9,33.88,21.19,74.0
2023-05-24,Rangamati,22.7324173,92.2985134,25.1,31.2,13.3,31.03,20.1,68.38
2023-05-25,Rangamati,22.7324173,92.2985134,26.5,13.4,15.1,19.91,12.95,57.79
2023-05-26,Rangamati,22.7324173,92.2985134,27.4,14.1,11.6,28.38,18.08,58.21
2023-05-27,Rangamati,22.7324173,92.2985134,28.0,0.3,12.7,32.59,20.61,63.92
2023-05-28,Rangamati,22.7324173,92.2985134,28.5,0.0,8.9,37.14,23.84,75.83
2023-05-29,Rangamati,22.7324173,92.2985134,29.6,0.0,11.8,33.92,22.19,72.75
2023-05-30,Rangamati,22.7324173,92.2985134,30.1,0.0,11.6,36.67,24.78,78.54
2023-05-31,Rangamati,22.7324173,92.2985134,30.2,0.2,9.4,54.21,36.98,99.33
2023-06-01,Rangamati,22.7324173,92.2985134,29.7,0.1,12.3,46.3,30.17,97.08
2023-06-02,Rangamati,22.7324173,92.2985134,29.9,0.2,10.2,39.39,24.76,81.79
2023-06-03,Rangamati,22.7324173,92.2985134,29.5,0.7,12.6,38.66,24.35,77.08
2023-06-04,Rangamati,22.7324173,92.2985134,29.7,0.0,13.7,39.28,25.01,77.67
2023-06-05,Rangamati,22.7324173,92.2985134,30.3,1.1,14.9,38.17,24.82,79.0
2023-06-06,Rangamati,22.7324173,92.2985134,29.9,0.9,11.8,42.53,27.93,85.42
2023-06-07,Rangamati,22.7324173,92.2985134,28.1,13.0,11.0,38.89,26.23,84.5
2023-06-08,Rangamati,22.7324173,92.2985134,26.7,55.9,11.0,20.09,13.91,68.0
2023-06-09,Rangamati,22.7324173,92.2985134,26.6,22.0,8.2,17.18,12.0,51.0
2023-06-10,Rangamati,22.7324173,92.2985134,27.0,4.3,15.3,17.46,12.1,46.38
2023-06-11,Rangamati,22.7324173,92.2985134,26.9,17.8,15.0,21.85,15.1,50.88
2023-06-12,Rangamati,22.7324173,92.2985134,27.6,1.1,13.6,24.47,16.81,59.29
2023-06-13,Rangamati,22.7324173,92.2985134,28.5,1.2,17.2,29.35,20.04,64.5
2023-06-14,Rangamati,22.7324173,92.2985134,28.0,1.1,18.1,20.58,13.83,63.0
2023-06-15,Rangamati,22.7324173,92.2985134,28.1,3.4,17.8,14.95,9.8,45.92
2023-06-16,Rangamati,22.7324173,92.2985134,27.2,26.6,16.5,14.07,9.41,39.12
