Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Rangpur,25.7438916,89.275227,16.5,0.0,9.0,87.14,60.25,159.46
2023-01-02,Rangpur,25.7438916,89.275227,16.6,0.0,9.5,70.9,48.9,142.92
2023-01-03,Rangpur,25.7438916,89.275227,15.8,0.0,10.2,69.56,48.18,130.75
2023-01-04,Rangpur,25.7438916,89.275227,15.6,0.0,11.0,96.43,66.78,149.42
2023-01-05,Rangpur,25.7438916,89.275227,14.7,0.0,10.0,84.84,59.03,155.04
2023-01-06,Rangpur,25.7438916,89.275227,14.6,0.0,10.6,64.45,44.94,132.17
2023-01-07,Rangpur,25.7438916,89.275227,14.6,0.0,10.1,61.51,42.96,120.67
2023-01-08,Rangpur,25.7438916,89.275227,14.3,0.0,10.4,74.25,51.92,130.71
2023-01-09,Rangpur,25.7438916,89.275227,15.1,0.0,9.1,73.67,51.42,140.42
2023-01-10,Rangpur,25.7438916,89.275227,15.0,0.0,10.0,83.21,58.1,146.42
2023-01-11,Rangpur,25.7438916,89.275227,14.2,0.0,8.4,99.88,69.72,154.21
2023-01-12,Rangpur,25.7438916,89.275227,14.4,0.0,8.9,104.27,72.69,157.75
2023-01-13,Rangpur,25.7438916,89.275227,14.4,0.0,9.5,124.25,85.98,163.04
2023-01-14,Rangpur,25.7438916,89.275227,16.2,0.0,9.4,126.89,87.99,167.33
2023-01-15,Rangpur,25.7438916,89.275227,16.1,0.0,19.1,111.68,77.4,164.42
2023-01-16,Rangpur,25.7438916,89.275227,13.9,0.0,9.8,102.26,70.91,158.79
2023-01-17,Rangpur,25.7438916,89.275227,12.9,0.0,10.4,126.4,87.67,161.58
2023-01-18,Rangpur,25.7438916,89.275227,13.2,0.0,9.7,157.32,108.92,172.54
2023-01-19,Rangpur,25.7438916,89.275227,14.0,0.0,9.6,165.45,114.82,181.33
2023-01-20,Rangpur,25.7438916,89.275227,14.8,0.0,8.9,145.93,101.23,177.5
2023-01-21,Rangpur,25.7438916,89.275227,15.5,0.0,9.8,132.98,92.22,170.83
2023-01-22,Rangpur,25.7438916,89.275227,15.6,0.0,9.1,128.6,89.3,170.54
2023-01-23,Rangpur,25.7438916,89.275227,17.1,0.0,9.4,99.45,68.97,160.08
2023-01-24,Rangpur,25.7438916,89.275227,17.9,0.0,9.7,82.21,56.89,153.29
2023-01-25,Rangpur,25.7438916,89.275227,17.6,0.0,9.3,95.05,65.76,153.92
2023-01-26,Rangpur,25.7438916,89.275227,18.7,0.0,8.2,110.15,76.65,158.17
2023-01-27,Rangpur,25.7438916,89.275227,18.8,0.0,8.5,122.9,85.57,165.0
2023-01-28,Rangpur,25.7438916,89.275227,18.6,0.0,9.1,117.14,81.5,165.12
2023-01-29,Rangpur,25.7438916,89.275227,18.4,0.0,7.4,115.52,80.4,161.67
2023-01-30,Rangpur,25.7438916,89.275227,19.3,0.0,8.8,103.15,71.74,162.58
