Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Satkhira,22.3154812,89.1114525,20.8,0.1,8.5,173.45,119.9,184.21
2023-01-02,Satkhira,22.3154812,89.1114525,20.4,0.0,9.2,154.04,106.54,181.08
2023-01-03,Satkhira,22.3154812,89.1114525,19.5,0.0,12.0,121.88,84.03,171.38
2023-01-04,Satkhira,22.3154812,89.1114525,18.3,0.0,15.5,99.81,69.31,161.08
2023-01-05,Satkhira,22.3154812,89.1114525,17.3,0.0,15.9,109.7,76.47,159.88
2023-01-06,Satkhira,22.3154812,89.1114525,16.6,0.0,13.5,88.4,61.68,156.79
2023-01-07,Satkhira,22.3154812,89.1114525,16.0,0.0,12.1,89.34,62.34,153.25
2023-01-08,Satkhira,22.3154812,89.1114525,17.1,0.0,11.0,87.51,61.11,155.12
2023-01-09,Satkhira,22.3154812,89.1114525,18.5,0.0,9.5,75.18,52.52,141.96
2023-01-10,Satkhira,22.3154812,89.1114525,18.6,0.0,10.6,95.97,67.03,150.71
2023-01-11,Satkhira,22.3154812,89.1114525,18.2,0.0,11.0,132.46,92.4,162.0
2023-01-12,Satkhira,22.3154812,89.1114525,17.7,0.0,9.8,140.32,97.61,171.67
2023-01-13,Satkhira,22.3154812,89.1114525,19.9,0.0,12.2,133.78,90.02,172.46
2023-01-14,Satkhira,22.3154812,89.1114525,21.8,0.2,10.0,95.54,63.41,159.04
2023-01-15,Satkhira,22.3154812,89.1114525,21.7,0.1,9.7,104.72,71.4,156.62
2023-01-16,Satkhira,22.3154812,89.1114525,19.8,0.0,12.4,113.13,78.15,159.5
2023-01-17,Satkhira,22.3154812,89.1114525,19.6,0.0,9.7,126.25,87.69,164.75
2023-01-18,Satkhira,22.3154812,89.1114525,19.8,0.0,9.5,143.13,99.65,169.0
2023-01-19,Satkhira,22.3154812,89.1114525,19.1,0.0,11.2,161.99,112.52,177.96
2023-01-20,Satkhira,22.3154812,89.1114525,18.6,0.0,10.2,152.91,105.8,178.17
2023-01-21,Satkhira,22.3154812,89.1114525,19.7,0.0,11.2,172.92,119.88,179.25
2023-01-22,Satkhira,22.3154812,89.1114525,21.0,0.0,8.7,192.36,133.76,189.67
2023-01-23,Satkhira,22.3154812,89.1114525,22.2,0.0,9.4,191.29,133.45,191.08
2023-01-24,Satkhira,22.3154812,89.1114525,22.5,0.0,9.4,172.65,120.42,184.33
2023-01-25,Satkhira,22.3154812,89.1114525,22.6,0.0,9.1,207.74,144.95,192.96
2023-01-26,Satkhira,22.3154812,89.1114525,24.1,0.0,9.0,174.67,121.81,192.46
2023-01-27,Satkhira,22.3154812,89.1114525,23.6,0.0,10.2,131.11,91.03,177.92
2023-01-28,Satkhira,22.3154812,89.1114525,22.6,0.0,12.3,109.54,76.02,162.71
2023-01-29,Satkhira,22.3154812,89.1114525,21.1,0.0,12.3,86.12,59.64,157.21
2023-01-30,Satkhira,22.3154812,89.1114525,21.1,0.0,10.8,112.9,77.82,154.54
2023-01-31,Satkhira,22.3154812,89.1114525,22.2,0.0,9.2,140.72,97.88,170.17
2023-02-01,Satkhira,22.3154812,89.1114525,22.1,0.0,15.2,102.7,71.27,166.25
2023-02-02,Satkhira,22.3154812,89.1114525,20.4,0.0,14.8,66.78,45.91,138.83
2023-02-03,Satkhira,22.3154812,89.1114525,19.3,0.0,13.1,93.37,65.12,145.5
2023-02-04,Satkhira,22.3154812,89.1114525,20.1,0.0,11.5,113.51,79.13,161.12
2023-02-05,Satkhira,22.3154812,89.1114525,20.7,0.0,9.6,114.86,79.4,162.0
2023-02-06,Satkhira,22.3154812,89.1114525,21.8,0.0,9.8,105.46,71.61,163.79
2023-02-07,Satkhira,22.3154812,89.1114525,22.7,0.0,12.2,64.98,41.1,135.62
2023-02-08,Satkhira,22.3154812,89.1114525,23.9,0.1,15.3,48.18,30.27,96.46
2023-02-09,Satkhira,22.3154812,89.1114525,24.1,0.2,9.5,70.02,47.1,110.33
2023-02-10,Satkhira,22.3154812,89.1114525,23.8,0.0,9.3,102.61,70.83,150.33
2023-02-11,Satkhira,22.3154812,89.1114525,24.1,0.0,14.8,83.58,56.22,156.25
2023-02-12,Satkhira,22.3154812,89.1114525,25.0,0.1,11.5,65.37,43.4,127.0
2023-02-13,Satkhira,22.3154812,89.1114525,22.4,0.0,17.3,58.68,39.78,128.0
2023-02-14,Satkhira,22.3154812,89.1114525,21.1,0.0,10.9,60.87,41.97,106.58
2023-02-15,Satkhira,22.3154812,89.1114525,21.1,0.0,9.4,89.72,62.1,147.12
2023-02-16,Satkhira,22.3154812,89.1114525,22.5,0.0,10.5,80.69,53.57,156.08
2023-02-17,Satkhira,22.3154812,89.1114525,23.4,0.3,13.2,74.35,45.73,133.5
2023-02-18,Satkhira,22.3154812,89.1114525,22.9,7.5,12.1,74.77,47.43,126.83
