Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Shariatpur,23.2423214,90.4347711,18.7,0.0,11.3,180.5,125.35,197.42
2023-01-02,Shariatpur,23.2423214,90.4347711,19.3,0.0,10.9,144.96,100.42,179.38
2023-01-03,Shariatpur,23.2423214,90.4347711,18.9,0.0,13.4,116.65,80.52,170.71
2023-01-04,Shariatpur,23.2423214,90.4347711,18.4,0.0,13.6,87.01,60.53,156.08
2023-01-05,Shariatpur,23.2423214,90.4347711,17.6,0.0,17.7,86.15,60.0,152.75
2023-01-06,Shariatpur,23.2423214,90.4347711,17.3,0.0,14.9,76.42,53.25,149.71
2023-01-07,Shariatpur,23.2423214,90.4347711,16.8,0.0,11.8,77.8,54.24,143.79
2023-01-08,Shariatpur,23.2423214,90.4347711,18.3,0.0,10.8,78.45,54.77,149.29
2023-01-09,Shariatpur,23.2423214,90.4347711,19.3,0.0,11.8,77.92,54.44,142.67
2023-01-10,Shariatpur,23.2423214,90.4347711,19.3,0.0,13.5,81.61,56.95,150.54
2023-01-11,Shariatpur,23.2423214,90.4347711,18.2,0.0,11.5,115.67,80.73,155.58
2023-01-12,Shariatpur,23.2423214,90.4347711,17.2,0.0,8.4,144.25,100.18,169.12
2023-01-13,Shariatpur,23.2423214,90.4347711,18.8,0.0,9.8,168.42,116.84,179.12
2023-01-14,Shariatpur,23.2423214,90.4347711,20.5,1.8,15.9,141.97,96.1,175.62
2023-01-15,Shariatpur,23.2423214,90.4347711,20.2,0.0,11.6,162.35,111.9,179.62
2023-01-16,Shariatpur,23.2423214,90.4347711,19.7,0.0,13.4,131.72,91.01,170.5
2023-01-17,Shariatpur,23.2423214,90.4347711,19.0,0.0,11.9,139.76,97.04,168.88
2023-01-18,Shariatpur,23.2423214,90.4347711,18.6,0.0,12.6,163.89,113.89,175.83
2023-01-19,Shariatpur,23.2423214,90.4347711,18.3,0.0,14.2,164.91,114.22,183.62
2023-01-20,Shariatpur,23.2423214,90.4347711,17.8,0.0,12.4,166.01,115.02,179.75
2023-01-21,Shariatpur,23.2423214,90.4347711,18.4,0.0,11.8,168.12,116.54,181.12
2023-01-22,Shariatpur,23.2423214,90.4347711,20.3,0.0,9.1,191.06,132.73,187.12
2023-01-23,Shariatpur,23.2423214,90.4347711,21.3,0.0,10.8,238.06,165.63,198.62
2023-01-24,Shariatpur,23.2423214,90.4347711,22.1,0.0,10.9,221.64,154.39,216.12
2023-01-25,Shariatpur,23.2423214,90.4347711,22.2,0.0,11.5,209.7,146.36,196.58
2023-01-26,Shariatpur,23.2423214,90.4347711,23.0,0.0,11.3,261.11,182.45,215.29
2023-01-27,Shariatpur,23.2423214,90.4347711,22.8,0.0,10.7,214.11,149.35,233.12
2023-01-28,Shariatpur,23.2423214,90.4347711,22.4,0.0,15.1,112.9,78.42,172.04
2023-01-29,Shariatpur,23.2423214,90.4347711,21.2,0.0,12.7,102.7,71.16,161.08
2023-01-30,Shariatpur,23.2423214,90.4347711,21.3,0.0,8.5,135.42,93.7,163.79
2023-01-31,Shariatpur,23.2423214,90.4347711,21.8,0.0,12.1,140.63,97.76,172.08
2023-02-01,Shariatpur,23.2423214,90.4347711,21.7,0.0,16.5,117.62,81.85,168.83
2023-02-02,Shariatpur,23.2423214,90.4347711,20.2,0.0,17.6,67.38,46.19,148.62
2023-02-03,Shariatpur,23.2423214,90.4347711,19.8,0.0,13.0,85.65,59.64,143.42
2023-02-04,Shariatpur,23.2423214,90.4347711,20.1,0.0,11.4,111.71,77.99,155.96
2023-02-05,Shariatpur,23.2423214,90.4347711,20.5,0.0,10.6,135.06,93.67,168.0
2023-02-06,Shariatpur,23.2423214,90.4347711,21.4,0.0,10.7,126.63,87.46,170.46
2023-02-07,Shariatpur,23.2423214,90.4347711,22.8,0.0,16.6,79.88,53.35,155.92
2023-02-08,Shariatpur,23.2423214,90.4347711,23.4,0.1,16.8,46.53,29.6,111.08
2023-02-09,Shariatpur,23.2423214,90.4347711,23.0,0.9,8.4,76.6,51.22,99.88
2023-02-10,Shariatpur,23.2423214,90.4347711,22.8,0.0,12.0,113.37,78.21,159.96
2023-02-11,Shariatpur,23.2423214,90.4347711,23.2,0.0,17.2,97.78,67.59,159.21
2023-02-12,Shariatpur,23.2423214,90.4347711,24.2,0.0,12.3,69.73,46.83,133.12
