Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Sherpur,25.0746235,90.1494904,15.9,0.0,7.1,91.54,63.5,160.21
2023-01-02,Sherpur,25.0746235,90.1494904,15.5,0.0,9.8,65.4,45.21,144.67
2023-01-03,Sherpur,25.0746235,90.1494904,16.2,0.0,9.9,52.89,36.51,111.62
2023-01-04,Sherpur,25.0746235,90.1494904,16.7,0.0,11.2,54.07,37.6,103.75
2023-01-05,Sherpur,25.0746235,90.1494904,16.4,0.0,12.1,54.87,38.19,109.75
2023-01-06,Sherpur,25.0746235,90.1494904,16.5,0.0,11.9,50.16,34.8,97.88
2023-01-07,Sherpur,25.0746235,90.1494904,16.4,0.0,11.2,54.6,38.05,107.0
2023-01-08,Sherpur,25.0746235,90.1494904,17.2,0.0,11.5,57.36,40.06,105.83
2023-01-09,Sherpur,25.0746235,90.1494904,17.5,0.0,9.3,52.18,36.25,108.33
2023-01-10,Sherpur,25.0746235,90.1494904,17.5,0.0,10.5,54.27,37.72,99.58
2023-01-11,Sherpur,25.0746235,90.1494904,16.0,0.0,10.4,88.3,61.65,133.79
2023-01-12,Sherpur,25.0746235,90.1494904,15.1,0.0,9.9,98.58,68.8,154.83
2023-01-13,Sherpur,25.0746235,90.1494904,15.4,0.0,8.3,125.83,87.25,162.58
2023-01-14,Sherpur,25.0746235,90.1494904,17.2,0.0,9.0,101.41,70.18,160.12
2023-01-15,Sherpur,25.0746235,90.1494904,17.4,0.0,13.1,100.88,69.7,159.58
2023-01-16,Sherpur,25.0746235,90.1494904,16.9,0.0,9.3,111.11,76.9,158.96
2023-01-17,Sherpur,25.0746235,90.1494904,14.2,0.0,8.3,113.77,78.81,161.67
2023-01-18,Sherpur,25.0746235,90.1494904,12.8,0.0,9.4,136.33,94.09,165.79
2023-01-19,Sherpur,25.0746235,90.1494904,13.3,0.0,9.7,134.32,93.08,170.29
2023-01-20,Sherpur,25.0746235,90.1494904,14.7,0.0,9.3,105.94,73.43,165.71
2023-01-21,Sherpur,25.0746235,90.1494904,15.5,0.0,8.7,101.78,70.41,156.46
2023-01-22,Sherpur,25.0746235,90.1494904,15.8,0.0,7.6,122.64,85.21,160.92
2023-01-23,Sherpur,25.0746235,90.1494904,16.9,0.0,7.6,125.07,86.87,166.71
2023-01-24,Sherpur,25.0746235,90.1494904,17.7,0.0,8.6,99.95,69.49,163.17
2023-01-25,Sherpur,25.0746235,90.1494904,17.6,0.0,9.2,88.8,61.58,155.21
2023-01-26,Sherpur,25.0746235,90.1494904,18.4,0.0,7.9,97.95,68.17,153.92
2023-01-27,Sherpur,25.0746235,90.1494904,18.8,0.0,6.4,95.71,66.42,156.54
2023-01-28,Sherpur,25.0746235,90.1494904,18.8,0.0,9.4,105.06,73.02,160.04
2023-01-29,Sherpur,25.0746235,90.1494904,19.1,0.0,9.2,98.79,68.57,156.46
2023-01-30,Sherpur,25.0746235,90.1494904,19.8,0.0,9.1,88.66,61.57,155.38
2023-01-31,Sherpur,25.0746235,90.1494904,19.9,0.0,9.3,95.88,66.76,153.83
2023-02-01,Sherpur,25.0746235,90.1494904,20.3,0.0,10.3,104.82,73.07,159.71
2023-02-02,Sherpur,25.0746235,90.1494904,17.7,0.0,11.6,63.44,43.8,144.33
2023-02-03,Sherpur,25.0746235,90.1494904,18.3,0.0,9.9,82.88,57.72,134.08
2023-02-04,Sherpur,25.0746235,90.1494904,18.2,0.0,8.4,103.2,72.12,155.54
2023-02-05,Sherpur,25.0746235,90.1494904,17.1,0.0,9.1,124.18,86.62,162.38
2023-02-06,Sherpur,25.0746235,90.1494904,17.4,0.0,10.2,124.84,86.7,168.83
2023-02-07,Sherpur,25.0746235,90.1494904,18.3,0.0,8.0,92.82,64.01,160.08
2023-02-08,Sherpur,25.0746235,90.1494904,19.6,0.0,11.8,71.71,48.88,141.0
2023-02-09,Sherpur,25.0746235,90.1494904,19.5,0.2,9.6,81.4,55.1,134.04
2023-02-10,Sherpur,25.0746235,90.1494904,18.9,0.0,9.4,97.27,66.84,153.79
2023-02-11,Sherpur,25.0746235,90.1494904,19.8,0.0,9.5,93.73,64.46,155.54
2023-02-12,Sherpur,25.0746235,90.1494904,20.8,0.0,15.7,83.45,57.24,153.71
2023-02-13,Sherpur,25.0746235,90.1494904,18.5,0.0,14.5,46.33,31.58,120.46
2023-02-14,Sherpur,25.0746235,90.1494904,17.4,0.0,9.8,48.63,33.64,93.92
2023-02-15,Sherpur,25.0746235,90.1494904,18.6,0.0,8.3,68.02,47.01,108.96
2023-02-16,Sherpur,25.0746235,90.1494904,19.5,0.0,9.2,79.27,55.25,144.46
2023-02-17,Sherpur,25.0746235,90.1494904,19.8,0.0,9.7,82.09,57.15,143.46
2023-02-18,Sherpur,25.0746235,90.1494904,20.6,0.0,6.8,96.71,67.02,155.0
2023-02-19,Sherpur,25.0746235,90.1494904,21.4,0.0,8.7,103.49,71.22,155.33
2023-02-20,Sherpur,25.0746235,90.1494904,21.8,0.0,9.9,125.41,86.43,162.21
2023-02-21,Sherpur,25.0746235,90.1494904,22.6,0.5,11.5,117.47,80.93,166.62
2023-02-22,Sherpur,25.0746235,90.1494904,22.4,0.5,21.1,80.15,55.35,157.88
2023-02-23,Sherpur,25.0746235,90.1494904,23.4,0.0,13.2,63.08,43.02,127.29
2023-02-24,Sherpur,25.0746235,90.1494904,22.1,0.0,12.9,71.67,48.83,124.42
2023-02-25,Sherpur,25.0746235,90.1494904,21.5,0.0,9.1,63.81,43.76,131.04
2023-02-26,Sherpur,25.0746235,90.1494904,20.7,0.0,9.8,52.64,35.93,105.08
2023-02-27,Sherpur,25.0746235,90.1494904,21.0,0.0,8.6,67.81,46.98,116.71
2023-02-28,Sherpur,25.0746235,90.1494904,21.4,0.0,9.0,77.79,53.77,136.79
2023-03-01,Sherpur,25.0746235,90.1494904,21.8,0.0,10.9,76.22,52.18,141.5
2023-03-02,Sherpur,25.0746235,90.1494904,22.4,0.0,10.1,75.51,51.48,144.17
2023-03-03,Sherpur,25.0746235,90.1494904,22.7,0.0,10.8,76.29,52.3,141.25
2023-03-04,Sherpur,25.0746235,90.1494904,23.3,0.0,8.3,77.1,52.72,141.04
2023-03-05,Sherpur,25.0746235,90.1494904,23.5,0.0,7.9,83.77,57.52,144.04
2023-03-06,Sherpur,25.0746235,90.1494904,24.0,0.0,11.5,77.74,53.43,154.75
2023-03-07,Sherpur,25.0746235,90.1494904,23.0,0.0,10.2,48.52,33.68,110.25
2023-03-08,Sherpur,25.0746235,90.1494904,21.7,0.0,10.1,47.77,33.18,93.04
2023-03-09,Sherpur,25.0746235,90.1494904,23.5,0.0,13.1,66.57,46.27,110.42
2023-03-10,Sherpur,25.0746235,90.1494904,23.2,0.0,11.2,64.01,44.52,125.0
2023-03-11,Sherpur,25.0746235,90.1494904,23.7,0.0,10.6,80.52,56.05,142.33
2023-03-12,Sherpur,25.0746235,90.1494904,24.5,0.0,14.1,68.43,47.67,138.75
2023-03-13,Sherpur,25.0746235,90.1494904,24.0,0.0,11.3,58.21,40.05,119.54
2023-03-14,Sherpur,25.0746235,90.1494904,22.2,12.2,9.2,82.91,57.73,131.0
2023-03-15,Sherpur,25.0746235,90.1494904,21.4,22.6,17.3,92.9,64.4,152.79
2023-03-16,Sherpur,25.0746235,90.1494904,21.1,4.6,16.6,127.89,88.68,159.96
2023-03-17,Sherpur,25.0746235,90.1494904,21.7,5.3,10.4,179.09,124.49,177.42
2023-03-18,Sherpur,25.0746235,90.1494904,23.3,0.1,8.8,168.41,116.94,190.75
2023-03-19,Sherpur,25.0746235,90.1494904,21.0,9.7,14.1,122.02,84.85,169.92
2023-03-20,Sherpur,25.0746235,90.1494904,20.4,15.9,13.4,39.57,27.58,131.5
2023-03-21,Sherpur,25.0746235,90.1494904,20.7,7.6,15.6,40.37,28.05,78.33
2023-03-22,Sherpur,25.0746235,90.1494904,21.5,3.7,10.5,56.09,38.94,101.21
2023-03-23,Sherpur,25.0746235,90.1494904,22.4,0.2,13.4,63.12,43.95,112.67
2023-03-24,Sherpur,25.0746235,90.1494904,22.2,0.0,14.5,69.07,48.04,126.92
2023-03-25,Sherpur,25.0746235,90.1494904,23.4,0.0,9.5,66.26,45.8,125.88
2023-03-26,Sherpur,25.0746235,90.1494904,23.7,2.5,13.6,68.01,46.59,130.58
2023-03-27,Sherpur,25.0746235,90.1494904,23.9,2.3,25.7,74.97,51.15,133.12
2023-03-28,Sherpur,25.0746235,90.1494904,24.2,0.0,15.0,75.95,52.21,138.38
2023-03-29,Sherpur,25.0746235,90.1494904,23.8,1.0,13.2,80.15,55.28,148.75
2023-03-30,Sherpur,25.0746235,90.1494904,22.8,3.4,12.9,73.53,50.38,134.79
2023-03-31,Sherpur,25.0746235,90.1494904,22.6,6.8,16.5,68.18,46.54,138.12
2023-04-01,Sherpur,25.0746235,90.1494904,22.4,14.0,11.6,58.2,40.25,122.04
2023-04-02,Sherpur,25.0746235,90.1494904,21.3,10.7,15.9,56.01,38.8,109.17
2023-04-03,Sherpur,25.0746235,90.1494904,22.7,0.1,14.6,52.25,36.14,111.12
2023-04-04,Sherpur,25.0746235,90.1494904,24.3,0.0,15.8,51.32,35.26,102.71
2023-04-05,Sherpur,25.0746235,90.1494904,25.3,0.1,13.4,50.18,33.78,101.04
2023-04-06,Sherpur,25.0746235,90.1494904,24.9,0.1,15.5,54.38,37.16,102.33
2023-04-07,Sherpur,25.0746235,90.1494904,25.1,0.0,10.4,57.5,39.63,119.67
2023-04-08,Sherpur,25.0746235,90.1494904,25.4,0.0,8.0,61.7,42.68,133.54
2023-04-09,Sherpur,25.0746235,90.1494904,26.3,0.0,9.3,63.34,43.97,141.33
2023-04-10,Sherpur,25.0746235,90.1494904,26.6,0.0,16.7,51.97,36.04,123.08
2023-04-11,Sherpur,25.0746235,90.1494904,26.3,0.0,12.4,58.27,40.55,120.62
2023-04-12,Sherpur,25.0746235,90.1494904,25.8,0.0,8.9,61.08,42.56,137.33
2023-04-13,Sherpur,25.0746235,90.1494904,26.5,0.0,11.3,54.33,37.87,134.88
2023-04-14,Sherpur,25.0746235,90.1494904,28.4,0.0,10.5,63.72,44.3,139.79
2023-04-15,Sherpur,25.0746235,90.1494904,29.0,0.0,8.0,72.33,50.27,138.08
2023-04-16,Sherpur,25.0746235,90.1494904,29.1,0.0,10.1,75.65,52.57,145.92
2023-04-17,Sherpur,25.0746235,90.1494904,28.6,0.5,16.8,78.81,54.81,158.58
2023-04-18,Sherpur,25.0746235,90.1494904,28.8,2.6,18.8,74.75,51.27,145.62
2023-04-19,Sherpur,25.0746235,90.1494904,29.7,1.6,16.3,61.07,41.38,137.33
2023-04-20,Sherpur,25.0746235,90.1494904,28.4,0.4,20.5,61.74,41.57,115.88
2023-04-21,Sherpur,25.0746235,90.1494904,25.7,17.3,22.5,59.63,39.85,109.58
2023-04-22,Sherpur,25.0746235,90.1494904,26.2,1.2,17.8,62.75,42.72,122.17
2023-04-23,Sherpur,25.0746235,90.1494904,24.9,1.1,18.2,59.99,41.06,109.38
2023-04-24,Sherpur,25.0746235,90.1494904,25.5,0.0,9.5,62.52,43.21,122.88
2023-04-25,Sherpur,25.0746235,90.1494904,26.6,0.0,10.4,43.49,29.89,106.04
2023-04-26,Sherpur,25.0746235,90.1494904,27.2,0.0,12.7,55.73,38.68,102.12
2023-04-27,Sherpur,25.0746235,90.1494904,26.9,1.4,20.8,84.24,58.33,143.17
2023-04-28,Sherpur,25.0746235,90.1494904,26.9,0.0,9.9,94.39,65.32,155.54
2023-04-29,Sherpur,25.0746235,90.1494904,26.8,11.4,20.4,81.82,56.67,159.67
2023-04-30,Sherpur,25.0746235,90.1494904,26.5,13.4,13.2,70.76,49.08,144.58
2023-05-01,Sherpur,25.0746235,90.1494904,26.1,0.4,14.3,69.02,48.08,134.92
2023-05-02,Sherpur,25.0746235,90.1494904,26.4,1.3,14.2,66.19,46.13,133.83
2023-05-03,Sherpur,25.0746235,90.1494904,25.4,3.9,12.1,51.53,35.73,113.38
2023-05-04,Sherpur,25.0746235,90.1494904,25.2,18.7,15.6,34.9,24.35,89.58
2023-05-05,Sherpur,25.0746235,90.1494904,25.8,0.2,11.2,46.77,32.61,85.88
2023-05-06,Sherpur,25.0746235,90.1494904,28.3,0.1,14.6,69.86,48.65,122.62
2023-05-07,Sherpur,25.0746235,90.1494904,29.0,0.0,12.2,85.84,59.42,148.96
2023-05-08,Sherpur,25.0746235,90.1494904,29.5,0.0,14.4,76.46,52.69,160.21
2023-05-09,Sherpur,25.0746235,90.1494904,29.8,0.0,16.6,67.18,45.73,146.25
2023-05-10,Sherpur,25.0746235,90.1494904,29.5,7.8,20.8,80.82,55.72,148.96
2023-05-11,Sherpur,25.0746235,90.1494904,29.3,0.0,11.7,62.09,42.81,141.25
2023-05-12,Sherpur,25.0746235,90.1494904,29.1,0.0,9.0,58.13,39.86,119.04
2023-05-13,Sherpur,25.0746235,90.1494904,29.9,0.0,13.4,54.05,37.51,118.54
2023-05-14,Sherpur,25.0746235,90.1494904,28.8,0.0,18.3,50.74,35.28,107.62
2023-05-15,Sherpur,25.0746235,90.1494904,27.5,0.6,18.5,34.96,24.29,97.17
2023-05-16,Sherpur,25.0746235,90.1494904,27.8,17.6,29.2,49.11,32.71,88.88
2023-05-17,Sherpur,25.0746235,90.1494904,24.8,31.0,19.9,33.93,22.48,85.33
2023-05-18,Sherpur,25.0746235,90.1494904,24.5,14.3,17.5,30.08,19.8,70.83
2023-05-19,Sherpur,25.0746235,90.1494904,25.4,55.9,15.5,38.0,25.07,65.08
2023-05-20,Sherpur,25.0746235,90.1494904,26.2,8.2,19.8,39.92,26.57,84.08
2023-05-21,Sherpur,25.0746235,90.1494904,25.8,5.3,21.7,42.45,27.92,83.25
2023-05-22,Sherpur,25.0746235,90.1494904,26.9,22.2,17.1,44.7,29.48,85.12
2023-05-23,Sherpur,25.0746235,90.1494904,25.9,11.7,16.0,42.88,28.78,85.0
2023-05-24,Sherpur,25.0746235,90.1494904,26.0,10.2,9.7,31.59,21.53,87.67
2023-05-25,Sherpur,25.0746235,90.1494904,27.2,3.9,15.3,43.43,29.15,72.58
2023-05-26,Sherpur,25.0746235,90.1494904,27.2,4.3,16.1,49.4,33.69,93.5
2023-05-27,Sherpur,25.0746235,90.1494904,25.6,7.6,14.3,41.4,27.95,98.21
2023-05-28,Sherpur,25.0746235,90.1494904,26.6,1.0,8.5,41.62,28.36,85.5
2023-05-29,Sherpur,25.0746235,90.1494904,28.3,0.0,8.2,42.42,28.79,94.04
2023-05-30,Sherpur,25.0746235,90.1494904,29.6,0.0,7.6,46.92,31.83,95.12
2023-05-31,Sherpur,25.0746235,90.1494904,30.0,0.0,7.2,67.15,45.74,118.5
2023-06-01,Sherpur,25.0746235,90.1494904,30.3,0.1,13.4,80.25,54.12,137.12
2023-06-02,Sherpur,25.0746235,90.1494904,30.8,0.0,14.0,76.73,52.13,150.75
2023-06-03,Sherpur,25.0746235,90.1494904,29.4,3.6,16.3,80.42,54.96,138.33
2023-06-04,Sherpur,25.0746235,90.1494904,29.6,0.9,16.6,84.32,56.92,150.33
2023-06-05,Sherpur,25.0746235,90.1494904,30.8,0.0,8.4,76.97,51.57,146.92
2023-06-06,Sherpur,25.0746235,90.1494904,31.5,0.1,8.7,73.12,49.64,143.08
2023-06-07,Sherpur,25.0746235,90.1494904,30.9,1.1,12.7,63.6,43.3,137.79
2023-06-08,Sherpur,25.0746235,90.1494904,31.2,0.0,14.1,72.0,49.64,129.21
2023-06-09,Sherpur,25.0746235,90.1494904,29.3,13.7,13.1,77.23,53.87,144.21
2023-06-10,Sherpur,25.0746235,90.1494904,28.5,10.0,12.5,47.7,33.3,124.25
2023-06-11,Sherpur,25.0746235,90.1494904,28.5,8.4,14.9,50.75,35.22,102.42
2023-06-12,Sherpur,25.0746235,90.1494904,27.6,14.3,14.9,29.92,20.6,82.42
2023-06-13,Sherpur,25.0746235,90.1494904,28.2,7.0,13.0,56.32,38.45,90.17
2023-06-14,Sherpur,25.0746235,90.1494904,27.1,13.7,20.2,33.17,22.22,86.21
2023-06-15,Sherpur,25.0746235,90.1494904,26.9,79.8,28.5,40.98,26.8,78.79
2023-06-16,Sherpur,25.0746235,90.1494904,26.0,66.1,22.7,41.89,27.62,81.83
2023-06-17,Sherpur,25.0746235,90.1494904,26.6,17.3,19.8,39.25,25.61,79.46
2023-06-18,Sherpur,25.0746235,90.1494904,26.3,26.2,22.9,34.06,22.11,76.71
2023-06-19,Sherpur,25.0746235,90.1494904,25.5,34.4,18.7,28.14,18.8,68.33
2023-06-20,Sherpur,25.0746235,90.1494904,26.6,22.5,17.9,28.62,19.21,64.75
2023-06-21,Sherpur,25.0746235,90.1494904,26.7,38.1,17.0,25.89,17.67,62.71
2023-06-22,Sherpur,25.0746235,90.1494904,26.9,16.7,16.3,26.18,17.88,62.0
2023-06-23,Sherpur,25.0746235,90.1494904,28.1,1.2,17.0,18.95,13.12,60.88
2023-06-24,Sherpur,25.0746235,90.1494904,29.2,0.6,17.6,17.72,12.25,49.0
2023-06-25,Sherpur,25.0746235,90.1494904,29.1,3.2,20.7,20.96,14.41,53.25
2023-06-26,Sherpur,25.0746235,90.1494904,28.8,12.4,20.8,17.06,11.76,53.79
2023-06-27,Sherpur,25.0746235,90.1494904,26.7,5.8,22.9,11.61,8.17,39.42
2023-06-28,Sherpur,25.0746235,90.1494904,26.3,8.5,19.1,13.62,9.45,33.25
2023-06-29,Sherpur,25.0746235,90.1494904,26.3,47.3,12.3,15.95,11.09,44.21
2023-06-30,Sherpur,25.0746235,90.1494904,25.9,47.5,14.4,17.47,12.12,51.17
2023-07-01,Sherpur,25.0746235,90.1494904,26.2,37.7,12.4,18.46,12.93,47.58
2023-07-02,Sherpur,25.0746235,90.1494904,26.3,58.5,12.3,24.22,16.95,57.0
2023-07-03,Sherpur,25.0746235,90.1494904,27.4,25.8,17.6,29.84,20.03,60.79
2023-07-04,Sherpur,25.0746235,90.1494904,28.1,11.2,12.8,25.3,17.2,65.42
2023-07-05,Sherpur,25.0746235,90.1494904,28.7,4.8,12.8,29.95,20.74,68.58
2023-07-06,Sherpur,25.0746235,90.1494904,27.5,14.7,17.6,15.6,10.76,56.79
2023-07-07,Sherpur,25.0746235,90.1494904,27.2,19.8,14.2,15.57,10.6,42.33
2023-07-08,Sherpur,25.0746235,90.1494904,28.3,5.5,16.0,19.45,13.24,47.96
2023-07-09,Sherpur,25.0746235,90.1494904,28.7,8.0,14.3,25.15,17.06,56.54
2023-07-10,Sherpur,25.0746235,90.1494904,28.3,5.8,14.7,29.39,20.0,67.42
2023-07-11,Sherpur,25.0746235,90.1494904,28.3,24.4,11.9,18.91,12.85,57.04
2023-07-12,Sherpur,25.0746235,90.1494904,28.0,11.1,14.1,16.91,11.31,51.25
2023-07-13,Sherpur,25.0746235,90.1494904,26.8,25.8,13.1,15.26,10.53,45.58
2023-07-14,Sherpur,25.0746235,90.1494904,27.9,11.7,15.2,20.95,14.75,48.21
2023-07-15,Sherpur,25.0746235,90.1494904,28.8,3.2,21.4,15.45,11.01,52.25
2023-07-16,Sherpur,25.0746235,90.1494904,28.6,1.1,22.5,15.38,10.64,44.83
2023-07-17,Sherpur,25.0746235,90.1494904,28.2,2.1,17.4,24.03,16.68,52.58
2023-07-18,Sherpur,25.0746235,90.1494904,29.7,0.0,11.8,32.62,22.8,66.71
2023-07-19,Sherpur,25.0746235,90.1494904,30.6,0.7,14.1,28.72,19.95,70.54
2023-07-20,Sherpur,25.0746235,90.1494904,30.6,0.0,15.8,28.8,19.92,66.5
