Date,District,Latitude,Longitude,Avg_Temperature_C,Rainfall_mm,Max_Wind_Speed_kmh,PM10,PM2.5,AQI_Level
2023-01-01,Sirajgonj,24.3141115,89.5699615,17.1,0.0,9.4,149.98,104.07,180.83
2023-01-02,Sirajgonj,24.3141115,89.5699615,16.9,0.0,9.7,95.92,66.05,164.33
2023-01-03,Sirajgonj,24.3141115,89.5699615,16.7,0.0,10.2,69.17,47.74,147.54
2023-01-04,Sirajgonj,24.3141115,89.5699615,16.1,0.0,10.5,83.31,57.87,141.96
2023-01-05,Sirajgonj,24.3141115,89.5699615,15.3,0.0,14.1,97.17,67.74,155.54
2023-01-06,Sirajgonj,24.3141115,89.5699615,15.4,0.0,12.7,69.93,48.81,146.21
2023-01-07,Sirajgonj,24.3141115,89.5699615,15.3,0.0,10.2,67.27,46.96,129.46
2023-01-08,Sirajgonj,24.3141115,89.5699615,16.0,0.0,10.5,77.42,54.12,138.46
2023-01-09,Sirajgonj,24.3141115,89.5699615,16.5,0.0,9.9,74.11,51.72,142.92
2023-01-10,Sirajgonj,24.3141115,89.5699615,16.5,0.0,10.4,84.03,58.71,146.0
2023-01-11,Sirajgonj,24.3141115,89.5699615,14.9,0.0,9.6,118.62,82.73,157.83
2023-01-12,Sirajgonj,24.3141115,89.5699615,14.3,0.0,9.0,130.55,90.82,165.92
2023-01-13,Sirajgonj,24.3141115,89.5699615,15.6,0.0,8.7,179.03,124.18,177.71
2023-01-14,Sirajgonj,24.3141115,89.5699615,18.3,0.1,9.6,161.65,112.18,184.62
2023-01-15,Sirajgonj,24.3141115,89.5699615,18.6,0.0,14.1,137.95,95.56,176.5
2023-01-16,Sirajgonj,24.3141115,89.5699615,17.0,0.0,10.1,115.35,79.77,163.75
2023-01-17,Sirajgonj,24.3141115,89.5699615,15.5,0.0,9.0,138.33,96.08,166.67
2023-01-18,Sirajgonj,24.3141115,89.5699615,14.9,0.0,7.9,158.73,109.77,175.33
2023-01-19,Sirajgonj,24.3141115,89.5699615,14.4,0.0,9.6,166.0,114.79,181.67
2023-01-20,Sirajgonj,24.3141115,89.5699615,14.6,0.0,9.7,153.35,106.42,178.42
2023-01-21,Sirajgonj,24.3141115,89.5699615,15.8,0.0,9.5,182.65,126.73,179.96
2023-01-22,Sirajgonj,24.3141115,89.5699615,18.5,0.0,7.6,212.08,147.47,191.5
2023-01-23,Sirajgonj,24.3141115,89.5699615,19.0,0.0,8.4,223.04,155.32,205.62
2023-01-24,Sirajgonj,24.3141115,89.5699615,19.6,0.0,8.6,166.91,116.26,193.62
2023-01-25,Sirajgonj,24.3141115,89.5699615,20.1,0.0,8.8,161.28,112.44,177.5
2023-01-26,Sirajgonj,24.3141115,89.5699615,20.7,0.0,8.2,195.4,136.36,186.5
2023-01-27,Sirajgonj,24.3141115,89.5699615,20.1,0.0,8.9,153.42,106.75,193.0
2023-01-28,Sirajgonj,24.3141115,89.5699615,20.2,0.0,10.9,109.28,76.14,163.62
2023-01-29,Sirajgonj,24.3141115,89.5699615,18.9,0.0,8.9,108.66,75.6,159.46
2023-01-30,Sirajgonj,24.3141115,89.5699615,19.6,0.0,9.4,124.08,86.33,165.33
